Date,open,high,low,close,volume,adj_close,diff
2014-01-02,9.37,9.4,9.31,9.38,1083800,9.05,0.010000000000001563
2014-01-03,9.39,9.42,9.36,9.36,704600,9.03,-0.030000000000001137
2014-01-06,9.42,9.45,9.37,9.38,717700,9.05,-0.03999999999999915
2014-01-07,9.26,9.34,9.25,9.3,796800,8.97,0.040000000000000924
2014-01-08,9.43,9.47,9.38,9.46,884300,9.12,0.030000000000001137
2014-01-09,9.4,9.45,9.33,9.43,1139700,9.09,0.02999999999999936
2014-01-10,9.33,9.34,9.19,9.27,1172100,8.94,-0.0600000000000005
2014-01-13,9.27,9.32,9.18,9.21,1038500,8.88,-0.05999999999999872
2014-01-14,9.24,9.36,9.23,9.36,1093500,9.03,0.11999999999999922
2014-01-15,9.26,9.34,9.23,9.33,1637300,9.0,0.07000000000000028
2014-01-16,9.31,9.33,9.24,9.3,1300600,8.97,-0.009999999999999787
2014-01-17,9.19,9.28,9.18,9.22,1209000,8.89,0.030000000000001137
2014-01-21,9.06,9.08,8.97,9.07,1062300,8.75,0.009999999999999787
2014-01-22,9.11,9.16,9.08,9.14,1667600,8.81,0.030000000000001137
2014-01-23,9.3,9.32,9.15,9.18,2705500,8.85,-0.120000000000001
2014-01-24,9.1,9.11,8.83,8.83,1280700,8.52,-0.2699999999999996
2014-01-27,8.87,8.89,8.73,8.79,751200,8.48,-0.08000000000000007
2014-01-28,8.93,9.01,8.92,9.0,758000,8.68,0.07000000000000028
2014-01-29,8.79,8.88,8.76,8.78,608700,8.47,-0.009999999999999787
2014-01-30,8.81,8.88,8.78,8.84,416600,8.53,0.02999999999999936
2014-01-31,8.66,8.77,8.61,8.67,1023400,8.36,0.009999999999999787
2014-02-03,8.57,8.6,8.37,8.39,1049400,8.09,-0.17999999999999972
2014-02-04,8.55,8.58,8.51,8.54,975900,8.24,-0.010000000000001563
2014-02-05,8.56,8.61,8.53,8.58,1027500,8.27,0.019999999999999574
2014-02-06,8.72,8.82,8.71,8.81,615900,8.5,0.08999999999999986
2014-02-07,8.87,8.92,8.8,8.9,949600,8.58,0.030000000000001137
2014-02-10,8.85,8.88,8.83,8.87,666700,8.55,0.019999999999999574
2014-02-11,8.96,9.03,8.94,9.02,732700,8.7,0.05999999999999872
2014-02-12,9.03,9.08,9.01,9.06,816100,8.74,0.030000000000001137
2014-02-13,9.03,9.13,9.03,9.12,560200,8.8,0.08999999999999986
2014-02-14,9.17,9.24,9.17,9.23,605300,8.9,0.0600000000000005
2014-02-18,9.34,9.37,9.3,9.33,562900,9.0,-0.009999999999999787
2014-02-19,9.26,9.31,9.15,9.18,523700,8.85,-0.08000000000000007
2014-02-20,8.65,8.74,8.57,8.73,1486500,8.42,0.08000000000000007
2014-02-21,9.07,9.09,8.97,9.02,972600,8.7,-0.05000000000000071
2014-02-24,8.98,9.04,8.94,9.01,662100,8.69,0.02999999999999936
2014-02-25,9.01,9.02,8.93,8.97,457700,8.65,-0.03999999999999915
2014-02-26,8.94,8.94,8.87,8.91,371700,8.59,-0.02999999999999936
2014-02-27,8.8,8.92,8.77,8.89,308200,8.57,0.08999999999999986
2014-02-28,8.97,9.02,8.91,8.95,447300,8.63,-0.02000000000000135
2014-03-03,8.58,8.63,8.51,8.62,2534500,8.31,0.03999999999999915
2014-03-04,8.85,8.96,8.82,8.94,2571900,8.62,0.08999999999999986
