Date,open,high,low,close,volume,adj_close,diff
2014-01-02,2.65,2.78,2.65,2.78,382400,2.78,0.1299999999999999
2014-01-03,2.8,2.89,2.75,2.8,458800,2.8,0.0
2014-01-06,2.78,2.89,2.7,2.89,287700,2.89,0.11000000000000032
2014-01-07,2.89,2.89,2.78,2.83,289000,2.83,-0.06000000000000005
2014-01-08,2.84,2.88,2.73,2.83,301400,2.83,-0.009999999999999787
2014-01-09,2.85,3.15,2.85,3.08,1374200,3.08,0.22999999999999998
2014-01-10,3.11,3.22,3.02,3.14,677900,3.14,0.03000000000000025
2014-01-13,3.2,3.2,2.92,2.98,592200,2.98,-0.2200000000000002
2014-01-14,3.01,3.1,2.95,3.02,351000,3.02,0.010000000000000231
2014-01-15,3.02,3.09,2.9,3.03,639000,3.03,0.009999999999999787
2014-01-16,3.07,3.1,3.03,3.1,230800,3.1,0.03000000000000025
2014-01-17,3.1,3.28,3.07,3.2,619900,3.2,0.10000000000000009
2014-01-21,3.35,3.38,3.19,3.27,761800,3.27,-0.08000000000000007
2014-01-22,3.3,3.44,3.27,3.34,490400,3.34,0.040000000000000036
2014-01-23,3.27,3.54,3.11,3.47,1209300,3.47,0.20000000000000018
2014-01-24,3.45,3.45,3.2,3.27,666200,3.27,-0.18000000000000016
2014-01-27,3.25,3.25,2.94,3.09,674700,3.09,-0.16000000000000014
2014-01-28,3.09,3.18,3.03,3.14,203900,3.14,0.050000000000000266
2014-01-29,3.12,3.16,3.05,3.09,172000,3.09,-0.03000000000000025
2014-01-30,3.1,3.22,3.1,3.15,145500,3.15,0.04999999999999982
2014-01-31,3.06,3.16,3.03,3.09,247100,3.09,0.029999999999999805
2014-02-03,3.11,3.15,2.92,2.93,439400,2.93,-0.17999999999999972
2014-02-04,2.91,3.0,2.88,2.9,201200,2.9,-0.010000000000000231
2014-02-05,2.8,2.85,2.65,2.72,3921900,2.72,-0.07999999999999963
2014-02-06,2.75,2.76,2.68,2.74,663400,2.74,-0.009999999999999787
2014-02-07,2.75,2.89,2.71,2.87,719700,2.87,0.1200000000000001
2014-02-10,2.87,3.0,2.87,2.92,489600,2.92,0.04999999999999982
2014-02-11,3.0,3.18,2.97,3.02,1095800,3.02,0.020000000000000018
2014-02-12,3.04,3.1,2.95,3.03,759600,3.03,-0.010000000000000231
2014-02-13,3.04,3.12,3.04,3.05,594400,3.05,0.009999999999999787
2014-02-14,3.09,3.18,3.0,3.0,625700,3.0,-0.08999999999999986
2014-02-18,3.02,3.07,3.0,3.05,379100,3.05,0.029999999999999805
2014-02-19,3.06,3.4,2.96,3.37,1554100,3.37,0.31000000000000005
2014-02-20,3.41,3.83,3.41,3.63,2647700,3.63,0.21999999999999975
2014-02-21,3.72,4.04,3.6,3.88,2554700,3.88,0.1599999999999997
2014-02-24,4.15,4.32,3.92,4.21,2524100,4.21,0.05999999999999961
2014-02-25,4.19,4.6,3.96,4.49,2217800,4.49,0.2999999999999998
2014-02-26,4.48,5.18,4.45,5.1,3284300,5.1,0.6199999999999992
2014-02-27,5.04,5.27,4.79,4.89,2041600,4.89,-0.15000000000000036
2014-02-28,4.85,5.08,4.6,4.89,1416800,4.89,0.040000000000000036
2014-03-03,4.82,4.86,4.41,4.84,1903400,4.84,0.019999999999999574
2014-03-04,4.88,4.97,4.71,4.76,958000,4.76,-0.1200000000000001
2014-03-05,4.75,5.18,4.75,4.97,1371700,4.97,0.21999999999999975
2014-03-06,5.02,5.09,4.66,4.78,970100,4.78,-0.23999999999999932
2014-03-07,4.77,4.82,4.19,4.39,1461300,4.39,-0.3799999999999999
2014-03-10,4.27,4.53,4.27,4.41,661000,4.41,0.14000000000000057
2014-03-11,4.42,4.47,4.15,4.18,1130200,4.18,-0.2400000000000002
2014-03-12,4.2,4.33,4.12,4.22,637000,4.22,0.019999999999999574
2014-03-13,4.25,4.28,4.03,4.08,542900,4.08,-0.16999999999999993
2014-03-14,4.22,4.53,4.16,4.32,1362000,4.32,0.10000000000000053
