Date,open,high,low,close,volume,adj_close,diff
2014-03-11,20.01,20.01,19.69,19.69,1300,19.65,-0.3200000000000003
2014-03-12,19.72,19.83,19.72,19.83,1200,19.79,0.10999999999999943
2014-03-13,20.19,20.19,19.44,19.52,8800,19.48,-0.6700000000000017
2014-03-14,19.6,19.61,19.52,19.52,1093600,19.49,-0.08000000000000185
2014-03-17,19.77,19.77,19.67,19.67,8200,19.63,-0.09999999999999787
2014-03-18,19.66,19.87,19.61,19.83,41800,19.79,0.16999999999999815
2014-03-19,20.03,20.03,19.7,19.8,73300,19.76,-0.23000000000000043
2014-03-20,19.9,19.9,19.78,19.83,45400,19.79,-0.07000000000000028
2014-03-21,19.96,20.05,19.85,19.89,16900,19.85,-0.07000000000000028
2014-03-24,20.1,20.11,19.57,19.68,60500,19.64,-0.4200000000000017
2014-03-25,19.84,19.86,19.68,19.73,5100,19.69,-0.10999999999999943
2014-03-26,19.91,19.91,19.4,19.41,38600,19.37,-0.5
2014-03-27,19.31,19.37,19.15,19.21,22000,19.17,-0.09999999999999787
2014-03-28,19.44,19.5,19.23,19.26,37600,19.22,-0.17999999999999972
2014-03-31,19.48,19.67,19.47,19.61,10500,19.57,0.129999999999999
2014-04-01,19.66,19.82,19.65,19.8,13800,19.76,0.14000000000000057
2014-04-02,19.86,19.95,19.83,19.94,27800,19.9,0.08000000000000185
2014-04-03,19.87,19.9,19.73,19.82,47400,19.78,-0.05000000000000071
2014-04-04,20.01,20.01,19.37,19.41,31000,19.37,-0.6000000000000014
2014-04-07,19.51,19.51,18.9,18.98,17200,18.94,-0.5300000000000011
2014-04-08,19.13,19.26,19.05,19.17,13000,19.13,0.0400000000000027
2014-04-09,19.41,19.45,19.2,19.45,39400,19.41,0.03999999999999915
2014-04-10,19.43,19.45,18.96,19.05,67300,19.01,-0.379999999999999
2014-04-11,19.18,19.18,18.84,18.89,107500,18.85,-0.28999999999999915
2014-04-14,19.25,19.25,18.75,18.89,12400,18.85,-0.35999999999999943
2014-04-15,19.05,19.09,18.57,18.93,51000,18.89,-0.120000000000001
2014-04-16,19.16,19.16,18.97,19.13,15200,19.09,-0.030000000000001137
2014-04-17,19.19,19.37,19.14,19.33,77500,19.29,0.13999999999999702
2014-04-21,19.36,19.37,19.25,19.36,9100,19.32,0.0
2014-04-22,19.4,19.63,19.4,19.59,7400,19.55,0.19000000000000128
2014-04-23,19.72,19.72,19.46,19.5,19100,19.46,-0.21999999999999886
2014-04-24,19.6,19.6,19.41,19.52,21600,19.48,-0.08000000000000185
2014-04-25,19.31,19.35,19.15,19.2,19800,19.16,-0.10999999999999943
2014-04-28,19.28,19.3,18.88,19.11,27900,19.07,-0.1700000000000017
2014-04-29,19.28,19.33,19.02,19.06,48300,19.02,-0.22000000000000242
2014-04-30,19.04,19.18,19.01,19.17,8800,19.13,0.13000000000000256
2014-05-01,19.35,19.35,18.86,19.0,134400,18.96,-0.3500000000000014
2014-05-02,19.22,19.25,19.11,19.11,21700,19.07,-0.10999999999999943
2014-05-05,18.86,18.97,18.86,18.97,11200,18.93,0.10999999999999943
2014-05-06,18.9,18.93,18.67,18.72,22200,18.68,-0.17999999999999972
2014-05-07,18.85,18.85,18.56,18.72,21800,18.68,-0.13000000000000256
2014-05-08,18.7,18.77,18.35,18.43,20600,18.39,-0.2699999999999996
2014-05-09,18.55,18.64,18.31,18.64,43900,18.6,0.08999999999999986
2014-05-12,18.77,19.17,18.77,19.15,48000,19.11,0.379999999999999
2014-05-13,19.16,19.19,18.96,18.99,45700,18.95,-0.1700000000000017
2014-05-14,18.81,18.81,18.54,18.58,30300,18.54,-0.23000000000000043
2014-05-15,19.06,19.06,18.17,18.4,25400,18.36,-0.6600000000000001
2014-05-16,18.63,18.63,18.23,18.52,30400,18.48,-0.10999999999999943
2014-05-19,18.5,18.75,18.5,18.75,23900,18.71,0.25
2014-05-20,18.71,18.85,18.34,18.43,22700,18.39,-0.28000000000000114
2014-05-21,18.47,18.51,18.34,18.49,10500,18.45,0.019999999999999574
2014-05-22,18.61,18.62,18.44,18.55,34800,18.51,-0.05999999999999872
2014-05-23,18.55,18.81,18.55,18.81,10200,18.77,0.259999999999998
2014-05-27,19.01,19.25,19.01,19.14,23600,19.1,0.129999999999999
2014-05-28,19.27,19.27,19.0,19.07,41200,19.03,-0.1999999999999993
2014-05-29,19.05,19.08,18.92,18.98,16100,18.94,-0.07000000000000028
2014-05-30,19.03,19.06,18.88,18.92,89100,18.88,-0.10999999999999943
2014-06-02,18.64,18.82,18.62,18.75,6600,18.71,0.10999999999999943
2014-06-03,18.81,19.21,18.6,18.67,5200,18.63,-0.13999999999999702
2014-06-04,18.62,18.69,18.56,18.59,22600,18.55,-0.030000000000001137
2014-06-05,18.74,19.08,18.72,19.08,18000,19.04,0.33999999999999986
2014-06-06,19.33,19.4,19.25,19.4,46300,19.36,0.07000000000000028
2014-06-09,19.33,19.62,19.33,19.62,15100,19.58,0.2900000000000027
2014-06-10,19.69,19.69,19.49,19.56,29800,19.52,-0.13000000000000256
2014-06-11,19.6,19.6,19.29,19.33,7700,19.29,-0.2700000000000031
2014-06-12,19.18,19.24,19.03,19.07,22700,19.03,-0.10999999999999943
2014-06-13,19.12,19.16,18.99,19.02,18000,18.98,-0.10000000000000142
2014-06-16,18.88,19.01,18.87,19.0,10400,18.96,0.120000000000001
2014-06-17,19.02,19.21,18.9,19.12,16400,19.08,0.10000000000000142
2014-06-18,19.19,19.24,19.04,19.24,9300,19.2,0.04999999999999716
2014-06-19,19.18,19.32,19.18,19.32,12500,19.28,0.14000000000000057
2014-06-20,19.4,19.4,19.31,19.36,20300,19.32,-0.03999999999999915
2014-06-23,19.52,19.52,19.21,19.27,21700,19.23,-0.25
2014-06-24,19.36,19.42,19.12,19.12,12800,19.08,-0.23999999999999844
2014-06-25,19.04,19.21,19.02,19.2,8700,19.16,0.16000000000000014
2014-06-26,19.41,19.41,19.14,19.17,12300,19.13,-0.23999999999999844
2014-06-27,19.28,19.33,19.28,19.32,6700,19.28,0.03999999999999915
2014-06-30,19.28,19.42,19.28,19.41,20900,19.37,0.129999999999999
2014-07-01,19.6,19.7,19.6,19.6,11400,19.56,0.0
2014-07-02,19.73,19.73,19.56,19.58,16500,19.54,-0.15000000000000213
2014-07-03,19.6,19.81,19.6,19.77,11000,19.73,0.16999999999999815
2014-07-07,19.87,19.87,19.36,19.36,12900,19.32,-0.5100000000000016
2014-07-08,19.2,19.28,19.12,19.24,33700,19.2,0.03999999999999915
2014-07-09,19.27,19.31,19.12,19.12,29800,19.08,-0.14999999999999858
2014-07-10,18.84,18.92,18.81,18.85,8000,18.81,0.010000000000001563
2014-07-11,18.79,18.81,18.77,18.77,3100,18.73,-0.019999999999999574
2014-07-14,18.98,18.99,18.92,18.92,6900,18.88,-0.05999999999999872
2014-07-15,19.1,19.1,18.73,18.78,10200,18.74,-0.3200000000000003
2014-07-16,19.02,19.02,18.72,18.72,81300,18.68,-0.3000000000000007
2014-07-17,18.78,18.78,18.4,18.48,43300,18.44,-0.3000000000000007
2014-07-18,18.48,18.7,18.48,18.69,17300,18.65,0.21000000000000085
2014-07-21,18.5,18.59,18.46,18.57,11300,18.53,0.07000000000000028
2014-07-22,18.67,18.8,18.66,18.75,23600,18.71,0.0799999999999983
2014-07-23,18.75,18.84,18.67,18.68,10800,18.64,-0.07000000000000028
2014-07-24,18.78,18.78,18.59,18.6,4900,18.56,-0.17999999999999972
2014-07-25,18.42,18.5,18.39,18.42,12100,18.38,0.0
2014-07-28,18.25,18.28,18.13,18.19,24100,18.15,-0.05999999999999872
2014-07-29,18.31,18.31,18.14,18.16,19700,18.12,-0.14999999999999858
2014-07-30,18.18,18.22,18.13,18.21,15400,18.17,0.030000000000001137
2014-07-31,18.21,18.22,17.69,17.73,29000,17.69,-0.4800000000000004
2014-08-01,17.9,17.9,17.52,17.64,163800,17.6,-0.259999999999998
2014-08-04,17.99,18.08,17.77,18.08,16100,18.04,0.08999999999999986
2014-08-05,17.92,18.28,17.92,18.11,6500,18.08,0.18999999999999773
2014-08-06,18.12,18.31,18.02,18.23,13500,18.19,0.10999999999999943
2014-08-07,18.38,18.38,18.09,18.17,239000,18.13,-0.2099999999999973
2014-08-08,18.31,18.44,18.16,18.42,81100,18.38,0.11000000000000298
2014-08-11,18.5,18.81,18.5,18.68,12000,18.64,0.17999999999999972
2014-08-12,18.69,18.72,18.45,18.55,98000,18.52,-0.14000000000000057
2014-08-13,18.55,18.73,18.55,18.67,9700,18.63,0.120000000000001
2014-08-14,18.64,18.77,18.64,18.77,23900,18.73,0.129999999999999
2014-08-15,18.91,18.92,18.59,18.73,60100,18.69,-0.17999999999999972
2014-08-18,19.07,19.08,18.94,19.07,90700,19.03,0.0
2014-08-19,19.23,19.23,19.09,19.1,566100,19.06,-0.129999999999999
2014-08-20,19.09,19.09,18.96,19.02,16900,18.98,-0.07000000000000028
2014-08-21,18.93,19.13,18.8,19.1,8800,19.06,0.1700000000000017
2014-08-22,19.04,19.13,18.99,19.1,8400,19.06,0.060000000000002274
2014-08-25,19.22,19.32,19.16,19.22,24900,19.18,0.0
2014-08-26,19.22,19.46,19.22,19.43,93000,19.39,0.21000000000000085
2014-08-27,19.47,19.48,19.32,19.4,32100,19.36,-0.07000000000000028
2014-08-28,19.34,19.34,19.25,19.3,55300,19.26,-0.03999999999999915
2014-08-29,19.38,19.38,19.26,19.34,2000,19.3,-0.03999999999999915
2014-09-02,19.4,19.61,19.4,19.57,65300,19.53,0.1700000000000017
2014-09-03,19.69,19.69,19.42,19.43,11800,19.39,-0.26000000000000156
2014-09-04,19.65,19.65,19.4,19.4,40600,19.36,-0.25
2014-09-05,19.39,19.46,19.34,19.46,548700,19.42,0.07000000000000028
2014-09-08,19.53,19.61,19.48,19.5,18800,19.46,-0.030000000000001137
2014-09-09,19.4,19.42,19.32,19.34,4000,19.3,-0.05999999999999872
2014-09-10,19.38,19.46,19.28,19.44,25300,19.4,0.060000000000002274
2014-09-11,19.48,19.59,19.4,19.59,27700,19.55,0.10999999999999943
2014-09-12,19.51,19.52,19.32,19.37,17900,19.33,-0.14000000000000057
2014-09-15,19.33,19.33,19.12,19.18,10300,19.14,-0.14999999999999858
2014-09-16,19.31,19.31,19.05,19.21,17800,19.17,-0.09999999999999787
2014-09-17,19.31,19.42,19.21,19.31,25500,19.27,0.0
2014-09-18,19.35,19.44,19.34,19.42,12600,19.38,0.07000000000000028
2014-09-19,19.54,19.54,19.18,19.22,47500,19.18,-0.3200000000000003
2014-09-22,19.01,19.01,18.95,18.98,6300,18.94,-0.030000000000001137
2014-09-23,18.86,18.98,18.79,18.87,14400,18.84,0.010000000000001563
2014-09-24,18.75,18.86,18.74,18.84,7400,18.81,0.08999999999999986
2014-09-25,18.82,18.82,18.53,18.53,28300,18.5,-0.28999999999999915
2014-09-26,18.68,18.68,18.58,18.67,15100,18.64,-0.00999999999999801
2014-09-29,18.47,18.63,18.47,18.59,10000,18.56,0.120000000000001
2014-09-30,18.45,18.58,18.35,18.35,32700,18.32,-0.09999999999999787
2014-10-01,18.09,18.25,18.01,18.05,270100,18.02,-0.03999999999999915
2014-10-02,17.89,18.22,17.89,18.11,453200,18.08,0.21999999999999886
2014-10-03,18.22,18.3,18.11,18.11,17700,18.08,-0.10999999999999943
2014-10-06,18.2,18.2,17.96,18.01,14200,17.98,-0.18999999999999773
2014-10-07,17.8,17.9,17.7,17.7,10000,17.67,-0.10000000000000142
2014-10-08,17.64,18.02,17.5,18.02,81900,17.99,0.379999999999999
2014-10-09,17.86,17.86,17.4,17.41,21400,17.38,-0.4499999999999993
2014-10-10,17.33,17.48,17.19,17.2,40300,17.17,-0.129999999999999
2014-10-13,17.24,17.38,17.06,17.09,380900,17.06,-0.14999999999999858
2014-10-14,18.04,18.04,17.15,17.22,72500,17.19,-0.8200000000000003
2014-10-15,17.0,17.4,16.62,17.4,91600,17.37,0.3999999999999986
2014-10-16,17.38,17.75,17.1,17.71,299700,17.68,0.33000000000000185
2014-10-17,17.92,17.97,17.7,17.73,46400,17.7,-0.19000000000000128
2014-10-20,17.68,17.7,17.51,17.55,26400,17.52,-0.129999999999999
2014-10-21,17.8,18.12,17.75,18.09,23700,18.06,0.28999999999999915
2014-10-22,18.29,18.29,17.82,17.82,36000,17.79,-0.46999999999999886
2014-10-23,18.09,18.39,17.99,18.2,40500,18.17,0.10999999999999943
2014-10-24,18.18,18.31,18.18,18.31,17200,18.28,0.129999999999999
2014-10-27,18.26,18.26,18.0,18.15,28500,18.12,-0.11000000000000298
2014-10-28,18.21,18.92,18.21,18.87,50000,18.84,0.6600000000000001
2014-10-29,19.04,19.04,18.66,18.78,23800,18.75,-0.259999999999998
2014-10-30,18.84,18.98,18.54,18.84,25700,18.81,0.0
2014-10-31,19.03,19.3,19.03,19.25,83800,19.22,0.21999999999999886
2014-11-03,19.14,19.26,19.03,19.07,31500,19.04,-0.07000000000000028
2014-11-04,19.09,19.09,18.88,18.98,62500,18.95,-0.10999999999999943
2014-11-05,19.18,19.18,18.84,18.86,27600,18.83,-0.3200000000000003
2014-11-06,18.77,19.06,18.77,19.03,17300,19.0,0.26000000000000156
2014-11-07,19.21,19.22,19.08,19.17,10000,19.14,-0.03999999999999915
2014-11-10,19.35,19.35,19.01,19.12,56400,19.09,-0.23000000000000043
2014-11-11,19.09,19.09,18.98,19.08,48200,19.05,-0.010000000000001563
2014-11-12,19.0,19.13,18.97,19.13,21500,19.1,0.129999999999999
2014-11-13,19.2,19.2,18.79,18.79,27700,18.76,-0.41000000000000014
2014-11-14,18.99,18.99,18.67,18.82,12800,18.79,-0.16999999999999815
2014-11-17,18.9,18.9,18.58,18.58,27700,18.55,-0.3200000000000003
2014-11-18,18.78,18.86,18.73,18.75,20000,18.72,-0.030000000000001137
2014-11-19,18.86,18.86,18.42,18.42,81600,18.39,-0.4399999999999977
2014-11-20,18.42,18.7,18.2,18.7,20800,18.67,0.2799999999999976
2014-11-21,18.93,19.06,18.67,18.7,94200,18.67,-0.23000000000000043
2014-11-24,18.86,18.88,18.75,18.88,24600,18.85,0.019999999999999574
2014-11-25,19.01,19.1,18.94,19.1,481500,19.07,0.08999999999999986
2014-11-26,19.26,19.26,19.0,19.05,152800,19.02,-0.21000000000000085
2014-11-28,19.24,19.24,18.32,18.32,9200,18.29,-0.9199999999999982
2014-12-01,18.05,18.05,17.53,17.66,267000,17.63,-0.39000000000000057
2014-12-02,17.58,18.1,17.57,18.0,72100,17.97,0.4200000000000017
2014-12-03,17.92,18.44,17.92,18.37,77300,18.34,0.4499999999999993
2014-12-04,18.3,18.46,18.19,18.26,34500,18.23,-0.03999999999999915
2014-12-05,18.45,18.51,18.29,18.41,95200,18.38,-0.03999999999999915
2014-12-08,18.27,18.39,17.93,17.93,23300,17.9,-0.33999999999999986
2014-12-09,17.84,18.3,17.74,18.3,30700,18.27,0.46000000000000085
2014-12-10,17.89,18.18,17.59,17.62,36100,17.59,-0.2699999999999996
2014-12-11,17.76,17.93,17.45,17.45,72900,17.42,-0.3100000000000023
2014-12-12,16.9,17.28,16.76,17.12,27600,17.09,0.22000000000000242
2014-12-15,17.25,17.34,16.85,16.99,15200,16.96,-0.26000000000000156
2014-12-16,16.91,17.32,16.04,16.97,41900,16.94,0.05999999999999872
2014-12-17,16.69,17.57,16.62,17.53,76400,17.5,0.8399999999999999
2014-12-18,17.75,17.94,17.65,17.89,57400,17.86,0.14000000000000057
2014-12-19,18.01,18.01,17.8,17.91,9800,17.88,-0.10000000000000142
2014-12-22,18.18,18.18,17.94,18.16,70200,18.13,-0.019999999999999574
2014-12-23,18.08,18.47,18.08,18.39,51500,18.39,0.3100000000000023
2014-12-24,18.32,18.47,18.32,18.39,16900,18.39,0.07000000000000028
2014-12-26,18.33,18.59,18.33,18.49,20400,18.49,0.16000000000000014
2014-12-29,18.45,18.68,18.45,18.55,31600,18.55,0.10000000000000142
2014-12-30,18.46,18.57,18.46,18.49,241000,18.49,0.029999999999997584
2014-12-31,18.44,18.59,18.33,18.33,15800,18.33,-0.11000000000000298
