Date,open,high,low,close,volume,adj_close,diff
2014-01-02,31.07,31.07,30.38,30.53,472300,30.42,-0.5399999999999991
2014-01-03,30.56,30.94,30.56,30.68,381000,30.57,0.120000000000001
2014-01-06,30.81,31.01,30.52,30.52,542900,30.41,-0.28999999999999915
2014-01-07,30.53,30.83,30.24,30.27,580800,30.17,-0.26000000000000156
2014-01-08,30.22,30.5,30.01,30.43,550000,30.33,0.21000000000000085
2014-01-09,30.46,31.69,30.43,31.6,1046700,31.49,1.1400000000000006
2014-01-10,31.57,32.04,31.55,31.97,928600,31.86,0.3999999999999986
2014-01-13,31.88,32.16,31.8,31.89,807500,31.78,0.010000000000001563
2014-01-14,31.94,32.05,30.84,30.88,1370200,30.77,-1.0600000000000023
2014-01-15,31.35,31.73,31.22,31.62,516300,31.51,0.2699999999999996
2014-01-16,31.45,31.72,31.31,31.43,283300,31.32,-0.019999999999999574
2014-01-17,31.47,31.84,31.36,31.8,593000,31.69,0.33000000000000185
2014-01-21,32.17,32.5,32.08,32.5,1198700,32.39,0.3299999999999983
2014-01-22,32.53,32.95,32.47,32.9,671800,32.79,0.36999999999999744
2014-01-23,32.72,32.75,32.38,32.57,396200,32.46,-0.14999999999999858
2014-01-24,32.47,32.47,31.68,31.71,873200,31.6,-0.759999999999998
2014-01-27,31.7,31.99,31.5,31.51,792000,31.4,-0.18999999999999773
2014-01-28,31.69,32.2,31.69,32.01,747700,31.9,0.31999999999999673
2014-01-29,31.6,32.52,31.58,31.67,794100,31.56,0.07000000000000028
2014-01-30,31.89,31.97,31.64,31.79,454700,31.68,-0.10000000000000142
2014-01-31,31.32,31.89,31.11,31.48,365700,31.37,0.16000000000000014
2014-02-03,31.4,31.58,30.41,30.61,656700,30.5,-0.7899999999999991
2014-02-04,30.71,31.41,30.71,31.27,405100,31.16,0.5599999999999987
2014-02-05,31.22,31.28,30.35,30.38,795600,30.28,-0.8399999999999999
2014-02-06,30.45,31.42,30.45,31.41,337400,31.3,0.9600000000000009
2014-02-07,31.48,31.93,31.4,31.49,489300,31.38,0.00999999999999801
2014-02-10,31.53,31.53,30.86,30.92,429400,30.81,-0.6099999999999994
2014-02-11,30.9,32.18,30.9,32.17,1249300,32.06,1.2700000000000031
2014-02-12,32.26,32.58,32.01,32.53,1688800,32.42,0.2700000000000031
2014-02-13,32.45,32.66,32.2,32.61,538600,32.5,0.1599999999999966
2014-02-14,32.65,33.31,32.61,33.29,625900,33.18,0.6400000000000006
2014-02-18,33.31,34.53,33.27,34.5,1855000,34.38,1.1899999999999977
2014-02-19,34.22,34.47,34.11,34.22,859200,34.1,0.0
2014-02-20,34.19,34.24,33.73,34.19,904700,34.07,0.0
2014-02-21,34.26,35.9,34.21,35.37,1161500,35.25,1.1099999999999994
2014-02-24,35.32,35.75,35.02,35.3,918400,35.18,-0.020000000000003126
2014-02-25,35.31,35.55,35.04,35.14,752600,35.02,-0.1700000000000017
2014-02-26,35.29,35.5,34.91,35.14,695700,35.02,-0.14999999999999858
2014-02-27,35.14,35.65,34.97,35.52,637800,35.4,0.38000000000000256
2014-02-28,37.8,38.01,34.5,36.95,2111500,36.82,-0.8499999999999943
2014-03-03,36.55,36.72,35.9,36.56,876200,36.43,0.010000000000005116
2014-03-04,36.83,37.21,36.47,36.68,729800,36.55,-0.14999999999999858
2014-03-05,36.73,36.8,36.22,36.28,592200,36.15,-0.44999999999999574
2014-03-06,36.25,36.8,36.24,36.63,701400,36.5,0.38000000000000256
2014-03-07,36.73,36.93,36.55,36.76,966100,36.63,0.030000000000001137
2014-03-10,36.75,37.26,36.7,37.09,651000,36.96,0.3400000000000034
2014-03-11,37.44,37.48,36.79,36.92,517100,36.79,-0.519999999999996
2014-03-12,36.77,37.14,36.57,37.1,499800,36.97,0.3299999999999983
2014-03-13,37.15,37.24,36.14,36.28,488300,36.15,-0.8699999999999974
2014-03-14,36.17,36.83,36.15,36.52,429500,36.39,0.3500000000000014
2014-03-17,36.78,37.58,36.78,37.39,720100,37.26,0.6099999999999994
2014-03-18,37.33,37.88,37.16,37.5,640800,37.4,0.1700000000000017
2014-03-19,37.57,37.78,37.0,37.29,622200,37.19,-0.28000000000000114
2014-03-20,37.16,37.71,37.12,37.69,489200,37.59,0.5300000000000011
2014-03-21,37.86,38.15,37.15,37.29,1162500,37.19,-0.5700000000000003
2014-03-24,37.42,37.52,36.79,37.0,481800,36.9,-0.4200000000000017
2014-03-25,37.02,37.82,36.78,36.94,322900,36.84,-0.0800000000000054
2014-03-26,37.12,37.22,36.1,36.17,480900,36.07,-0.9499999999999957
2014-03-27,36.25,36.59,35.66,36.06,829000,35.96,-0.18999999999999773
2014-03-28,36.1,36.75,36.1,36.56,465600,36.46,0.46000000000000085
2014-03-31,36.91,37.44,36.8,37.29,571900,37.19,0.38000000000000256
2014-04-01,37.47,37.84,37.05,37.58,526200,37.48,0.10999999999999943
2014-04-02,37.52,37.62,37.14,37.59,436600,37.49,0.07000000000000028
2014-04-03,37.63,38.03,37.49,37.61,438300,37.51,-0.020000000000003126
2014-04-04,37.85,38.07,37.21,37.38,723300,37.28,-0.46999999999999886
2014-04-07,37.21,37.54,36.44,36.64,721000,36.54,-0.5700000000000003
2014-04-08,36.6,36.99,36.34,36.49,1102000,36.39,-0.10999999999999943
2014-04-09,36.63,37.31,36.5,37.25,643600,37.15,0.6199999999999974
2014-04-10,37.26,37.97,36.71,36.9,917400,36.8,-0.35999999999999943
2014-04-11,36.59,36.84,35.78,36.0,557700,35.9,-0.5900000000000034
2014-04-14,36.35,36.56,35.87,36.01,443600,35.91,-0.3400000000000034
2014-04-15,36.05,36.22,35.45,36.0,726100,35.9,-0.04999999999999716
2014-04-16,36.21,36.53,36.15,36.43,1246100,36.33,0.21999999999999886
2014-04-17,36.54,36.6,36.1,36.32,488200,36.22,-0.21999999999999886
2014-04-21,36.53,36.56,36.0,36.13,528200,36.03,-0.3999999999999986
2014-04-22,36.18,36.97,36.05,36.66,990700,36.56,0.4799999999999969
2014-04-23,36.59,37.01,36.38,36.48,1028600,36.38,-0.11000000000000654
