Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.6,5.68,5.47,5.48,91300,5.07,-0.11999999999999922
2014-01-03,5.5,5.56,5.46,5.47,70200,5.06,-0.03000000000000025
2014-01-06,5.49,5.61,5.49,5.58,102800,5.16,0.08999999999999986
2014-01-07,5.58,5.71,5.58,5.64,44500,5.22,0.05999999999999961
2014-01-08,5.67,5.72,5.62,5.64,39400,5.22,-0.03000000000000025
2014-01-09,5.68,5.71,5.62,5.66,66000,5.23,-0.019999999999999574
2014-01-10,5.62,5.64,5.57,5.58,77400,5.16,-0.040000000000000036
2014-01-13,5.62,5.65,5.49,5.5,48200,5.09,-0.1200000000000001
2014-01-14,5.54,5.58,5.48,5.5,46800,5.09,-0.040000000000000036
2014-01-15,5.53,5.59,5.53,5.57,43400,5.15,0.040000000000000036
2014-01-16,5.56,5.56,5.45,5.48,97300,5.07,-0.07999999999999918
2014-01-17,5.51,5.58,5.5,5.56,56100,5.14,0.04999999999999982
2014-01-21,5.62,5.63,5.54,5.56,88700,5.14,-0.0600000000000005
2014-01-22,5.52,5.58,5.51,5.54,41200,5.21,0.020000000000000462
2014-01-23,5.54,5.55,5.45,5.46,46500,5.13,-0.08000000000000007
2014-01-24,5.45,5.57,5.32,5.35,89000,5.03,-0.10000000000000053
2014-01-27,6.28,6.28,5.18,5.21,164400,4.9,-1.0700000000000003
2014-01-28,5.21,5.26,5.18,5.2,93100,4.89,-0.009999999999999787
2014-01-29,5.19,5.24,5.12,5.14,76900,4.83,-0.05000000000000071
2014-01-30,5.17,5.23,5.14,5.18,79500,4.87,0.009999999999999787
2014-01-31,5.14,5.24,5.14,5.19,53700,4.88,0.05000000000000071
2014-02-03,5.18,5.18,5.01,5.02,103600,4.72,-0.16000000000000014
2014-02-04,5.04,5.13,5.02,5.11,76000,4.8,0.07000000000000028
2014-02-05,5.11,5.12,5.05,5.09,50300,4.78,-0.020000000000000462
2014-02-06,5.09,5.17,5.09,5.1,59600,4.79,0.009999999999999787
2014-02-07,5.09,5.19,5.09,5.16,96700,4.85,0.07000000000000028
2014-02-10,5.13,5.26,5.13,5.19,61800,4.88,0.0600000000000005
2014-02-11,5.2,5.4,5.2,5.3,61500,4.98,0.09999999999999964
2014-02-12,5.3,5.49,5.3,5.36,61600,5.04,0.0600000000000005
2014-02-13,5.35,5.44,5.35,5.4,46000,5.08,0.05000000000000071
2014-02-14,5.38,5.45,5.36,5.36,52000,5.04,-0.019999999999999574
