Date,open,high,low,close,volume,adj_close,diff
2014-01-02,3.53,3.55,3.4,3.45,790300,3.14,-0.07999999999999963
2014-01-03,3.44,3.5,3.4,3.41,994100,3.1,-0.029999999999999805
2014-01-06,3.41,3.44,3.33,3.37,1288600,3.06,-0.040000000000000036
2014-01-07,3.36,3.6,3.3,3.59,1702200,3.26,0.22999999999999998
2014-01-08,3.56,3.6,3.42,3.48,821400,3.16,-0.08000000000000007
2014-01-09,3.45,3.49,3.33,3.36,1019000,3.05,-0.0900000000000003
2014-01-10,3.34,3.4,3.31,3.36,860400,3.05,0.020000000000000018
2014-01-13,3.36,3.37,3.27,3.28,766900,2.98,-0.08000000000000007
2014-01-14,3.28,3.38,3.26,3.29,739500,2.99,0.010000000000000231
2014-01-15,3.3,3.39,3.3,3.33,899100,3.03,0.03000000000000025
2014-01-16,3.37,3.37,3.3,3.33,426400,3.03,-0.040000000000000036
2014-01-17,3.3,3.33,3.25,3.27,889900,2.97,-0.029999999999999805
2014-01-21,3.26,3.28,3.25,3.28,768900,2.98,0.020000000000000018
2014-01-22,3.28,3.29,3.21,3.23,874800,2.94,-0.04999999999999982
2014-01-23,3.23,3.25,3.18,3.21,752900,2.92,-0.020000000000000018
2014-01-24,3.2,3.2,3.1,3.15,1166600,2.86,-0.050000000000000266
2014-01-27,3.13,3.15,3.06,3.11,1021100,2.83,-0.020000000000000018
2014-01-28,3.09,3.1,3.02,3.04,1817700,2.76,-0.04999999999999982
2014-01-29,3.01,3.04,2.99,3.03,1051200,2.78,0.020000000000000018
2014-01-30,3.06,3.14,3.01,3.13,906100,2.87,0.06999999999999984
2014-01-31,3.02,3.07,2.58,2.65,6027300,2.43,-0.3700000000000001
2014-02-03,2.64,2.72,2.22,2.43,5695200,2.23,-0.20999999999999996
2014-02-04,2.39,2.44,2.28,2.38,2321400,2.19,-0.010000000000000231
2014-02-05,2.31,2.36,2.23,2.27,2427600,2.08,-0.040000000000000036
2014-02-06,2.24,2.27,2.11,2.22,3535900,2.04,-0.020000000000000018
2014-02-07,2.22,2.4,2.19,2.35,2086700,2.16,0.1299999999999999
2014-02-10,2.38,2.42,2.28,2.28,1041300,2.09,-0.10000000000000009
2014-02-11,2.3,2.33,2.27,2.3,824200,2.11,0.0
2014-02-12,2.3,2.35,2.26,2.34,1264900,2.15,0.040000000000000036
2014-02-13,2.36,2.56,2.34,2.52,1767800,2.31,0.16000000000000014
2014-02-14,2.54,2.63,2.42,2.61,1609600,2.4,0.06999999999999984
2014-02-18,2.65,2.87,2.62,2.79,2705600,2.56,0.14000000000000012
2014-02-19,2.79,2.84,2.59,2.59,1672100,2.38,-0.20000000000000018
2014-02-20,2.63,2.7,2.59,2.66,960100,2.44,0.03000000000000025
2014-02-21,2.68,2.69,2.58,2.59,1129900,2.38,-0.0900000000000003
2014-02-24,2.64,2.67,2.6,2.65,1328300,2.43,0.009999999999999787
2014-02-25,2.67,2.72,2.65,2.71,1063500,2.49,0.040000000000000036
2014-02-26,2.69,2.71,2.61,2.62,803100,2.43,-0.06999999999999984
2014-02-27,2.62,2.62,2.43,2.51,2080200,2.33,-0.11000000000000032
2014-02-28,2.69,2.75,2.59,2.6,2552100,2.41,-0.08999999999999986
2014-03-03,2.58,2.66,2.54,2.6,1264000,2.41,0.020000000000000018
2014-03-04,2.65,2.74,2.64,2.7,2030200,2.51,0.050000000000000266
2014-03-05,2.72,2.84,2.65,2.69,1952700,2.5,-0.03000000000000025
2014-03-06,2.73,2.84,2.71,2.82,1778300,2.62,0.08999999999999986
2014-03-07,2.81,2.88,2.8,2.86,1176400,2.66,0.04999999999999982
2014-03-10,2.87,2.87,2.76,2.81,1413400,2.61,-0.06000000000000005
2014-03-11,2.83,2.84,2.78,2.81,1019100,2.61,-0.020000000000000018
2014-03-12,2.81,2.82,2.72,2.76,849600,2.56,-0.050000000000000266
2014-03-13,2.75,2.78,2.7,2.74,706600,2.54,-0.009999999999999787
2014-03-14,2.75,2.83,2.75,2.8,971500,2.6,0.04999999999999982
2014-03-17,2.82,2.95,2.81,2.9,1192600,2.69,0.08000000000000007
2014-03-18,2.96,2.98,2.83,2.86,1173600,2.66,-0.10000000000000009
2014-03-19,2.84,2.86,2.73,2.77,1234100,2.57,-0.06999999999999984
2014-03-20,2.75,2.76,2.67,2.69,969300,2.5,-0.06000000000000005
2014-03-21,2.7,2.76,2.6,2.64,2941100,2.45,-0.06000000000000005
2014-03-24,2.66,2.72,2.64,2.71,1041600,2.52,0.04999999999999982
2014-03-25,2.7,3.0,2.67,2.97,2531300,2.76,0.27
2014-03-26,2.99,3.01,2.85,2.85,1435300,2.65,-0.14000000000000012
2014-03-27,2.86,2.89,2.76,2.85,788800,2.67,-0.009999999999999787
2014-03-28,2.85,2.92,2.82,2.86,814700,2.68,0.009999999999999787
