Date,open,high,low,close,volume,adj_close,diff
2014-01-02,23.57,23.75,22.77,23.0,138800,21.85,-0.5700000000000003
2014-01-03,22.94,23.32,22.81,23.16,141600,22.0,0.21999999999999886
2014-01-06,23.16,23.37,22.85,23.31,162800,22.14,0.14999999999999858
2014-01-07,23.3,23.89,22.74,23.77,164700,22.58,0.46999999999999886
2014-01-08,23.8,23.8,23.32,23.66,126000,22.47,-0.14000000000000057
2014-01-09,23.65,23.95,23.46,23.93,78300,22.73,0.28000000000000114
2014-01-10,23.93,24.4,23.9,24.2,123800,22.99,0.2699999999999996
2014-01-13,24.09,24.3,23.71,23.85,76900,22.65,-0.23999999999999844
2014-01-14,23.84,24.41,23.79,24.09,40600,22.88,0.25
2014-01-15,24.05,24.2,23.87,24.11,72500,22.9,0.05999999999999872
2014-01-16,24.42,24.42,23.96,24.2,115100,22.99,-0.22000000000000242
2014-01-17,24.08,24.29,23.88,24.03,64500,22.82,-0.04999999999999716
2014-01-21,24.07,24.52,23.82,24.51,128000,23.28,0.4400000000000013
2014-01-22,24.61,24.8,24.39,24.52,67900,23.29,-0.08999999999999986
2014-01-23,24.43,24.61,24.14,24.43,129000,23.2,0.0
2014-01-24,24.28,24.53,24.02,24.24,151000,23.02,-0.0400000000000027
2014-01-27,24.32,24.35,23.92,24.01,63200,22.81,-0.3099999999999987
2014-01-28,23.97,24.57,23.88,24.55,75000,23.32,0.5800000000000018
2014-01-29,24.4,24.62,24.22,24.48,60800,23.25,0.08000000000000185
2014-01-30,24.59,25.06,24.4,24.5,85500,23.27,-0.08999999999999986
2014-01-31,24.24,24.61,24.19,24.39,73600,23.17,0.15000000000000213
2014-02-03,24.32,24.75,23.71,23.91,126900,22.71,-0.41000000000000014
2014-02-04,23.93,24.1,23.69,23.99,315500,22.79,0.05999999999999872
2014-02-05,23.96,24.05,23.56,23.63,108600,22.44,-0.33000000000000185
2014-02-06,23.67,23.77,23.5,23.6,81100,22.42,-0.07000000000000028
2014-02-07,23.63,23.81,23.45,23.57,111900,22.39,-0.05999999999999872
2014-02-10,23.56,23.77,23.49,23.71,82500,22.52,0.15000000000000213
2014-02-11,23.68,24.13,23.66,23.93,49400,22.73,0.25
2014-02-12,23.94,24.05,23.75,23.83,41100,22.63,-0.11000000000000298
2014-02-13,23.72,24.02,23.54,23.91,82500,22.71,0.19000000000000128
2014-02-14,23.95,23.99,23.74,23.92,40400,22.72,-0.029999999999997584
2014-02-18,23.92,24.05,23.72,23.92,104900,22.72,0.0
2014-02-19,23.84,24.15,23.81,23.97,79400,22.77,0.129999999999999
2014-02-20,24.02,24.78,23.97,24.76,232300,23.52,0.740000000000002
2014-02-21,24.75,24.96,24.5,24.75,136000,23.51,0.0
