Date,open,high,low,close,volume,adj_close,diff
2014-01-02,13.4,13.4,13.17,13.26,63500,12.73,-0.14000000000000057
2014-01-03,13.26,13.33,13.21,13.27,31400,12.74,0.009999999999999787
2014-01-06,13.26,13.32,13.09,13.09,39600,12.56,-0.16999999999999993
2014-01-07,13.1,13.24,13.1,13.23,90800,12.7,0.13000000000000078
2014-01-08,13.25,13.31,13.12,13.29,180700,12.75,0.03999999999999915
2014-01-09,13.29,13.38,13.23,13.27,89900,12.74,-0.019999999999999574
2014-01-10,13.34,13.34,13.18,13.25,75700,12.72,-0.08999999999999986
2014-01-13,13.23,13.28,13.18,13.24,56300,12.71,0.009999999999999787
2014-01-14,13.26,13.26,13.15,13.23,184600,12.7,-0.02999999999999936
2014-01-15,13.24,13.68,13.23,13.49,267800,12.95,0.25
2014-01-16,13.42,13.5,13.4,13.45,38800,12.91,0.02999999999999936
2014-01-17,13.26,13.46,13.26,13.36,105500,12.82,0.09999999999999964
2014-01-21,13.48,13.59,13.39,13.53,89800,12.98,0.049999999999998934
2014-01-22,13.52,13.76,13.52,13.76,52100,13.21,0.2400000000000002
2014-01-23,13.72,13.91,13.68,13.84,193600,13.28,0.11999999999999922
2014-01-24,13.74,13.84,13.43,13.53,126500,12.98,-0.21000000000000085
2014-01-27,13.5,13.54,13.27,13.31,88900,12.77,-0.1899999999999995
2014-01-28,13.28,13.4,13.17,13.22,67300,12.69,-0.05999999999999872
2014-01-29,13.15,13.15,12.76,12.79,108100,12.27,-0.3600000000000012
2014-01-30,12.87,12.96,12.78,12.83,68700,12.31,-0.03999999999999915
2014-01-31,12.65,12.86,12.55,12.7,70700,12.19,0.049999999999998934
2014-02-03,12.64,12.99,12.64,12.87,182400,12.35,0.22999999999999865
2014-02-04,12.96,13.12,12.92,13.01,163800,12.49,0.049999999999998934
2014-02-05,13.0,13.14,12.91,12.99,211200,12.47,-0.009999999999999787
2014-02-06,13.05,13.44,13.0,13.07,87700,12.54,0.019999999999999574
2014-02-07,13.09,13.09,12.89,12.94,133900,12.42,-0.15000000000000036
2014-02-10,12.98,13.07,12.83,12.97,62200,12.45,-0.009999999999999787
2014-02-11,13.0,13.16,12.9,13.1,76000,12.57,0.09999999999999964
2014-02-12,13.12,13.25,12.89,12.95,135700,12.43,-0.16999999999999993
2014-02-13,12.95,12.95,12.69,12.75,64800,12.24,-0.1999999999999993
2014-02-14,12.78,13.05,12.78,12.91,29300,12.39,0.13000000000000078
2014-02-18,12.95,13.02,12.83,12.97,89000,12.45,0.02000000000000135
2014-02-19,12.89,12.94,12.57,12.6,63700,12.09,-0.2900000000000009
2014-02-20,12.58,12.84,12.51,12.68,89300,12.17,0.09999999999999964
2014-02-21,12.68,12.85,12.65,12.74,82000,12.23,0.0600000000000005
2014-02-24,12.8,12.94,12.8,12.9,52000,12.38,0.09999999999999964
2014-02-25,12.82,13.13,12.75,12.81,94800,12.29,-0.009999999999999787
2014-02-26,12.8,12.97,12.61,12.71,59400,12.2,-0.08999999999999986
2014-02-27,12.69,12.86,12.68,12.84,66100,12.32,0.15000000000000036
2014-02-28,12.9,13.16,12.76,12.79,71700,12.27,-0.11000000000000121
2014-03-03,12.76,12.8,12.63,12.73,27800,12.22,-0.02999999999999936
2014-03-04,12.89,13.35,12.67,13.25,92200,12.72,0.35999999999999943
2014-03-05,13.22,13.35,13.2,13.33,55100,12.79,0.10999999999999943
2014-03-06,13.31,13.33,13.25,13.28,46000,12.74,-0.030000000000001137
2014-03-07,13.35,13.35,13.05,13.14,25600,12.61,-0.20999999999999908
2014-03-10,13.04,13.08,12.68,13.07,118000,12.54,0.030000000000001137
2014-03-11,13.0,13.16,13.0,13.03,53800,12.5,0.02999999999999936
2014-03-12,12.94,13.27,12.94,13.25,48900,12.83,0.3100000000000005
2014-03-13,13.21,13.21,12.79,13.0,83600,12.59,-0.21000000000000085
2014-03-14,13.29,13.32,12.9,12.92,81500,12.51,-0.3699999999999992
2014-03-17,12.89,12.9,12.54,12.75,281900,12.35,-0.14000000000000057
2014-03-18,12.69,12.82,12.55,12.6,155500,12.2,-0.08999999999999986
2014-03-19,12.35,12.58,12.07,12.57,243900,12.18,0.22000000000000064
2014-03-20,12.34,12.49,12.29,12.41,76500,12.02,0.07000000000000028
2014-03-21,12.42,12.49,12.37,12.45,107100,12.06,0.02999999999999936
2014-03-24,12.48,12.48,12.21,12.26,159600,11.88,-0.22000000000000064
2014-03-25,12.3,12.43,12.25,12.32,52700,11.93,0.019999999999999574
2014-03-26,12.39,12.43,12.15,12.17,138700,11.79,-0.22000000000000064
2014-03-27,12.15,12.2,12.1,12.14,165600,11.76,-0.009999999999999787
2014-03-28,12.13,12.26,12.0,12.0,78700,11.62,-0.13000000000000078
2014-03-31,12.05,12.31,12.05,12.27,117200,11.89,0.21999999999999886
2014-04-01,12.32,12.37,12.18,12.29,81600,11.9,-0.030000000000001137
2014-04-02,12.34,12.39,12.18,12.28,39800,11.89,-0.0600000000000005
2014-04-03,12.23,12.48,12.18,12.34,62800,11.95,0.10999999999999943
2014-04-04,12.37,12.48,12.05,12.33,87900,11.94,-0.03999999999999915
2014-04-07,12.33,12.35,12.03,12.26,63200,11.88,-0.07000000000000028
2014-04-08,12.01,12.06,11.9,12.04,412200,11.66,0.02999999999999936
2014-04-09,11.97,12.07,11.92,12.07,95800,11.69,0.09999999999999964
2014-04-10,12.01,12.06,11.88,11.88,114900,11.51,-0.129999999999999
2014-04-11,11.85,11.98,11.77,11.81,174200,11.44,-0.03999999999999915
2014-04-14,11.88,11.92,11.7,11.79,93100,11.42,-0.09000000000000163
2014-04-15,11.79,11.93,11.65,11.76,230900,11.39,-0.02999999999999936
2014-04-16,11.85,12.07,11.84,12.05,102000,11.67,0.20000000000000107
2014-04-17,12.05,12.25,11.94,12.16,48600,11.78,0.10999999999999943
2014-04-21,12.18,12.22,12.0,12.04,53500,11.66,-0.14000000000000057
2014-04-22,12.27,12.27,12.05,12.23,69300,11.85,-0.03999999999999915
2014-04-23,12.34,12.63,12.18,12.34,183200,11.95,0.0
2014-04-24,12.46,12.75,12.35,12.71,226300,12.31,0.25
2014-04-25,12.64,12.85,12.52,12.57,137100,12.18,-0.07000000000000028
2014-04-28,12.57,12.73,12.47,12.61,124100,12.21,0.03999999999999915
2014-04-29,12.63,12.65,12.57,12.6,165700,12.2,-0.030000000000001137
2014-04-30,12.58,12.67,12.4,12.57,107400,12.18,-0.009999999999999787
2014-05-01,12.6,12.61,12.4,12.56,110900,12.17,-0.03999999999999915
2014-05-02,12.6,12.64,12.34,12.41,161500,12.02,-0.1899999999999995
2014-05-05,12.32,12.32,12.01,12.13,59000,11.75,-0.1899999999999995
2014-05-06,12.11,12.15,11.83,11.83,55800,11.46,-0.27999999999999936
2014-05-07,11.85,11.9,11.53,11.86,77700,11.49,0.009999999999999787
