Date,open,high,low,close,volume,adj_close,diff
2014-01-02,23.05,23.05,22.68,22.68,223500,22.68,-0.370000000000001
2014-01-03,22.68,22.85,22.68,22.8,158300,22.8,0.120000000000001
2014-01-06,22.83,22.92,22.46,22.62,229000,22.62,-0.2099999999999973
2014-01-07,22.74,22.91,22.62,22.67,156100,22.67,-0.06999999999999673
2014-01-08,22.63,22.71,22.5,22.59,226000,22.59,-0.03999999999999915
2014-01-09,22.7,22.76,22.32,22.42,184400,22.42,-0.2799999999999976
2014-01-10,22.49,22.52,22.33,22.51,281800,22.51,0.020000000000003126
2014-01-13,22.4,22.57,22.4,22.51,414400,22.51,0.11000000000000298
2014-01-14,22.93,23.2,22.81,23.2,803400,23.2,0.2699999999999996
2014-01-15,23.28,24.51,23.24,24.5,532200,24.5,1.2199999999999989
2014-01-16,24.43,24.54,24.03,24.05,371100,24.05,-0.379999999999999
2014-01-17,24.01,24.29,24.01,24.04,245200,24.04,0.029999999999997584
2014-01-21,24.1,24.33,24.03,24.32,223700,24.32,0.21999999999999886
2014-01-22,24.25,24.51,24.23,24.45,197100,24.45,0.1999999999999993
2014-01-23,24.3,24.47,23.84,23.88,400900,23.88,-0.4200000000000017
2014-01-24,23.73,23.77,23.33,23.37,299800,23.37,-0.35999999999999943
2014-01-27,23.37,23.48,23.12,23.16,133800,23.16,-0.21000000000000085
2014-01-28,23.23,23.31,23.06,23.29,195300,23.29,0.05999999999999872
2014-01-29,23.11,23.28,22.91,23.0,162100,23.0,-0.10999999999999943
2014-01-30,23.27,23.33,22.93,22.98,270400,22.98,-0.28999999999999915
2014-01-31,22.6,23.05,22.51,22.73,211500,22.73,0.129999999999999
2014-02-03,22.72,22.94,22.01,22.07,287200,22.07,-0.6499999999999986
2014-02-04,24.54,24.54,22.37,22.53,384900,22.53,-2.009999999999998
2014-02-05,23.19,23.47,22.56,22.66,369000,22.66,-0.5300000000000011
2014-02-06,22.66,22.81,22.45,22.62,282600,22.62,-0.03999999999999915
2014-02-07,22.65,22.74,22.48,22.58,198700,22.58,-0.07000000000000028
2014-02-10,22.57,22.6,22.26,22.5,218200,22.5,-0.07000000000000028
2014-02-11,22.52,22.79,22.39,22.77,165200,22.77,0.25
2014-02-12,22.76,23.0,22.73,22.94,150000,22.94,0.17999999999999972
2014-02-13,22.8,23.07,22.74,22.99,206600,22.99,0.18999999999999773
2014-02-14,23.03,23.06,22.85,23.0,184700,23.0,-0.030000000000001137
2014-02-18,23.05,23.36,22.85,23.31,284400,23.31,0.259999999999998
2014-02-19,23.26,23.95,23.11,23.6,497900,23.6,0.33999999999999986
2014-02-20,23.59,23.85,23.5,23.78,238100,23.78,0.19000000000000128
2014-02-21,23.89,23.89,23.65,23.73,311300,23.73,-0.16000000000000014
2014-02-24,23.8,23.85,23.6,23.62,252600,23.62,-0.17999999999999972
2014-02-25,23.63,23.75,23.5,23.69,332500,23.69,0.060000000000002274
2014-02-26,23.74,24.08,23.65,23.85,272200,23.85,0.11000000000000298
2014-02-27,23.74,23.87,23.63,23.75,344000,23.75,0.010000000000001563
2014-02-28,23.82,24.08,23.76,23.84,378100,23.84,0.019999999999999574
2014-03-03,23.55,23.91,23.25,23.62,306500,23.62,0.07000000000000028
2014-03-04,23.97,24.58,23.96,24.18,697200,24.18,0.21000000000000085
2014-03-05,24.22,24.42,24.16,24.3,275200,24.3,0.08000000000000185
2014-03-06,24.24,24.47,24.21,24.36,329900,24.36,0.120000000000001
2014-03-07,24.53,24.54,24.23,24.49,306300,24.49,-0.0400000000000027
2014-03-10,24.49,24.64,24.23,24.52,232800,24.52,0.030000000000001137
2014-03-11,24.57,24.57,23.85,23.93,204000,23.93,-0.6400000000000006
2014-03-12,23.82,23.9,23.66,23.87,217200,23.87,0.05000000000000071
2014-03-13,23.9,23.98,23.39,23.51,212800,23.51,-0.389999999999997
2014-03-14,23.43,23.75,23.43,23.5,215700,23.5,0.07000000000000028
2014-03-17,23.66,23.7,23.42,23.51,384100,23.51,-0.14999999999999858
2014-03-18,23.46,23.62,23.46,23.56,447100,23.56,0.09999999999999787
2014-03-19,23.5,23.62,23.3,23.47,322400,23.47,-0.030000000000001137
2014-03-20,23.48,23.6,23.35,23.49,178500,23.49,0.00999999999999801
2014-03-21,23.52,23.9,23.47,23.56,384900,23.56,0.03999999999999915
2014-03-24,23.62,23.82,23.21,23.47,217300,23.47,-0.15000000000000213
2014-03-25,23.62,23.8,23.42,23.57,183300,23.57,-0.05000000000000071
2014-03-26,23.72,23.74,22.88,22.89,242800,22.89,-0.8299999999999983
2014-03-27,22.86,23.09,22.53,22.6,374000,22.6,-0.259999999999998
2014-03-28,22.63,22.78,22.51,22.57,319400,22.57,-0.05999999999999872
2014-03-31,22.69,22.88,22.57,22.65,594000,22.65,-0.0400000000000027
2014-04-01,22.71,22.9,22.64,22.77,442800,22.77,0.05999999999999872
2014-04-02,22.84,23.13,22.8,23.01,537000,23.01,0.1700000000000017
2014-04-03,23.08,23.4,23.02,23.2,729200,23.2,0.120000000000001
2014-04-04,23.39,23.5,23.02,23.22,560200,23.22,-0.1700000000000017
2014-04-07,23.2,23.48,23.11,23.39,563200,23.39,0.19000000000000128
2014-04-08,23.44,23.67,23.29,23.36,301700,23.36,-0.08000000000000185
2014-04-09,23.5,23.66,23.18,23.63,214100,23.63,0.129999999999999
2014-04-10,23.63,23.8,23.01,23.07,309000,23.07,-0.5599999999999987
2014-04-11,22.87,23.15,22.44,22.49,264500,22.49,-0.38000000000000256
2014-04-14,22.73,22.73,21.95,22.07,308500,22.07,-0.6600000000000001
2014-04-15,22.11,22.42,21.66,22.34,428500,22.34,0.23000000000000043
2014-04-16,22.49,22.49,22.2,22.45,177400,22.45,-0.03999999999999915
2014-04-17,22.48,22.94,22.35,22.88,237400,22.88,0.3999999999999986
2014-04-21,22.92,23.04,22.53,22.98,208900,22.98,0.05999999999999872
2014-04-22,23.12,24.32,23.04,24.21,746800,24.21,1.0899999999999999
2014-04-23,24.28,24.39,23.87,23.88,377100,23.88,-0.40000000000000213
2014-04-24,24.04,24.11,22.76,24.03,754000,24.03,-0.00999999999999801
2014-04-25,24.06,24.61,23.81,23.87,434400,23.87,-0.18999999999999773
2014-04-28,24.0,24.0,23.03,23.26,400900,23.26,-0.7399999999999984
2014-04-29,23.42,23.55,23.02,23.08,547100,23.08,-0.3400000000000034
2014-04-30,23.02,23.26,22.61,23.18,378200,23.18,0.16000000000000014
2014-05-01,23.22,23.4,22.74,22.91,357800,22.91,-0.3099999999999987
2014-05-02,23.0,23.29,22.83,23.16,235300,23.16,0.16000000000000014
2014-05-05,23.06,23.17,22.74,23.1,172700,23.1,0.0400000000000027
2014-05-06,22.94,23.11,22.51,22.6,269800,22.6,-0.33999999999999986
2014-05-07,22.55,22.75,22.17,22.75,247700,22.75,0.1999999999999993
2014-05-08,22.69,23.04,22.6,22.65,254600,22.65,-0.0400000000000027
2014-05-09,22.57,23.05,22.48,23.0,230300,23.0,0.4299999999999997
2014-05-12,23.11,23.64,23.11,23.48,253900,23.48,0.370000000000001
2014-05-13,23.5,23.53,23.14,23.14,287800,23.14,-0.35999999999999943
2014-05-14,23.13,23.13,22.45,22.45,273700,22.45,-0.6799999999999997
2014-05-15,22.46,22.53,22.06,22.37,280400,22.37,-0.08999999999999986
