Date,open,high,low,close,volume,adj_close,diff
2014-01-02,15.77,15.85,15.63,15.69,18800,15.07,-0.08000000000000007
2014-01-03,15.79,15.79,15.69,15.74,8900,15.12,-0.049999999999998934
2014-01-06,15.7,15.89,15.7,15.78,4500,15.16,0.08000000000000007
2014-01-07,15.82,15.95,15.82,15.91,21600,15.28,0.08999999999999986
2014-01-08,15.83,15.88,15.83,15.85,1400,15.22,0.019999999999999574
2014-01-09,15.83,16.0,15.83,15.93,9500,15.3,0.09999999999999964
2014-01-10,15.86,16.02,15.86,15.9,11900,15.27,0.040000000000000924
2014-01-13,15.83,15.98,15.83,15.84,9700,15.26,0.009999999999999787
2014-01-14,15.81,16.04,15.81,15.93,7200,15.35,0.11999999999999922
2014-01-15,15.89,15.92,15.84,15.92,7600,15.34,0.02999999999999936
2014-01-16,15.85,15.86,15.84,15.85,5800,15.27,0.0
2014-01-17,15.85,15.85,15.85,15.85,0,15.27,0.0
2014-01-21,15.93,15.93,15.88,15.9,4000,15.32,-0.02999999999999936
2014-01-22,15.89,16.02,15.86,15.91,3900,15.33,0.019999999999999574
2014-01-23,15.86,16.08,15.86,16.0,6600,15.42,0.14000000000000057
2014-01-24,16.01,16.14,16.01,16.09,20500,15.5,0.0799999999999983
2014-01-27,16.02,16.11,16.01,16.03,2400,15.45,0.010000000000001563
2014-01-28,15.96,16.09,15.96,16.0,16000,15.42,0.03999999999999915
2014-01-29,16.05,16.05,15.96,15.96,3700,15.38,-0.08999999999999986
2014-01-30,16.04,16.18,15.96,16.18,5500,15.59,0.14000000000000057
2014-01-31,16.03,16.42,16.03,16.39,9500,15.79,0.35999999999999943
2014-02-03,16.45,16.5,16.12,16.25,22600,15.66,-0.1999999999999993
2014-02-04,16.16,16.23,16.02,16.09,27900,15.5,-0.07000000000000028
2014-02-05,15.99,16.06,15.96,16.05,10400,15.47,0.0600000000000005
2014-02-06,16.0,16.17,16.0,16.15,8800,15.56,0.14999999999999858
2014-02-07,16.24,16.24,16.16,16.22,7100,15.63,-0.019999999999999574
2014-02-10,16.2,16.34,16.2,16.32,4400,15.73,0.120000000000001
2014-02-11,16.33,16.35,16.32,16.34,7600,15.75,0.010000000000001563
2014-02-12,16.35,16.4,16.17,16.29,8500,15.75,-0.060000000000002274
2014-02-13,16.33,16.41,16.33,16.41,700,15.86,0.08000000000000185
2014-02-14,16.33,16.41,16.31,16.41,700,15.86,0.08000000000000185
2014-02-18,16.48,16.48,16.19,16.35,6100,15.8,-0.129999999999999
2014-02-19,16.26,16.35,16.19,16.35,8600,15.8,0.08999999999999986
2014-02-20,16.31,16.33,16.3,16.3,5500,15.76,-0.00999999999999801
2014-02-21,16.36,16.36,15.96,16.0,39300,15.47,-0.35999999999999943
2014-02-24,16.01,16.05,16.0,16.03,4100,15.49,0.019999999999999574
2014-02-25,16.01,16.05,15.98,15.98,9000,15.45,-0.030000000000001137
2014-02-26,16.02,16.07,15.99,16.07,22600,15.53,0.05000000000000071
2014-02-27,16.19,16.19,16.09,16.12,6600,15.58,-0.07000000000000028
2014-02-28,16.18,16.18,16.14,16.14,4100,15.6,-0.03999999999999915
2014-03-03,16.15,16.15,16.08,16.15,5100,15.61,0.0
2014-03-04,16.15,16.18,16.1,16.16,10300,15.62,0.010000000000001563
2014-03-05,16.19,16.23,16.15,16.23,2400,15.69,0.03999999999999915
2014-03-06,16.25,16.25,16.14,16.14,9200,15.6,-0.10999999999999943
2014-03-07,16.15,16.21,16.14,16.18,17100,15.64,0.030000000000001137
2014-03-10,16.14,16.24,16.14,16.2,8100,15.66,0.05999999999999872
2014-03-11,16.17,16.17,16.14,16.14,3000,15.6,-0.030000000000001137
2014-03-12,16.15,16.22,16.13,16.22,14500,15.72,0.07000000000000028
2014-03-13,16.17,16.18,16.12,16.13,15100,15.63,-0.0400000000000027
2014-03-14,16.2,16.2,16.03,16.06,26000,15.57,-0.14000000000000057
2014-03-17,16.05,16.2,16.03,16.15,6900,15.65,0.09999999999999787
2014-03-18,16.2,16.21,16.12,16.2,7500,15.7,0.0
2014-03-19,16.23,16.35,16.2,16.2,26500,15.7,-0.030000000000001137
2014-03-20,16.13,16.23,16.11,16.22,7200,15.72,0.08999999999999986
2014-03-21,16.18,16.3,16.07,16.07,19200,15.57,-0.10999999999999943
2014-03-24,16.07,16.25,16.07,16.14,3800,15.64,0.07000000000000028
2014-03-25,16.21,16.21,16.05,16.08,24500,15.58,-0.13000000000000256
2014-03-26,16.15,16.24,16.12,16.24,20300,15.74,0.08999999999999986
2014-03-27,16.2,16.23,16.11,16.11,10800,15.61,-0.08999999999999986
2014-03-28,16.13,16.13,16.02,16.03,4500,15.54,-0.09999999999999787
2014-03-31,16.01,16.09,15.81,15.83,32200,15.34,-0.1800000000000015
2014-04-01,15.93,16.16,15.86,15.9,47000,15.41,-0.02999999999999936
2014-04-02,15.96,16.06,15.82,15.93,27600,15.44,-0.030000000000001137
2014-04-03,16.07,16.07,15.87,15.91,43400,15.42,-0.16000000000000014
2014-04-04,15.92,16.06,15.91,15.91,27200,15.42,-0.009999999999999787
2014-04-07,15.94,16.08,15.94,16.03,16600,15.54,0.09000000000000163
