Date,open,high,low,close,volume,adj_close,diff
2014-01-02,43.08,43.75,42.3,43.22,31300,42.29,0.14000000000000057
2014-01-03,43.22,43.42,42.72,43.25,6500,42.31,0.030000000000001137
2014-01-06,42.71,42.97,41.95,42.41,22800,41.49,-0.30000000000000426
2014-01-07,42.41,43.96,42.41,43.95,11500,43.0,1.5400000000000063
2014-01-08,43.79,44.0,42.6,43.5,29000,42.56,-0.28999999999999915
2014-01-09,43.55,43.94,42.83,43.75,19000,42.8,0.20000000000000284
2014-01-10,43.87,44.75,43.75,44.5,35000,43.54,0.6300000000000026
2014-01-13,44.46,45.12,44.46,44.61,17500,43.65,0.14999999999999858
2014-01-14,44.61,45.17,44.39,44.79,18900,43.82,0.17999999999999972
2014-01-15,44.86,45.2,44.76,44.77,7900,43.8,-0.0899999999999963
2014-01-16,44.9,44.99,44.2,44.45,4900,43.49,-0.44999999999999574
2014-01-17,44.54,44.59,44.19,44.32,4800,43.36,-0.21999999999999886
2014-01-21,44.72,44.72,43.62,44.05,5600,43.1,-0.6700000000000017
2014-01-22,44.05,44.05,43.86,44.05,6000,43.1,0.0
2014-01-23,44.0,44.39,43.9,44.07,6600,43.12,0.07000000000000028
2014-01-24,43.61,43.95,43.5,43.89,14000,42.94,0.28000000000000114
2014-01-27,43.9,44.56,43.08,43.43,27400,42.49,-0.46999999999999886
2014-01-28,43.95,44.99,42.01,43.74,44400,42.79,-0.21000000000000085
2014-01-29,43.52,43.73,43.34,43.41,25300,42.47,-0.11000000000000654
2014-01-30,43.73,44.73,43.73,44.3,19400,43.34,0.5700000000000003
2014-01-31,43.61,44.42,43.45,44.23,20700,43.27,0.6199999999999974
2014-02-03,44.24,44.56,43.51,43.81,53900,42.86,-0.4299999999999997
2014-02-04,44.65,44.65,43.45,43.81,26200,42.86,-0.8399999999999963
2014-02-05,43.51,44.34,43.01,43.26,14500,42.51,-0.25
2014-02-06,43.38,43.38,41.59,42.02,15400,41.29,-1.3599999999999994
2014-02-07,42.0,44.05,42.0,43.48,40300,42.72,1.4799999999999969
2014-02-10,43.48,43.86,42.54,43.19,42000,42.44,-0.28999999999999915
2014-02-11,43.37,44.32,42.85,43.94,45000,43.18,0.5700000000000003
2014-02-12,44.19,44.19,43.47,43.98,15000,43.22,-0.21000000000000085
2014-02-13,43.65,44.1,43.0,43.35,34500,42.6,-0.29999999999999716
2014-02-14,43.47,44.09,43.31,44.06,7600,43.29,0.5900000000000034
2014-02-18,44.06,44.49,44.06,44.34,15000,43.57,0.28000000000000114
2014-02-19,44.19,44.43,43.0,43.01,10600,42.26,-1.1799999999999997
2014-02-20,43.02,43.47,42.9,43.47,5600,42.71,0.44999999999999574
2014-02-21,43.41,44.22,42.92,43.33,12400,42.58,-0.0799999999999983
2014-02-24,42.86,43.5,42.86,43.46,12700,42.71,0.6000000000000014
2014-02-25,43.31,43.43,43.01,43.21,6500,42.46,-0.10000000000000142
2014-02-26,43.07,43.46,43.05,43.38,6600,42.63,0.3100000000000023
2014-02-27,43.25,44.19,43.03,44.16,7100,43.39,0.9099999999999966
2014-02-28,44.01,44.56,43.71,44.23,18800,43.46,0.21999999999999886
2014-03-03,43.88,44.2,43.1,43.25,15400,42.5,-0.6300000000000026
2014-03-04,43.86,43.96,43.03,43.5,25500,42.74,-0.35999999999999943
2014-03-05,43.32,43.96,43.27,43.65,14500,42.89,0.3299999999999983
2014-03-06,43.67,43.98,43.62,43.85,5500,43.09,0.17999999999999972
2014-03-07,44.0,44.39,43.6,44.1,19200,43.33,0.10000000000000142
2014-03-10,43.85,44.49,43.7,44.43,16900,43.66,0.5799999999999983
2014-03-11,44.35,44.45,43.71,44.25,13600,43.48,-0.10000000000000142
2014-03-12,44.06,44.74,43.93,44.74,10700,43.96,0.6799999999999997
2014-03-13,44.74,45.01,44.47,44.68,18800,43.9,-0.060000000000002274
2014-03-14,44.6,44.99,44.6,44.72,5100,43.94,0.11999999999999744
2014-03-17,44.85,45.0,44.75,44.87,7500,44.09,0.01999999999999602
2014-03-18,44.8,46.09,44.75,45.48,15900,44.69,0.6799999999999997
2014-03-19,45.28,45.28,44.81,44.83,3800,44.05,-0.45000000000000284
2014-03-20,44.8,45.19,44.75,44.92,15600,44.14,0.12000000000000455
2014-03-21,45.0,45.19,44.82,45.0,24400,44.22,0.0
2014-03-24,44.98,45.32,44.9,44.92,18700,44.14,-0.05999999999999517
2014-03-25,45.0,45.56,44.9,45.29,6200,44.5,0.28999999999999915
2014-03-26,45.32,46.09,44.93,45.06,22900,44.28,-0.259999999999998
2014-03-27,44.96,45.42,43.8,45.0,23300,44.22,0.03999999999999915
2014-03-28,45.22,45.22,45.0,45.1,6900,44.32,-0.11999999999999744
2014-03-31,45.0,45.35,45.0,45.06,21900,44.28,0.060000000000002274
2014-04-01,45.06,46.09,45.01,45.88,13900,45.08,0.8200000000000003
2014-04-02,45.92,47.0,45.9,46.75,6100,45.94,0.8299999999999983
2014-04-03,46.52,47.0,45.77,46.01,11500,45.21,-0.5100000000000051
2014-04-04,46.29,47.97,45.0,45.01,10400,44.23,-1.2800000000000011
2014-04-07,45.0,45.1,44.7,45.01,7700,44.23,0.00999999999999801
2014-04-08,45.0,45.67,44.95,45.0,18300,44.22,0.0
2014-04-09,45.51,45.51,45.01,45.02,11900,44.24,-0.4899999999999949
2014-04-10,45.15,45.17,44.85,44.9,17800,44.12,-0.25
2014-04-11,44.9,45.39,44.75,45.0,14100,44.22,0.10000000000000142
2014-04-14,45.46,45.46,45.0,45.1,10200,44.32,-0.35999999999999943
2014-04-15,45.31,45.38,44.75,45.06,11800,44.28,-0.25
2014-04-16,45.51,46.01,45.0,45.28,9300,44.49,-0.22999999999999687
2014-04-17,45.06,45.55,45.04,45.27,6700,44.48,0.21000000000000085
2014-04-21,45.12,45.7,44.9,45.06,9900,44.28,-0.05999999999999517
2014-04-22,44.9,45.59,44.57,45.59,13000,44.8,0.6900000000000048
2014-04-23,45.74,46.77,45.0,45.74,10100,44.95,0.0
2014-04-24,45.46,46.27,45.44,45.51,8400,44.72,0.04999999999999716
2014-04-25,45.5,45.55,45.25,45.27,26500,44.48,-0.22999999999999687
2014-04-28,45.31,45.65,45.31,45.65,7700,44.86,0.3399999999999963
2014-04-29,46.0,46.38,45.5,45.61,6600,44.82,-0.39000000000000057
2014-04-30,45.5,45.79,45.32,45.41,22100,44.81,-0.09000000000000341
2014-05-01,45.5,45.63,44.62,44.68,16100,44.09,-0.8200000000000003
2014-05-02,44.69,45.2,43.97,44.54,30000,43.95,-0.14999999999999858
2014-05-05,44.48,45.64,43.5,44.0,14400,43.42,-0.4799999999999969
2014-05-06,44.02,44.41,43.51,43.54,17100,42.96,-0.480000000000004
2014-05-07,43.51,43.8,43.14,43.53,15400,42.95,0.020000000000003126
2014-05-08,43.47,43.64,42.92,43.03,7400,42.46,-0.4399999999999977
2014-05-09,42.89,43.84,42.89,43.59,7700,43.01,0.7000000000000028
2014-05-12,43.7,44.79,43.41,44.59,8100,44.0,0.8900000000000006
2014-05-13,43.84,44.45,43.55,43.97,23900,43.39,0.12999999999999545
2014-05-14,43.58,43.63,42.74,42.9,13500,42.33,-0.6799999999999997
2014-05-15,42.8,43.63,42.5,43.39,25900,42.81,0.5900000000000034
2014-05-16,43.38,43.95,42.74,43.2,11600,42.63,-0.17999999999999972
2014-05-19,43.68,43.68,43.11,43.48,3100,42.9,-0.20000000000000284
2014-05-20,43.02,43.09,42.76,42.83,17000,42.26,-0.19000000000000483
2014-05-21,42.72,43.06,42.49,42.98,18700,42.41,0.259999999999998
2014-05-22,42.79,44.05,42.79,43.67,31900,43.09,0.8800000000000026
2014-05-23,43.48,44.19,43.1,43.8,28700,43.22,0.3200000000000003
2014-05-27,44.07,44.62,43.21,44.04,22500,43.46,-0.030000000000001137
2014-05-28,43.6,44.41,43.6,43.92,17700,43.34,0.3200000000000003
2014-05-29,44.13,44.4,43.5,43.88,13600,43.3,-0.25
2014-05-30,44.06,44.3,43.25,43.26,4300,42.69,-0.8000000000000043
2014-06-02,43.32,44.33,43.3,43.52,18700,42.94,0.20000000000000284
2014-06-03,43.56,44.1,43.06,43.35,16100,42.78,-0.21000000000000085
2014-06-04,43.13,43.94,42.75,43.65,31900,43.07,0.519999999999996
2014-06-05,43.74,44.8,43.11,44.17,30700,43.58,0.4299999999999997
2014-06-06,44.49,45.0,42.52,44.38,12800,43.79,-0.10999999999999943
2014-06-09,44.55,44.84,43.04,44.64,10700,44.05,0.09000000000000341
2014-06-10,44.67,44.96,44.35,44.9,7800,44.3,0.22999999999999687
2014-06-11,44.49,44.65,43.92,43.92,8900,43.34,-0.5700000000000003
2014-06-12,43.67,44.95,43.51,44.77,23200,44.18,1.1000000000000014
2014-06-13,44.88,45.25,44.11,44.39,13800,43.8,-0.490000000000002
2014-06-16,43.89,44.57,43.89,44.28,4700,43.69,0.39000000000000057
2014-06-17,44.06,44.9,43.76,44.47,14200,43.88,0.4099999999999966
2014-06-18,44.29,44.9,44.09,44.58,6800,43.99,0.28999999999999915
2014-06-19,44.55,44.88,44.12,44.77,8600,44.18,0.22000000000000597
2014-06-20,44.85,44.9,44.52,44.76,21100,44.17,-0.09000000000000341
2014-06-23,44.68,44.99,44.5,44.7,3300,44.11,0.020000000000003126
2014-06-24,44.71,45.0,44.6,44.81,11600,44.22,0.10000000000000142
2014-06-25,44.55,44.98,44.55,44.77,6600,44.18,0.22000000000000597
2014-06-26,44.61,44.99,44.6,44.84,6900,44.25,0.23000000000000398
2014-06-27,44.8,45.09,44.8,45.0,36100,44.4,0.20000000000000284
2014-06-30,45.0,45.82,44.92,45.59,9900,44.99,0.5900000000000034
2014-07-01,45.96,45.99,45.19,45.5,16300,44.9,-0.46000000000000085
2014-07-02,45.25,45.9,45.25,45.86,8800,45.25,0.6099999999999994
2014-07-03,45.97,46.0,45.7,45.91,3800,45.3,-0.060000000000002274
2014-07-07,45.57,45.97,45.14,45.86,11600,45.25,0.28999999999999915
2014-07-08,45.59,45.75,45.39,45.43,4100,44.83,-0.1600000000000037
2014-07-09,45.71,45.71,45.35,45.63,3600,45.03,-0.0799999999999983
2014-07-10,45.06,45.78,44.9,44.9,9500,44.3,-0.1600000000000037
2014-07-11,44.79,45.19,44.79,45.0,6800,44.4,0.21000000000000085
2014-07-14,45.22,45.57,44.8,44.8,6000,44.21,-0.4200000000000017
2014-07-15,44.8,45.29,44.8,44.81,8300,44.22,0.010000000000005116
2014-07-16,44.93,44.93,44.6,44.71,7700,44.12,-0.21999999999999886
2014-07-17,44.75,44.75,44.2,44.47,11600,43.88,-0.28000000000000114
2014-07-18,44.13,44.93,44.01,44.4,23400,43.81,0.269999999999996
2014-07-21,44.13,45.37,44.1,44.11,9400,43.53,-0.020000000000003126
2014-07-22,44.56,45.96,44.12,45.64,20700,45.03,1.0799999999999983
2014-07-23,45.66,45.9,45.22,45.71,9500,45.1,0.05000000000000426
2014-07-24,45.7,45.7,45.0,45.35,9500,44.75,-0.3500000000000014
2014-07-25,45.15,45.5,44.22,44.39,8600,43.8,-0.759999999999998
2014-07-28,44.72,45.35,44.72,45.08,8800,44.48,0.35999999999999943
2014-07-29,45.09,45.63,44.22,45.45,10700,44.85,0.35999999999999943
2014-07-30,45.04,45.29,44.77,45.28,5100,44.88,0.240000000000002
2014-07-31,45.0,45.0,44.39,44.82,16400,44.42,-0.17999999999999972
2014-08-01,45.0,45.0,44.46,44.68,11800,44.28,-0.3200000000000003
2014-08-04,44.64,44.92,44.52,44.64,6600,44.24,0.0
2014-08-05,44.54,44.54,44.1,44.29,5500,43.9,-0.25
2014-08-06,44.22,44.77,44.22,44.53,6500,44.13,0.3100000000000023
2014-08-07,44.53,44.94,44.53,44.66,6200,44.26,0.12999999999999545
2014-08-08,44.67,45.13,44.67,44.96,7200,44.56,0.28999999999999915
2014-08-11,45.0,45.34,44.7,45.06,9200,44.66,0.060000000000002274
2014-08-12,44.97,46.0,44.77,45.46,10500,45.06,0.490000000000002
2014-08-13,45.79,45.96,45.33,45.73,13300,45.32,-0.060000000000002274
2014-08-14,45.76,46.09,45.6,46.08,11400,45.67,0.3200000000000003
2014-08-15,46.54,46.98,45.12,46.19,44300,45.78,-0.3500000000000014
2014-08-18,46.55,46.98,46.49,46.79,23400,46.37,0.240000000000002
2014-08-19,46.97,46.97,46.55,46.77,12100,46.35,-0.19999999999999574
2014-08-20,46.71,47.33,46.71,47.01,18700,46.59,0.29999999999999716
2014-08-21,47.22,48.0,46.75,47.66,42000,47.24,0.4399999999999977
2014-08-22,47.74,47.85,47.04,47.33,16400,46.91,-0.4100000000000037
2014-08-25,47.15,47.97,47.15,47.59,9300,47.17,0.44000000000000483
2014-08-26,47.67,48.0,47.48,47.57,11700,47.15,-0.10000000000000142
2014-08-27,47.6,48.0,47.4,47.68,14600,47.26,0.0799999999999983
2014-08-28,47.69,48.0,47.4,47.56,6600,47.14,-0.12999999999999545
2014-08-29,47.7,48.94,47.62,48.89,36600,48.46,1.1899999999999977
2014-09-02,48.9,48.94,48.31,48.94,7400,48.5,0.03999999999999915
2014-09-03,49.0,49.32,48.07,48.65,12000,48.22,-0.3500000000000014
2014-09-04,48.87,48.87,48.03,48.38,8100,47.95,-0.4899999999999949
2014-09-05,48.12,48.25,47.4,48.1,11300,47.67,-0.01999999999999602
2014-09-08,47.72,48.09,47.4,47.93,9900,47.5,0.21000000000000085
2014-09-09,47.7,48.5,47.4,47.6,12900,47.18,-0.10000000000000142
2014-09-10,47.2,48.24,47.2,47.8,6600,47.37,0.5999999999999943
2014-09-11,48.1,48.41,47.1,47.83,32100,47.4,-0.2700000000000031
