Date,open,high,low,close,volume,adj_close,diff
2014-01-02,16.13,16.83,16.12,16.82,345500,16.36,0.6900000000000013
2014-01-03,16.86,17.5,16.82,17.27,221200,16.8,0.41000000000000014
2014-01-06,17.25,17.59,16.43,16.71,333300,16.26,-0.5399999999999991
2014-01-07,16.79,16.91,16.1,16.18,433600,15.74,-0.6099999999999994
2014-01-08,16.13,16.27,15.0,15.68,594600,15.26,-0.4499999999999993
2014-01-09,15.87,15.9,15.39,15.81,256800,15.38,-0.05999999999999872
2014-01-10,15.75,15.75,15.31,15.5,231600,15.08,-0.25
2014-01-13,13.0,13.83,12.7,13.41,1829800,13.05,0.41000000000000014
2014-01-14,13.41,13.57,12.11,12.39,1155000,12.05,-1.0199999999999996
2014-01-15,12.4,12.47,12.04,12.3,1015100,12.02,-0.09999999999999964
2014-01-16,12.23,12.44,11.79,11.98,784900,11.7,-0.25
2014-01-17,11.98,12.07,11.4,11.51,559300,11.24,-0.47000000000000064
2014-01-21,11.46,11.59,11.2,11.44,724000,11.18,-0.02000000000000135
2014-01-22,11.5,11.54,11.3,11.44,418600,11.18,-0.0600000000000005
2014-01-23,11.33,11.46,11.14,11.46,463700,11.19,0.13000000000000078
2014-01-24,11.41,11.5,11.0,11.0,605300,10.75,-0.41000000000000014
2014-01-27,11.0,11.24,10.59,10.78,420800,10.53,-0.22000000000000064
2014-01-28,10.8,11.17,10.66,10.89,256100,10.64,0.08999999999999986
2014-01-29,10.77,10.88,10.74,10.75,217600,10.5,-0.019999999999999574
2014-01-30,10.85,10.97,10.73,10.77,190400,10.52,-0.08000000000000007
2014-01-31,10.59,10.86,10.59,10.75,251000,10.5,0.16000000000000014
2014-02-03,10.66,10.88,10.42,10.5,437500,10.26,-0.16000000000000014
2014-02-04,10.48,10.48,10.17,10.25,404200,10.01,-0.23000000000000043
2014-02-05,10.25,10.38,10.06,10.1,409800,9.87,-0.15000000000000036
2014-02-06,10.14,10.5,10.08,10.3,258500,10.06,0.16000000000000014
2014-02-07,10.34,10.56,10.31,10.37,151500,10.13,0.02999999999999936
2014-02-10,10.34,10.48,10.1,10.24,322500,10.0,-0.09999999999999964
2014-02-11,10.21,10.75,10.1,10.54,370300,10.3,0.3299999999999983
2014-02-12,10.53,10.75,10.0,10.24,2120000,10.0,-0.28999999999999915
2014-02-13,10.19,10.29,10.0,10.02,501100,9.79,-0.16999999999999993
2014-02-14,10.0,10.16,9.96,9.96,383900,9.73,-0.03999999999999915
2014-02-18,10.0,10.14,9.4,9.54,607500,9.32,-0.46000000000000085
2014-02-19,9.53,9.74,9.37,9.57,335300,9.35,0.040000000000000924
2014-02-20,9.57,9.72,9.16,9.33,409800,9.11,-0.2400000000000002
2014-02-21,9.38,9.69,9.12,9.5,506000,9.28,0.11999999999999922
2014-02-24,9.5,9.61,9.31,9.55,1019100,9.33,0.05000000000000071
2014-02-25,9.57,9.82,9.5,9.74,561300,9.51,0.16999999999999993
2014-02-26,9.8,10.37,9.8,10.26,983800,10.02,0.4599999999999991
2014-02-27,10.25,10.92,10.25,10.53,709600,10.29,0.27999999999999936
2014-02-28,10.57,10.95,10.55,10.86,675200,10.61,0.28999999999999915
2014-03-03,10.79,10.86,10.37,10.55,278400,10.31,-0.23999999999999844
2014-03-04,10.68,10.87,10.43,10.56,352700,10.32,-0.11999999999999922
2014-03-05,10.61,10.73,10.48,10.53,300500,10.29,-0.08000000000000007
2014-03-06,10.52,11.31,10.3,11.2,975400,10.94,0.6799999999999997
2014-03-07,11.57,11.57,11.12,11.25,440700,10.99,-0.3200000000000003
2014-03-10,11.27,11.4,10.63,10.87,643900,10.62,-0.40000000000000036
