Date,open,high,low,close,volume,adj_close,diff
2014-01-02,10.94,11.08,10.75,10.94,82900,10.89,0.0
2014-01-03,10.94,10.95,10.75,10.86,122400,10.81,-0.08000000000000007
2014-01-06,10.99,11.1,10.81,10.85,134000,10.8,-0.14000000000000057
2014-01-07,10.9,10.92,10.63,10.73,93800,10.68,-0.16999999999999993
2014-01-08,10.75,10.81,10.58,10.62,151300,10.57,-0.13000000000000078
2014-01-09,10.7,10.98,10.49,10.66,216600,10.61,-0.03999999999999915
2014-01-10,10.66,10.79,10.26,10.33,128600,10.28,-0.33000000000000007
2014-01-13,10.35,10.39,9.82,9.96,144400,9.91,-0.3899999999999988
2014-01-14,9.98,10.0,9.29,9.38,339200,9.33,-0.5999999999999996
2014-01-15,9.46,9.79,9.36,9.77,113400,9.72,0.3099999999999987
2014-01-16,9.92,10.14,9.64,10.04,173000,9.99,0.11999999999999922
2014-01-17,10.07,10.07,9.7,9.8,78300,9.75,-0.2699999999999996
2014-01-21,9.89,9.91,9.65,9.77,103400,9.72,-0.120000000000001
2014-01-22,9.77,9.78,9.6,9.68,101900,9.63,-0.08999999999999986
2014-01-23,9.68,9.97,9.61,9.9,123900,9.85,0.22000000000000064
2014-01-24,9.81,9.88,9.31,9.38,147200,9.33,-0.4299999999999997
2014-01-27,9.37,9.53,8.62,8.99,166000,8.95,-0.379999999999999
2014-01-28,9.0,9.34,8.93,9.25,190900,9.2,0.25
2014-01-29,9.15,9.31,8.97,9.11,149500,9.07,-0.040000000000000924
2014-01-30,9.15,9.65,9.08,9.6,162000,9.55,0.4499999999999993
2014-01-31,9.44,9.75,9.35,9.38,134800,9.33,-0.05999999999999872
2014-02-03,9.43,9.43,8.81,8.96,217700,8.92,-0.46999999999999886
2014-02-04,8.97,9.44,8.97,9.04,95400,9.0,0.06999999999999851
2014-02-05,9.03,9.1,8.83,8.99,84300,8.95,-0.03999999999999915
2014-02-06,8.98,9.25,8.8,8.9,90500,8.86,-0.08000000000000007
2014-02-07,8.95,9.18,8.88,9.18,62600,9.14,0.23000000000000043
2014-02-10,9.21,9.5,9.05,9.48,87600,9.43,0.2699999999999996
2014-02-11,9.54,9.61,9.42,9.48,55700,9.43,-0.05999999999999872
2014-02-12,9.51,9.69,9.34,9.45,47600,9.4,-0.0600000000000005
2014-02-13,9.41,9.72,9.32,9.69,101300,9.64,0.27999999999999936
2014-02-14,9.74,10.46,9.68,9.98,223100,9.93,0.2400000000000002
2014-02-18,10.01,10.54,10.01,10.13,194900,10.08,0.120000000000001
2014-02-19,10.14,10.33,9.9,9.96,100500,9.91,-0.17999999999999972
2014-02-20,9.95,10.18,9.78,9.81,105600,9.76,-0.1399999999999988
2014-02-21,9.89,9.97,9.35,9.38,136400,9.33,-0.5099999999999998
2014-02-24,9.5,9.67,9.3,9.4,96000,9.35,-0.09999999999999964
2014-02-25,9.4,9.56,9.38,9.5,139700,9.45,0.09999999999999964
2014-02-26,9.49,9.96,9.49,9.84,76300,9.79,0.34999999999999964
2014-02-27,9.86,9.95,9.64,9.72,90800,9.67,-0.1399999999999988
2014-02-28,9.75,10.0,9.72,9.78,74200,9.73,0.02999999999999936
2014-03-03,9.7,10.0,9.63,9.67,112800,9.62,-0.02999999999999936
2014-03-04,9.84,9.94,9.65,9.77,128100,9.72,-0.07000000000000028
2014-03-05,9.83,9.87,9.6,9.75,103200,9.7,-0.08000000000000007
2014-03-06,9.83,9.89,9.5,9.59,110000,9.54,-0.2400000000000002
2014-03-07,9.66,9.81,9.46,9.49,69300,9.44,-0.16999999999999993
2014-03-10,9.52,9.91,9.47,9.77,128900,9.72,0.25
2014-03-11,9.87,9.9,9.36,9.41,104900,9.36,-0.4599999999999991
2014-03-12,9.38,9.57,9.13,9.35,106400,9.3,-0.030000000000001137
2014-03-13,9.43,9.55,9.1,9.15,114500,9.11,-0.27999999999999936
2014-03-14,9.16,9.4,9.03,9.09,47400,9.05,-0.07000000000000028
2014-03-17,9.21,10.16,9.2,9.92,286400,9.87,0.7099999999999991
2014-03-18,9.96,10.1,9.84,9.98,144200,9.93,0.019999999999999574
2014-03-19,9.99,10.1,9.69,9.84,70400,9.79,-0.15000000000000036
2014-03-20,9.79,9.86,9.51,9.79,249500,9.74,0.0
2014-03-21,9.8,10.27,9.78,10.03,354200,9.98,0.22999999999999865
2014-03-24,10.26,10.82,10.12,10.65,347200,10.6,0.39000000000000057
2014-03-25,10.85,10.9,10.33,10.41,132800,10.36,-0.4399999999999995
2014-03-26,10.52,10.56,10.14,10.16,161200,10.11,-0.35999999999999943
2014-03-27,10.21,10.3,10.02,10.2,127200,10.15,-0.010000000000001563
2014-03-28,10.25,10.61,10.25,10.6,100900,10.6,0.34999999999999964
2014-03-31,10.71,10.92,10.49,10.73,177200,10.73,0.019999999999999574
2014-04-01,10.87,10.91,10.57,10.72,136900,10.72,-0.14999999999999858
2014-04-02,10.79,10.97,10.65,10.69,107000,10.69,-0.09999999999999964
2014-04-03,10.72,10.77,10.51,10.71,63100,10.71,-0.009999999999999787
2014-04-04,10.77,10.77,10.02,10.05,106500,10.05,-0.7199999999999989
2014-04-07,10.0,10.07,9.43,9.5,159100,9.5,-0.5
2014-04-08,9.46,9.71,9.23,9.58,90000,9.58,0.11999999999999922
2014-04-09,9.63,9.8,9.63,9.76,53700,9.76,0.129999999999999
2014-04-10,9.8,9.85,9.55,9.6,75500,9.6,-0.20000000000000107
2014-04-11,9.53,9.73,9.27,9.31,97400,9.31,-0.21999999999999886
2014-04-14,9.5,9.5,8.85,9.01,143300,9.01,-0.4900000000000002
2014-04-15,9.09,9.35,8.72,9.25,92900,9.25,0.16000000000000014
2014-04-16,9.29,9.4,9.09,9.26,47800,9.26,-0.02999999999999936
2014-04-17,9.37,9.56,9.15,9.48,72000,9.48,0.11000000000000121
2014-04-21,9.58,9.69,9.33,9.4,113800,9.4,-0.17999999999999972
2014-04-22,9.45,9.57,9.34,9.51,50600,9.51,0.0600000000000005
2014-04-23,9.52,9.63,9.45,9.59,54200,9.59,0.07000000000000028
2014-04-24,9.68,9.74,9.48,9.57,74900,9.57,-0.10999999999999943
2014-04-25,9.51,9.65,9.41,9.55,56200,9.55,0.040000000000000924
2014-04-28,9.57,9.69,9.36,9.49,71600,9.49,-0.08000000000000007
2014-04-29,9.56,9.58,9.37,9.38,38400,9.38,-0.17999999999999972
2014-04-30,9.35,9.47,9.14,9.37,52600,9.37,0.019999999999999574
2014-05-01,9.37,9.4,9.13,9.36,78400,9.36,-0.009999999999999787
2014-05-02,9.42,9.45,9.0,9.32,116100,9.32,-0.09999999999999964
2014-05-05,9.29,9.33,8.9,9.09,81400,9.09,-0.1999999999999993
2014-05-06,9.09,9.22,8.6,8.78,106700,8.78,-0.3100000000000005
2014-05-07,8.75,8.94,8.45,8.8,79700,8.8,0.05000000000000071
2014-05-08,8.69,8.85,8.06,8.1,132200,8.1,-0.5899999999999999
2014-05-09,8.1,8.33,7.77,8.28,102900,8.28,0.17999999999999972
2014-05-12,8.34,8.69,8.32,8.44,56700,8.44,0.09999999999999964
2014-05-13,8.47,8.88,8.47,8.74,112200,8.74,0.2699999999999996
2014-05-14,8.73,8.81,8.67,8.75,92800,8.75,0.019999999999999574
2014-05-15,8.69,9.06,8.52,8.95,49600,8.95,0.2599999999999998
2014-05-16,8.88,9.19,8.76,9.15,43500,9.15,0.2699999999999996
2014-05-19,9.1,9.23,9.0,9.06,42100,9.06,-0.03999999999999915
2014-05-20,9.06,9.21,8.87,9.01,83600,9.01,-0.05000000000000071
2014-05-21,9.02,9.13,8.69,8.77,69900,8.77,-0.25
2014-05-22,8.76,8.9,8.66,8.69,61300,8.69,-0.07000000000000028
2014-05-23,8.7,8.96,8.55,8.89,59800,8.89,0.19000000000000128
2014-05-27,8.95,9.23,8.8,9.05,77300,9.05,0.10000000000000142
2014-05-28,8.98,9.14,8.85,8.99,143500,8.99,0.009999999999999787
2014-05-29,8.98,9.0,8.86,8.9,85500,8.9,-0.08000000000000007
2014-05-30,8.92,8.92,8.7,8.73,118100,8.73,-0.1899999999999995
2014-06-02,8.74,8.96,8.57,8.84,121900,8.84,0.09999999999999964
2014-06-03,8.48,8.61,8.16,8.45,280400,8.45,-0.030000000000001137
2014-06-04,8.39,8.45,8.21,8.27,148400,8.27,-0.120000000000001
2014-06-05,8.27,8.52,8.18,8.5,100000,8.5,0.23000000000000043
2014-06-06,8.52,8.57,8.26,8.3,1259500,8.3,-0.21999999999999886
2014-06-09,8.33,8.56,8.11,8.13,168100,8.13,-0.1999999999999993
2014-06-10,8.15,8.29,8.1,8.15,92800,8.15,0.0
2014-06-11,8.17,8.25,8.08,8.11,85700,8.11,-0.0600000000000005
2014-06-12,8.3,8.33,8.03,8.05,104700,8.05,-0.25
2014-06-13,8.1,8.25,8.02,8.07,66400,8.07,-0.02999999999999936
2014-06-16,8.11,8.38,8.11,8.28,170200,8.28,0.16999999999999993
2014-06-17,8.25,8.33,8.2,8.22,110600,8.22,-0.02999999999999936
2014-06-18,8.25,8.32,7.85,7.93,235400,7.93,-0.3200000000000003
2014-06-19,8.01,8.09,7.51,7.78,184400,7.78,-0.22999999999999954
2014-06-20,7.78,7.82,7.5,7.63,197200,7.63,-0.15000000000000036
