Date,open,high,low,close,volume,adj_close,diff
2014-01-02,7.33,7.45,7.3,7.39,92000,7.39,0.05999999999999961
2014-01-03,7.44,7.46,7.26,7.28,53200,7.28,-0.16000000000000014
2014-01-06,7.28,7.31,7.15,7.22,106000,7.22,-0.0600000000000005
2014-01-07,7.31,7.5,7.15,7.5,182200,7.5,0.1900000000000004
2014-01-08,7.62,7.62,7.46,7.5,140400,7.5,-0.1200000000000001
2014-01-09,7.5,7.7,7.38,7.66,210900,7.66,0.16000000000000014
2014-01-10,7.66,7.74,7.61,7.67,76800,7.67,0.009999999999999787
2014-01-13,7.7,7.86,7.68,7.73,489500,7.73,0.03000000000000025
2014-01-14,7.81,7.84,7.68,7.75,129900,7.75,-0.05999999999999961
2014-01-15,7.75,7.84,7.55,7.63,110800,7.63,-0.1200000000000001
2014-01-16,7.65,7.66,7.5,7.56,66300,7.56,-0.09000000000000075
2014-01-17,7.61,7.61,7.27,7.47,124300,7.47,-0.14000000000000057
2014-01-21,7.5,7.64,7.49,7.62,294300,7.62,0.1200000000000001
2014-01-22,7.58,7.76,7.58,7.73,156600,7.73,0.15000000000000036
2014-01-23,7.75,7.8,7.64,7.76,102600,7.76,0.009999999999999787
2014-01-24,7.68,7.7,7.34,7.65,94700,7.65,-0.02999999999999936
2014-01-27,7.65,7.88,7.3,7.51,112700,7.51,-0.14000000000000057
2014-01-28,7.43,7.52,7.34,7.34,61800,7.34,-0.08999999999999986
2014-01-29,7.34,7.34,7.14,7.2,170400,7.2,-0.13999999999999968
2014-01-30,7.32,7.32,7.15,7.16,114800,7.16,-0.16000000000000014
2014-01-31,7.15,7.24,6.93,7.15,126500,7.15,0.0
2014-02-03,7.19,7.19,7.0,7.05,82300,7.05,-0.14000000000000057
2014-02-04,7.02,7.26,7.02,7.11,94600,7.11,0.09000000000000075
2014-02-05,7.12,7.13,6.98,7.04,49400,7.04,-0.08000000000000007
2014-02-06,7.08,7.51,7.08,7.46,160400,7.46,0.3799999999999999
2014-02-07,7.59,7.65,7.37,7.4,97500,7.4,-0.1899999999999995
2014-02-10,7.35,7.4,7.16,7.18,59600,7.18,-0.16999999999999993
2014-02-11,7.13,7.37,7.13,7.36,69300,7.36,0.23000000000000043
2014-02-12,7.41,7.45,7.3,7.38,87200,7.38,-0.03000000000000025
2014-02-13,7.37,7.45,7.3,7.4,71800,7.4,0.03000000000000025
2014-02-14,7.42,7.43,7.33,7.38,96500,7.38,-0.040000000000000036
2014-02-18,7.48,7.6,7.42,7.51,127700,7.51,0.02999999999999936
2014-02-19,7.52,7.52,7.22,7.27,271200,7.27,-0.25
2014-02-20,7.32,7.33,7.22,7.32,189300,7.32,0.0
2014-02-21,7.4,7.4,7.25,7.29,92900,7.29,-0.11000000000000032
2014-02-24,7.32,7.59,7.32,7.55,151000,7.55,0.22999999999999954
2014-02-25,7.52,7.52,7.37,7.5,158300,7.5,-0.019999999999999574
2014-02-26,7.52,7.6,7.46,7.52,163000,7.52,0.0
2014-02-27,7.52,7.56,7.41,7.48,209500,7.48,-0.03999999999999915
2014-02-28,7.52,7.65,7.46,7.64,277100,7.64,0.1200000000000001
2014-03-03,7.6,7.64,7.47,7.6,189000,7.6,0.0
2014-03-04,7.64,7.75,7.64,7.74,159700,7.74,0.10000000000000053
2014-03-05,7.77,7.77,7.66,7.7,177400,7.7,-0.0699999999999994
2014-03-06,7.83,8.2,7.83,8.13,396300,8.13,0.3000000000000007
2014-03-07,8.08,8.2,7.89,8.08,224600,8.08,0.0
2014-03-10,8.09,8.17,7.87,7.96,153700,7.96,-0.1299999999999999
2014-03-11,7.99,7.99,7.65,7.77,160200,7.77,-0.22000000000000064
2014-03-12,7.65,7.86,7.57,7.66,151300,7.66,0.009999999999999787
2014-03-13,7.77,7.98,7.7,7.72,182900,7.72,-0.04999999999999982
2014-03-14,7.7,7.92,7.7,7.83,135600,7.83,0.1299999999999999
2014-03-17,7.85,7.94,7.75,7.88,112400,7.88,0.03000000000000025
2014-03-18,7.84,8.03,7.84,7.98,191400,7.98,0.14000000000000057
2014-03-19,7.99,8.0,7.84,7.93,119900,7.93,-0.0600000000000005
2014-03-20,7.91,7.95,7.78,7.92,108700,7.92,0.009999999999999787
2014-03-21,7.95,8.02,7.89,7.96,252000,7.96,0.009999999999999787
2014-03-24,7.96,8.04,7.87,7.95,129400,7.95,-0.009999999999999787
2014-03-25,7.98,8.02,7.91,7.94,136000,7.94,-0.040000000000000036
2014-03-26,7.98,8.03,7.89,7.95,98500,7.95,-0.03000000000000025
2014-03-27,7.97,8.09,7.97,8.09,254700,8.09,0.1200000000000001
2014-03-28,8.1,8.3,8.08,8.26,284200,8.26,0.16000000000000014
2014-03-31,8.37,8.55,8.26,8.43,326000,8.43,0.0600000000000005
2014-04-01,8.43,8.58,8.39,8.42,134300,8.42,-0.009999999999999787
2014-04-02,8.44,8.62,8.41,8.57,264100,8.57,0.13000000000000078
2014-04-03,8.6,8.74,8.51,8.57,247900,8.57,-0.02999999999999936
2014-04-04,8.64,8.76,8.55,8.62,228300,8.62,-0.02000000000000135
2014-04-07,8.61,8.63,8.31,8.4,179300,8.4,-0.20999999999999908
2014-04-08,8.42,8.64,8.26,8.57,154700,8.57,0.15000000000000036
2014-04-09,8.6,8.69,8.54,8.67,113900,8.67,0.07000000000000028
2014-04-10,8.7,8.94,8.7,8.82,246600,8.82,0.120000000000001
2014-04-11,8.76,9.11,8.75,9.03,315200,9.03,0.2699999999999996
2014-04-14,9.13,9.22,8.8,8.82,447300,8.82,-0.3100000000000005
2014-04-15,8.78,9.1,8.78,9.04,258400,9.04,0.2599999999999998
2014-04-16,9.12,9.2,9.01,9.08,262800,9.08,-0.03999999999999915
2014-04-17,9.12,9.28,9.07,9.16,244100,9.16,0.040000000000000924
2014-04-21,9.21,9.34,9.17,9.28,300100,9.28,0.06999999999999851
2014-04-22,9.36,9.49,9.25,9.47,289400,9.47,0.11000000000000121
2014-04-23,9.55,9.63,9.52,9.57,244500,9.57,0.019999999999999574
2014-04-24,9.62,9.63,9.46,9.5,247000,9.5,-0.11999999999999922
2014-04-25,9.49,9.56,9.42,9.47,173200,9.47,-0.019999999999999574
2014-04-28,9.53,9.61,9.22,9.31,540700,9.31,-0.21999999999999886
2014-04-29,9.43,9.96,9.39,9.87,446600,9.87,0.4399999999999995
2014-04-30,9.85,10.0,9.61,9.72,404200,9.72,-0.129999999999999
2014-05-01,9.69,9.78,9.69,9.71,141300,9.71,0.02000000000000135
2014-05-02,9.77,10.24,9.74,10.0,285700,10.0,0.23000000000000043
2014-05-05,10.07,10.07,9.88,10.05,341200,10.05,-0.019999999999999574
2014-05-06,10.26,10.3,10.07,10.17,427100,10.17,-0.08999999999999986
2014-05-07,10.17,10.39,10.07,10.36,343300,10.36,0.1899999999999995
2014-05-08,10.34,10.7,9.87,9.95,752000,9.95,-0.39000000000000057
2014-05-09,9.9,9.97,9.29,9.37,756800,9.37,-0.5300000000000011
2014-05-12,9.5,9.89,9.49,9.8,587100,9.8,0.3000000000000007
2014-05-13,9.84,9.99,9.65,9.8,188200,9.8,-0.03999999999999915
2014-05-14,9.89,9.92,9.52,9.56,201000,9.56,-0.33000000000000007
