Date,open,high,low,close,volume,adj_close,diff
2014-01-02,43.15,43.24,41.97,42.53,289200,42.53,-0.6199999999999974
2014-01-03,42.56,43.15,42.31,42.91,268100,42.91,0.3499999999999943
2014-01-06,42.99,43.36,42.3,42.45,385900,42.45,-0.5399999999999991
2014-01-07,42.77,42.99,42.12,42.51,408100,42.51,-0.2600000000000051
2014-01-08,43.33,43.33,42.44,42.78,418900,42.78,-0.5499999999999972
2014-01-09,43.06,43.34,42.79,43.01,343300,43.01,-0.05000000000000426
2014-01-10,43.09,43.93,42.85,43.88,564900,43.88,0.7899999999999991
2014-01-13,43.62,44.0,42.68,42.86,602400,42.86,-0.759999999999998
2014-01-14,41.45,42.31,41.0,41.66,650600,41.66,0.20999999999999375
2014-01-15,41.93,42.0,41.11,41.19,582300,41.19,-0.740000000000002
2014-01-16,41.0,42.17,41.0,41.7,597600,41.7,0.7000000000000028
2014-01-17,41.77,42.06,40.18,40.35,610800,40.35,-1.4200000000000017
2014-01-21,40.53,41.0,39.95,40.1,446700,40.1,-0.4299999999999997
2014-01-22,40.05,41.45,39.8,41.12,482200,41.12,1.0700000000000003
2014-01-23,40.8,41.46,40.46,40.67,430400,40.67,-0.12999999999999545
2014-01-24,40.24,40.93,39.17,39.41,526300,39.41,-0.8300000000000054
2014-01-27,38.97,39.65,37.79,38.84,444500,38.84,-0.12999999999999545
2014-01-28,38.96,39.39,38.54,39.26,284100,39.26,0.29999999999999716
2014-01-29,39.28,39.35,38.35,38.67,199700,38.67,-0.6099999999999994
2014-01-30,38.99,39.64,38.56,39.24,341200,39.24,0.25
2014-01-31,38.56,39.14,38.35,38.52,200900,38.52,-0.03999999999999915
2014-02-03,38.27,38.73,37.51,37.66,358900,37.66,-0.6100000000000065
2014-02-04,37.84,38.45,37.65,37.9,321700,37.9,0.05999999999999517
2014-02-05,37.67,37.98,36.97,37.79,349000,37.79,0.11999999999999744
2014-02-06,37.8,38.5,37.8,38.28,359700,38.28,0.480000000000004
2014-02-07,38.68,40.48,37.77,40.45,814000,40.45,1.7700000000000031
2014-02-10,40.45,40.45,38.98,39.53,380200,39.53,-0.9200000000000017
2014-02-11,39.47,39.85,39.06,39.73,207200,39.73,0.259999999999998
2014-02-12,39.73,40.35,39.46,40.09,323000,40.09,0.36000000000000654
2014-02-13,39.76,40.3,39.54,40.27,123900,40.27,0.5100000000000051
2014-02-14,40.22,40.22,39.62,39.87,194300,39.87,-0.3500000000000014
2014-02-18,40.01,40.31,39.78,40.11,277400,40.11,0.10000000000000142
2014-02-19,40.1,40.1,39.21,39.33,194400,39.33,-0.7700000000000031
2014-02-20,39.46,39.73,38.98,39.33,274300,39.33,-0.13000000000000256
2014-02-21,39.59,39.79,39.12,39.58,183000,39.58,-0.010000000000005116
2014-02-24,39.69,40.46,39.44,39.94,479500,39.94,0.25
2014-02-25,40.0,40.02,39.58,39.88,294000,39.88,-0.11999999999999744
2014-02-26,39.98,40.1,39.76,40.0,311700,40.0,0.020000000000003126
2014-02-27,39.9,40.5,39.65,40.43,217700,40.43,0.5300000000000011
2014-02-28,40.52,41.0,40.25,40.52,296200,40.52,0.0
2014-03-03,40.3,40.56,40.0,40.27,213500,40.27,-0.02999999999999403
2014-03-04,40.82,42.27,40.75,41.75,403000,41.75,0.9299999999999997
2014-03-05,41.86,42.42,41.72,42.29,479400,42.29,0.4299999999999997
2014-03-06,42.32,42.77,42.18,42.69,318100,42.69,0.36999999999999744
2014-03-07,42.8,43.4,42.74,43.07,473700,43.07,0.2700000000000031
2014-03-10,42.89,43.28,42.72,43.18,283500,43.18,0.28999999999999915
2014-03-11,43.27,43.48,42.46,42.57,275900,42.57,-0.7000000000000028
2014-03-12,42.34,42.44,41.52,41.92,202500,41.92,-0.4200000000000017
2014-03-13,42.01,42.01,40.85,41.17,264700,41.17,-0.8399999999999963
2014-03-14,40.92,41.42,40.65,41.02,269500,41.02,0.10000000000000142
2014-03-17,41.27,41.51,41.0,41.06,272200,41.06,-0.21000000000000085
2014-03-18,41.15,41.75,41.05,41.66,322600,41.66,0.509999999999998
2014-03-19,41.52,41.89,40.98,41.21,296800,41.21,-0.3100000000000023
2014-03-20,41.1,41.77,40.87,41.36,161700,41.36,0.259999999999998
2014-03-21,41.51,41.75,40.53,40.59,398800,40.59,-0.9199999999999946
2014-03-24,40.78,40.78,39.43,39.87,358400,39.87,-0.9100000000000037
2014-03-25,40.2,40.49,39.41,39.46,303300,39.46,-0.740000000000002
2014-03-26,39.75,39.75,38.41,38.41,231000,38.41,-1.3400000000000034
2014-03-27,38.39,38.78,38.0,38.3,175800,38.3,-0.09000000000000341
2014-03-28,38.26,38.68,37.86,38.12,164900,38.12,-0.14000000000000057
2014-03-31,38.31,39.06,38.07,38.85,272000,38.85,0.5399999999999991
2014-04-01,38.84,39.14,38.55,38.9,343900,38.9,0.05999999999999517
2014-04-02,39.11,39.41,38.61,38.89,292300,38.89,-0.21999999999999886
2014-04-03,38.82,39.14,38.25,38.54,197500,38.54,-0.28000000000000114
2014-04-04,38.86,39.0,37.31,37.54,247400,37.54,-1.3200000000000003
2014-04-07,37.49,37.9,36.55,37.02,345900,37.02,-0.46999999999999886
2014-04-08,36.98,37.6,36.87,37.58,372900,37.58,0.6000000000000014
2014-04-09,37.73,38.01,37.36,37.81,223900,37.81,0.0800000000000054
2014-04-10,37.69,37.92,36.29,36.44,235800,36.44,-1.25
2014-04-11,36.05,36.67,35.8,36.3,361600,36.3,0.25
2014-04-14,36.75,36.91,36.14,36.41,253400,36.41,-0.3400000000000034
2014-04-15,36.49,36.79,35.95,36.5,364800,36.5,0.00999999999999801
2014-04-16,36.88,37.48,36.28,37.35,388700,37.35,0.46999999999999886
2014-04-17,37.29,37.76,36.87,37.21,241700,37.21,-0.0799999999999983
2014-04-21,37.17,37.17,36.09,36.35,357900,36.35,-0.8200000000000003
2014-04-22,36.31,36.81,36.31,36.52,337800,36.52,0.21000000000000085
2014-04-23,36.43,36.69,35.2,35.39,579300,35.39,-1.0399999999999991
2014-04-24,35.41,35.8,34.59,34.69,527500,34.69,-0.7199999999999989
2014-04-25,34.56,34.56,32.9,32.98,656100,32.98,-1.5800000000000054
2014-04-28,32.99,33.42,32.22,32.93,482900,32.93,-0.060000000000002274
2014-04-29,33.2,33.48,32.49,32.6,417600,32.6,-0.6000000000000014
2014-04-30,32.38,33.54,31.97,33.48,408300,33.48,1.0999999999999943
2014-05-01,33.32,33.99,32.93,33.92,527300,33.92,0.6000000000000014
2014-05-02,34.15,35.45,33.75,35.03,556300,35.03,0.8800000000000026
2014-05-05,34.66,35.46,34.66,35.23,480400,35.23,0.5700000000000003
2014-05-06,36.99,38.48,33.34,33.61,1281600,33.61,-3.3800000000000026
2014-05-07,33.73,33.73,32.23,32.43,681300,32.43,-1.2999999999999972
2014-05-08,32.26,33.34,32.24,33.02,522500,33.02,0.7600000000000051
2014-05-09,32.9,33.17,32.34,32.59,513900,32.59,-0.30999999999999517
2014-05-12,32.79,33.67,32.6,33.47,439000,33.47,0.6799999999999997
2014-05-13,33.5,33.5,32.05,32.25,556000,32.25,-1.25
2014-05-14,32.21,32.39,31.1,31.11,486500,31.11,-1.1000000000000014
2014-05-15,30.92,31.28,29.93,31.24,690500,31.24,0.31999999999999673
2014-05-16,31.19,31.44,30.8,31.26,514700,31.26,0.07000000000000028
2014-05-19,31.63,32.25,31.48,31.88,628900,31.88,0.25
2014-05-20,31.84,31.95,30.67,31.21,1173200,31.21,-0.629999999999999
2014-05-21,31.29,31.48,30.91,30.93,375000,30.93,-0.35999999999999943
2014-05-22,30.91,31.96,30.78,31.74,470200,31.74,0.8299999999999983
2014-05-23,31.8,32.27,31.45,32.08,272100,32.08,0.2799999999999976
2014-05-27,31.54,31.68,28.9,28.99,2101700,28.99,-2.5500000000000007
2014-05-28,28.92,29.52,28.18,29.31,1513600,29.31,0.389999999999997
2014-05-29,29.54,29.68,29.0,29.09,587800,29.09,-0.4499999999999993
2014-05-30,29.22,29.65,28.85,28.98,593400,28.98,-0.23999999999999844
2014-06-02,29.13,29.39,28.26,28.29,725300,28.29,-0.8399999999999999
2014-06-03,28.25,28.85,28.05,28.43,431100,28.43,0.17999999999999972
2014-06-04,28.21,28.67,28.03,28.34,550600,28.34,0.129999999999999
2014-06-05,28.98,28.98,28.4,28.67,819400,28.67,-0.3099999999999987
2014-06-06,28.7,30.01,28.68,29.9,1019700,29.9,1.1999999999999993
2014-06-09,29.84,30.28,29.21,30.17,814200,30.17,0.33000000000000185
2014-06-10,30.03,30.39,29.92,30.34,355200,30.34,0.3099999999999987
2014-06-11,30.37,31.72,30.37,31.71,1267200,31.71,1.3399999999999999
2014-06-12,31.66,33.01,31.25,32.89,1643400,32.89,1.2300000000000004
