Date,open,high,low,close,volume,adj_close,diff
2014-04-10,7.1,7.66,6.5,6.85,984800,6.85,-0.25
2014-04-11,6.67,7.0,6.1,6.85,150500,6.85,0.17999999999999972
2014-04-14,7.09,8.06,6.7,7.05,36800,7.05,-0.040000000000000036
2014-04-15,6.9,6.9,6.55,6.56,35300,6.56,-0.34000000000000075
2014-04-16,7.73,7.73,6.7,6.83,46600,6.83,-0.9000000000000004
2014-04-17,6.85,6.85,6.28,6.55,24900,6.55,-0.2999999999999998
2014-04-21,7.33,7.33,6.42,6.99,55500,6.99,-0.33999999999999986
2014-04-22,6.78,7.39,6.4,7.1,27500,7.1,0.3199999999999994
2014-04-23,7.1,7.48,6.8,6.9,132700,6.9,-0.1999999999999993
2014-04-24,6.82,7.08,6.64,6.74,61200,6.74,-0.08000000000000007
2014-04-25,6.7,7.14,6.28,6.65,37100,6.65,-0.04999999999999982
2014-04-28,6.65,6.84,6.49,6.71,14300,6.71,0.05999999999999961
2014-04-29,6.68,6.95,6.62,6.81,8600,6.81,0.1299999999999999
2014-04-30,6.75,7.09,6.7,6.94,37100,6.94,0.1900000000000004
2014-05-01,6.95,7.0,6.82,6.91,18700,6.91,-0.040000000000000036
2014-05-02,6.93,7.04,6.67,6.94,47300,6.94,0.010000000000000675
2014-05-05,6.75,6.89,6.75,6.75,6400,6.75,0.0
2014-05-06,6.81,7.09,6.8,6.84,14300,6.84,0.03000000000000025
2014-05-07,6.71,7.05,6.71,6.74,27100,6.74,0.03000000000000025
2014-05-08,6.71,6.75,6.5,6.68,21500,6.68,-0.03000000000000025
2014-05-09,6.5,6.53,6.41,6.5,14600,6.5,0.0
2014-05-12,6.38,6.5,6.27,6.41,24600,6.41,0.03000000000000025
2014-05-13,6.27,7.1,6.27,6.49,33200,6.49,0.22000000000000064
2014-05-14,6.48,6.86,6.36,6.86,6200,6.86,0.3799999999999999
2014-05-15,6.59,6.59,6.46,6.46,7100,6.46,-0.1299999999999999
2014-05-16,6.46,6.67,6.46,6.46,1800,6.46,0.0
2014-05-19,6.46,6.62,6.46,6.49,2600,6.49,0.03000000000000025
2014-05-20,6.45,6.5,6.26,6.27,6400,6.27,-0.1800000000000006
2014-05-21,6.28,6.53,6.26,6.35,24800,6.35,0.0699999999999994
2014-05-22,6.26,6.39,6.04,6.25,39800,6.25,-0.009999999999999787
2014-05-23,6.34,6.34,5.05,5.71,39300,5.71,-0.6299999999999999
2014-05-27,5.53,6.9,5.53,5.75,36800,5.75,0.21999999999999975
2014-05-28,5.89,6.11,5.41,5.73,9800,5.73,-0.15999999999999925
2014-05-29,5.66,5.9,5.6,5.6,13100,5.6,-0.0600000000000005
2014-05-30,5.62,5.75,5.47,5.71,19200,5.71,0.08999999999999986
2014-06-02,5.91,5.91,5.45,5.67,29400,5.67,-0.2400000000000002
2014-06-03,5.73,5.75,5.57,5.69,36900,5.69,-0.040000000000000036
