Date,open,high,low,close,volume,adj_close,diff
2014-11-20,13.14,13.56,12.7,13.0,67300,13.0,-0.14000000000000057
2014-11-21,12.75,13.38,12.75,13.05,65900,13.05,0.3000000000000007
2014-11-24,13.22,13.54,13.09,13.41,186100,13.41,0.1899999999999995
2014-11-25,13.71,14.49,13.63,13.75,104100,13.75,0.03999999999999915
2014-11-26,13.77,14.12,13.25,13.59,55400,13.59,-0.17999999999999972
2014-11-28,13.75,13.82,13.21,13.73,26200,13.73,-0.019999999999999574
2014-12-01,13.62,13.69,13.1,13.37,73300,13.37,-0.25
2014-12-02,13.75,14.48,13.3,14.14,327400,14.14,0.39000000000000057
2014-12-03,14.34,14.89,13.82,14.25,112500,14.25,-0.08999999999999986
2014-12-04,14.43,14.59,14.0,14.18,113500,14.18,-0.25
2014-12-05,13.96,14.63,13.96,14.37,77800,14.37,0.40999999999999837
2014-12-08,14.77,15.0,14.12,14.34,122300,14.34,-0.4299999999999997
2014-12-09,14.0,15.53,13.85,15.19,161000,15.19,1.1899999999999995
2014-12-10,15.0,15.24,14.76,14.97,110000,14.97,-0.02999999999999936
2014-12-11,15.1,15.53,14.35,14.52,308700,14.52,-0.5800000000000001
2014-12-12,14.26,14.78,13.8,14.12,137400,14.12,-0.14000000000000057
2014-12-15,14.01,14.55,13.01,13.78,262200,13.78,-0.23000000000000043
2014-12-16,13.82,14.47,13.19,13.63,215200,13.63,-0.1899999999999995
2014-12-17,13.5,13.94,12.5,13.04,354800,13.04,-0.46000000000000085
2014-12-18,13.31,13.43,12.38,13.15,203200,13.15,-0.16000000000000014
2014-12-19,13.07,13.43,12.7,12.76,927100,12.76,-0.3100000000000005
2014-12-22,12.84,13.18,12.8,12.82,87600,12.82,-0.019999999999999574
2014-12-23,12.97,14.42,12.97,14.06,155400,14.06,1.0899999999999999
2014-12-24,14.02,15.14,13.84,14.85,103000,14.85,0.8300000000000001
2014-12-26,14.94,15.7,14.88,15.68,90800,15.68,0.7400000000000002
2014-12-29,15.75,16.47,15.67,16.36,82900,16.36,0.6099999999999994
2014-12-30,16.72,17.31,16.0,16.03,146700,16.03,-0.6899999999999977
2014-12-31,16.13,16.61,16.13,16.32,127500,16.32,0.19000000000000128
