Date,open,high,low,close,volume,adj_close,diff
2014-01-02,19.19,19.84,19.12,19.37,4654000,19.01,0.17999999999999972
2014-01-03,19.4,19.6,19.19,19.34,3011200,18.98,-0.05999999999999872
2014-01-06,19.39,19.56,19.17,19.17,1484500,18.81,-0.21999999999999886
2014-01-07,19.26,19.27,19.0,19.08,1772700,18.73,-0.18000000000000327
2014-01-08,19.07,19.11,18.56,18.77,2801400,18.42,-0.3000000000000007
2014-01-09,18.77,18.77,18.27,18.45,2412400,18.11,-0.3200000000000003
2014-01-10,18.44,18.51,18.19,18.24,2156500,17.9,-0.20000000000000284
2014-01-13,18.18,18.25,17.58,17.62,3054900,17.29,-0.5599999999999987
2014-01-14,17.69,17.86,17.52,17.61,2166800,17.28,-0.08000000000000185
2014-01-15,17.68,17.81,17.59,17.77,4095800,17.44,0.08999999999999986
2014-01-16,17.7,17.73,17.43,17.53,1915100,17.2,-0.16999999999999815
2014-01-17,17.53,17.59,17.39,17.45,1417900,17.13,-0.08000000000000185
2014-01-21,17.49,17.71,17.43,17.46,2347000,17.14,-0.029999999999997584
2014-01-22,17.42,17.45,17.17,17.2,2644200,16.88,-0.22000000000000242
2014-01-23,17.06,17.1,16.87,17.0,2237200,16.68,-0.05999999999999872
2014-01-24,16.87,16.89,16.68,16.68,2031700,16.37,-0.19000000000000128
2014-01-27,16.68,16.75,16.46,16.6,2304500,16.29,-0.0799999999999983
2014-01-28,16.6,16.94,16.59,16.65,1439000,16.34,0.04999999999999716
2014-01-29,16.59,16.71,16.46,16.46,1588200,16.15,-0.129999999999999
2014-01-30,16.61,16.79,16.48,16.7,1178600,16.39,0.08999999999999986
2014-01-31,16.49,16.72,16.35,16.6,1274700,16.29,0.11000000000000298
2014-02-03,16.6,16.65,16.05,16.08,2358400,15.78,-0.5200000000000031
2014-02-04,16.2,16.23,16.01,16.2,2138100,15.9,0.0
2014-02-05,16.17,16.4,15.96,16.34,1747000,16.04,0.16999999999999815
2014-02-06,16.79,17.11,16.45,16.86,1694800,16.55,0.07000000000000028
2014-02-07,16.91,17.13,16.88,17.06,1340800,16.74,0.14999999999999858
2014-02-10,17.06,17.1,16.79,16.93,970600,16.62,-0.129999999999999
