Date,open,high,low,close,volume,adj_close,diff
2014-01-02,16.31,16.43,16.05,16.24,3716900,16.24,-0.07000000000000028
2014-01-03,16.22,16.38,16.09,16.23,2593700,16.23,0.010000000000001563
2014-01-06,16.25,16.27,16.02,16.15,2744000,16.15,-0.10000000000000142
2014-01-07,16.22,16.41,16.07,16.4,3261900,16.4,0.17999999999999972
2014-01-08,16.52,16.91,16.39,16.48,5089400,16.48,-0.03999999999999915
2014-01-09,16.51,16.69,15.77,16.11,4239800,16.11,-0.40000000000000213
2014-01-10,16.11,16.17,15.77,16.09,4287700,16.09,-0.019999999999999574
2014-01-13,16.08,16.12,15.7,15.9,4971200,15.9,-0.17999999999999794
2014-01-14,15.9,16.31,15.88,16.2,2725800,16.2,0.29999999999999893
2014-01-15,16.25,16.38,16.11,16.31,1533900,16.31,0.05999999999999872
2014-01-16,16.34,16.53,16.14,16.46,1673500,16.46,0.120000000000001
2014-01-17,16.43,16.66,16.25,16.52,4192200,16.52,0.08999999999999986
2014-01-21,16.64,16.67,16.38,16.59,3443600,16.59,-0.05000000000000071
2014-01-22,16.61,16.99,16.61,16.84,3616900,16.84,0.23000000000000043
2014-01-23,17.73,17.76,17.25,17.65,7972900,17.65,-0.08000000000000185
2014-01-24,17.43,17.57,17.07,17.17,4367000,17.17,-0.259999999999998
2014-01-27,17.2,17.23,16.55,16.85,4284400,16.85,-0.34999999999999787
2014-01-28,16.82,17.16,16.66,16.88,2290900,16.88,0.05999999999999872
2014-01-29,16.66,16.66,16.27,16.47,3726600,16.47,-0.19000000000000128
2014-01-30,16.65,16.72,16.33,16.53,1232600,16.53,-0.11999999999999744
2014-01-31,16.23,16.45,16.06,16.37,2179600,16.37,0.14000000000000057
2014-02-03,16.37,16.43,15.73,15.85,2707600,15.85,-0.5200000000000014
2014-02-04,15.99,16.25,15.75,15.89,2725900,15.89,-0.09999999999999964
2014-02-05,15.78,16.21,15.37,16.14,3455900,16.14,0.3600000000000012
2014-02-06,16.12,16.29,16.01,16.16,1016700,16.16,0.03999999999999915
2014-02-07,16.29,16.53,16.19,16.44,2816100,16.44,0.15000000000000213
2014-02-10,16.5,16.68,16.18,16.51,2052700,16.51,0.010000000000001563
2014-02-11,16.61,17.23,16.56,16.98,3162000,16.98,0.370000000000001
2014-02-12,17.01,17.2,16.8,16.87,2298300,16.87,-0.14000000000000057
2014-02-13,16.84,17.09,16.71,16.85,1892100,16.85,0.010000000000001563
2014-02-14,16.85,16.95,16.76,16.88,1918300,16.88,0.029999999999997584
2014-02-18,17.0,17.31,16.84,17.24,3292600,17.24,0.23999999999999844
2014-02-19,17.22,17.57,17.14,17.26,4110200,17.26,0.0400000000000027
2014-02-20,17.27,17.53,17.19,17.5,1912400,17.5,0.23000000000000043
2014-02-21,17.55,17.93,17.42,17.72,2636500,17.72,0.16999999999999815
2014-02-24,17.83,18.17,17.68,18.03,3410300,18.03,0.20000000000000284
2014-02-25,18.26,18.45,17.82,18.44,3478500,18.44,0.17999999999999972
2014-02-26,18.38,18.38,18.04,18.28,3340700,18.28,-0.09999999999999787
2014-02-27,19.87,19.9,18.64,19.46,9916700,19.46,-0.41000000000000014
2014-02-28,19.43,19.53,18.95,19.28,3726200,19.28,-0.14999999999999858
2014-03-03,18.3,18.92,18.16,18.35,4449400,18.35,0.05000000000000071
2014-03-04,18.55,18.71,18.33,18.55,2578000,18.55,0.0
2014-03-05,18.42,18.72,18.17,18.24,2048500,18.24,-0.18000000000000327
2014-03-06,18.23,18.44,18.0,18.07,1855700,18.07,-0.16000000000000014
2014-03-07,18.19,18.26,17.78,17.95,1568800,17.95,-0.240000000000002
2014-03-10,17.91,18.08,17.71,17.98,3105200,17.98,0.07000000000000028
2014-03-11,17.97,18.3,17.63,17.83,3524300,17.83,-0.14000000000000057
2014-03-12,17.65,17.88,17.39,17.81,3626300,17.81,0.16000000000000014
2014-03-13,17.87,18.14,17.37,17.66,2750900,17.66,-0.21000000000000085
2014-03-14,17.59,17.9,17.57,17.87,2690200,17.87,0.28000000000000114
2014-03-17,17.95,18.29,17.75,18.01,2917500,18.01,0.060000000000002274
2014-03-18,17.97,18.3,17.83,18.11,2057200,18.11,0.14000000000000057
2014-03-19,18.14,18.17,17.85,18.0,2051700,18.0,-0.14000000000000057
2014-03-20,17.94,18.17,17.82,18.15,1399400,18.15,0.2099999999999973
2014-03-21,18.23,18.71,18.16,18.56,3743400,18.56,0.3299999999999983
2014-03-24,18.61,18.67,18.23,18.42,2756400,18.42,-0.18999999999999773
2014-03-25,18.54,18.69,18.27,18.48,1472500,18.48,-0.05999999999999872
2014-03-26,18.54,18.7,18.21,18.23,2037900,18.23,-0.3099999999999987
2014-03-27,18.28,18.83,18.28,18.57,2202900,18.57,0.28999999999999915
2014-03-28,18.63,18.76,18.42,18.49,1693500,18.49,-0.14000000000000057
2014-03-31,18.64,18.68,18.25,18.32,2428800,18.32,-0.3200000000000003
2014-04-01,18.35,18.56,18.25,18.49,1677600,18.49,0.13999999999999702
2014-04-02,18.45,18.66,18.32,18.5,1995600,18.5,0.05000000000000071
2014-04-03,18.51,18.53,18.34,18.4,1774000,18.4,-0.11000000000000298
2014-04-04,18.12,18.46,18.08,18.15,2415200,18.15,0.029999999999997584
2014-04-07,17.77,18.15,17.51,17.7,3199600,17.7,-0.07000000000000028
2014-04-08,17.7,18.01,17.62,17.82,2618500,17.82,0.120000000000001
2014-04-09,17.91,18.07,17.65,18.04,2024800,18.04,0.129999999999999
2014-04-10,17.99,18.1,17.69,17.76,2124800,17.76,-0.22999999999999687
2014-04-11,17.64,17.77,17.48,17.51,1906800,17.51,-0.129999999999999
