Date,open,high,low,close,volume,adj_close,diff
2014-01-02,52.15,52.19,51.25,51.45,541000,49.62,-0.6999999999999957
2014-01-03,51.5,51.67,51.01,51.13,415500,49.31,-0.36999999999999744
2014-01-06,51.18,51.39,50.85,51.0,554100,49.18,-0.17999999999999972
2014-01-07,51.02,51.31,50.92,51.05,530400,49.23,0.02999999999999403
2014-01-08,51.07,51.07,50.64,50.89,1036600,49.08,-0.17999999999999972
2014-01-09,50.9,51.18,50.83,51.11,569700,49.29,0.21000000000000085
2014-01-10,51.41,51.49,51.04,51.15,543600,49.33,-0.259999999999998
2014-01-13,50.99,51.24,50.4,50.51,804400,48.71,-0.480000000000004
2014-01-14,50.54,50.89,50.46,50.8,342400,48.99,0.259999999999998
2014-01-15,51.06,51.12,50.62,50.87,510800,49.06,-0.19000000000000483
2014-01-16,50.59,50.75,50.35,50.51,528000,48.71,-0.0800000000000054
2014-01-17,50.48,50.6,50.21,50.52,1408100,48.72,0.04000000000000625
2014-01-21,50.9,50.99,50.25,50.48,890700,48.68,-0.4200000000000017
2014-01-22,50.69,50.79,50.42,50.7,676800,48.89,0.010000000000005116
2014-01-23,50.54,50.75,49.97,50.14,930200,48.35,-0.3999999999999986
2014-01-24,49.7,49.84,48.8,48.81,900000,47.07,-0.8900000000000006
2014-01-27,48.6,49.14,47.52,48.77,893000,47.03,0.1700000000000017
2014-01-28,48.82,49.31,48.78,49.26,630700,47.51,0.4399999999999977
2014-01-29,48.83,49.14,48.58,48.61,533100,46.88,-0.21999999999999886
2014-01-30,49.03,49.26,48.79,49.23,408700,47.48,0.19999999999999574
2014-01-31,48.32,48.85,47.96,48.45,913900,46.72,0.13000000000000256
2014-02-03,48.55,48.7,47.48,47.61,989400,45.91,-0.9399999999999977
2014-02-04,47.69,47.82,47.07,47.25,1142800,45.57,-0.4399999999999977
2014-02-05,47.07,47.43,46.94,47.1,791200,45.42,0.030000000000001137
2014-02-06,46.5,46.68,45.08,45.21,1464400,43.6,-1.2899999999999991
2014-02-07,45.23,45.73,44.9,45.73,1376000,44.1,0.5
2014-02-10,45.63,45.78,45.22,45.78,945600,44.15,0.14999999999999858
