Date,open,high,low,close,volume,adj_close,diff
2014-01-02,3.86,4.08,3.82,4.06,450900,4.06,0.19999999999999973
2014-01-03,4.06,4.1,3.91,3.95,224200,3.95,-0.10999999999999943
2014-01-06,3.94,4.0,3.86,3.93,226400,3.93,-0.009999999999999787
2014-01-07,3.98,3.99,3.9,3.98,183000,3.98,0.0
2014-01-08,3.98,4.22,3.97,4.16,638600,4.16,0.18000000000000016
2014-01-09,4.16,4.18,4.01,4.05,206200,4.05,-0.11000000000000032
2014-01-10,4.36,4.74,4.22,4.57,1201100,4.57,0.20999999999999996
2014-01-13,4.69,4.73,4.15,4.24,765100,4.24,-0.4500000000000002
2014-01-14,4.25,4.25,4.02,4.1,507700,4.1,-0.15000000000000036
2014-01-15,4.09,4.1,3.98,4.0,1271500,4.0,-0.08999999999999986
2014-01-16,4.0,4.05,3.89,3.99,798900,3.99,-0.009999999999999787
2014-01-17,3.98,3.98,3.9,3.96,478500,3.96,-0.020000000000000018
2014-01-21,3.96,3.98,3.78,3.86,577000,3.86,-0.10000000000000009
2014-01-22,3.88,3.9,3.8,3.85,211600,3.85,-0.029999999999999805
2014-01-23,3.83,3.91,3.76,3.91,515400,3.91,0.08000000000000007
2014-01-24,3.9,3.9,3.75,3.83,467700,3.83,-0.06999999999999984
2014-01-27,4.0,4.03,3.65,3.76,1948400,3.76,-0.2400000000000002
2014-01-28,3.79,3.82,3.66,3.76,393600,3.76,-0.03000000000000025
2014-01-29,3.76,3.85,3.7,3.81,313400,3.81,0.050000000000000266
2014-01-30,3.8,3.86,3.75,3.76,323300,3.76,-0.040000000000000036
2014-01-31,3.75,3.77,3.69,3.71,326700,3.71,-0.040000000000000036
2014-02-03,3.7,3.74,3.57,3.59,459000,3.59,-0.11000000000000032
2014-02-04,3.59,3.65,3.54,3.54,430500,3.54,-0.04999999999999982
2014-02-05,3.54,3.69,3.48,3.68,632500,3.68,0.14000000000000012
2014-02-06,3.72,3.74,3.59,3.64,265300,3.64,-0.08000000000000007
2014-02-07,3.67,3.7,3.61,3.66,132600,3.66,-0.009999999999999787
2014-02-10,3.69,3.75,3.6,3.74,230600,3.74,0.050000000000000266
2014-02-11,3.73,3.78,3.65,3.66,195500,3.66,-0.06999999999999984
2014-02-12,3.65,3.72,3.64,3.67,103300,3.67,0.020000000000000018
2014-02-13,3.67,3.75,3.63,3.73,205100,3.73,0.06000000000000005
2014-02-14,3.77,3.82,3.73,3.76,338800,3.76,-0.010000000000000231
2014-02-18,3.74,3.82,3.7,3.74,273600,3.74,0.0
2014-02-19,3.77,3.77,3.62,3.64,435600,3.64,-0.1299999999999999
2014-02-20,3.67,3.67,3.57,3.63,374800,3.63,-0.040000000000000036
2014-02-21,3.62,3.67,3.57,3.62,122000,3.62,0.0
2014-02-24,3.83,3.92,3.75,3.75,1558700,3.75,-0.08000000000000007
2014-02-25,3.8,3.8,3.65,3.74,457100,3.74,-0.05999999999999961
2014-02-26,3.71,3.79,3.66,3.72,297700,3.72,0.010000000000000231
2014-02-27,3.68,3.73,3.67,3.7,520900,3.7,0.020000000000000018
2014-02-28,3.91,3.96,3.71,3.73,1214000,3.73,-0.18000000000000016
2014-03-03,3.7,3.86,3.68,3.8,457000,3.8,0.09999999999999964
2014-03-04,3.85,3.86,3.78,3.83,273700,3.83,-0.020000000000000018
2014-03-05,3.85,3.88,3.83,3.87,232400,3.87,0.020000000000000018
2014-03-06,3.9,4.03,3.9,3.95,798900,3.95,0.050000000000000266
2014-03-07,3.97,4.01,3.86,3.97,413600,3.97,0.0
2014-03-10,3.98,4.0,3.92,3.99,263600,3.99,0.010000000000000231
2014-03-11,4.01,4.01,3.87,3.9,220300,3.9,-0.10999999999999988
