Date,open,high,low,close,volume,adj_close,diff
2014-01-02,14.66,14.66,14.2,14.27,73200,13.7,-0.39000000000000057
2014-01-03,14.25,14.67,14.25,14.37,40400,13.79,0.11999999999999922
2014-01-06,14.38,14.7,14.17,14.18,43800,13.61,-0.20000000000000107
2014-01-07,14.26,14.4,14.07,14.14,31500,13.57,-0.11999999999999922
2014-01-08,14.16,14.37,13.7,13.83,69900,13.27,-0.33000000000000007
2014-01-09,13.91,13.91,13.44,13.66,38800,13.11,-0.25
2014-01-10,13.74,13.99,13.57,13.71,26500,13.16,-0.02999999999999936
2014-01-13,13.6,13.6,12.64,12.81,198300,12.29,-0.7899999999999991
2014-01-14,12.04,12.3,11.8,11.97,176300,11.49,-0.06999999999999851
2014-01-15,11.89,11.99,11.45,11.53,215800,11.07,-0.3600000000000012
2014-01-16,11.49,11.71,11.3,11.49,91500,11.03,0.0
2014-01-17,11.51,11.55,11.32,11.43,57800,10.97,-0.08000000000000007
2014-01-21,11.5,11.62,11.05,11.31,195600,10.85,-0.1899999999999995
2014-01-22,11.28,11.43,10.9,11.14,111200,10.69,-0.1399999999999988
2014-01-23,11.09,11.22,11.0,11.17,89800,10.72,0.08000000000000007
2014-01-24,11.07,11.23,10.91,11.12,114700,10.67,0.049999999999998934
2014-01-27,11.17,11.22,10.8,10.95,172500,10.51,-0.22000000000000064
2014-01-28,10.99,11.15,10.9,10.99,165800,10.55,0.0
2014-01-29,10.95,11.11,10.8,10.8,70500,10.37,-0.14999999999999858
2014-01-30,10.86,11.02,10.81,10.91,82100,10.47,0.05000000000000071
2014-01-31,10.8,10.95,10.69,10.91,107300,10.47,0.10999999999999943
2014-02-03,10.92,10.99,10.24,10.37,139500,9.95,-0.5500000000000007
2014-02-04,10.36,10.72,10.23,10.5,93500,10.08,0.14000000000000057
2014-02-05,10.44,10.82,10.17,10.36,89000,9.94,-0.08000000000000007
2014-02-06,10.39,10.75,10.39,10.67,222600,10.24,0.27999999999999936
2014-02-07,10.66,10.93,10.6,10.85,105800,10.41,0.1899999999999995
2014-02-10,10.8,10.99,10.73,10.85,85200,10.41,0.049999999999998934
2014-02-11,10.88,10.93,10.65,10.87,39400,10.43,-0.010000000000001563
2014-02-12,10.88,11.1,10.61,10.81,40600,10.37,-0.07000000000000028
2014-02-13,10.7,10.95,10.65,10.85,52400,10.41,0.15000000000000036
2014-02-14,10.88,10.97,10.75,10.82,47500,10.38,-0.0600000000000005
2014-02-18,10.88,10.95,10.72,10.82,151600,10.38,-0.0600000000000005
2014-02-19,10.77,10.85,10.6,10.61,108100,10.18,-0.16000000000000014
2014-02-20,8.5,8.93,8.25,8.75,860200,8.53,0.25
2014-02-21,8.79,8.86,8.5,8.53,208100,8.31,-0.2599999999999998
2014-02-24,8.6,8.76,8.51,8.63,294900,8.41,0.030000000000001137
2014-02-25,8.6,8.71,8.52,8.56,192900,8.34,-0.03999999999999915
2014-02-26,8.59,8.77,8.55,8.74,131300,8.52,0.15000000000000036
2014-02-27,8.7,9.0,8.7,8.95,196100,8.72,0.25
2014-02-28,8.99,9.16,8.88,9.08,131600,8.85,0.08999999999999986
2014-03-03,9.02,9.17,8.83,8.89,108000,8.66,-0.129999999999999
2014-03-04,9.0,9.17,8.88,9.09,175500,8.86,0.08999999999999986
2014-03-05,9.06,9.21,8.96,9.17,80400,8.94,0.10999999999999943
2014-03-06,9.16,9.2,8.93,9.11,658300,8.88,-0.05000000000000071
2014-03-07,9.19,9.22,9.08,9.13,70800,8.9,-0.05999999999999872
2014-03-10,9.16,9.5,9.12,9.46,105400,9.22,0.3000000000000007
2014-03-11,9.51,9.61,9.24,9.34,121200,9.1,-0.16999999999999993
2014-03-12,9.33,9.49,9.04,9.12,122300,8.89,-0.21000000000000085
2014-03-13,9.1,9.23,9.0,9.06,89600,8.83,-0.03999999999999915
2014-03-14,9.06,9.22,8.88,8.96,360100,8.73,-0.09999999999999964
2014-03-17,9.01,9.19,8.93,8.99,214600,8.76,-0.019999999999999574
2014-03-18,9.02,9.04,8.9,8.99,75200,8.76,-0.02999999999999936
2014-03-19,9.0,9.09,8.82,8.88,50500,8.65,-0.11999999999999922
2014-03-20,8.9,8.94,8.74,8.79,53600,8.57,-0.11000000000000121
