Date,open,high,low,close,volume,adj_close,diff
2014-01-02,43.08,43.23,42.68,43.04,2169200,41.54,-0.03999999999999915
2014-01-03,42.66,42.78,42.36,42.42,2342700,41.24,-0.23999999999999488
2014-01-06,42.68,42.83,42.24,42.4,2519100,41.22,-0.28000000000000114
2014-01-07,42.7,42.99,42.56,42.87,2032900,41.68,0.1699999999999946
2014-01-08,42.84,42.9,42.3,42.59,2115300,41.41,-0.25
2014-01-09,42.5,42.56,42.01,42.49,1955800,41.31,-0.00999999999999801
2014-01-10,42.76,43.03,42.49,42.83,1546400,41.64,0.07000000000000028
2014-01-13,42.61,42.91,42.16,42.25,2073000,41.08,-0.35999999999999943
2014-01-14,42.39,42.83,42.25,42.63,1777400,41.45,0.240000000000002
2014-01-15,42.78,42.78,42.15,42.31,1558900,41.14,-0.46999999999999886
2014-01-16,42.3,43.01,42.22,42.85,1398700,41.66,0.5500000000000043
2014-01-17,42.67,42.74,41.62,41.79,3204600,40.63,-0.8800000000000026
2014-01-21,42.15,42.37,41.76,42.1,2230700,40.93,-0.04999999999999716
2014-01-22,42.33,42.6,42.23,42.32,1060400,41.15,-0.00999999999999801
2014-01-23,41.99,42.1,41.59,41.86,1781400,40.7,-0.13000000000000256
2014-01-24,41.8,42.89,41.74,42.29,3984400,41.12,0.490000000000002
2014-01-27,42.28,42.38,41.77,41.93,1921000,40.77,-0.3500000000000014
2014-01-28,41.98,42.28,41.7,41.97,1423800,40.81,-0.00999999999999801
2014-01-29,41.5,41.5,40.54,41.1,2643500,39.96,-0.3999999999999986
2014-01-30,41.35,41.45,41.01,41.16,1223400,40.02,-0.19000000000000483
2014-01-31,40.69,41.62,40.65,41.21,1681700,40.07,0.5200000000000031
2014-02-03,41.38,41.38,39.78,39.88,2059400,38.77,-1.5
2014-02-04,40.1,40.14,39.65,40.05,1329500,38.94,-0.05000000000000426
2014-02-05,39.66,40.12,39.6,39.84,1478600,38.74,0.18000000000000682
2014-02-06,39.95,40.08,39.62,40.02,1463400,38.91,0.07000000000000028
2014-02-07,40.11,40.49,39.89,40.32,1011900,39.2,0.21000000000000085
2014-02-10,40.24,40.74,40.15,40.65,1135200,39.52,0.4099999999999966
2014-02-11,40.5,40.92,40.41,40.9,1559500,39.77,0.3999999999999986
2014-02-12,40.9,41.29,40.69,40.86,1666000,39.73,-0.03999999999999915
2014-02-13,40.6,41.17,40.6,40.97,2355300,39.83,0.36999999999999744
2014-02-14,42.5,43.75,42.0,43.01,5164300,41.82,0.509999999999998
2014-02-18,43.05,43.36,42.61,43.25,2728200,42.05,0.20000000000000284
2014-02-19,43.22,43.63,43.16,43.55,2421100,42.34,0.3299999999999983
2014-02-20,43.46,43.76,43.35,43.69,1633100,42.48,0.22999999999999687
2014-02-21,43.76,44.06,43.57,43.98,4120500,42.76,0.21999999999999886
2014-02-24,44.05,44.44,44.03,44.19,1559100,42.96,0.14000000000000057
2014-02-25,44.3,44.44,43.76,43.94,2155800,42.72,-0.35999999999999943
2014-02-26,44.05,44.14,43.25,43.25,2601600,42.05,-0.7999999999999972
2014-02-27,43.22,43.52,42.97,43.13,2566100,41.93,-0.0899999999999963
2014-02-28,43.21,43.55,43.08,43.31,1317500,42.11,0.10000000000000142
2014-03-03,42.93,43.34,42.85,43.03,1429300,41.84,0.10000000000000142
2014-03-04,43.42,44.04,43.41,43.99,2189200,42.77,0.5700000000000003
2014-03-05,43.96,44.06,43.54,43.78,1156800,42.57,-0.17999999999999972
2014-03-06,43.85,43.89,43.52,43.72,1133300,42.51,-0.13000000000000256
2014-03-07,43.76,44.02,43.48,43.91,1018800,42.69,0.14999999999999858
2014-03-10,43.88,43.93,43.67,43.87,1183600,42.65,-0.010000000000005116
2014-03-11,43.85,44.16,43.5,43.62,1104100,42.41,-0.23000000000000398
2014-03-12,43.4,44.24,43.39,44.21,1019100,42.98,0.8100000000000023
2014-03-13,44.32,44.6,43.81,44.02,1324300,42.8,-0.29999999999999716
2014-03-14,43.81,44.5,43.8,44.05,1513900,42.83,0.23999999999999488
2014-03-17,44.18,44.22,43.68,43.89,1045500,42.67,-0.28999999999999915
2014-03-18,44.04,44.58,43.73,44.37,1186000,43.14,0.3299999999999983
2014-03-19,44.33,44.45,43.87,43.99,1268200,42.77,-0.3399999999999963
2014-03-20,43.97,44.64,43.91,44.64,1730600,43.4,0.6700000000000017
2014-03-21,44.93,44.99,44.44,44.54,1892900,43.3,-0.39000000000000057
2014-03-24,44.56,44.74,44.04,44.25,1901200,43.02,-0.3100000000000023
2014-03-25,44.59,44.64,44.03,44.32,1244600,43.09,-0.2700000000000031
2014-03-26,44.41,44.5,44.0,44.05,650700,42.83,-0.35999999999999943
2014-03-27,44.1,44.34,43.96,44.15,612200,42.93,0.04999999999999716
2014-03-28,44.27,44.63,44.14,44.56,944500,43.32,0.28999999999999915
2014-03-31,44.82,44.98,44.67,44.88,678000,43.64,0.060000000000002274
2014-04-01,43.93,44.95,43.88,44.56,1063900,43.32,0.6300000000000026
2014-04-02,44.53,44.68,44.32,44.57,962900,43.33,0.03999999999999915
2014-04-03,44.76,44.92,44.26,44.87,1313900,43.63,0.10999999999999943
2014-04-04,44.64,44.7,44.26,44.31,1044300,43.38,-0.3299999999999983
2014-04-07,44.3,44.96,44.3,44.81,1719500,43.87,0.5100000000000051
2014-04-08,44.87,45.1,44.47,44.68,1304500,43.75,-0.18999999999999773
2014-04-09,44.75,45.03,44.63,44.95,776200,44.01,0.20000000000000284
2014-04-10,44.97,45.48,44.65,44.69,1091200,43.75,-0.28000000000000114
2014-04-11,44.43,44.84,44.05,44.26,976600,43.33,-0.1700000000000017
2014-04-14,44.67,44.81,44.3,44.6,793800,43.67,-0.07000000000000028
2014-04-15,44.68,44.68,44.03,44.17,1024200,43.25,-0.509999999999998
2014-04-16,44.48,44.73,44.31,44.68,894600,43.75,0.20000000000000284
2014-04-17,44.52,44.63,44.36,44.54,762200,43.61,0.01999999999999602
2014-04-21,44.49,44.68,44.28,44.42,787900,43.49,-0.07000000000000028
2014-04-22,44.47,44.81,44.27,44.73,924400,43.79,0.259999999999998
2014-04-23,44.71,45.12,44.71,44.93,813900,43.99,0.21999999999999886
2014-04-24,44.91,45.17,44.77,44.87,715000,43.93,-0.03999999999999915
2014-04-25,44.84,44.98,44.49,44.94,564000,44.0,0.09999999999999432
2014-04-28,45.09,45.76,45.02,45.68,1203800,44.72,0.5899999999999963
2014-04-29,45.77,46.02,45.38,45.4,752200,44.45,-0.37000000000000455
2014-04-30,45.31,45.5,45.01,45.49,688400,44.54,0.17999999999999972
2014-05-01,45.39,45.46,44.9,45.2,625000,44.25,-0.18999999999999773
2014-05-02,45.2,45.35,44.89,44.99,472400,44.05,-0.21000000000000085
2014-05-05,44.88,45.2,44.79,45.19,531500,44.24,0.30999999999999517
2014-05-06,45.18,45.26,44.81,44.9,661500,43.96,-0.28000000000000114
2014-05-07,45.03,45.36,45.0,45.32,1017100,44.37,0.28999999999999915
2014-05-08,45.37,45.61,45.03,45.24,622000,44.29,-0.12999999999999545
2014-05-09,45.22,45.45,45.12,45.4,923500,44.45,0.17999999999999972
2014-05-12,45.57,45.7,45.36,45.49,849200,44.54,-0.0799999999999983
2014-05-13,45.58,45.85,45.54,45.63,855100,44.68,0.05000000000000426
2014-05-14,45.65,45.84,45.28,45.31,949200,44.36,-0.3399999999999963
2014-05-15,45.16,45.47,44.96,45.03,868400,44.09,-0.12999999999999545
2014-05-16,44.96,45.21,44.82,45.12,1318600,44.18,0.1599999999999966
2014-05-19,42.55,44.39,41.92,44.06,4735400,43.14,1.5100000000000051
2014-05-20,43.92,44.27,43.63,44.04,2507000,43.12,0.11999999999999744
2014-05-21,43.7,44.38,43.54,44.37,1519200,43.44,0.6699999999999946
2014-05-22,44.32,44.33,43.99,44.25,630500,43.32,-0.07000000000000028
2014-05-23,44.34,44.4,43.95,44.06,827300,43.14,-0.28000000000000114
2014-05-27,44.09,44.78,44.05,44.7,1032100,43.76,0.6099999999999994
2014-05-28,44.68,44.97,44.56,44.61,829800,43.68,-0.07000000000000028
2014-05-29,44.67,45.15,44.45,45.14,1388600,44.2,0.46999999999999886
2014-05-30,45.33,46.06,45.12,45.9,2408500,44.94,0.5700000000000003
2014-06-02,45.86,45.91,45.43,45.47,906100,44.52,-0.39000000000000057
2014-06-03,45.59,45.59,45.28,45.4,1003700,44.45,-0.19000000000000483
2014-06-04,45.29,45.79,45.18,45.72,965900,44.76,0.4299999999999997
2014-06-05,45.87,46.47,45.69,46.37,2023800,45.4,0.5
2014-06-06,46.25,46.49,46.11,46.37,884900,45.4,0.11999999999999744
2014-06-09,46.25,46.28,45.68,45.86,1294300,44.9,-0.39000000000000057
2014-06-10,45.75,45.96,45.49,45.65,1293800,44.69,-0.10000000000000142
2014-06-11,45.6,45.68,45.29,45.43,572700,44.48,-0.1700000000000017
2014-06-12,45.32,45.54,45.12,45.26,569700,44.31,-0.060000000000002274
2014-06-13,45.3,45.52,45.12,45.32,466600,44.37,0.020000000000003126
2014-06-16,45.28,45.73,45.2,45.65,611200,44.69,0.36999999999999744
2014-06-17,45.54,45.77,45.41,45.69,622600,44.73,0.14999999999999858
2014-06-18,45.46,46.05,45.34,46.01,744500,45.05,0.5499999999999972
2014-06-19,46.0,46.67,45.97,46.61,896600,45.63,0.6099999999999994
2014-06-20,46.61,46.61,46.21,46.43,1228400,45.46,-0.17999999999999972
2014-06-23,46.4,46.4,45.82,46.07,1187700,45.11,-0.3299999999999983
2014-06-24,45.94,46.02,45.59,45.66,760700,44.7,-0.28000000000000114
2014-06-25,45.48,45.48,45.1,45.32,935500,44.37,-0.1599999999999966
2014-06-26,45.25,45.27,45.01,45.26,702900,44.31,0.00999999999999801
2014-06-27,45.16,45.92,45.16,45.67,933900,44.71,0.5100000000000051
2014-06-30,45.67,46.2,45.5,45.81,859400,44.85,0.14000000000000057
2014-07-01,45.84,46.23,45.66,46.06,652700,45.1,0.21999999999999886
2014-07-02,46.09,46.23,45.95,46.19,742600,45.22,0.09999999999999432
2014-07-03,45.87,46.07,45.63,45.87,585800,45.22,0.0
2014-07-07,45.75,45.93,45.54,45.66,818100,45.01,-0.09000000000000341
2014-07-08,45.72,46.0,45.36,45.42,1285900,44.77,-0.29999999999999716
2014-07-09,45.52,45.63,45.26,45.3,740800,44.65,-0.22000000000000597
2014-07-10,44.93,45.33,44.88,45.27,577700,44.62,0.3400000000000034
2014-07-11,45.3,45.48,45.15,45.29,692000,44.64,-0.00999999999999801
2014-07-14,45.44,45.57,45.16,45.27,571000,44.62,-0.1699999999999946
2014-07-15,44.51,44.87,44.05,44.14,2055500,43.51,-0.36999999999999744
2014-07-16,44.14,44.75,43.92,44.56,2631500,43.92,0.4200000000000017
2014-07-17,44.44,44.46,43.7,43.74,1545100,43.12,-0.6999999999999957
2014-07-18,43.87,43.96,43.48,43.95,3019900,43.32,0.0800000000000054
2014-07-21,43.65,44.34,43.53,44.16,1643000,43.53,0.509999999999998
2014-07-22,44.05,44.28,44.05,44.14,974600,43.51,0.09000000000000341
2014-07-23,44.08,44.26,43.76,43.76,732400,43.14,-0.3200000000000003
2014-07-24,43.85,43.98,43.4,43.53,1526400,42.91,-0.3200000000000003
2014-07-25,43.47,43.68,43.45,43.5,972900,42.88,0.030000000000001137
2014-07-28,43.56,43.81,43.25,43.46,845900,42.84,-0.10000000000000142
2014-07-29,43.53,43.76,43.24,43.27,1053700,42.65,-0.259999999999998
2014-07-30,43.3,43.44,42.73,42.79,1078300,42.18,-0.509999999999998
2014-07-31,42.57,42.6,41.51,41.59,1480500,41.0,-0.9799999999999969
2014-08-01,41.52,42.08,41.39,41.96,1121200,41.36,0.4399999999999977
2014-08-04,42.01,42.26,41.86,42.23,620900,41.63,0.21999999999999886
2014-08-05,42.1,42.24,41.75,41.81,1112000,41.21,-0.28999999999999915
2014-08-06,41.72,42.51,41.66,42.2,1669300,41.6,0.480000000000004
2014-08-07,42.38,42.48,42.0,42.14,815700,41.54,-0.240000000000002
2014-08-08,42.23,42.7,42.09,42.67,665600,42.06,0.44000000000000483
2014-08-11,42.67,43.3,42.67,43.16,979800,42.54,0.4899999999999949
2014-08-12,43.05,43.2,42.96,43.12,445500,42.5,0.07000000000000028
2014-08-13,43.25,43.46,43.13,43.37,491300,42.75,0.11999999999999744
2014-08-14,43.57,43.89,43.53,43.72,653300,43.1,0.14999999999999858
2014-08-15,43.78,43.96,43.18,43.47,850000,42.85,-0.3100000000000023
2014-08-18,43.74,44.24,43.67,43.86,1037200,43.23,0.11999999999999744
2014-08-19,43.91,44.22,43.85,44.11,429700,43.48,0.20000000000000284
2014-08-20,44.1,44.33,43.97,44.22,575200,43.59,0.11999999999999744
2014-08-21,44.32,44.59,44.31,44.45,476700,43.82,0.13000000000000256
2014-08-22,44.45,44.69,43.95,44.01,662200,43.38,-0.44000000000000483
2014-08-25,44.22,44.3,43.91,44.27,1481100,43.64,0.05000000000000426
2014-08-26,44.22,44.58,44.22,44.45,517500,43.82,0.23000000000000398
2014-08-27,44.42,44.61,44.38,44.6,550600,43.96,0.17999999999999972
2014-08-28,44.49,44.78,44.45,44.77,756100,44.13,0.28000000000000114
2014-08-29,44.78,44.84,44.54,44.82,719900,44.18,0.03999999999999915
2014-09-02,44.75,45.12,44.43,44.64,743300,44.0,-0.10999999999999943
2014-09-03,44.69,44.77,44.44,44.47,680100,43.84,-0.21999999999999886
2014-09-04,44.48,44.68,44.14,44.25,625600,43.62,-0.22999999999999687
2014-09-05,44.29,44.54,44.05,44.54,888200,43.9,0.25
2014-09-08,43.43,43.93,42.9,43.39,2180000,42.77,-0.03999999999999915
2014-09-09,43.31,43.33,42.92,43.22,1109200,42.6,-0.09000000000000341
2014-09-10,43.27,43.61,43.01,43.42,844100,42.8,0.14999999999999858
2014-09-11,43.32,44.13,43.27,44.12,1169100,43.49,0.7999999999999972
2014-09-12,44.03,44.16,43.28,43.4,862800,42.78,-0.6300000000000026
2014-09-15,43.43,43.53,43.1,43.5,757700,42.88,0.07000000000000028
2014-09-16,43.51,43.8,43.43,43.6,558000,42.98,0.09000000000000341
2014-09-17,43.42,43.45,42.96,43.1,911200,42.49,-0.3200000000000003
2014-09-18,43.35,43.48,43.1,43.4,741000,42.78,0.04999999999999716
2014-09-19,43.59,43.64,43.03,43.06,1712900,42.45,-0.5300000000000011
2014-09-22,43.11,43.19,42.68,42.79,911100,42.18,-0.3200000000000003
2014-09-23,42.78,42.88,42.55,42.58,800700,41.97,-0.20000000000000284
2014-09-24,42.51,43.2,42.51,42.97,956100,42.36,0.46000000000000085
2014-09-25,42.76,42.92,42.31,42.38,719800,41.78,-0.37999999999999545
2014-09-26,42.43,42.65,42.21,42.62,682100,42.01,0.18999999999999773
2014-09-29,42.41,42.85,42.41,42.85,864700,42.24,0.44000000000000483
2014-09-30,42.74,42.95,42.5,42.73,920800,42.12,-0.010000000000005116
2014-10-01,42.51,42.66,42.21,42.22,1301600,41.62,-0.28999999999999915
2014-10-02,42.22,42.45,41.92,42.1,1199800,41.5,-0.11999999999999744
2014-10-03,42.18,42.5,42.05,42.45,860800,41.84,0.2700000000000031
2014-10-06,42.6,42.65,42.16,42.55,733400,41.94,-0.05000000000000426
2014-10-07,42.38,42.82,42.31,42.31,1258100,41.71,-0.07000000000000028
2014-10-08,42.0,42.66,41.92,42.63,1052800,42.33,0.6300000000000026
2014-10-09,42.49,42.74,41.83,41.88,1184200,41.59,-0.6099999999999994
2014-10-10,42.02,42.47,41.8,42.19,1860300,41.9,0.1699999999999946
2014-10-13,42.03,42.41,41.91,41.94,911800,41.65,-0.09000000000000341
2014-10-14,42.04,42.57,42.01,42.29,1129400,42.0,0.25
2014-10-15,41.93,42.19,41.32,41.96,1434700,41.67,0.030000000000001137
2014-10-16,41.26,41.79,41.15,41.6,1129300,41.31,0.3400000000000034
2014-10-17,41.89,42.23,41.55,42.04,846400,41.75,0.14999999999999858
2014-10-20,41.99,42.84,41.95,42.75,766400,42.45,0.759999999999998
2014-10-21,42.87,43.11,42.65,42.9,786200,42.6,0.030000000000001137
2014-10-22,43.0,43.19,42.88,42.92,1110500,42.62,-0.0799999999999983
2014-10-23,43.16,43.23,42.92,42.97,572300,42.67,-0.18999999999999773
2014-10-24,43.0,43.2,42.85,43.17,659800,42.87,0.1700000000000017
2014-10-27,43.09,43.79,42.99,43.63,1007500,43.33,0.5399999999999991
2014-10-28,43.74,43.84,43.56,43.74,652900,43.44,0.0
2014-10-29,43.73,43.83,43.05,43.45,866900,43.15,-0.27999999999999403
2014-10-30,43.27,44.07,43.27,43.91,850600,43.61,0.6399999999999935
2014-10-31,44.51,44.52,44.06,44.17,1048900,43.86,-0.3399999999999963
2014-11-03,44.01,44.42,44.01,44.33,1637600,44.02,0.3200000000000003
2014-11-04,44.37,44.75,44.29,44.46,1615800,44.15,0.09000000000000341
2014-11-05,44.87,44.99,44.64,44.87,1033500,44.56,0.0
2014-11-06,45.04,45.2,44.48,44.69,1855700,44.38,-0.3500000000000014
2014-11-07,44.45,44.6,43.86,44.1,3183000,43.79,-0.3500000000000014
2014-11-10,44.2,44.45,43.96,44.39,963200,44.08,0.18999999999999773
2014-11-11,44.38,44.7,44.27,44.39,756200,44.08,0.00999999999999801
2014-11-12,44.01,44.04,43.56,43.87,1967100,43.57,-0.14000000000000057
2014-11-13,44.01,44.14,43.75,43.85,1051500,43.55,-0.1599999999999966
2014-11-14,43.85,44.11,43.65,43.75,1119400,43.45,-0.10000000000000142
2014-11-17,43.73,44.66,43.73,44.56,1332500,44.25,0.8300000000000054
2014-11-18,44.56,44.73,44.39,44.56,883000,44.25,0.0
2014-11-19,44.47,44.85,44.31,44.83,946300,44.52,0.35999999999999943
2014-11-20,44.75,45.07,44.62,44.71,774300,44.4,-0.03999999999999915
2014-11-21,45.04,45.11,44.6,44.83,1184000,44.52,-0.21000000000000085
2014-11-24,44.81,44.97,44.39,44.59,1492900,44.28,-0.21999999999999886
2014-11-25,44.55,45.39,44.42,44.64,3271700,44.33,0.09000000000000341
2014-11-26,44.53,44.78,44.0,44.45,1909000,44.14,-0.0799999999999983
2014-11-28,44.59,45.71,44.54,45.28,1128300,44.97,0.6899999999999977
2014-12-01,44.99,45.29,44.87,45.06,2196500,44.75,0.07000000000000028
2014-12-02,44.98,45.12,44.41,44.51,2529100,44.2,-0.46999999999999886
2014-12-03,44.44,44.48,43.01,43.79,5543000,43.49,-0.6499999999999986
2014-12-04,43.94,44.09,43.41,43.65,3316600,43.35,-0.28999999999999915
2014-12-05,43.61,43.71,43.33,43.65,2446000,43.35,0.03999999999999915
2014-12-08,43.67,44.18,43.6,44.15,2119700,43.84,0.4799999999999969
2014-12-09,43.9,44.35,43.68,44.24,2060600,43.93,0.3400000000000034
2014-12-10,44.25,44.65,44.02,44.07,1471000,43.76,-0.17999999999999972
2014-12-11,44.1,44.68,44.0,44.42,838300,44.11,0.3200000000000003
2014-12-12,44.12,44.47,43.74,43.75,965700,43.45,-0.36999999999999744
2014-12-15,43.84,44.08,42.91,43.08,1809600,42.78,-0.7600000000000051
2014-12-16,43.07,43.7,42.7,42.72,1414000,42.42,-0.3500000000000014
2014-12-17,42.92,43.57,42.86,43.18,2841200,42.88,0.259999999999998
2014-12-18,43.57,44.05,43.47,44.05,2408500,43.74,0.4799999999999969
2014-12-19,44.23,44.58,43.97,44.3,1919000,43.99,0.07000000000000028
2014-12-22,44.44,44.67,44.35,44.5,912500,44.19,0.060000000000002274
2014-12-23,44.7,44.8,44.52,44.62,894000,44.31,-0.0800000000000054
2014-12-24,44.68,44.82,44.57,44.57,278700,44.26,-0.10999999999999943
2014-12-26,44.69,44.93,44.56,44.83,507200,44.52,0.14000000000000057
2014-12-29,44.73,45.07,44.57,44.85,935100,44.54,0.12000000000000455
2014-12-30,44.62,44.93,44.53,44.59,574200,44.28,-0.02999999999999403
2014-12-31,44.6,44.69,43.95,44.0,994300,43.69,-0.6000000000000014
