Date,open,high,low,close,volume,adj_close,diff
2014-01-02,30.76,30.91,29.9,29.91,1004200,29.13,-0.8500000000000014
2014-01-03,30.61,30.76,30.55,30.65,651100,29.85,0.03999999999999915
2014-01-06,30.99,31.2,30.96,31.05,1200200,30.24,0.060000000000002274
2014-01-07,31.59,31.67,31.52,31.56,753400,30.74,-0.030000000000001137
2014-01-08,31.62,31.81,31.49,31.8,803100,30.97,0.17999999999999972
2014-01-09,31.69,31.9,31.64,31.88,544000,31.05,0.18999999999999773
2014-01-10,32.62,32.84,32.58,32.82,1417100,31.96,0.20000000000000284
2014-01-13,33.0,33.09,32.72,32.74,826500,31.89,-0.259999999999998
2014-01-14,33.15,33.25,32.98,33.12,1040000,32.26,-0.030000000000001137
2014-01-15,33.05,33.23,32.99,33.19,904900,32.32,0.14000000000000057
2014-01-16,33.12,33.12,32.85,33.07,647200,32.21,-0.04999999999999716
2014-01-17,32.68,32.86,32.2,32.52,1126100,31.67,-0.1599999999999966
2014-01-21,32.27,32.27,31.94,32.16,751000,31.32,-0.11000000000000654
2014-01-22,31.93,32.12,31.85,32.04,782700,31.2,0.10999999999999943
2014-01-23,32.07,32.09,31.76,31.93,810700,31.1,-0.14000000000000057
2014-01-24,31.16,31.24,30.98,31.03,1309600,30.22,-0.129999999999999
2014-01-27,31.15,31.22,30.7,30.87,619200,30.06,-0.2799999999999976
2014-01-28,31.08,31.25,31.01,31.21,445500,30.4,0.13000000000000256
2014-01-29,30.71,31.04,30.66,30.8,734400,30.0,0.08999999999999986
2014-01-30,30.62,30.74,30.43,30.67,502500,29.87,0.05000000000000071
2014-01-31,30.03,30.34,29.98,30.15,1207400,29.36,0.11999999999999744
2014-02-03,30.0,30.09,29.28,29.34,1444500,28.57,-0.6600000000000001
2014-02-04,29.99,30.01,29.73,29.81,1182700,29.03,-0.17999999999999972
2014-02-05,29.86,30.05,29.85,29.98,571500,29.2,0.120000000000001
2014-02-06,29.99,30.74,29.94,30.55,2298800,29.75,0.5600000000000023
2014-02-07,30.29,30.47,30.02,30.43,935700,29.64,0.14000000000000057
2014-02-10,30.17,30.36,30.13,30.27,588000,29.48,0.09999999999999787
2014-02-11,30.48,30.85,30.46,30.78,1004600,29.98,0.3000000000000007
2014-02-12,31.07,31.37,31.05,31.12,1066600,30.31,0.05000000000000071
2014-02-13,31.16,31.58,31.1,31.45,1039800,30.63,0.28999999999999915
2014-02-14,31.49,31.6,31.44,31.45,678100,30.63,-0.03999999999999915
2014-02-18,32.04,32.08,31.89,31.93,683900,31.1,-0.10999999999999943
2014-02-19,31.8,31.92,31.56,31.61,602800,30.79,-0.19000000000000128
2014-02-20,31.39,31.6,31.27,31.56,462200,30.74,0.16999999999999815
2014-02-21,31.54,31.7,31.45,31.47,775000,30.65,-0.07000000000000028
2014-02-24,31.57,31.92,31.56,31.74,758100,30.91,0.16999999999999815
2014-02-25,31.61,31.8,31.56,31.61,389000,30.79,0.0
2014-02-26,30.94,30.98,30.63,30.86,1282800,30.06,-0.08000000000000185
2014-02-27,30.66,31.11,30.64,31.05,921900,30.24,0.39000000000000057
2014-02-28,31.46,31.66,31.25,31.37,1580300,30.55,-0.08999999999999986
2014-03-03,30.85,30.92,30.66,30.81,938500,30.01,-0.0400000000000027
2014-03-04,31.45,31.45,31.22,31.27,722100,30.45,-0.17999999999999972
2014-03-05,31.52,31.73,31.48,31.58,609900,30.76,0.05999999999999872
2014-03-06,32.21,32.32,32.15,32.16,997100,31.32,-0.05000000000000426
2014-03-07,32.45,32.47,31.94,32.13,925200,31.29,-0.3200000000000003
2014-03-10,31.96,32.08,31.73,32.03,733000,31.19,0.07000000000000028
2014-03-11,31.85,31.97,31.56,31.63,601900,30.81,-0.22000000000000242
2014-03-12,31.45,31.73,31.36,31.64,743300,30.81,0.19000000000000128
2014-03-13,31.57,31.62,30.88,31.02,1440000,30.21,-0.5500000000000007
2014-03-14,30.68,30.79,30.22,30.25,1777800,29.46,-0.4299999999999997
2014-03-17,30.44,30.69,30.4,30.59,787400,29.79,0.14999999999999858
2014-03-18,30.88,31.14,30.87,31.03,485100,30.22,0.15000000000000213
2014-03-19,31.4,31.44,30.73,30.98,1128700,30.17,-0.41999999999999815
2014-03-20,31.02,31.5,30.98,31.42,650000,30.6,0.40000000000000213
2014-03-21,31.33,31.45,30.83,30.94,798400,30.13,-0.389999999999997
2014-03-24,30.68,30.94,30.48,30.88,570400,30.07,0.1999999999999993
2014-03-25,31.09,31.12,30.76,31.03,629600,30.22,-0.05999999999999872
2014-03-26,31.19,31.32,30.93,31.04,2029200,30.23,-0.15000000000000213
2014-03-27,31.27,31.4,31.23,31.28,853400,30.46,0.010000000000001563
2014-03-28,31.7,31.98,31.66,31.73,860900,30.9,0.030000000000001137
2014-03-31,32.34,32.59,32.31,32.38,880800,31.54,0.03999999999999915
2014-04-01,32.72,32.89,32.69,32.82,1119300,31.96,0.10000000000000142
2014-04-02,32.78,32.85,32.67,32.83,591700,31.97,0.04999999999999716
2014-04-03,32.75,32.88,32.68,32.84,440100,31.98,0.09000000000000341
2014-04-04,33.22,33.23,32.61,32.66,733000,31.81,-0.5600000000000023
2014-04-07,32.22,32.36,32.01,32.07,792300,31.23,-0.14999999999999858
2014-04-08,32.15,32.43,32.14,32.28,773400,31.44,0.13000000000000256
2014-04-09,32.31,32.62,32.18,32.53,807800,31.68,0.21999999999999886
2014-04-10,32.7,32.8,32.13,32.13,745900,31.29,-0.5700000000000003
2014-04-11,31.74,32.02,31.61,31.79,773200,30.96,0.05000000000000071
2014-04-14,31.65,31.72,31.4,31.64,604900,30.81,-0.00999999999999801
2014-04-15,31.7,31.87,31.3,31.76,947000,30.93,0.060000000000002274
2014-04-16,30.97,31.29,30.78,31.22,1507900,30.41,0.25
2014-04-17,31.15,31.25,30.99,31.15,1024400,30.34,0.0
2014-04-21,31.17,31.24,30.95,31.12,404900,30.31,-0.05000000000000071
2014-04-22,31.56,31.84,31.53,31.63,639300,30.81,0.07000000000000028
2014-04-23,31.61,31.61,31.29,31.43,578700,30.61,-0.17999999999999972
2014-04-24,31.17,31.44,30.99,31.34,609800,30.52,0.16999999999999815
2014-04-25,31.08,31.09,30.91,30.94,718100,30.13,-0.13999999999999702
2014-04-28,31.28,31.37,30.92,31.19,652600,30.38,-0.08999999999999986
2014-04-29,31.63,31.83,31.58,31.69,605200,30.86,0.060000000000002274
2014-04-30,31.69,31.79,31.6,31.67,481000,30.84,-0.019999999999999574
2014-05-01,31.77,31.92,31.72,31.77,989600,30.94,0.0
2014-05-02,31.91,32.05,31.78,31.85,1042800,31.02,-0.05999999999999872
