Date,open,high,low,close,volume,adj_close,diff
2014-01-02,106.44,108.84,101.42,103.14,1815400,103.14,-3.299999999999997
2014-01-03,103.25,104.24,101.24,102.62,1167400,102.62,-0.6299999999999955
2014-01-06,102.82,102.82,100.1,100.4,1158500,100.4,-2.4199999999999875
2014-01-07,101.16,103.34,100.89,101.1,1032600,101.1,-0.060000000000002274
2014-01-08,101.3,102.75,99.61,100.61,1416800,100.61,-0.6899999999999977
2014-01-09,100.63,101.4,97.5,98.71,1490700,98.71,-1.9200000000000017
2014-01-10,99.07,100.69,98.44,98.9,1210500,98.9,-0.1699999999999875
2014-01-13,99.64,99.64,95.33,95.63,1595600,95.63,-4.010000000000005
2014-01-14,96.51,99.91,96.51,99.26,1178700,99.26,2.75
2014-01-15,99.69,100.68,99.13,99.64,1030000,99.64,-0.04999999999999716
2014-01-16,99.2,101.71,99.07,100.8,996300,100.8,1.5999999999999943
2014-01-17,101.49,101.49,98.76,99.6,1365900,99.6,-1.8900000000000006
2014-01-21,98.92,100.83,98.64,99.39,1329500,99.39,0.46999999999999886
2014-01-22,100.48,102.12,99.89,101.94,1333000,101.94,1.4599999999999937
2014-01-23,101.33,102.24,99.05,99.51,894200,99.51,-1.8199999999999932
2014-01-24,99.2,99.2,96.23,96.89,703300,96.89,-2.3100000000000023
2014-01-27,96.76,97.2,94.83,96.0,952600,96.0,-0.7600000000000051
2014-01-28,96.78,98.45,95.96,97.82,801800,97.82,1.039999999999992
2014-01-29,96.43,97.39,94.51,95.78,984700,95.78,-0.6500000000000057
2014-01-30,96.44,97.79,96.1,96.91,1279000,96.91,0.46999999999999886
2014-01-31,95.33,98.61,94.84,97.79,1101200,97.79,2.460000000000008
2014-02-03,97.67,98.81,95.53,96.41,1168100,96.41,-1.2600000000000051
2014-02-04,97.46,100.57,97.06,99.83,1482800,99.83,2.3700000000000045
2014-02-05,101.2,101.2,98.8,100.34,1443500,100.34,-0.8599999999999994
2014-02-06,100.47,104.96,100.47,104.63,1904200,104.63,4.159999999999997
2014-02-07,105.69,110.0,105.69,108.14,2581500,108.14,2.450000000000003
2014-02-10,107.93,108.9,106.01,108.45,1036900,108.45,0.519999999999996
2014-02-11,107.97,109.7,106.86,108.46,1344800,108.46,0.4899999999999949
2014-02-12,109.33,110.67,107.84,110.22,949200,110.22,0.8900000000000006
2014-02-13,109.67,111.96,108.64,110.69,1407800,110.69,1.019999999999996
2014-02-14,110.85,112.2,110.25,111.99,911300,111.99,1.1400000000000006
2014-02-18,112.5,116.58,112.5,115.85,1476400,115.85,3.3499999999999943
2014-02-19,114.94,115.68,113.11,114.83,1824100,114.83,-0.10999999999999943
2014-02-20,113.8,119.0,113.68,116.27,1905300,116.27,2.469999999999999
2014-02-21,116.19,117.08,114.48,114.7,1644700,114.7,-1.4899999999999949
2014-02-24,118.34,120.73,116.9,118.55,2026600,118.55,0.20999999999999375
2014-02-25,118.18,119.06,115.54,119.0,1632500,119.0,0.8199999999999932
2014-02-26,119.41,120.0,117.67,117.82,1285400,117.82,-1.5900000000000034
2014-02-27,117.18,119.96,117.06,119.9,943700,119.9,2.719999999999999
2014-02-28,120.04,122.02,119.6,121.13,1198900,121.13,1.0899999999999892
2014-03-03,120.81,123.05,119.65,122.45,1424000,122.45,1.6400000000000006
2014-03-04,122.79,123.38,121.59,122.8,1261400,122.8,0.009999999999990905
2014-03-05,122.75,123.35,120.18,120.85,1436400,120.85,-1.9000000000000057
2014-03-06,121.25,122.34,119.78,121.81,1423700,121.81,0.5600000000000023
2014-03-07,121.85,123.35,120.55,121.6,1203900,121.6,-0.25
2014-03-10,120.48,121.6,119.23,120.52,865200,120.52,0.03999999999999204
2014-03-11,120.5,121.42,117.23,117.62,1027300,117.62,-2.8799999999999955
2014-03-12,115.88,117.84,114.59,116.69,1287700,116.69,0.8100000000000023
