Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.6,5.66,5.5,5.5,37300,4.86,-0.09999999999999964
2014-01-03,5.58,5.6,5.4,5.54,31000,4.89,-0.040000000000000036
2014-01-06,5.47,5.6,5.4,5.51,42300,4.87,0.040000000000000036
2014-01-07,5.5,5.79,5.46,5.73,71300,5.06,0.23000000000000043
2014-01-08,5.78,5.78,5.72,5.76,29700,5.09,-0.020000000000000462
2014-01-09,5.73,5.77,5.68,5.68,44600,5.02,-0.05000000000000071
2014-01-10,5.73,5.77,5.69,5.71,38300,5.04,-0.020000000000000462
2014-01-13,5.72,5.93,5.71,5.91,58200,5.22,0.1900000000000004
2014-01-14,5.83,5.94,5.71,5.81,28500,5.13,-0.020000000000000462
2014-01-15,5.89,5.96,5.89,5.93,24900,5.24,0.040000000000000036
2014-01-16,5.93,5.99,5.9,5.92,32300,5.23,-0.009999999999999787
2014-01-17,6.03,6.17,5.85,6.07,57700,5.36,0.040000000000000036
2014-01-21,6.25,6.56,6.2,6.5,177500,5.74,0.25
2014-01-22,6.5,6.55,6.37,6.37,39900,5.63,-0.1299999999999999
2014-01-23,6.46,6.54,6.22,6.3,71000,5.56,-0.16000000000000014
2014-01-24,6.3,6.3,6.1,6.29,52200,5.55,-0.009999999999999787
2014-01-27,6.24,6.48,6.2,6.43,57000,5.68,0.1899999999999995
2014-01-28,6.5,6.55,6.4,6.54,49300,5.78,0.040000000000000036
2014-01-29,6.55,6.64,6.52,6.64,55100,5.86,0.08999999999999986
2014-01-30,6.7,6.78,6.57,6.68,82500,5.9,-0.020000000000000462
2014-01-31,6.7,6.78,6.6,6.78,36800,5.99,0.08000000000000007
2014-02-03,7.0,7.21,6.89,7.17,114900,6.33,0.16999999999999993
2014-02-04,7.17,7.17,6.45,6.61,165300,5.84,-0.5599999999999996
2014-02-05,6.5,6.77,6.33,6.67,33200,5.89,0.16999999999999993
2014-02-06,6.75,6.86,6.62,6.73,35500,5.94,-0.019999999999999574
2014-02-07,6.8,6.99,6.76,6.76,36700,5.97,-0.040000000000000036
2014-02-10,6.88,7.12,6.83,7.11,60600,6.28,0.23000000000000043
2014-02-11,7.0,7.0,6.95,7.0,46300,6.18,0.0
2014-02-12,7.19,7.24,7.03,7.13,64000,6.3,-0.0600000000000005
2014-02-13,7.18,7.35,7.15,7.24,87000,6.39,0.0600000000000005
2014-02-14,7.37,7.4,7.16,7.28,61600,6.43,-0.08999999999999986
2014-02-18,7.25,7.28,7.0,7.13,115500,6.3,-0.1200000000000001
2014-02-19,7.23,7.49,7.17,7.3,92000,6.45,0.0699999999999994
2014-02-20,7.38,7.48,7.38,7.47,46900,6.6,0.08999999999999986
2014-02-21,7.5,7.73,7.4,7.69,120300,6.79,0.1900000000000004
2014-02-24,7.92,7.92,7.55,7.6,68000,6.71,-0.3200000000000003
2014-02-25,7.61,7.73,6.91,7.1,105100,6.27,-0.5100000000000007
2014-02-26,6.91,7.37,6.91,7.12,138100,6.29,0.20999999999999996
2014-02-27,7.34,7.34,6.95,7.03,58500,6.36,-0.3099999999999996
2014-02-28,7.06,7.24,7.05,7.1,69900,6.42,0.040000000000000036
2014-03-03,6.9,7.13,6.7,7.1,85300,6.42,0.1999999999999993
2014-03-04,7.15,7.2,6.96,7.12,69800,6.44,-0.03000000000000025
