Date,open,high,low,close,volume,adj_close,diff
2014-01-02,4.69,5.07,4.61,4.65,3000,4.52,-0.040000000000000036
2014-01-03,4.91,4.91,4.91,4.91,800,4.78,0.0
2014-01-06,4.7,4.72,4.7,4.72,400,4.59,0.019999999999999574
2014-01-07,4.8,4.92,4.7,4.9,37600,4.77,0.10000000000000053
2014-01-08,4.95,5.1,4.95,5.1,4500,4.96,0.14999999999999947
2014-01-09,4.92,4.97,4.91,4.96,4000,4.83,0.040000000000000036
2014-01-10,5.03,5.12,4.9,4.9,7300,4.77,-0.1299999999999999
2014-01-13,5.01,5.01,4.99,4.99,600,4.85,-0.019999999999999574
2014-01-14,4.98,5.05,4.88,5.05,5500,4.91,0.0699999999999994
2014-01-15,5.01,5.1,4.99,5.04,14400,4.9,0.03000000000000025
2014-01-16,5.04,5.12,5.04,5.12,1100,4.98,0.08000000000000007
2014-01-17,5.12,5.12,5.12,5.12,2000,4.98,0.0
2014-01-21,5.15,5.19,5.15,5.16,11800,5.02,0.009999999999999787
2014-01-22,5.15,5.16,5.13,5.14,4400,5.0,-0.010000000000000675
2014-01-23,5.15,5.28,5.14,5.28,24700,5.14,0.1299999999999999
2014-01-24,5.28,5.28,5.28,5.28,4100,5.14,0.0
2014-01-27,5.25,5.25,5.23,5.25,1300,5.11,0.0
2014-01-28,5.25,5.5,5.25,5.5,25300,5.35,0.25
2014-01-29,5.48,5.58,5.45,5.58,5500,5.43,0.09999999999999964
2014-01-30,5.57,5.65,5.49,5.65,23400,5.5,0.08000000000000007
2014-01-31,5.52,5.52,5.2,5.23,4000,5.09,-0.28999999999999915
2014-02-03,5.63,5.64,5.2,5.22,3400,5.08,-0.41000000000000014
2014-02-04,5.27,5.45,5.0,5.3,45300,5.16,0.03000000000000025
2014-02-05,5.25,5.46,5.14,5.37,12600,5.22,0.1200000000000001
2014-02-06,5.22,5.38,5.08,5.21,14000,5.07,-0.009999999999999787
2014-02-07,5.09,5.11,5.02,5.08,2900,4.94,-0.009999999999999787
2014-02-10,5.12,5.12,5.12,5.12,500,4.98,0.0
2014-02-11,5.12,5.12,5.12,5.12,0,4.98,0.0
2014-02-12,5.14,5.14,5.14,5.14,100,5.0,0.0
2014-02-13,5.38,5.38,5.38,5.38,600,5.23,0.0
2014-02-14,5.25,5.28,5.25,5.28,400,5.14,0.03000000000000025
2014-02-18,5.14,5.17,5.09,5.12,1500,4.98,-0.019999999999999574
2014-02-19,5.16,5.16,5.14,5.14,200,5.0,-0.020000000000000462
2014-02-20,5.38,5.4,5.11,5.38,7000,5.23,0.0
2014-02-21,5.2,5.5,5.2,5.4,23900,5.25,0.20000000000000018
2014-02-24,5.45,5.45,5.4,5.4,4400,5.25,-0.04999999999999982
2014-02-25,5.24,5.45,5.24,5.4,9100,5.25,0.16000000000000014
2014-02-26,5.48,5.5,5.4,5.4,1500,5.25,-0.08000000000000007
2014-02-27,5.44,5.55,5.42,5.5,10600,5.35,0.05999999999999961
2014-02-28,5.4,5.5,5.21,5.49,3300,5.34,0.08999999999999986
2014-03-03,5.51,5.51,5.51,5.51,300,5.36,0.0
2014-03-04,5.63,5.65,5.63,5.65,5600,5.5,0.020000000000000462
2014-03-05,5.65,5.65,5.65,5.65,0,5.5,0.0
2014-03-06,5.71,5.88,5.7,5.88,7300,5.72,0.16999999999999993
2014-03-07,5.87,6.28,5.87,6.27,21200,6.1,0.39999999999999947
2014-03-10,6.22,6.22,5.6,6.04,86600,5.88,-0.17999999999999972
2014-03-11,5.9,5.96,5.7,5.7,73100,5.55,-0.20000000000000018
2014-03-12,5.7,5.7,5.37,5.53,55100,5.38,-0.16999999999999993
2014-03-13,5.5,5.68,5.49,5.54,35100,5.39,0.040000000000000036
2014-03-14,5.6,5.6,5.24,5.24,44000,5.1,-0.35999999999999943
2014-03-17,5.47,5.59,5.35,5.59,49900,5.44,0.1200000000000001
2014-03-18,5.66,5.72,5.66,5.69,5000,5.54,0.03000000000000025
2014-03-19,5.67,5.76,5.67,5.76,1100,5.6,0.08999999999999986
2014-03-20,5.51,5.78,5.51,5.7,8000,5.55,0.1900000000000004
2014-03-21,5.7,5.87,5.7,5.79,12500,5.63,0.08999999999999986
2014-03-24,5.85,5.85,5.85,5.85,100,5.69,0.0
2014-03-25,5.78,5.95,5.67,5.95,71900,5.79,0.16999999999999993
2014-03-26,5.96,6.1,5.96,6.06,17700,5.9,0.09999999999999964
2014-03-27,5.9,6.12,5.9,5.91,13400,5.8,0.009999999999999787
2014-03-28,5.97,6.16,5.96,6.12,15100,6.01,0.15000000000000036
2014-03-31,6.19,6.33,6.17,6.27,22100,6.16,0.07999999999999918
2014-04-01,6.24,6.39,6.19,6.39,8900,6.27,0.14999999999999947
2014-04-02,6.3,6.39,5.96,6.25,33600,6.14,-0.04999999999999982
2014-04-03,6.11,6.13,6.11,6.12,1800,6.01,0.009999999999999787
2014-04-04,6.06,6.23,6.06,6.12,2700,6.01,0.0600000000000005
2014-04-07,6.04,6.13,6.03,6.04,5300,5.93,0.0
2014-04-08,6.04,6.12,5.75,6.04,6100,5.93,0.0
2014-04-09,6.0,6.11,6.0,6.03,3200,5.92,0.03000000000000025
2014-04-10,6.0,6.19,6.0,6.19,500,6.08,0.1900000000000004
2014-04-11,6.07,6.18,6.01,6.15,13500,6.04,0.08000000000000007
2014-04-14,6.16,6.25,6.1,6.25,24500,6.14,0.08999999999999986
2014-04-15,6.31,6.79,6.31,6.56,38200,6.44,0.25
2014-04-16,6.7,6.97,6.59,6.89,33500,6.76,0.1899999999999995
2014-04-17,6.91,7.0,6.9,7.0,17400,6.87,0.08999999999999986
2014-04-21,7.0,7.34,6.85,6.93,43000,6.8,-0.07000000000000028
2014-04-22,6.86,7.25,6.69,7.25,7400,7.12,0.3899999999999997
2014-04-23,7.34,7.38,7.2,7.23,12600,7.1,-0.10999999999999943
2014-04-24,7.3,7.34,7.3,7.33,4100,7.2,0.03000000000000025
2014-04-25,7.26,7.26,7.0,7.11,12300,6.98,-0.14999999999999947
2014-04-28,7.17,7.17,6.79,6.83,14800,6.71,-0.33999999999999986
2014-04-29,6.78,6.9,6.54,6.74,5900,6.62,-0.040000000000000036
2014-04-30,6.8,7.0,6.39,6.95,12200,6.82,0.15000000000000036
2014-05-01,6.99,6.99,6.78,6.97,5500,6.84,-0.020000000000000462
2014-05-02,6.89,7.17,6.61,6.8,20800,6.68,-0.08999999999999986
2014-05-05,6.77,7.22,6.45,6.61,6800,6.49,-0.15999999999999925
2014-05-06,6.61,6.83,6.46,6.46,8200,6.34,-0.15000000000000036
2014-05-07,6.35,6.46,6.08,6.46,28700,6.34,0.11000000000000032
2014-05-08,6.53,6.84,6.36,6.49,13400,6.37,-0.040000000000000036
2014-05-09,7.05,7.05,6.49,6.75,19700,6.63,-0.2999999999999998
2014-05-12,6.65,6.65,6.0,6.28,34900,6.17,-0.3700000000000001
2014-05-13,6.27,6.58,6.12,6.18,28100,6.07,-0.08999999999999986
2014-05-14,6.3,6.3,6.11,6.13,4000,6.02,-0.16999999999999993
2014-05-15,6.0,6.02,5.97,6.0,3200,5.89,0.0
2014-05-16,6.0,6.57,5.98,6.25,79900,6.14,0.25
2014-05-19,6.17,7.08,5.97,6.9,18300,6.77,0.7300000000000004
2014-05-20,6.83,6.83,6.1,6.5,13400,6.38,-0.33000000000000007
2014-05-21,6.67,6.93,6.21,6.44,3300,6.32,-0.22999999999999954
2014-05-22,6.55,6.55,6.5,6.52,4300,6.4,-0.03000000000000025
2014-05-23,6.6,6.7,6.22,6.29,6200,6.18,-0.3099999999999996
2014-05-27,6.7,6.7,6.54,6.57,12200,6.45,-0.1299999999999999
2014-05-28,6.41,6.59,6.36,6.59,3800,6.47,0.17999999999999972
2014-05-29,6.55,6.75,6.36,6.36,1600,6.24,-0.1899999999999995
2014-05-30,6.53,6.7,6.22,6.56,5800,6.44,0.02999999999999936
2014-06-02,6.36,6.82,6.36,6.78,52800,6.66,0.41999999999999993
2014-06-03,6.35,6.82,6.35,6.8,6400,6.68,0.4500000000000002
2014-06-04,6.59,6.66,6.56,6.64,4800,6.52,0.04999999999999982
2014-06-05,6.65,6.8,6.29,6.29,7400,6.18,-0.3600000000000003
2014-06-06,6.56,6.8,6.55,6.8,4300,6.68,0.2400000000000002
2014-06-09,6.85,6.9,6.72,6.83,14400,6.71,-0.019999999999999574
