Date,open,high,low,close,volume,adj_close,diff
2014-10-01,12.6,13.32,12.6,13.28,2893200,13.28,0.6799999999999997
2014-10-02,13.25,13.25,13.01,13.15,448900,13.15,-0.09999999999999964
2014-10-03,13.15,13.23,13.13,13.22,204400,13.22,0.07000000000000028
2014-10-06,13.2,13.22,13.15,13.17,136000,13.17,-0.02999999999999936
2014-10-07,13.15,13.2,13.05,13.07,170600,13.07,-0.08000000000000007
2014-10-08,13.16,13.23,13.14,13.2,140500,13.2,0.03999999999999915
2014-10-09,13.2,13.23,13.06,13.16,92200,13.16,-0.03999999999999915
2014-10-10,13.14,13.14,13.0,13.07,148300,13.07,-0.07000000000000028
2014-10-13,13.01,13.08,12.97,13.01,139200,13.01,0.0
2014-10-14,13.09,13.09,13.01,13.02,81300,13.02,-0.07000000000000028
2014-10-15,13.02,13.03,12.85,13.0,97200,13.0,-0.019999999999999574
2014-10-16,12.97,13.02,12.8,12.95,95200,12.95,-0.02000000000000135
2014-10-17,13.0,13.05,12.99,13.04,58300,13.04,0.03999999999999915
2014-10-20,13.01,13.04,13.0,13.01,47000,13.01,0.0
2014-10-21,13.0,13.09,12.94,13.09,40700,13.09,0.08999999999999986
2014-10-22,13.09,13.1,13.02,13.02,17300,13.02,-0.07000000000000028
2014-10-23,12.98,13.08,12.95,13.08,38200,13.08,0.09999999999999964
2014-10-24,13.0,13.04,12.96,13.04,11800,13.04,0.03999999999999915
2014-10-27,13.08,13.13,12.96,13.06,20500,13.06,-0.019999999999999574
2014-10-28,13.15,13.19,13.0,13.01,47400,13.01,-0.14000000000000057
2014-10-29,12.99,13.17,12.98,13.13,16600,13.13,0.14000000000000057
2014-10-30,13.14,13.2,13.01,13.2,24600,13.2,0.05999999999999872
2014-10-31,13.25,13.4,13.2,13.4,100700,13.4,0.15000000000000036
2014-11-03,13.49,13.83,13.48,13.78,33500,13.78,0.28999999999999915
2014-11-04,13.84,13.84,13.7,13.71,4800,13.71,-0.129999999999999
2014-11-05,13.6,13.79,13.6,13.77,16600,13.77,0.16999999999999993
2014-11-06,13.7,13.85,13.7,13.83,56400,13.83,0.13000000000000078
2014-11-07,13.77,13.99,13.75,13.85,60500,13.85,0.08000000000000007
2014-11-10,13.95,13.95,13.8,13.89,23100,13.89,-0.05999999999999872
2014-11-11,13.87,13.99,13.82,13.86,44300,13.86,-0.009999999999999787
2014-11-12,13.83,13.86,13.75,13.78,41900,13.78,-0.05000000000000071
2014-11-13,13.83,13.83,13.61,13.81,36200,13.81,-0.019999999999999574
2014-11-14,13.77,13.77,13.51,13.75,29900,13.75,-0.019999999999999574
2014-11-17,13.76,13.98,13.6,13.93,45900,13.93,0.16999999999999993
2014-11-18,13.88,13.9,13.71,13.78,12500,13.78,-0.10000000000000142
2014-11-19,13.71,13.99,13.71,13.85,7600,13.85,0.1399999999999988
2014-11-20,13.82,13.85,13.81,13.84,5300,13.84,0.019999999999999574
2014-11-21,13.85,13.85,13.8,13.85,10100,13.85,0.0
2014-11-24,13.85,13.86,13.78,13.85,35400,13.85,0.0
2014-11-25,13.83,13.98,13.83,13.96,8000,13.96,0.13000000000000078
2014-11-26,13.95,13.95,13.95,13.95,2900,13.95,0.0
2014-11-28,13.97,13.98,13.9,13.9,600,13.9,-0.07000000000000028
2014-12-01,13.81,13.89,13.81,13.88,17300,13.88,0.07000000000000028
2014-12-02,13.82,13.94,13.81,13.94,5700,13.94,0.11999999999999922
2014-12-03,13.95,13.98,13.82,13.9,3600,13.9,-0.049999999999998934
2014-12-04,13.87,13.9,13.83,13.89,5800,13.89,0.02000000000000135
2014-12-05,13.9,13.99,13.89,13.99,8800,13.99,0.08999999999999986
2014-12-08,13.91,13.99,13.91,13.98,29300,13.98,0.07000000000000028
2014-12-09,13.99,14.75,13.98,14.75,62600,14.75,0.7599999999999998
2014-12-10,14.71,14.94,14.36,14.41,14400,14.41,-0.3000000000000007
2014-12-11,14.55,14.83,14.55,14.74,12100,14.74,0.1899999999999995
2014-12-12,14.68,14.9,13.92,14.48,22000,14.48,-0.1999999999999993
2014-12-15,14.43,14.73,13.93,14.11,7300,14.11,-0.3200000000000003
2014-12-16,14.01,14.48,14.01,14.46,34300,14.46,0.45000000000000107
2014-12-17,14.33,14.65,14.06,14.2,11100,14.2,-0.13000000000000078
2014-12-18,14.27,14.4,14.11,14.23,14900,14.23,-0.03999999999999915
2014-12-19,14.26,14.4,14.05,14.27,169300,14.27,0.009999999999999787
2014-12-22,14.12,14.53,14.12,14.39,13600,14.39,0.27000000000000135
2014-12-23,14.45,14.45,14.34,14.41,5200,14.41,-0.03999999999999915
2014-12-24,14.13,14.43,14.13,14.42,1600,14.42,0.28999999999999915
2014-12-26,14.4,14.4,14.16,14.17,4300,14.17,-0.23000000000000043
2014-12-29,14.23,14.4,14.21,14.4,11600,14.4,0.16999999999999993
2014-12-30,14.2,14.4,14.18,14.37,1100,14.37,0.16999999999999993
2014-12-31,14.4,14.4,14.39,14.39,2200,14.39,-0.009999999999999787
