Date,open,high,low,close,volume,adj_close,diff
2014-01-02,44.29,44.7,43.91,44.45,158400,24.07,0.1600000000000037
2014-01-03,44.44,45.15,44.23,44.92,204200,24.32,0.480000000000004
2014-01-06,44.95,45.03,44.03,44.19,142400,23.93,-0.7600000000000051
2014-01-07,44.19,45.27,44.08,44.73,239400,24.22,0.5399999999999991
2014-01-08,44.46,44.96,44.26,44.66,228200,24.18,0.19999999999999574
2014-01-09,44.7,45.25,44.56,45.06,144400,24.4,0.35999999999999943
2014-01-10,45.14,45.14,44.69,44.99,80300,24.36,-0.14999999999999858
2014-01-13,45.0,45.31,44.19,44.73,179800,24.22,-0.2700000000000031
2014-01-14,45.02,45.05,44.72,44.82,138400,24.27,-0.20000000000000284
2014-01-15,44.79,45.09,44.41,44.71,102300,24.21,-0.0799999999999983
2014-01-16,44.69,45.48,44.47,44.72,103400,24.21,0.030000000000001137
2014-01-17,44.52,45.1,44.25,44.38,98400,24.03,-0.14000000000000057
2014-01-21,44.47,44.67,44.01,44.14,78300,23.9,-0.3299999999999983
2014-01-22,44.31,44.48,43.59,43.86,115800,23.75,-0.45000000000000284
2014-01-23,43.73,44.16,43.46,43.83,180600,23.73,0.10000000000000142
2014-01-24,43.5,43.97,42.5,42.94,112500,23.25,-0.5600000000000023
2014-01-27,42.82,43.23,42.24,42.32,121500,22.91,-0.5
2014-01-28,42.29,42.85,42.29,42.78,121300,23.16,0.490000000000002
2014-01-29,42.48,42.8,40.3,42.18,142400,22.84,-0.29999999999999716
2014-01-30,42.43,42.84,42.07,42.3,137700,22.9,-0.13000000000000256
2014-01-31,41.69,42.6,41.47,41.92,216700,22.7,0.23000000000000398
2014-02-03,41.68,41.68,40.19,40.69,228000,22.03,-0.990000000000002
2014-02-04,40.73,40.73,39.85,40.17,123400,21.75,-0.5599999999999952
2014-02-05,39.99,39.99,38.95,39.3,175400,21.28,-0.6900000000000048
2014-02-06,39.21,39.48,38.68,39.08,184900,21.16,-0.13000000000000256
2014-02-07,39.09,39.1,38.5,38.65,148300,20.93,-0.44000000000000483
2014-02-10,38.59,39.06,38.2,38.82,138800,21.02,0.22999999999999687
2014-02-11,38.94,39.83,38.84,39.73,265100,21.51,0.7899999999999991
2014-02-12,39.94,40.22,39.37,39.62,98100,21.45,-0.3200000000000003
2014-02-13,39.61,40.73,39.6,40.41,190600,21.88,0.7999999999999972
2014-02-14,40.41,40.41,38.44,39.24,319100,21.25,-1.1699999999999946
2014-02-18,39.21,39.5,38.42,38.49,286700,20.84,-0.7199999999999989
2014-02-19,38.5,39.3,38.5,38.73,199400,20.97,0.22999999999999687
2014-02-20,38.85,39.16,38.69,38.99,81400,21.11,0.14000000000000057
2014-02-21,38.87,39.16,38.28,38.31,278400,20.74,-0.5599999999999952
2014-02-24,38.35,39.39,38.35,39.25,193600,21.25,0.8999999999999986
2014-02-25,39.35,39.64,38.4,38.72,166800,20.96,-0.6300000000000026
2014-02-26,38.63,39.26,38.36,39.25,135800,21.25,0.6199999999999974
2014-02-27,39.25,39.6,39.19,39.6,91700,21.44,0.3500000000000014
2014-02-28,39.74,39.86,39.39,39.6,125600,21.44,-0.14000000000000057
2014-03-03,39.33,39.87,39.24,39.79,145000,21.54,0.46000000000000085
2014-03-04,40.1,42.09,40.07,41.51,279900,22.47,1.4099999999999966
2014-03-05,41.35,42.08,41.26,42.02,176900,22.75,0.6700000000000017
2014-03-06,42.0,42.43,41.7,42.21,179100,22.85,0.21000000000000085
2014-03-07,42.54,42.94,42.0,42.17,113600,22.83,-0.36999999999999744
2014-03-10,41.9,42.5,41.75,42.48,124500,23.0,0.5799999999999983
2014-03-11,42.65,43.04,41.71,41.92,102300,22.7,-0.7299999999999969
