Date,open,high,low,close,volume,adj_close,diff
2014-01-02,42.35,42.42,41.7,41.72,2915300,40.01,-0.6300000000000026
2014-01-03,41.75,41.85,41.31,41.52,2252000,39.81,-0.22999999999999687
2014-01-06,41.64,41.64,41.28,41.55,2159200,39.84,-0.09000000000000341
2014-01-07,41.64,41.94,41.64,41.92,1143200,40.2,0.28000000000000114
2014-01-08,41.77,41.86,41.46,41.74,2225300,40.03,-0.030000000000001137
2014-01-09,41.75,41.98,41.44,41.92,2354100,40.2,0.1700000000000017
2014-01-10,42.14,42.84,42.14,42.65,1657400,40.9,0.509999999999998
2014-01-13,42.55,42.65,42.23,42.33,2004000,40.59,-0.21999999999999886
2014-01-14,42.33,42.52,42.2,42.29,1686700,40.55,-0.03999999999999915
2014-01-15,42.31,42.37,41.85,42.04,1599000,40.31,-0.2700000000000031
2014-01-16,42.06,42.24,41.89,42.23,1056900,40.5,0.1699999999999946
2014-01-17,42.35,42.61,42.18,42.59,1928400,40.84,0.240000000000002
2014-01-21,42.84,43.11,42.65,43.05,2437400,41.28,0.20999999999999375
2014-01-22,43.02,43.53,42.99,43.34,2064200,41.56,0.3200000000000003
2014-01-23,43.22,43.37,43.0,43.13,1383600,41.36,-0.0899999999999963
2014-01-24,43.01,43.16,42.43,42.43,2365000,40.69,-0.5799999999999983
2014-01-27,42.43,42.98,42.35,42.81,1726300,41.05,0.38000000000000256
2014-01-28,42.84,43.04,42.66,42.96,1557700,41.2,0.11999999999999744
2014-01-29,42.77,43.04,42.56,42.81,1577800,41.05,0.03999999999999915
2014-01-30,42.96,43.57,42.88,43.49,1428100,41.7,0.5300000000000011
2014-01-31,43.12,43.98,43.05,43.8,2091500,42.0,0.6799999999999997
2014-02-03,43.86,44.52,43.36,43.45,2139200,41.66,-0.4099999999999966
2014-02-04,43.58,43.58,43.1,43.48,1775100,41.69,-0.10000000000000142
2014-02-05,43.25,43.33,42.88,43.11,1843200,41.34,-0.14000000000000057
2014-02-06,43.1,43.1,42.52,42.87,2846000,41.11,-0.23000000000000398
2014-02-07,42.97,43.32,42.66,43.3,1796100,41.52,0.3299999999999983
2014-02-10,43.21,43.82,42.94,43.79,1668200,41.99,0.5799999999999983
2014-02-11,43.72,44.58,43.7,44.26,1909500,42.44,0.5399999999999991
2014-02-12,44.2,44.45,44.02,44.39,1308600,42.57,0.18999999999999773
2014-02-13,44.19,44.77,44.18,44.69,1949300,42.85,0.5
2014-02-14,44.7,45.05,44.54,44.97,1288300,43.12,0.269999999999996
2014-02-18,45.08,45.31,44.85,44.91,1721100,43.07,-0.1700000000000017
2014-02-19,44.75,45.14,44.36,44.44,1889100,42.61,-0.3100000000000023
2014-02-20,44.47,44.8,44.34,44.67,1576000,42.83,0.20000000000000284
2014-02-21,44.72,45.04,44.62,44.65,1739900,42.82,-0.07000000000000028
2014-02-24,44.79,44.94,44.4,44.41,2038500,42.59,-0.38000000000000256
2014-02-25,44.52,44.84,44.31,44.42,1858000,42.6,-0.10000000000000142
2014-02-26,44.64,44.68,44.19,44.23,1510500,42.41,-0.4100000000000037
2014-02-27,43.9,44.19,43.82,44.03,2020300,42.6,0.13000000000000256
2014-02-28,44.09,44.57,43.97,44.45,1917800,43.01,0.35999999999999943
