Date,open,high,low,close,volume,adj_close,diff
2014-01-02,37.65,37.85,36.79,37.61,10700,36.71,-0.03999999999999915
2014-01-03,37.9,37.9,37.69,37.85,7500,36.94,-0.04999999999999716
2014-01-06,37.59,37.84,37.03,37.48,5500,36.58,-0.11000000000000654
2014-01-07,37.39,37.84,37.39,37.84,12000,36.94,0.45000000000000284
2014-01-08,37.66,37.85,37.63,37.65,7300,36.75,-0.00999999999999801
2014-01-09,37.8,37.8,37.71,37.71,700,36.81,-0.0899999999999963
2014-01-10,37.77,37.78,37.65,37.65,500,36.75,-0.12000000000000455
2014-01-13,37.8,37.8,37.74,37.8,2700,36.9,0.0
2014-01-14,37.8,37.85,37.79,37.79,6000,36.89,-0.00999999999999801
2014-01-15,37.85,37.85,37.79,37.81,4400,36.91,-0.03999999999999915
2014-01-16,37.79,37.85,37.72,37.85,14700,36.94,0.060000000000002274
2014-01-17,37.5,38.0,37.5,38.0,12300,37.09,0.5
2014-01-21,38.0,38.4,38.0,38.37,6000,37.45,0.36999999999999744
2014-01-22,38.14,38.69,38.14,38.67,9100,37.75,0.5300000000000011
2014-01-23,38.69,40.86,38.69,40.06,27800,39.1,1.3700000000000045
2014-01-24,39.75,41.49,39.36,39.83,18900,38.88,0.0799999999999983
2014-01-27,39.85,40.0,39.38,39.5,11000,38.56,-0.3500000000000014
2014-01-28,39.59,39.72,39.2,39.2,8900,38.26,-0.39000000000000057
2014-01-29,39.25,39.74,39.23,39.3,1600,38.36,0.04999999999999716
2014-01-30,39.45,39.45,39.3,39.3,4200,38.36,-0.15000000000000568
2014-01-31,39.0,41.49,39.0,41.45,14100,40.46,2.450000000000003
2014-02-03,41.35,41.35,40.43,40.43,7800,39.46,-0.9200000000000017
2014-02-04,40.68,40.82,40.25,40.35,5500,39.39,-0.3299999999999983
2014-02-05,40.38,40.38,39.31,40.05,4900,39.09,-0.3300000000000054
2014-02-06,40.1,40.1,39.48,40.0,5500,39.04,-0.10000000000000142
2014-02-07,40.11,40.11,39.56,39.82,2900,39.07,-0.28999999999999915
2014-02-10,39.87,39.93,39.19,39.89,12100,39.14,0.020000000000003126
2014-02-11,39.67,40.0,39.67,39.93,2500,39.18,0.259999999999998
2014-02-12,39.92,40.14,39.78,40.14,3800,39.39,0.21999999999999886
2014-02-13,39.89,40.46,39.87,40.14,8500,39.39,0.25
2014-02-14,40.45,40.45,39.75,40.29,4300,39.53,-0.1600000000000037
2014-02-18,40.31,40.46,39.92,40.41,8300,39.65,0.09999999999999432
2014-02-19,40.46,41.23,40.3,40.95,9200,40.18,0.490000000000002
2014-02-20,41.0,41.46,41.0,41.46,4400,40.68,0.46000000000000085
2014-02-21,42.45,42.45,42.0,42.41,6200,41.61,-0.04000000000000625
2014-02-24,42.63,43.95,42.3,43.0,18700,42.19,0.36999999999999744
2014-02-25,43.35,44.45,43.15,43.21,5600,42.4,-0.14000000000000057
2014-02-26,43.83,43.95,43.24,43.39,18400,42.58,-0.4399999999999977
2014-02-27,43.58,43.94,43.23,43.5,9100,42.68,-0.0799999999999983
2014-02-28,43.7,44.7,43.23,44.49,6400,43.66,0.7899999999999991
2014-03-03,44.48,44.7,44.4,44.5,4900,43.67,0.020000000000003126
