Date,open,high,low,close,volume,adj_close,diff
2014-01-02,19.85,19.9,19.44,19.81,34400,19.81,-0.0400000000000027
2014-01-03,19.93,20.12,19.78,19.83,10100,19.83,-0.10000000000000142
2014-01-06,19.94,19.97,19.41,19.65,24200,19.65,-0.2900000000000027
2014-01-07,19.65,20.08,19.65,20.07,37100,20.07,0.4200000000000017
2014-01-08,19.0,19.9,18.75,19.79,183400,19.79,0.7899999999999991
2014-01-09,19.8,19.86,19.23,19.37,74200,19.37,-0.4299999999999997
2014-01-10,19.34,19.45,19.21,19.43,13600,19.43,0.08999999999999986
2014-01-13,19.24,19.24,18.67,18.87,99200,18.87,-0.36999999999999744
2014-01-14,18.71,19.07,18.71,19.0,23600,19.0,0.28999999999999915
2014-01-15,18.97,19.12,18.97,19.02,22900,19.02,0.05000000000000071
2014-01-16,18.87,19.0,18.85,18.98,47500,18.98,0.10999999999999943
2014-01-17,19.02,19.37,18.71,19.35,56700,19.35,0.33000000000000185
2014-01-21,19.34,20.25,19.15,20.11,54800,20.11,0.7699999999999996
2014-01-22,20.05,20.43,20.05,20.28,55900,20.28,0.23000000000000043
2014-01-23,20.25,20.53,20.19,20.47,52200,20.47,0.21999999999999886
2014-01-24,20.32,20.59,20.13,20.53,64400,20.53,0.21000000000000085
2014-01-27,20.64,20.64,19.84,19.86,110100,19.86,-0.7800000000000011
2014-01-28,19.8,20.0,19.74,19.98,77200,19.98,0.17999999999999972
2014-01-29,19.85,20.0,19.28,19.55,57500,19.55,-0.3000000000000007
2014-01-30,19.64,19.68,19.4,19.59,30200,19.59,-0.05000000000000071
2014-01-31,19.21,19.26,19.0,19.11,78100,19.11,-0.10000000000000142
2014-02-03,18.99,19.07,17.95,18.29,66700,18.29,-0.6999999999999993
2014-02-04,18.32,18.8,18.17,18.69,61500,18.69,0.370000000000001
2014-02-05,18.51,18.66,18.4,18.61,35200,18.61,0.09999999999999787
2014-02-06,18.5,18.85,18.5,18.7,23600,18.7,0.1999999999999993
2014-02-07,18.7,19.26,18.57,19.26,28500,19.26,0.5600000000000023
2014-02-10,19.24,19.33,19.04,19.33,27000,19.33,0.08999999999999986
2014-02-11,19.24,19.96,19.24,19.54,34800,19.54,0.3000000000000007
2014-02-12,19.58,19.68,19.26,19.63,48400,19.63,0.05000000000000071
2014-02-13,19.46,21.0,19.43,20.88,46000,20.88,1.4199999999999982
2014-02-14,20.94,21.0,20.61,20.82,36000,20.82,-0.120000000000001
2014-02-18,20.93,20.98,20.63,20.87,24400,20.87,-0.05999999999999872
2014-02-19,20.79,21.0,20.58,20.79,40600,20.79,0.0
2014-02-20,20.78,21.4,20.62,21.31,34000,21.31,0.5299999999999976
2014-02-21,21.41,21.41,21.0,21.02,36400,21.02,-0.39000000000000057
2014-02-24,20.89,21.24,20.84,20.96,23800,20.96,0.07000000000000028
2014-02-25,20.89,20.94,20.55,20.71,86000,20.71,-0.17999999999999972
2014-02-26,20.7,21.05,20.7,20.85,65000,20.85,0.15000000000000213
2014-02-27,20.71,21.03,20.5,20.99,44400,20.99,0.2799999999999976
2014-02-28,20.97,21.23,20.8,20.95,29900,20.95,-0.019999999999999574
2014-03-03,20.7,21.13,20.51,20.9,19900,20.9,0.1999999999999993
2014-03-04,21.06,22.5,21.06,22.05,107300,22.05,0.990000000000002
2014-03-05,22.1,22.5,21.98,22.3,36300,22.3,0.1999999999999993
2014-03-06,22.47,22.47,21.22,21.44,27600,21.44,-1.0299999999999976
