Date,open,high,low,close,volume,adj_close,diff
2014-01-02,41.04,41.04,39.64,39.91,443500,39.91,-1.1300000000000026
2014-01-03,39.92,40.4,39.89,40.05,346500,40.05,0.12999999999999545
2014-01-06,40.07,40.26,39.81,39.91,239600,39.91,-0.1600000000000037
2014-01-07,40.14,40.57,39.78,39.97,257500,39.97,-0.1700000000000017
2014-01-08,39.86,40.55,39.43,40.52,433600,40.52,0.6600000000000037
2014-01-09,40.55,42.35,40.54,41.37,492900,41.37,0.8200000000000003
2014-01-10,41.51,42.33,41.31,41.76,385000,41.76,0.25
2014-01-13,41.54,41.72,40.37,40.53,236700,40.53,-1.009999999999998
2014-01-14,40.61,41.15,40.27,40.88,179700,40.88,0.2700000000000031
2014-01-15,40.88,41.37,40.88,41.15,158200,41.15,0.269999999999996
2014-01-16,41.0,41.33,40.95,41.15,151700,41.15,0.14999999999999858
2014-01-17,41.04,41.96,41.04,41.47,251600,41.47,0.4299999999999997
2014-01-21,41.78,41.98,41.32,41.65,474300,41.65,-0.13000000000000256
2014-01-22,41.57,41.79,41.32,41.49,448000,41.49,-0.0799999999999983
2014-01-23,41.33,41.42,40.87,40.97,318800,40.97,-0.35999999999999943
2014-01-24,41.06,41.38,38.97,38.98,413700,38.98,-2.0800000000000054
2014-01-27,38.92,39.33,37.71,37.72,519100,37.72,-1.2000000000000028
2014-01-28,37.77,37.98,37.57,37.8,452900,37.8,0.02999999999999403
2014-01-29,37.31,38.33,37.16,37.98,637100,37.98,0.6699999999999946
2014-01-30,38.18,38.18,37.19,37.79,433700,37.79,-0.39000000000000057
2014-01-31,37.35,37.75,37.03,37.07,444000,37.07,-0.28000000000000114
2014-02-03,36.9,37.1,34.96,35.29,767200,35.29,-1.6099999999999994
2014-02-04,35.36,36.27,35.15,36.06,774200,36.06,0.7000000000000028
2014-02-05,35.83,36.61,35.83,36.31,957500,36.31,0.480000000000004
2014-02-06,36.43,36.76,35.9,36.05,546300,36.05,-0.38000000000000256
2014-02-07,36.28,36.53,35.91,36.2,332300,36.2,-0.0799999999999983
2014-02-10,36.14,37.05,35.83,36.85,502800,36.85,0.7100000000000009
2014-02-11,36.99,37.01,36.25,36.82,303500,36.82,-0.1700000000000017
2014-02-12,36.9,37.25,36.43,36.86,271400,36.86,-0.03999999999999915
2014-02-13,36.49,37.0,36.45,36.83,224000,36.83,0.3399999999999963
2014-02-14,36.73,36.8,36.17,36.78,269800,36.78,0.05000000000000426
2014-02-18,36.76,37.42,36.75,37.39,307900,37.39,0.6300000000000026
2014-02-19,37.3,37.64,36.48,36.49,322600,36.49,-0.8099999999999952
2014-02-20,33.21,33.48,29.53,29.62,2426900,29.62,-3.59
2014-02-21,29.66,30.29,29.32,29.72,1424600,29.72,0.05999999999999872
2014-02-24,29.82,29.82,28.77,28.98,789700,28.98,-0.8399999999999999
2014-02-25,28.91,28.99,28.23,28.51,841700,28.51,-0.3999999999999986
2014-02-26,28.51,29.67,28.28,29.15,814600,29.15,0.639999999999997
2014-02-27,29.1,29.54,28.94,29.5,535700,29.5,0.3999999999999986
2014-02-28,29.48,29.57,29.17,29.19,341700,29.19,-0.28999999999999915
2014-03-03,28.93,29.16,28.51,29.0,391500,29.0,0.07000000000000028
2014-03-04,29.36,29.8,29.28,29.58,350800,29.58,0.21999999999999886
2014-03-05,29.61,29.72,29.19,29.53,247100,29.53,-0.0799999999999983
2014-03-06,29.67,30.22,29.62,30.1,259000,30.1,0.4299999999999997
2014-03-07,30.43,30.65,30.19,30.28,318800,30.28,-0.14999999999999858
2014-03-10,30.26,30.71,29.64,30.35,396200,30.35,0.08999999999999986
2014-03-11,30.37,30.7,30.03,30.23,413000,30.23,-0.14000000000000057
2014-03-12,30.14,30.35,29.67,30.09,345400,30.09,-0.05000000000000071
2014-03-13,30.07,30.15,29.1,29.35,323400,29.35,-0.7199999999999989
2014-03-14,29.28,29.87,29.28,29.67,396100,29.67,0.39000000000000057
2014-03-17,29.8,30.39,29.74,30.36,395100,30.36,0.5599999999999987
2014-03-18,30.43,31.44,30.26,31.38,420200,31.38,0.9499999999999993
2014-03-19,31.24,32.4,31.21,32.38,580900,32.38,1.1400000000000041
2014-03-20,32.2,33.04,31.58,32.5,464400,32.5,0.29999999999999716
2014-03-21,32.89,33.68,32.65,33.07,824600,33.07,0.17999999999999972
2014-03-24,33.14,33.39,32.59,33.21,545000,33.21,0.07000000000000028
2014-03-25,33.3,33.74,33.0,33.7,434600,33.7,0.4000000000000057
2014-03-26,33.99,34.01,32.42,32.48,425200,32.48,-1.5100000000000051
2014-03-27,32.48,32.66,32.15,32.54,341800,32.54,0.060000000000002274
2014-03-28,32.62,32.81,32.42,32.76,258900,32.76,0.14000000000000057
2014-03-31,32.95,33.39,32.65,33.34,306000,33.34,0.39000000000000057
2014-04-01,33.35,34.29,33.23,34.26,444900,34.26,0.9099999999999966
2014-04-02,34.31,34.46,33.67,34.15,419400,34.15,-0.1600000000000037
2014-04-03,34.1,34.16,33.61,33.95,287900,33.95,-0.14999999999999858
2014-04-04,34.2,34.5,32.86,33.09,418400,33.09,-1.1099999999999994
2014-04-07,33.03,33.57,32.76,33.34,525800,33.34,0.3100000000000023
2014-04-08,33.48,34.0,33.15,33.38,364400,33.38,-0.09999999999999432
2014-04-09,33.57,33.57,32.95,33.41,217400,33.41,-0.1600000000000037
2014-04-10,33.43,33.43,32.67,32.86,410100,32.86,-0.5700000000000003
2014-04-11,32.62,32.77,31.83,31.93,328800,31.93,-0.6899999999999977
2014-04-14,32.27,32.27,31.81,32.01,295000,32.01,-0.2600000000000051
2014-04-15,32.11,32.3,31.36,32.2,245500,32.2,0.09000000000000341
2014-04-16,32.41,32.45,31.86,32.26,230400,32.26,-0.14999999999999858
2014-04-17,32.01,33.47,31.51,33.38,185200,33.38,1.3700000000000045
2014-04-21,33.52,33.52,32.96,33.03,189300,33.03,-0.490000000000002
2014-04-22,33.05,33.94,32.92,33.64,222000,33.64,0.5900000000000034
2014-04-23,33.53,34.05,33.41,33.59,223500,33.59,0.060000000000002274
2014-04-24,33.85,33.9,33.21,33.4,164100,33.4,-0.45000000000000284
2014-04-25,33.29,33.62,32.91,33.46,213600,33.46,0.1700000000000017
2014-04-28,33.58,33.91,32.55,33.27,199200,33.27,-0.30999999999999517
2014-04-29,33.52,34.04,33.27,33.36,125500,33.36,-0.1600000000000037
2014-04-30,33.31,34.47,32.89,34.3,423800,34.3,0.9899999999999949
2014-05-01,34.14,34.9,30.76,31.13,1416700,31.13,-3.0100000000000016
2014-05-02,30.93,31.46,29.93,31.36,829300,31.36,0.4299999999999997
2014-05-05,31.19,31.19,30.03,30.94,757500,30.94,-0.25
2014-05-06,30.93,30.93,29.46,30.25,536600,30.25,-0.6799999999999997
2014-05-07,30.21,30.56,29.24,30.55,535700,30.55,0.33999999999999986
2014-05-08,30.43,31.22,30.13,30.52,455500,30.52,0.08999999999999986
2014-05-09,30.37,30.84,29.9,30.82,240300,30.82,0.4499999999999993
2014-05-12,30.98,31.94,30.88,31.39,288900,31.39,0.41000000000000014
2014-05-13,31.39,31.54,30.83,31.45,518300,31.45,0.05999999999999872
2014-05-14,31.42,31.53,29.68,29.69,465400,29.69,-1.7300000000000004
2014-05-15,29.51,29.76,28.83,29.58,422100,29.58,0.06999999999999673
2014-05-16,29.51,29.93,29.25,29.93,286200,29.93,0.41999999999999815
2014-05-19,29.83,30.22,29.63,29.95,216700,29.95,0.120000000000001
2014-05-20,29.88,29.88,29.05,29.43,482100,29.43,-0.4499999999999993
2014-05-21,29.54,30.0,28.59,29.3,620700,29.3,-0.23999999999999844
2014-05-22,29.38,30.01,29.26,29.92,510000,29.92,0.5400000000000027
