Date,open,high,low,close,volume,adj_close,diff
2014-01-02,28.1,28.28,27.94,28.12,313400,28.12,0.019999999999999574
2014-01-03,28.0,28.15,27.71,27.79,527200,27.79,-0.21000000000000085
2014-01-06,27.83,27.98,27.65,27.82,240800,27.82,-0.00999999999999801
2014-01-07,27.74,27.92,27.48,27.81,303600,27.81,0.07000000000000028
2014-01-08,27.67,27.75,27.46,27.66,234800,27.66,-0.010000000000001563
2014-01-09,28.07,28.6,27.98,28.25,522900,28.25,0.17999999999999972
2014-01-10,28.29,28.57,28.19,28.47,155500,28.47,0.17999999999999972
2014-01-13,28.46,28.46,28.08,28.16,570700,28.16,-0.3000000000000007
2014-01-14,28.17,28.41,28.04,28.32,304500,28.32,0.14999999999999858
2014-01-15,27.94,27.99,26.68,26.72,611800,26.72,-1.2200000000000024
2014-01-16,25.79,26.72,25.47,26.0,1210400,26.0,0.21000000000000085
2014-01-17,25.97,26.23,25.77,25.9,389200,25.9,-0.07000000000000028
2014-01-21,26.15,26.39,25.68,25.9,446700,25.9,-0.25
2014-01-22,25.99,26.22,25.86,26.22,180100,26.22,0.23000000000000043
2014-01-23,26.18,26.28,25.68,25.76,419600,25.76,-0.41999999999999815
2014-01-24,25.54,25.74,25.14,25.42,385400,25.42,-0.11999999999999744
2014-01-27,25.42,25.69,25.07,25.09,237800,25.09,-0.33000000000000185
2014-01-28,25.12,25.43,24.77,25.43,736900,25.43,0.3099999999999987
2014-01-29,25.21,25.45,24.97,25.21,261700,25.21,0.0
2014-01-30,25.4,25.5,25.15,25.16,208000,25.16,-0.23999999999999844
2014-01-31,24.85,25.35,24.64,25.12,422000,25.12,0.2699999999999996
2014-02-03,25.06,25.28,24.32,24.66,360900,24.66,-0.3999999999999986
2014-02-04,24.72,25.22,24.7,25.17,502000,25.17,0.45000000000000284
2014-02-05,25.1,25.62,24.95,25.52,401000,25.52,0.41999999999999815
2014-02-06,25.65,26.14,25.47,26.12,383500,26.12,0.4700000000000024
2014-02-07,25.95,27.13,25.74,26.1,637200,26.1,0.15000000000000213
2014-02-10,25.91,26.13,25.57,25.79,454000,25.79,-0.120000000000001
2014-02-11,25.72,26.79,25.68,26.68,382600,26.68,0.9600000000000009
