Date,open,high,low,close,volume,adj_close,diff
2014-04-04,7.95,9.35,7.18,7.64,5521200,7.64,-0.3100000000000005
2014-04-07,7.82,7.82,7.09,7.11,703300,7.11,-0.71
2014-04-08,7.15,7.29,7.06,7.1,428500,7.1,-0.05000000000000071
2014-04-09,7.07,7.18,7.06,7.12,302900,7.12,0.04999999999999982
2014-04-10,7.1,7.28,7.1,7.27,123500,7.27,0.16999999999999993
2014-04-11,7.06,7.37,6.84,7.37,200200,7.37,0.3100000000000005
2014-04-14,7.44,7.45,7.19,7.36,110900,7.36,-0.08000000000000007
2014-04-15,7.4,7.85,7.16,7.8,154200,7.8,0.39999999999999947
2014-04-16,7.91,7.92,7.73,7.73,42800,7.73,-0.17999999999999972
2014-04-17,7.67,7.79,7.44,7.55,135500,7.55,-0.1200000000000001
2014-04-21,7.6,7.65,7.03,7.13,161200,7.13,-0.46999999999999975
2014-04-22,7.15,7.45,7.02,7.39,213200,7.39,0.23999999999999932
2014-04-23,7.42,7.42,7.16,7.24,181100,7.24,-0.17999999999999972
2014-04-24,7.16,7.22,6.97,7.05,232900,7.05,-0.11000000000000032
2014-04-25,7.1,7.1,6.9,6.95,168900,6.95,-0.14999999999999947
2014-04-28,6.9,7.05,6.34,6.58,483600,6.58,-0.3200000000000003
2014-04-29,6.79,7.16,6.75,6.98,531700,6.98,0.1900000000000004
2014-04-30,7.02,7.15,6.96,7.13,236700,7.13,0.11000000000000032
2014-05-01,7.27,7.27,6.99,7.08,187900,7.08,-0.1899999999999995
2014-05-02,7.26,7.26,6.98,7.0,141000,7.0,-0.2599999999999998
2014-05-05,7.0,7.14,7.0,7.04,93900,7.04,0.040000000000000036
2014-05-06,7.0,7.08,6.75,6.83,550900,6.83,-0.16999999999999993
2014-05-07,6.93,6.96,6.54,6.55,289100,6.55,-0.3799999999999999
2014-05-08,6.45,6.72,5.88,5.96,107200,5.96,-0.4900000000000002
2014-05-09,5.97,5.97,5.12,5.56,260200,5.56,-0.41000000000000014
2014-05-12,5.42,5.91,5.32,5.74,86100,5.74,0.3200000000000003
2014-05-13,5.89,5.89,5.46,5.6,67200,5.6,-0.29000000000000004
2014-05-14,6.36,6.36,5.2,5.68,275700,5.68,-0.6800000000000006
2014-05-15,5.66,5.92,5.66,5.84,70800,5.84,0.17999999999999972
2014-05-16,5.77,5.9,5.67,5.7,57800,5.7,-0.0699999999999994
2014-05-19,5.75,6.05,5.57,6.05,66200,6.05,0.2999999999999998
2014-05-20,6.08,6.7,6.04,6.68,196100,6.68,0.5999999999999996
2014-05-21,6.48,6.78,6.37,6.72,75100,6.72,0.23999999999999932
