Date,open,high,low,close,volume,adj_close,diff
2014-01-02,19.41,19.47,18.99,19.1,137200,18.82,-0.3099999999999987
2014-01-03,19.13,19.13,18.8,18.93,161400,18.65,-0.1999999999999993
2014-01-06,19.03,19.03,18.64,18.65,214500,18.38,-0.38000000000000256
2014-01-07,18.76,19.07,18.62,18.85,211500,18.58,0.08999999999999986
2014-01-08,18.88,19.0,18.71,18.78,274400,18.51,-0.09999999999999787
2014-01-09,18.9,19.2,18.74,18.96,302400,18.68,0.060000000000002274
2014-01-10,18.95,19.1,18.78,18.95,257900,18.67,0.0
2014-01-13,18.81,18.82,17.97,18.27,330100,18.0,-0.5399999999999991
2014-01-14,18.44,18.79,18.4,18.67,194900,18.4,0.23000000000000043
2014-01-15,18.74,19.0,18.62,18.76,194800,18.49,0.020000000000003126
2014-01-16,18.78,19.16,18.72,19.14,390000,18.86,0.35999999999999943
2014-01-17,19.14,19.37,18.99,19.12,123300,18.84,-0.019999999999999574
2014-01-21,19.3,19.47,19.03,19.42,167500,19.14,0.120000000000001
2014-01-22,19.39,19.69,19.29,19.62,122400,19.33,0.23000000000000043
2014-01-23,19.56,19.62,19.22,19.33,179300,19.05,-0.23000000000000043
2014-01-24,19.16,19.23,18.36,18.53,135600,18.26,-0.629999999999999
2014-01-27,18.52,18.54,17.81,18.14,138100,17.88,-0.379999999999999
2014-01-28,18.14,18.38,17.86,17.96,149500,17.7,-0.17999999999999972
2014-01-29,17.7,17.8,17.3,17.4,167000,17.15,-0.3000000000000007
2014-01-30,17.5,17.67,17.14,17.47,159600,17.22,-0.030000000000001137
2014-01-31,17.08,17.26,16.98,17.04,244000,16.79,-0.03999999999999915
2014-02-03,17.03,17.03,16.08,16.41,202900,16.17,-0.620000000000001
2014-02-04,16.45,16.6,16.09,16.29,208700,16.05,-0.16000000000000014
2014-02-05,16.24,16.37,15.92,16.25,189600,16.01,0.010000000000001563
2014-02-06,16.28,16.68,16.28,16.44,184700,16.2,0.16000000000000014
2014-02-07,16.5,16.65,16.28,16.6,176800,16.36,0.10000000000000142
2014-02-10,16.6,16.6,16.15,16.21,204500,15.97,-0.39000000000000057
2014-02-11,16.19,16.19,15.45,15.56,391400,15.33,-0.6300000000000008
2014-02-12,15.63,15.66,15.5,15.58,235100,15.35,-0.05000000000000071
2014-02-13,15.39,15.91,15.39,15.89,166700,15.66,0.5
2014-02-14,15.88,15.95,15.44,15.86,139000,15.63,-0.02000000000000135
2014-02-18,15.86,16.29,15.76,16.2,304100,15.96,0.33999999999999986
2014-02-19,16.18,16.44,16.01,16.08,137600,15.85,-0.10000000000000142
2014-02-20,16.14,16.5,16.07,16.37,119800,16.13,0.23000000000000043
2014-02-21,16.45,16.56,16.31,16.54,235700,16.3,0.08999999999999986
2014-02-24,16.51,16.8,16.43,16.7,195100,16.46,0.18999999999999773
