Date,open,high,low,close,volume,adj_close,diff
2014-01-02,42.54,42.87,41.93,42.24,21600,27.38,-0.29999999999999716
2014-01-03,42.24,42.38,41.41,41.41,23300,26.84,-0.8300000000000054
2014-01-06,41.5,42.37,40.9,41.73,18500,27.05,0.22999999999999687
2014-01-07,41.82,41.98,41.28,41.34,11000,26.8,-0.4799999999999969
2014-01-08,41.26,41.55,40.65,41.01,18200,26.58,-0.25
2014-01-09,41.18,41.95,40.67,41.03,11000,26.59,-0.14999999999999858
2014-01-10,41.27,41.29,40.69,40.87,20000,26.49,-0.4000000000000057
2014-01-13,40.78,41.46,40.46,40.9,27000,26.51,0.11999999999999744
2014-01-14,40.91,41.85,40.91,41.83,175100,27.11,0.9200000000000017
2014-01-15,41.85,42.05,40.79,41.8,19100,27.09,-0.05000000000000426
2014-01-16,41.37,41.85,41.25,41.69,25400,27.02,0.3200000000000003
2014-01-17,41.76,41.76,41.22,41.38,22800,26.82,-0.37999999999999545
2014-01-21,41.5,42.32,41.41,42.1,23300,27.29,0.6000000000000014
2014-01-22,41.96,42.6,41.69,42.3,32400,27.42,0.3399999999999963
2014-01-23,42.0,42.1,41.6,41.71,11600,27.04,-0.28999999999999915
2014-01-24,41.6,41.6,40.26,40.63,14400,26.34,-0.9699999999999989
2014-01-27,41.6,41.6,40.52,40.93,18000,26.53,-0.6700000000000017
2014-01-28,40.84,41.04,40.52,40.75,19400,26.41,-0.09000000000000341
2014-01-29,40.59,41.37,39.76,40.07,24000,25.97,-0.5200000000000031
2014-01-30,40.44,41.0,40.06,40.38,28200,26.17,-0.05999999999999517
2014-01-31,39.6,40.7,39.29,39.57,70400,25.65,-0.030000000000001137
2014-02-03,39.32,39.42,37.77,38.06,34800,24.67,-1.259999999999998
2014-02-04,38.4,39.35,36.95,37.32,22700,24.19,-1.0799999999999983
2014-02-05,37.21,39.08,36.8,37.01,23600,23.99,-0.20000000000000284
2014-02-06,38.76,38.76,37.23,37.85,54900,24.53,-0.9099999999999966
2014-02-07,38.06,38.48,36.7,37.44,18900,24.27,-0.6200000000000045
2014-02-10,37.44,38.21,37.06,37.8,48600,24.5,0.35999999999999943
2014-02-11,37.87,37.99,37.52,37.9,11100,24.57,0.030000000000001137
2014-02-12,37.97,38.17,37.65,37.88,19800,24.55,-0.0899999999999963
2014-02-13,37.89,38.12,37.89,38.11,8000,24.7,0.21999999999999886
2014-02-14,38.15,38.32,37.67,37.96,10200,24.6,-0.18999999999999773
2014-02-18,38.18,39.0,38.18,38.98,19400,25.27,0.7999999999999972
2014-02-19,38.69,38.92,38.25,38.25,11100,24.79,-0.4399999999999977
2014-02-20,38.25,38.73,38.25,38.5,12300,24.95,0.25
2014-02-21,38.75,39.9,38.65,39.36,41600,25.51,0.6099999999999994
2014-02-24,39.25,39.39,38.89,39.38,8400,25.52,0.13000000000000256
2014-02-25,39.67,39.67,38.01,38.4,12200,24.89,-1.2700000000000031
2014-02-26,38.28,38.82,38.28,38.82,8700,25.16,0.5399999999999991
2014-02-27,38.53,39.04,38.21,38.6,17000,25.02,0.07000000000000028
2014-02-28,38.73,39.03,38.49,38.86,15000,25.19,0.13000000000000256
2014-03-03,38.59,39.08,38.36,38.56,9600,24.99,-0.030000000000001137
2014-03-04,39.08,41.59,38.96,41.27,43800,26.75,2.190000000000005
2014-03-05,41.07,41.07,38.6,40.66,15200,26.35,-0.4100000000000037
2014-03-06,40.9,41.03,40.13,41.03,11700,26.59,0.13000000000000256
2014-03-07,40.84,40.97,40.4,40.89,16800,26.67,0.04999999999999716
2014-03-10,40.64,41.0,40.64,40.9,10400,26.68,0.259999999999998
2014-03-11,40.86,40.99,38.83,39.88,32400,26.01,-0.9799999999999969
2014-03-12,39.81,40.82,39.3,40.17,53900,26.2,0.35999999999999943
2014-03-13,39.92,40.49,39.0,40.04,16400,26.12,0.11999999999999744
2014-03-14,39.94,40.47,39.45,39.45,5600,25.73,-0.4899999999999949
2014-03-17,39.85,40.5,39.5,40.3,34200,26.29,0.44999999999999574
2014-03-18,40.48,40.58,39.45,40.46,16800,26.39,-0.01999999999999602
2014-03-19,40.44,40.84,40.16,40.44,25800,26.38,0.0
2014-03-20,39.6,40.89,39.07,40.62,20000,26.5,1.019999999999996
2014-03-21,40.93,41.23,40.05,40.15,72800,26.19,-0.7800000000000011
2014-03-24,40.43,40.9,39.75,40.58,27600,26.47,0.14999999999999858
2014-03-25,40.66,40.8,40.12,40.8,28100,26.61,0.14000000000000057
2014-03-26,41.0,41.18,40.47,40.48,26100,26.41,-0.5200000000000031
2014-03-27,39.8,40.5,39.8,40.05,11600,26.12,0.25
