Date,open,high,low,close,volume,adj_close,diff
2014-01-02,10.63,11.66,10.55,11.39,587100,11.39,0.7599999999999998
2014-01-03,11.38,11.39,11.05,11.2,176500,11.2,-0.1800000000000015
2014-01-06,11.23,11.87,11.14,11.84,385900,11.84,0.6099999999999994
2014-01-07,11.84,11.99,11.63,11.82,270200,11.82,-0.019999999999999574
2014-01-08,11.8,11.95,11.65,11.9,167400,11.9,0.09999999999999964
2014-01-09,11.9,12.0,11.78,12.0,149600,12.0,0.09999999999999964
2014-01-10,12.0,12.16,11.8,12.16,263300,12.16,0.16000000000000014
2014-01-13,12.09,12.7,12.09,12.51,596500,12.51,0.41999999999999993
2014-01-14,12.51,12.68,12.33,12.47,200500,12.47,-0.03999999999999915
2014-01-15,12.46,12.6,12.33,12.4,151900,12.4,-0.0600000000000005
2014-01-16,12.42,12.53,12.14,12.17,198800,12.17,-0.25
2014-01-17,12.12,12.38,11.98,12.17,109200,12.17,0.05000000000000071
2014-01-21,12.24,12.48,12.04,12.39,158800,12.39,0.15000000000000036
2014-01-22,12.43,12.45,12.3,12.4,65800,12.4,-0.02999999999999936
2014-01-23,12.36,12.37,12.11,12.24,67700,12.24,-0.11999999999999922
2014-01-24,12.11,12.17,11.49,11.8,263600,11.8,-0.3099999999999987
2014-01-27,11.8,11.81,11.28,11.52,150000,11.52,-0.28000000000000114
2014-01-28,11.52,11.67,11.38,11.48,122800,11.48,-0.03999999999999915
2014-01-29,11.37,11.46,11.11,11.15,131800,11.15,-0.21999999999999886
2014-01-30,11.23,11.8,11.2,11.65,164900,11.65,0.41999999999999993
2014-01-31,11.39,11.83,11.35,11.68,161000,11.68,0.28999999999999915
2014-02-03,11.6,11.76,11.03,11.22,246300,11.22,-0.379999999999999
2014-02-04,11.28,11.56,11.08,11.39,210400,11.39,0.11000000000000121
2014-02-05,11.32,11.35,10.88,11.15,137800,11.15,-0.16999999999999993
2014-02-06,11.17,11.72,11.15,11.51,212300,11.51,0.33999999999999986
2014-02-07,11.56,11.95,11.3,11.94,232000,11.94,0.379999999999999
2014-02-10,11.94,11.94,11.64,11.74,145200,11.74,-0.1999999999999993
2014-02-11,11.77,11.93,11.56,11.9,131200,11.9,0.13000000000000078
2014-02-12,11.9,12.06,11.85,11.95,85200,11.95,0.049999999999998934
2014-02-13,11.82,12.23,11.73,12.16,96700,12.16,0.33999999999999986
2014-02-14,12.17,12.17,11.96,12.1,76800,12.1,-0.07000000000000028
2014-02-18,12.1,12.26,11.9,12.22,146100,12.22,0.120000000000001
2014-02-19,12.14,12.27,11.85,11.86,79700,11.86,-0.28000000000000114
2014-02-20,11.83,12.6,11.67,12.56,260200,12.56,0.7300000000000004
2014-02-21,12.55,12.64,12.3,12.35,137500,12.35,-0.20000000000000107
2014-02-24,12.35,12.52,12.28,12.38,119400,12.38,0.030000000000001137
2014-02-25,12.36,12.4,12.09,12.13,59500,12.13,-0.22999999999999865
2014-02-26,12.13,12.37,11.96,11.98,107600,11.98,-0.15000000000000036
2014-02-27,11.9,11.99,11.65,11.8,186000,11.8,-0.09999999999999964
2014-02-28,11.83,11.94,11.73,11.84,344700,11.84,0.009999999999999787
