Date,open,high,low,close,volume,adj_close,diff
2014-01-02,25.1,25.1,24.32,24.52,9400,24.52,-0.5800000000000018
2014-01-03,24.56,24.81,24.31,24.51,20000,24.51,-0.04999999999999716
2014-01-06,24.71,24.71,24.24,24.25,7400,24.25,-0.46000000000000085
2014-01-07,24.25,24.41,24.25,24.39,5600,24.39,0.14000000000000057
2014-01-08,24.29,24.36,24.01,24.36,12400,24.36,0.07000000000000028
2014-01-09,24.4,24.4,23.81,24.18,3800,24.18,-0.21999999999999886
2014-01-10,24.25,24.25,23.75,24.19,29200,24.19,-0.05999999999999872
2014-01-13,24.13,24.31,24.0,24.17,8500,24.17,0.0400000000000027
2014-01-14,24.21,24.78,24.21,24.71,7600,24.71,0.5
2014-01-15,24.85,25.4,24.61,25.25,13000,25.25,0.3999999999999986
2014-01-16,25.46,25.46,24.91,25.19,5500,25.19,-0.2699999999999996
2014-01-17,25.13,25.29,25.04,25.13,9700,25.13,0.0
2014-01-21,25.38,25.38,25.01,25.24,10700,25.24,-0.14000000000000057
2014-01-22,25.29,25.41,25.01,25.05,9400,25.05,-0.23999999999999844
2014-01-23,25.0,25.2,25.0,25.06,5600,25.06,0.05999999999999872
2014-01-24,24.99,24.99,24.5,24.72,16600,24.72,-0.2699999999999996
2014-01-27,24.84,25.12,24.03,24.85,15100,24.85,0.010000000000001563
2014-01-28,24.85,24.85,24.19,24.57,17100,24.57,-0.28000000000000114
2014-01-29,24.25,24.52,24.1,24.26,19100,24.26,0.010000000000001563
2014-01-30,24.56,25.22,24.43,25.02,13100,25.02,0.46000000000000085
2014-01-31,24.43,24.71,24.33,24.51,24200,24.51,0.08000000000000185
2014-02-03,24.5,24.73,23.82,24.03,23900,24.03,-0.46999999999999886
2014-02-04,24.13,24.13,23.85,23.91,12200,23.91,-0.21999999999999886
2014-02-05,23.85,23.94,23.62,23.66,11700,23.66,-0.19000000000000128
2014-02-06,23.5,23.92,23.31,23.57,15500,23.57,0.07000000000000028
2014-02-07,23.55,24.04,23.55,24.0,20100,24.0,0.4499999999999993
2014-02-10,24.04,24.19,23.65,24.03,7400,24.03,-0.00999999999999801
2014-02-11,24.11,24.12,23.55,23.86,7700,23.86,-0.25
2014-02-12,23.91,24.15,23.9,24.15,5900,24.15,0.23999999999999844
2014-02-13,23.92,24.55,23.8,24.52,7100,24.52,0.5999999999999979
2014-02-14,24.53,24.56,24.08,24.08,5600,24.08,-0.45000000000000284
2014-02-18,24.27,24.9,24.18,24.37,8700,24.37,0.10000000000000142
2014-02-19,24.37,24.48,23.9,24.02,8600,24.02,-0.3500000000000014
2014-02-20,23.97,24.25,23.16,23.89,7300,23.89,-0.0799999999999983
2014-02-21,25.48,26.17,24.3,25.82,38900,25.82,0.33999999999999986
2014-02-24,25.8,26.29,25.8,26.04,9000,26.04,0.23999999999999844
2014-02-25,26.0,26.16,25.81,26.16,9900,26.16,0.16000000000000014
2014-02-26,26.15,26.2,26.02,26.19,4500,26.19,0.0400000000000027
2014-02-27,26.05,26.29,25.9,26.29,5800,26.29,0.23999999999999844
2014-02-28,26.3,26.3,26.02,26.08,10600,26.08,-0.22000000000000242
2014-03-03,25.74,26.3,25.74,26.19,8600,26.19,0.45000000000000284
2014-03-04,26.61,26.98,26.59,26.97,34900,26.97,0.35999999999999943
2014-03-05,26.82,26.98,26.59,26.91,20100,26.91,0.08999999999999986
2014-03-06,26.95,26.98,26.55,26.92,13400,26.92,-0.029999999999997584
2014-03-07,26.98,26.98,26.71,26.77,4800,26.77,-0.21000000000000085
2014-03-10,26.59,26.59,25.83,26.29,13800,26.29,-0.3000000000000007
2014-03-11,26.21,26.59,26.0,26.15,8200,26.15,-0.060000000000002274
2014-03-12,26.0,26.3,25.98,26.23,9900,26.23,0.23000000000000043
2014-03-13,25.99,26.44,25.85,26.19,9200,26.19,0.20000000000000284
2014-03-14,26.09,26.74,26.09,26.55,6000,26.55,0.46000000000000085
2014-03-17,25.58,26.74,25.58,26.41,17600,26.41,0.8300000000000018
2014-03-18,26.07,26.47,26.07,26.33,11900,26.33,0.259999999999998
2014-03-19,26.41,26.41,25.14,25.85,10100,25.85,-0.5599999999999987
2014-03-20,25.71,26.69,25.7,26.07,38000,26.07,0.35999999999999943
2014-03-21,26.26,26.43,25.66,26.15,71300,26.15,-0.11000000000000298
2014-03-24,26.11,26.31,25.9,26.04,15100,26.04,-0.07000000000000028
2014-03-25,25.89,26.31,25.89,26.05,13600,26.05,0.16000000000000014
2014-03-26,26.31,26.31,25.25,25.95,8200,25.95,-0.35999999999999943
2014-03-27,25.88,25.88,25.59,25.78,14400,25.78,-0.09999999999999787
2014-03-28,25.75,26.03,25.75,25.95,7400,25.95,0.1999999999999993
2014-03-31,26.43,26.5,26.19,26.34,16300,26.34,-0.08999999999999986
2014-04-01,26.47,27.0,26.47,26.96,16700,26.96,0.490000000000002
2014-04-02,26.99,27.0,26.74,26.85,13600,26.85,-0.13999999999999702
2014-04-03,26.9,26.9,26.26,26.43,4000,26.43,-0.46999999999999886
2014-04-04,26.7,26.7,25.6,25.61,18800,25.61,-1.0899999999999999
2014-04-07,25.59,25.79,25.33,25.55,12100,25.55,-0.03999999999999915
2014-04-08,25.68,26.1,25.4,25.97,14600,25.97,0.28999999999999915
2014-04-09,25.78,25.85,25.75,25.83,6700,25.83,0.04999999999999716
2014-04-10,25.75,25.82,25.25,25.4,17800,25.4,-0.3500000000000014
2014-04-11,25.16,26.09,24.44,25.89,15600,25.89,0.7300000000000004
2014-04-14,26.21,26.21,25.18,25.53,21900,25.53,-0.6799999999999997
2014-04-15,25.56,25.93,25.16,25.79,9100,25.79,0.23000000000000043
2014-04-16,26.1,26.61,26.1,26.55,7000,26.55,0.4499999999999993
2014-04-17,26.67,26.85,26.56,26.81,14300,26.81,0.13999999999999702
2014-04-21,26.81,26.83,26.52,26.72,4400,26.72,-0.08999999999999986
2014-04-22,26.72,26.99,26.72,26.98,126600,26.98,0.26000000000000156
2014-04-23,26.85,27.54,26.76,26.86,25600,26.86,0.00999999999999801
2014-04-24,27.0,27.14,26.82,27.06,29600,27.06,0.05999999999999872
2014-04-25,27.06,27.06,26.5,26.67,24300,26.67,-0.389999999999997
2014-04-28,26.81,26.9,26.29,26.65,8800,26.65,-0.16000000000000014
2014-04-29,26.87,26.99,26.57,26.81,15400,26.81,-0.060000000000002274
2014-04-30,26.76,26.95,26.56,26.8,25200,26.8,0.03999999999999915
2014-05-01,26.67,26.67,25.86,26.45,25400,26.45,-0.22000000000000242
2014-05-02,26.39,26.53,26.19,26.49,15900,26.49,0.09999999999999787
2014-05-05,25.84,26.33,25.62,26.33,13900,26.33,0.48999999999999844
2014-05-06,26.39,26.39,25.09,25.63,28400,25.63,-0.7600000000000016
2014-05-07,25.81,25.91,25.41,25.76,38500,25.76,-0.04999999999999716
2014-05-08,25.83,26.0,25.51,25.76,27900,25.76,-0.06999999999999673
2014-05-09,25.57,26.26,25.57,25.78,20600,25.78,0.21000000000000085
2014-05-12,25.69,27.42,25.55,27.37,31900,27.37,1.6799999999999997
2014-05-13,27.24,27.24,26.62,26.81,28200,26.81,-0.4299999999999997
2014-05-14,27.22,27.22,26.22,26.45,21300,26.45,-0.7699999999999996
2014-05-15,26.31,26.31,25.97,26.15,15700,26.15,-0.16000000000000014
2014-05-16,26.05,26.05,25.53,25.96,11700,25.96,-0.08999999999999986
2014-05-19,26.07,26.27,25.82,26.18,14200,26.18,0.10999999999999943
2014-05-20,25.99,26.2,25.71,25.91,28000,25.91,-0.0799999999999983
2014-05-21,25.94,26.6,25.76,25.9,15600,25.9,-0.0400000000000027
2014-05-22,25.67,26.67,25.67,26.34,32800,26.34,0.6699999999999982
2014-05-23,26.26,26.69,26.01,26.62,13100,26.62,0.35999999999999943
2014-05-27,26.89,27.39,26.6,27.39,6700,27.39,0.5
2014-05-28,27.19,27.22,26.69,27.0,48200,27.0,-0.19000000000000128
2014-05-29,27.11,27.43,26.79,27.28,17500,27.28,0.1700000000000017
2014-05-30,27.38,27.38,26.34,26.44,15200,26.44,-0.9399999999999977
2014-06-02,26.38,26.9,25.88,26.34,75600,26.34,-0.03999999999999915
2014-06-03,26.35,26.41,25.78,26.02,28200,26.02,-0.33000000000000185
2014-06-04,26.33,26.37,25.82,25.94,9500,25.94,-0.389999999999997
2014-06-05,26.1,26.98,25.99,26.94,13600,26.94,0.8399999999999999
2014-06-06,27.16,27.43,26.95,27.2,15500,27.2,0.03999999999999915
2014-06-09,27.3,27.78,27.14,27.68,13300,27.68,0.379999999999999
2014-06-10,27.64,27.78,27.16,27.48,13700,27.48,-0.16000000000000014
2014-06-11,27.75,27.75,26.65,26.7,10000,26.7,-1.0500000000000007
2014-06-12,27.3,27.3,26.19,26.42,11400,26.42,-0.879999999999999
2014-06-13,26.57,26.57,26.08,26.38,5400,26.38,-0.19000000000000128
2014-06-16,26.01,26.13,25.9,26.06,13700,26.06,0.04999999999999716
2014-06-17,26.0,26.3,26.0,26.19,13100,26.19,0.19000000000000128
2014-06-18,26.44,26.44,25.86,26.24,8500,26.24,-0.20000000000000284
2014-06-19,26.21,26.53,26.01,26.03,6200,26.03,-0.17999999999999972
2014-06-20,26.25,26.32,25.94,25.95,36800,25.95,-0.3000000000000007
2014-06-23,26.26,26.26,25.76,25.9,12200,25.9,-0.360000000000003
2014-06-24,25.7,26.17,25.69,25.88,17600,25.88,0.17999999999999972
2014-06-25,25.67,25.91,25.59,25.83,15700,25.83,0.1599999999999966
2014-06-26,25.93,25.93,25.7,25.82,9300,25.82,-0.10999999999999943
2014-06-27,25.6,25.7,25.56,25.6,85900,25.6,0.0
2014-06-30,25.5,25.99,25.5,25.99,17700,25.99,0.48999999999999844
2014-07-01,25.86,26.9,24.92,26.69,32600,26.69,0.8300000000000018
2014-07-02,26.77,26.8,26.47,26.51,16900,26.51,-0.259999999999998
2014-07-03,26.75,26.82,26.54,26.74,3800,26.74,-0.010000000000001563
2014-07-07,26.64,26.83,25.79,25.89,20600,25.89,-0.75
