Date,open,high,low,close,volume,adj_close,diff
2014-01-02,20.22,20.6,20.22,20.54,148100,19.27,0.3200000000000003
2014-01-03,20.62,20.84,20.61,20.84,89300,19.55,0.21999999999999886
2014-01-06,20.95,21.05,20.93,20.98,53300,19.68,0.030000000000001137
2014-01-07,21.15,21.31,20.96,20.98,74300,19.68,-0.16999999999999815
2014-01-08,21.0,21.04,20.94,20.97,58000,19.67,-0.030000000000001137
2014-01-09,21.04,21.18,21.0,21.15,86400,19.84,0.10999999999999943
2014-01-10,21.2,21.34,21.2,21.27,63300,19.95,0.07000000000000028
2014-01-13,21.3,21.62,21.3,21.46,1004700,20.13,0.16000000000000014
2014-01-14,21.5,21.55,21.36,21.43,52500,20.1,-0.07000000000000028
2014-01-15,21.47,21.52,21.33,21.36,43600,20.04,-0.10999999999999943
2014-01-16,21.34,21.66,21.29,21.48,542800,20.15,0.14000000000000057
2014-01-17,21.57,21.62,21.23,21.38,136400,20.05,-0.19000000000000128
2014-01-21,21.52,21.8,21.51,21.7,113100,20.35,0.17999999999999972
2014-01-22,21.82,21.82,21.68,21.74,115500,20.39,-0.08000000000000185
2014-01-23,21.74,21.85,21.63,21.76,98400,20.41,0.020000000000003126
2014-01-24,21.49,21.49,21.2,21.28,90100,20.24,-0.2099999999999973
2014-01-27,21.23,21.4,21.14,21.26,58200,20.23,0.030000000000001137
2014-01-28,21.21,21.32,21.21,21.27,42100,20.23,0.05999999999999872
2014-01-29,21.35,21.35,21.25,21.3,66600,20.26,-0.05000000000000071
2014-01-30,21.35,21.44,21.27,21.34,46900,20.3,-0.010000000000001563
2014-01-31,21.29,21.45,21.26,21.33,69400,20.29,0.03999999999999915
2014-02-03,21.32,21.35,21.12,21.16,55100,20.13,-0.16000000000000014
2014-02-04,21.26,21.27,21.14,21.21,36900,20.18,-0.05000000000000071
2014-02-05,21.28,21.35,21.17,21.28,38600,20.24,0.0
2014-02-06,21.33,21.33,21.18,21.22,107600,20.19,-0.10999999999999943
2014-02-07,21.25,21.33,21.2,21.26,101700,20.23,0.010000000000001563
2014-02-10,21.3,21.38,21.26,21.33,88200,20.29,0.029999999999997584
2014-02-11,21.38,21.8,21.35,21.71,210100,20.65,0.33000000000000185
2014-02-12,21.8,21.89,21.63,21.64,81800,20.59,-0.16000000000000014
2014-02-13,21.59,21.84,21.58,21.71,59600,20.65,0.120000000000001
2014-02-14,21.78,21.8,21.7,21.73,73800,20.67,-0.05000000000000071
2014-02-18,21.8,21.95,21.78,21.9,48800,20.83,0.09999999999999787
2014-02-19,21.93,22.03,21.87,21.98,65300,20.91,0.05000000000000071
2014-02-20,21.92,22.05,21.85,21.87,81800,20.81,-0.05000000000000071
2014-02-21,21.98,22.03,21.85,21.95,58300,20.88,-0.030000000000001137
2014-02-24,22.02,22.02,21.78,21.81,83500,20.75,-0.21000000000000085
2014-02-25,21.89,21.93,21.71,21.9,82200,20.83,0.00999999999999801
2014-02-26,21.97,22.05,21.9,21.95,81700,20.88,-0.019999999999999574
2014-02-27,21.98,22.09,21.98,22.06,104400,20.99,0.0799999999999983
2014-02-28,22.06,22.15,21.97,22.0,84300,20.93,-0.05999999999999872
2014-03-03,22.06,22.08,21.9,22.03,42400,20.96,-0.029999999999997584
2014-03-04,22.07,22.2,22.06,22.06,58300,20.99,-0.010000000000001563
2014-03-05,22.13,22.13,21.96,22.0,82100,20.93,-0.129999999999999
2014-03-06,21.97,22.15,21.95,22.09,57800,21.01,0.120000000000001
2014-03-07,22.13,22.13,21.94,22.02,98500,20.95,-0.10999999999999943
2014-03-10,21.95,22.1,21.95,22.1,86800,21.02,0.15000000000000213
2014-03-11,22.14,22.19,22.06,22.15,51900,21.07,0.00999999999999801
2014-03-12,22.18,22.18,22.09,22.1,95100,21.02,-0.0799999999999983
2014-03-13,22.23,22.23,22.09,22.14,124000,21.06,-0.08999999999999986
2014-03-14,22.12,22.24,22.12,22.21,86800,21.13,0.08999999999999986
2014-03-17,22.26,22.5,22.25,22.48,92800,21.39,0.21999999999999886
2014-03-18,22.5,22.78,22.45,22.72,83300,21.61,0.21999999999999886
2014-03-19,22.78,22.79,22.55,22.66,157500,21.56,-0.120000000000001
2014-03-20,22.73,22.8,22.56,22.8,148600,21.69,0.07000000000000028
2014-03-21,22.8,23.24,22.8,23.15,106600,22.02,0.34999999999999787
2014-03-24,23.09,23.29,23.09,23.29,123600,22.16,0.1999999999999993
2014-03-25,23.34,23.4,23.28,23.34,131800,22.2,0.0
2014-03-26,23.3,23.37,23.05,23.12,114500,21.99,-0.17999999999999972
2014-03-27,23.33,23.33,23.22,23.28,90500,22.15,-0.04999999999999716
2014-03-28,23.29,23.33,23.24,23.29,84400,22.16,0.0
2014-03-31,23.31,23.46,23.25,23.36,123700,22.22,0.05000000000000071
2014-04-01,23.4,23.56,23.38,23.55,59600,22.4,0.15000000000000213
2014-04-02,23.58,23.69,23.52,23.59,88500,22.44,0.010000000000001563
2014-04-03,23.56,23.59,23.46,23.59,51100,22.44,0.030000000000001137
2014-04-04,23.55,23.82,23.53,23.77,59200,22.61,0.21999999999999886
2014-04-07,23.74,23.89,23.72,23.82,53500,22.66,0.08000000000000185
2014-04-08,23.81,23.96,23.81,23.92,71500,22.76,0.11000000000000298
2014-04-09,23.86,24.15,23.85,23.9,107000,22.74,0.03999999999999915
2014-04-10,23.94,23.96,23.85,23.9,57800,22.74,-0.0400000000000027
2014-04-11,23.87,23.92,23.76,23.92,38500,22.76,0.05000000000000071
2014-04-14,23.95,24.0,23.9,23.97,49100,22.8,0.019999999999999574
2014-04-15,23.94,24.32,23.84,24.32,51800,23.14,0.379999999999999
2014-04-16,24.22,24.44,24.17,24.2,48300,23.02,-0.019999999999999574
2014-04-17,24.39,24.39,23.9,23.9,93900,22.74,-0.490000000000002
2014-04-21,24.04,24.04,23.95,24.03,41300,22.86,-0.00999999999999801
2014-04-22,24.0,24.0,23.84,23.9,86100,22.74,-0.10000000000000142
2014-04-23,23.91,23.92,23.86,23.91,82000,22.75,0.0
2014-04-24,23.65,23.65,23.5,23.6,66700,22.74,-0.04999999999999716
2014-04-25,23.64,23.8,23.63,23.8,100500,22.93,0.16000000000000014
2014-04-28,23.92,23.93,23.71,23.72,50000,22.86,-0.20000000000000284
2014-04-29,23.87,23.9,23.71,23.71,90400,22.85,-0.16000000000000014
