Date,open,high,low,close,volume,adj_close,diff
2014-01-02,52.32,52.51,51.22,51.81,252300,48.99,-0.509999999999998
2014-01-03,51.69,53.13,51.29,53.12,112500,50.23,1.4299999999999997
2014-01-06,53.19,53.4,52.33,52.62,175300,49.75,-0.5700000000000003
2014-01-07,52.25,52.98,51.79,52.59,485500,49.72,0.3400000000000034
2014-01-08,52.68,52.92,52.12,52.51,180900,49.65,-0.1700000000000017
2014-01-09,52.65,53.48,49.46,52.97,195700,50.08,0.3200000000000003
2014-01-10,53.0,53.5,52.76,53.2,97100,50.3,0.20000000000000284
2014-01-13,53.36,53.54,52.94,53.06,175800,50.17,-0.29999999999999716
2014-01-14,52.65,52.88,52.26,52.66,128700,49.79,0.00999999999999801
2014-01-15,52.53,52.94,52.35,52.67,85700,49.8,0.14000000000000057
2014-01-16,52.81,53.55,52.66,53.03,337700,50.14,0.21999999999999886
2014-01-17,52.95,53.18,52.65,52.81,116500,49.93,-0.14000000000000057
2014-01-21,53.07,53.78,52.76,53.08,107200,50.19,0.00999999999999801
2014-01-22,53.34,53.94,53.09,53.63,73300,50.71,0.28999999999999915
2014-01-23,53.69,54.33,53.13,53.89,119000,50.95,0.20000000000000284
2014-01-24,53.47,54.08,53.26,53.52,169400,50.6,0.05000000000000426
2014-01-27,53.61,54.01,52.41,53.1,124600,50.21,-0.509999999999998
2014-01-28,53.31,54.37,52.93,53.92,220100,50.98,0.6099999999999994
2014-01-29,53.29,54.11,53.11,54.0,201000,51.57,0.7100000000000009
2014-01-30,54.11,54.9,54.11,54.44,127600,51.99,0.3299999999999983
2014-01-31,53.88,55.5,53.88,55.03,147600,52.55,1.1499999999999986
2014-02-03,55.14,56.15,54.68,54.82,490700,52.35,-0.3200000000000003
2014-02-04,54.84,54.87,54.23,54.39,179600,51.94,-0.45000000000000284
2014-02-05,54.5,54.69,53.83,54.2,206900,51.76,-0.29999999999999716
2014-02-06,54.2,54.97,54.01,54.47,97400,52.02,0.269999999999996
2014-02-07,54.66,55.04,54.23,54.77,204600,52.3,0.11000000000000654
2014-02-10,54.92,55.27,54.6,54.98,191700,52.51,0.05999999999999517
2014-02-11,55.25,55.76,54.03,55.61,206900,53.11,0.35999999999999943
2014-02-12,55.99,56.68,55.6,56.05,200100,53.53,0.05999999999999517
2014-02-13,55.63,56.8,55.53,56.45,181700,53.91,0.8200000000000003
2014-02-14,56.49,56.78,55.87,56.27,165000,53.74,-0.21999999999999886
2014-02-18,55.03,56.06,53.02,53.6,720500,51.19,-1.4299999999999997
2014-02-19,53.74,53.99,52.74,52.95,373700,50.57,-0.7899999999999991
2014-02-20,52.71,53.45,52.39,53.05,309600,50.66,0.3399999999999963
2014-02-21,52.69,52.98,52.22,52.34,302300,49.98,-0.3499999999999943
2014-02-24,52.09,52.48,51.41,51.49,392600,49.17,-0.6000000000000014
2014-02-25,51.28,51.93,51.08,51.51,241200,49.19,0.22999999999999687
2014-02-26,51.2,53.95,51.13,53.95,287400,51.52,2.75
2014-02-27,53.69,55.16,52.96,55.0,320600,52.52,1.3100000000000023
2014-02-28,55.0,55.29,54.81,55.0,219200,52.52,0.0
2014-03-03,54.86,55.53,54.85,55.2,117200,52.72,0.3400000000000034
2014-03-04,55.79,55.89,55.07,55.75,211800,53.24,-0.03999999999999915
2014-03-05,55.92,56.4,55.42,56.02,135000,53.5,0.10000000000000142
2014-03-06,55.96,56.2,55.24,55.83,229000,53.32,-0.13000000000000256
2014-03-07,55.96,56.24,55.39,56.14,109100,53.61,0.17999999999999972
2014-03-10,56.11,56.23,54.84,54.9,105100,52.43,-1.2100000000000009
2014-03-11,54.84,55.27,54.23,54.46,121200,52.01,-0.38000000000000256
2014-03-12,54.33,55.13,53.1,55.02,105700,52.54,0.6900000000000048
2014-03-13,55.2,55.2,53.89,54.01,106200,51.58,-1.1900000000000048
2014-03-14,54.12,55.52,53.7,55.35,146600,52.86,1.230000000000004
2014-03-17,55.35,55.61,54.79,55.34,257900,52.85,-0.00999999999999801
2014-03-18,55.48,55.95,54.8,55.37,144100,52.88,-0.10999999999999943
2014-03-19,55.17,55.3,53.19,53.46,273300,51.05,-1.7100000000000009
2014-03-20,53.18,54.11,52.91,53.93,202900,51.5,0.75
2014-03-21,53.93,54.04,52.86,52.86,896700,50.48,-1.0700000000000003
2014-03-24,53.12,54.21,52.41,54.06,233600,51.63,0.9400000000000048
2014-03-25,54.3,54.33,52.77,53.0,185800,50.61,-1.2999999999999972
2014-03-26,52.96,53.23,52.53,52.68,134300,50.31,-0.28000000000000114
2014-03-27,52.55,53.5,52.41,53.47,194700,51.06,0.9200000000000017
2014-03-28,52.57,53.82,52.57,53.33,217700,50.93,0.759999999999998
2014-03-31,53.36,54.2,52.73,54.2,191600,51.76,0.8400000000000034
2014-04-01,54.34,55.72,54.08,55.54,281100,53.04,1.1999999999999957
2014-04-02,55.23,55.61,54.48,55.03,209300,52.55,-0.19999999999999574
2014-04-03,54.84,55.25,54.43,55.02,205600,52.54,0.17999999999999972
2014-04-04,55.14,55.27,53.91,53.99,164100,51.56,-1.1499999999999986
2014-04-07,53.62,54.28,53.3,53.53,189400,51.12,-0.0899999999999963
2014-04-08,53.55,54.25,53.5,54.01,118200,51.58,0.46000000000000085
2014-04-09,54.16,54.67,53.34,54.4,91900,51.95,0.240000000000002
