Date,open,high,low,close,volume,adj_close,diff
2014-01-02,58.39,58.55,57.37,57.72,620300,56.83,-0.6700000000000017
2014-01-03,57.68,57.77,55.76,56.7,1956800,55.83,-0.9799999999999969
2014-01-06,56.64,57.76,56.14,56.19,1852000,55.32,-0.45000000000000284
2014-01-07,56.26,57.74,56.15,56.64,1410000,55.77,0.38000000000000256
2014-01-08,57.0,57.74,56.79,57.27,1012500,56.39,0.2700000000000031
2014-01-09,57.67,57.67,55.25,56.15,1974800,55.28,-1.5200000000000031
2014-01-10,56.17,56.63,55.38,55.76,1834900,54.9,-0.4100000000000037
2014-01-13,55.68,55.88,54.14,54.51,1757100,53.67,-1.1700000000000017
2014-01-14,54.82,55.66,54.74,55.4,1626400,54.55,0.5799999999999983
2014-01-15,55.7,56.25,55.22,56.12,977400,55.26,0.4199999999999946
2014-01-16,55.98,56.06,54.01,54.41,1897200,53.57,-1.5700000000000003
2014-01-17,54.45,54.56,52.99,53.09,1817900,52.27,-1.3599999999999994
2014-01-21,53.15,53.52,51.95,52.55,2191100,51.74,-0.6000000000000014
2014-01-22,52.75,54.08,52.61,53.76,2134700,52.93,1.009999999999998
2014-01-23,51.8,52.94,49.42,52.48,4660500,51.67,0.6799999999999997
2014-01-24,52.46,52.48,51.37,52.24,1747300,51.44,-0.21999999999999886
2014-01-27,52.44,52.62,51.12,51.33,1766700,50.54,-1.1099999999999994
2014-01-28,51.23,51.63,50.58,50.85,1934000,50.07,-0.37999999999999545
2014-01-29,50.58,50.67,49.92,50.09,1007200,49.32,-0.4899999999999949
2014-01-30,50.25,51.42,50.15,50.85,1102600,50.07,0.6000000000000014
2014-01-31,50.2,51.72,49.88,51.11,1747500,50.32,0.9099999999999966
2014-02-03,51.14,51.27,48.94,49.02,1820000,48.26,-2.1199999999999974
2014-02-04,49.21,50.75,49.1,50.62,2107300,49.84,1.4099999999999966
2014-02-05,50.14,50.14,49.0,49.35,1469400,48.59,-0.7899999999999991
2014-02-06,49.69,50.83,49.56,50.69,1344100,49.91,1.0
2014-02-07,51.35,51.38,50.68,51.16,946200,50.37,-0.19000000000000483
2014-02-10,51.15,51.25,50.85,51.04,890300,50.25,-0.10999999999999943
2014-02-11,51.38,52.06,51.0,51.89,2177800,51.09,0.509999999999998
2014-02-12,51.8,52.4,51.67,52.17,1817200,51.37,0.37000000000000455
2014-02-13,51.93,52.63,51.31,52.39,3362900,51.58,0.46000000000000085
2014-02-14,45.01,47.0,44.66,44.72,16835900,44.03,-0.28999999999999915
2014-02-18,45.1,45.1,43.94,44.45,4636700,43.77,-0.6499999999999986
2014-02-19,44.35,45.08,44.35,44.76,2312000,44.07,0.4099999999999966
2014-02-20,44.78,45.71,44.62,45.57,2310200,44.87,0.7899999999999991
2014-02-21,45.92,47.72,45.91,46.91,3646600,46.19,0.9899999999999949
2014-02-24,46.95,47.54,46.5,46.6,2433000,45.88,-0.3500000000000014
2014-02-25,46.96,48.58,46.87,48.37,2738400,47.62,1.4099999999999966
2014-02-26,48.37,49.19,47.96,48.29,2896900,47.55,-0.0799999999999983
2014-02-27,48.49,48.84,47.47,47.54,1369000,46.81,-0.9500000000000028
2014-02-28,47.52,47.88,46.41,46.52,1694800,45.8,-1.0
2014-03-03,45.96,47.66,45.71,47.61,1622100,46.88,1.6499999999999986
2014-03-04,48.37,48.64,48.0,48.23,1359700,47.49,-0.14000000000000057
2014-03-05,48.27,48.47,48.02,48.4,1032800,47.65,0.12999999999999545
2014-03-06,48.38,48.38,47.58,47.66,1489300,46.93,-0.720000000000006
2014-03-07,47.92,48.38,47.78,48.22,1438800,47.48,0.29999999999999716
2014-03-10,48.06,48.45,47.86,48.4,1131400,47.65,0.3399999999999963
2014-03-11,48.34,48.44,47.71,48.04,1227100,47.3,-0.30000000000000426
2014-03-12,47.4,47.87,46.89,47.62,1004200,47.04,0.21999999999999886
2014-03-13,47.79,47.97,46.7,46.74,1209800,46.17,-1.0499999999999972
2014-03-14,46.92,47.4,46.53,46.55,1194200,45.99,-0.37000000000000455
2014-03-17,45.69,45.99,45.0,45.24,2572400,44.69,-0.44999999999999574
2014-03-18,45.24,45.7,44.04,44.59,3136800,44.05,-0.6499999999999986
2014-03-19,44.62,45.0,44.18,44.5,1396900,43.96,-0.11999999999999744
2014-03-20,44.5,44.65,43.31,44.25,2516800,43.71,-0.25
2014-03-21,44.7,45.08,43.75,44.23,1726900,43.69,-0.47000000000000597
2014-03-24,44.22,44.23,43.23,43.43,1661100,42.9,-0.7899999999999991
2014-03-25,43.8,44.42,43.35,43.52,2365500,42.99,-0.27999999999999403
2014-03-26,43.76,43.84,43.07,43.2,1264700,42.68,-0.5599999999999952
2014-03-27,43.09,43.3,42.54,43.23,1230400,42.71,0.13999999999999346
2014-03-28,43.35,44.16,43.22,44.13,1011500,43.6,0.7800000000000011
2014-03-31,44.39,44.39,43.84,44.02,900700,43.49,-0.36999999999999744
2014-04-01,44.5,45.76,44.4,45.68,1987600,45.13,1.1799999999999997
2014-04-02,45.63,46.32,45.33,46.26,1417900,45.7,0.6299999999999955
2014-04-03,46.28,47.35,46.06,46.64,2989800,46.07,0.35999999999999943
2014-04-04,46.87,47.17,45.95,45.99,1447700,45.43,-0.8799999999999955
2014-04-07,45.75,45.75,44.55,45.0,1831800,44.45,-0.75
2014-04-08,45.26,45.47,44.74,45.09,1855300,44.54,-0.1699999999999946
2014-04-09,45.16,45.95,45.0,45.89,1048700,45.33,0.730000000000004
2014-04-10,45.92,46.25,44.23,44.51,1388800,43.97,-1.4100000000000037
2014-04-11,44.05,44.57,43.76,44.26,1213200,43.72,0.21000000000000085
