Date,open,high,low,close,volume,adj_close,diff
2014-01-02,11.1,11.33,10.98,11.19,191100,11.19,0.08999999999999986
2014-01-03,11.18,11.49,11.07,11.44,285800,11.44,0.2599999999999998
2014-01-06,11.44,11.5,10.96,11.14,147800,11.14,-0.29999999999999893
2014-01-07,11.17,11.46,11.05,11.45,143800,11.45,0.27999999999999936
2014-01-08,11.5,11.75,11.37,11.62,302200,11.62,0.11999999999999922
2014-01-09,11.62,11.65,11.36,11.55,219300,11.55,-0.06999999999999851
2014-01-10,11.43,11.6,11.43,11.5,170700,11.5,0.07000000000000028
2014-01-13,11.42,11.5,11.07,11.19,238600,11.19,-0.23000000000000043
2014-01-14,11.24,11.34,11.18,11.25,100500,11.25,0.009999999999999787
2014-01-15,11.25,11.38,11.12,11.2,150200,11.2,-0.05000000000000071
2014-01-16,11.23,11.25,11.0,11.09,95800,11.09,-0.14000000000000057
2014-01-17,11.04,11.11,10.87,10.96,168400,10.96,-0.0799999999999983
2014-01-21,11.06,11.1,10.89,10.94,130200,10.94,-0.120000000000001
2014-01-22,10.98,10.99,10.75,10.8,91100,10.8,-0.17999999999999972
2014-01-23,10.8,10.8,10.52,10.55,189400,10.55,-0.25
2014-01-24,10.5,10.55,10.28,10.32,287000,10.32,-0.17999999999999972
2014-01-27,10.3,11.2,10.03,10.14,201700,10.14,-0.16000000000000014
2014-01-28,10.14,10.31,10.02,10.2,244000,10.2,0.05999999999999872
2014-01-29,10.12,10.26,9.88,9.93,182900,9.93,-0.1899999999999995
2014-01-30,10.0,10.08,9.89,9.91,129600,9.91,-0.08999999999999986
2014-01-31,9.75,9.95,9.64,9.73,271600,9.73,-0.019999999999999574
2014-02-03,9.78,9.82,9.48,9.57,226000,9.57,-0.20999999999999908
2014-02-04,9.66,9.66,9.3,9.52,168300,9.52,-0.14000000000000057
2014-02-05,9.59,9.59,9.33,9.34,123800,9.34,-0.25
2014-02-06,9.43,9.72,9.43,9.45,130500,9.45,0.019999999999999574
2014-02-07,9.53,9.61,9.34,9.45,175300,9.45,-0.08000000000000007
2014-02-10,9.31,9.47,9.24,9.45,146300,9.45,0.1399999999999988
2014-02-11,9.5,9.61,9.37,9.5,116700,9.5,0.0
2014-02-12,9.55,9.65,9.47,9.56,60300,9.56,0.009999999999999787
2014-02-13,9.52,9.81,9.5,9.77,88900,9.77,0.25
2014-02-14,9.78,9.85,9.62,9.78,105400,9.78,0.0
2014-02-18,9.86,10.09,9.82,10.02,184600,10.02,0.16000000000000014
2014-02-19,9.94,10.17,9.88,9.9,162800,9.9,-0.03999999999999915
2014-02-20,9.96,10.12,9.92,10.03,165400,10.03,0.06999999999999851
2014-02-21,10.09,10.22,10.02,10.15,165100,10.15,0.0600000000000005
2014-02-24,10.15,10.23,9.99,10.07,145000,10.07,-0.08000000000000007
2014-02-25,10.11,10.32,10.06,10.24,110000,10.24,0.13000000000000078
2014-02-26,10.28,10.41,10.13,10.31,130700,10.31,0.030000000000001137
2014-02-27,10.31,10.42,10.24,10.39,133000,10.39,0.08000000000000007
2014-02-28,10.41,10.51,10.33,10.41,134300,10.41,0.0
2014-03-03,10.38,10.47,10.27,10.43,171300,10.43,0.049999999999998934
2014-03-04,10.39,11.12,10.38,10.88,193600,10.88,0.4900000000000002
2014-03-05,10.94,10.94,10.66,10.92,138300,10.92,-0.019999999999999574
2014-03-06,10.9,10.96,10.65,10.89,161900,10.89,-0.009999999999999787
2014-03-07,10.5,10.68,10.31,10.42,236500,10.42,-0.08000000000000007
2014-03-10,10.44,10.53,10.28,10.53,195000,10.53,0.08999999999999986
2014-03-11,10.54,10.65,10.24,10.34,161300,10.34,-0.1999999999999993
2014-03-12,10.32,10.65,10.32,10.63,109800,10.63,0.3100000000000005
2014-03-13,10.65,10.65,10.41,10.52,105000,10.52,-0.13000000000000078
2014-03-14,10.49,10.68,10.49,10.62,62300,10.62,0.129999999999999
2014-03-17,10.66,11.5,10.66,11.49,297500,11.49,0.8300000000000001
2014-03-18,11.44,11.6,11.44,11.55,198700,11.55,0.11000000000000121
2014-03-19,11.49,11.52,11.02,11.21,149000,11.21,-0.27999999999999936
2014-03-20,11.17,11.4,11.17,11.3,117800,11.3,0.13000000000000078
2014-03-21,11.33,11.39,10.95,11.39,1134600,11.39,0.0600000000000005
2014-03-24,11.35,11.43,11.18,11.3,201300,11.3,-0.049999999999998934
2014-03-25,11.33,11.42,11.2,11.29,138000,11.29,-0.040000000000000924
2014-03-26,11.4,11.4,10.96,11.05,132200,11.05,-0.34999999999999964
2014-03-27,11.09,11.15,10.92,11.09,112900,11.09,0.0
2014-03-28,11.06,11.26,10.97,11.22,242700,11.22,0.16000000000000014
2014-03-31,11.16,11.49,11.14,11.41,317000,11.41,0.25
2014-04-01,11.44,11.5,11.18,11.49,246300,11.49,0.05000000000000071
2014-04-02,11.5,11.51,11.38,11.41,176800,11.41,-0.08999999999999986
2014-04-03,11.39,11.44,11.24,11.36,160500,11.36,-0.030000000000001137
2014-04-04,11.45,11.45,10.72,10.76,212800,10.76,-0.6899999999999995
2014-04-07,10.7,10.78,10.47,10.66,214800,10.66,-0.03999999999999915
2014-04-08,10.61,11.04,10.61,11.02,193000,11.02,0.41000000000000014
2014-04-09,11.04,11.24,10.96,11.22,204400,11.22,0.1800000000000015
2014-04-10,11.22,11.22,10.76,10.76,229600,10.76,-0.46000000000000085
2014-04-11,10.72,10.96,10.43,10.48,219600,10.48,-0.2400000000000002
2014-04-14,10.53,10.72,10.41,10.48,256900,10.48,-0.049999999999998934
2014-04-15,10.52,10.74,10.25,10.68,286400,10.68,0.16000000000000014
2014-04-16,10.79,10.79,10.43,10.51,163900,10.51,-0.27999999999999936
2014-04-17,10.49,10.7,10.45,10.65,205100,10.65,0.16000000000000014
2014-04-21,10.61,10.76,10.53,10.6,182800,10.6,-0.009999999999999787
2014-04-22,10.58,10.58,10.35,10.49,156300,10.49,-0.08999999999999986
2014-04-23,10.47,10.57,10.4,10.45,163700,10.45,-0.02000000000000135
2014-04-24,10.55,10.69,10.45,10.53,141700,10.53,-0.02000000000000135
2014-04-25,10.51,10.51,10.25,10.33,158700,10.33,-0.17999999999999972
2014-04-28,10.4,10.51,10.26,10.31,135400,10.31,-0.08999999999999986
2014-04-29,10.4,10.47,10.3,10.36,80700,10.36,-0.040000000000000924
2014-04-30,10.35,10.47,10.2,10.44,117800,10.44,0.08999999999999986
2014-05-01,10.4,10.68,10.33,10.6,191200,10.6,0.1999999999999993
2014-05-02,10.61,10.88,10.58,10.74,177400,10.74,0.13000000000000078
2014-05-05,10.65,10.8,10.64,10.74,117300,10.74,0.08999999999999986
2014-05-06,10.66,10.74,10.55,10.56,87700,10.56,-0.09999999999999964
2014-05-07,10.61,10.82,10.44,10.73,122900,10.73,0.120000000000001
2014-05-08,10.77,11.46,10.75,10.99,130800,10.99,0.22000000000000064
2014-05-09,10.87,11.38,10.83,11.35,151000,11.35,0.4800000000000004
2014-05-12,11.42,11.5,11.29,11.32,331800,11.32,-0.09999999999999964
2014-05-13,11.28,11.43,11.06,11.29,201200,11.29,0.009999999999999787
2014-05-14,11.28,11.37,10.94,11.0,231300,11.0,-0.27999999999999936
2014-05-15,10.93,11.29,10.86,11.25,119600,11.25,0.3200000000000003
2014-05-16,11.23,11.29,11.0,11.25,157900,11.25,0.019999999999999574
2014-05-19,11.18,11.41,11.06,11.39,170800,11.39,0.21000000000000085
2014-05-20,11.35,11.4,10.99,11.17,197900,11.17,-0.17999999999999972
2014-05-21,11.23,11.24,11.01,11.11,141100,11.11,-0.120000000000001
2014-05-22,11.11,11.38,11.08,11.23,124200,11.23,0.120000000000001
2014-05-23,11.26,11.41,11.1,11.39,128100,11.39,0.13000000000000078
2014-05-27,11.48,11.48,11.3,11.35,136700,11.35,-0.13000000000000078
2014-05-28,11.25,11.4,11.17,11.25,200700,11.25,0.0
2014-05-29,11.29,11.46,11.17,11.31,120000,11.31,0.02000000000000135
2014-05-30,11.33,11.44,11.33,11.34,125400,11.34,0.009999999999999787
2014-06-02,11.34,11.43,11.06,11.15,156200,11.15,-0.1899999999999995
2014-06-03,11.12,11.27,11.07,11.1,99200,11.1,-0.019999999999999574
2014-06-04,11.04,11.2,10.87,10.89,199400,10.89,-0.14999999999999858
2014-06-05,11.0,11.28,10.89,11.28,129000,11.28,0.27999999999999936
2014-06-06,11.33,11.36,11.06,11.11,101800,11.11,-0.22000000000000064
2014-06-09,11.07,11.3,11.02,11.08,104500,11.08,0.009999999999999787
2014-06-10,11.03,11.1,10.75,10.76,71400,10.76,-0.2699999999999996
2014-06-11,10.75,10.77,10.6,10.69,113200,10.69,-0.0600000000000005
2014-06-12,10.69,10.75,10.6,10.72,104600,10.72,0.030000000000001137
2014-06-13,10.77,10.8,10.63,10.78,85100,10.78,0.009999999999999787
2014-06-16,10.57,10.83,10.45,10.81,260900,10.81,0.2400000000000002
2014-06-17,10.76,10.89,10.6,10.66,158700,10.66,-0.09999999999999964
2014-06-18,10.67,10.95,10.63,10.91,117600,10.91,0.2400000000000002
2014-06-19,10.92,10.95,10.68,10.69,163200,10.69,-0.23000000000000043
2014-06-20,10.73,10.9,10.65,10.83,1081900,10.83,0.09999999999999964
2014-06-23,10.89,11.19,10.86,11.16,133600,11.16,0.2699999999999996
2014-06-24,11.13,11.32,11.0,11.0,131800,11.0,-0.13000000000000078
2014-06-25,10.95,11.37,10.95,11.33,102100,11.33,0.3800000000000008
2014-06-26,11.3,11.32,11.11,11.24,71600,11.24,-0.0600000000000005
2014-06-27,11.14,11.42,11.12,11.18,523200,11.18,0.03999999999999915
2014-06-30,11.14,11.14,10.98,11.08,131000,11.08,-0.0600000000000005
2014-07-01,11.08,11.37,11.06,11.22,100900,11.22,0.14000000000000057
2014-07-02,11.21,11.29,10.99,11.01,83700,11.01,-0.20000000000000107
2014-07-03,11.0,11.3,11.0,11.3,53900,11.3,0.3000000000000007
2014-07-07,11.21,11.23,10.98,11.0,123100,11.0,-0.21000000000000085
2014-07-08,11.0,11.24,10.9,11.21,140800,11.21,0.21000000000000085
2014-07-09,11.24,11.31,11.04,11.07,105000,11.07,-0.16999999999999993
2014-07-10,10.88,11.04,10.86,10.99,79500,10.99,0.10999999999999943
2014-07-11,10.95,11.18,10.9,11.09,85400,11.09,0.14000000000000057
2014-07-14,11.1,11.14,11.01,11.04,71200,11.04,-0.0600000000000005
2014-07-15,11.02,11.14,10.87,10.96,67300,10.96,-0.05999999999999872
2014-07-16,11.04,11.15,10.9,11.01,127400,11.01,-0.02999999999999936
2014-07-17,10.95,11.04,10.81,10.87,100500,10.87,-0.08000000000000007
2014-07-18,10.83,11.01,10.83,10.97,109500,10.97,0.14000000000000057
2014-07-21,10.92,10.98,10.86,10.96,77700,10.96,0.040000000000000924
2014-07-22,11.0,11.11,10.95,11.0,78300,11.0,0.0
2014-07-23,11.0,11.07,10.9,10.99,55900,10.99,-0.009999999999999787
2014-07-24,11.0,11.09,10.74,10.85,118800,10.85,-0.15000000000000036
2014-07-25,10.76,10.84,10.7,10.83,107700,10.83,0.07000000000000028
2014-07-28,10.82,10.94,10.77,10.91,115600,10.91,0.08999999999999986
2014-07-29,11.1,11.28,10.95,11.19,122800,11.19,0.08999999999999986
2014-07-30,11.24,11.38,11.22,11.33,86100,11.33,0.08999999999999986
2014-07-31,11.22,11.28,10.88,11.04,113200,11.04,-0.1800000000000015
2014-08-01,11.08,11.24,10.85,10.91,99600,10.91,-0.16999999999999993
2014-08-04,10.96,11.04,10.76,11.02,91300,11.02,0.05999999999999872
2014-08-05,10.96,11.09,10.89,10.97,67500,10.97,0.009999999999999787
2014-08-06,10.87,11.09,10.8,11.02,58000,11.02,0.15000000000000036
2014-08-07,10.5,11.11,10.5,11.02,108200,11.02,0.5199999999999996
2014-08-08,11.02,11.23,10.98,11.05,115200,11.05,0.030000000000001137
2014-08-11,11.12,11.25,10.9,11.16,86600,11.16,0.040000000000000924
2014-08-12,11.11,11.18,10.91,11.03,134700,11.03,-0.08000000000000007
2014-08-13,11.01,11.07,10.92,10.99,72700,10.99,-0.019999999999999574
2014-08-14,11.03,11.25,10.93,11.21,53900,11.21,0.1800000000000015
2014-08-15,11.31,11.41,10.96,11.08,124700,11.08,-0.23000000000000043
2014-08-18,11.19,11.31,11.13,11.28,82000,11.28,0.08999999999999986
2014-08-19,11.26,11.32,11.16,11.2,40400,11.2,-0.0600000000000005
2014-08-20,11.14,11.17,10.95,11.01,42400,11.01,-0.13000000000000078
2014-08-21,10.98,11.14,10.93,11.06,47200,11.06,0.08000000000000007
2014-08-22,11.02,11.14,10.98,11.06,49300,11.06,0.040000000000000924
2014-08-25,11.07,11.32,11.07,11.2,61600,11.2,0.129999999999999
2014-08-26,11.2,11.32,11.15,11.21,83100,11.21,0.010000000000001563
2014-08-27,11.16,11.36,11.15,11.27,339100,11.27,0.10999999999999943
2014-08-28,11.27,11.4,11.19,11.22,80400,11.22,-0.049999999999998934
2014-08-29,11.21,11.28,11.17,11.24,91300,11.24,0.02999999999999936
2014-09-02,11.24,11.42,11.15,11.33,1333100,11.33,0.08999999999999986
2014-09-03,11.32,11.59,11.32,11.47,273500,11.47,0.15000000000000036
2014-09-04,11.5,11.6,11.45,11.55,130000,11.55,0.05000000000000071
