Date,open,high,low,close,volume,adj_close,diff
2014-01-02,28.5,28.95,28.39,28.71,24900,26.88,0.21000000000000085
2014-01-03,28.73,29.22,28.73,29.22,11600,27.36,0.48999999999999844
2014-01-06,29.13,29.25,29.02,29.25,38000,27.39,0.120000000000001
2014-01-07,29.21,29.3,28.89,28.89,18800,27.05,-0.3200000000000003
2014-01-08,28.76,29.01,28.58,29.0,17000,27.15,0.23999999999999844
2014-01-09,29.07,29.11,28.97,29.11,14600,27.26,0.03999999999999915
2014-01-10,29.26,29.42,29.23,29.23,20100,27.37,-0.030000000000001137
2014-01-13,29.05,29.37,28.91,29.13,42500,27.28,0.0799999999999983
2014-01-14,29.16,29.2,29.08,29.17,13100,27.31,0.010000000000001563
2014-01-15,29.3,29.31,29.09,29.09,11900,27.24,-0.21000000000000085
2014-01-16,29.09,29.17,28.93,29.11,20000,27.26,0.019999999999999574
2014-01-17,29.14,29.39,29.1,29.2,68800,27.34,0.05999999999999872
2014-01-21,29.2,29.28,29.15,29.18,39800,27.32,-0.019999999999999574
2014-01-22,29.24,29.34,29.15,29.25,18500,27.39,0.010000000000001563
2014-01-23,29.34,29.34,28.93,28.93,15400,27.09,-0.41000000000000014
2014-01-24,29.14,29.14,28.95,28.96,19300,27.12,-0.17999999999999972
2014-01-27,28.95,29.32,28.95,29.16,26300,27.3,0.21000000000000085
2014-01-28,29.13,29.33,29.01,29.29,23700,27.43,0.16000000000000014
2014-01-29,29.26,29.32,29.18,29.24,15700,27.38,-0.020000000000003126
2014-01-30,29.33,29.4,29.2,29.36,20200,27.49,0.030000000000001137
2014-01-31,29.25,29.32,29.16,29.32,9300,27.45,0.07000000000000028
2014-02-03,29.37,29.37,28.86,28.94,22100,27.1,-0.4299999999999997
2014-02-04,29.05,29.05,28.75,29.0,72000,27.15,-0.05000000000000071
2014-02-05,29.06,29.06,28.77,28.99,20700,27.14,-0.07000000000000028
2014-02-06,29.02,29.21,28.96,29.02,24700,27.17,0.0
2014-02-07,29.12,29.15,28.95,28.98,15900,27.14,-0.14000000000000057
2014-02-10,28.94,29.4,28.94,29.29,188700,27.43,0.34999999999999787
2014-02-11,29.44,29.49,29.22,29.36,12800,27.49,-0.08000000000000185
2014-02-12,29.5,29.67,29.37,29.59,21500,27.71,0.08999999999999986
2014-02-13,29.45,29.74,29.42,29.51,18500,27.63,0.060000000000002274
2014-02-14,29.76,29.76,29.36,29.5,19800,27.62,-0.26000000000000156
2014-02-18,29.8,29.85,29.43,29.63,31400,27.74,-0.1700000000000017
2014-02-19,29.75,29.84,29.33,29.57,28700,27.69,-0.17999999999999972
2014-02-20,29.69,29.69,29.25,29.31,27100,27.44,-0.38000000000000256
2014-02-21,29.44,29.44,29.3,29.31,14000,27.44,-0.13000000000000256
2014-02-24,29.19,29.24,28.89,29.09,58700,27.24,-0.10000000000000142
2014-02-25,29.17,29.39,29.02,29.3,20500,27.43,0.129999999999999
2014-02-26,29.44,29.56,29.06,29.27,18900,27.41,-0.1700000000000017
2014-02-27,29.38,29.6,29.28,29.45,26600,27.58,0.07000000000000028
2014-02-28,29.57,29.66,29.37,29.55,28500,27.67,-0.019999999999999574
2014-03-03,29.38,29.61,29.38,29.54,17100,27.66,0.16000000000000014
2014-03-04,29.64,29.65,29.4,29.42,25600,27.55,-0.21999999999999886
2014-03-05,29.53,29.55,29.19,29.55,13500,27.67,0.019999999999999574
2014-03-06,29.62,29.8,29.36,29.74,94100,27.85,0.11999999999999744
2014-03-07,29.84,29.87,29.67,29.87,18000,27.97,0.030000000000001137
2014-03-10,29.75,29.91,29.75,29.84,14400,27.94,0.08999999999999986
2014-03-11,29.87,30.05,29.77,30.05,62400,28.14,0.17999999999999972
2014-03-12,29.9,29.97,29.73,29.89,27600,27.99,-0.00999999999999801
2014-03-13,29.82,30.32,29.82,29.93,33900,28.02,0.10999999999999943
2014-03-14,29.99,30.2,29.9,30.0,65000,28.09,0.010000000000001563
2014-03-17,30.16,30.37,29.99,29.99,98300,28.08,-0.1700000000000017
2014-03-18,30.01,30.31,29.97,30.29,30000,28.36,0.2799999999999976
2014-03-19,30.38,30.42,30.09,30.24,26800,28.31,-0.14000000000000057
2014-03-20,30.32,30.32,30.01,30.14,179400,28.22,-0.17999999999999972
2014-03-21,30.28,30.28,30.07,30.19,20500,28.27,-0.08999999999999986
2014-03-24,30.39,30.39,29.75,29.98,36300,28.07,-0.41000000000000014
2014-03-25,30.13,30.13,29.97,30.06,27200,28.15,-0.07000000000000028
2014-03-26,30.2,30.2,30.03,30.07,13700,28.16,-0.129999999999999
2014-03-27,30.17,30.26,30.07,30.08,31600,28.17,-0.09000000000000341
2014-03-28,29.85,29.85,29.62,29.62,16100,28.2,-0.23000000000000043
