Date,open,high,low,close,volume,adj_close,diff
2014-01-02,26.29,26.29,25.82,25.94,231400,25.4,-0.34999999999999787
2014-01-03,26.06,26.19,25.54,25.81,226200,25.27,-0.25
2014-01-06,25.9,26.12,25.35,25.39,182300,24.86,-0.509999999999998
2014-01-07,25.55,25.85,25.18,25.56,169900,25.03,0.00999999999999801
2014-01-08,25.6,25.6,25.29,25.49,266400,24.96,-0.11000000000000298
2014-01-09,25.65,25.94,25.42,25.81,144900,25.27,0.16000000000000014
2014-01-10,25.83,25.83,25.27,25.54,143600,25.01,-0.28999999999999915
2014-01-13,25.42,25.7,24.82,25.03,160000,24.51,-0.39000000000000057
2014-01-14,25.25,25.58,24.94,25.34,126000,24.81,0.08999999999999986
2014-01-15,25.48,25.87,25.47,25.53,261700,25.0,0.05000000000000071
2014-01-16,25.46,25.46,25.0,25.18,170500,24.66,-0.28000000000000114
2014-01-17,25.21,25.52,25.1,25.33,147200,24.8,0.11999999999999744
2014-01-21,25.58,26.18,25.38,25.9,199400,25.36,0.3200000000000003
2014-01-22,25.9,26.18,25.76,26.05,143700,25.51,0.15000000000000213
2014-01-23,25.87,25.87,25.37,25.63,140300,25.1,-0.240000000000002
2014-01-24,25.41,25.41,24.86,25.02,174200,24.5,-0.39000000000000057
2014-01-27,25.17,25.17,24.27,24.53,110500,24.02,-0.6400000000000006
2014-01-28,24.63,24.7,24.16,24.44,242600,23.93,-0.18999999999999773
2014-01-29,24.18,24.42,23.62,23.67,155900,23.18,-0.509999999999998
2014-01-30,23.95,24.21,23.49,24.02,185300,23.52,0.07000000000000028
2014-01-31,23.51,23.98,23.26,23.41,203700,22.92,-0.10000000000000142
2014-02-03,23.41,23.53,21.68,21.81,559000,21.36,-1.6000000000000014
2014-02-04,21.96,22.53,21.52,22.15,401700,21.69,0.18999999999999773
2014-02-05,22.0,22.38,21.84,22.03,184900,21.57,0.030000000000001137
2014-02-06,22.05,22.27,21.81,22.02,152300,21.56,-0.030000000000001137
2014-02-07,22.09,22.18,21.63,21.84,175100,21.39,-0.25
2014-02-10,21.77,22.03,21.44,21.92,179200,21.46,0.15000000000000213
2014-02-11,21.99,22.55,21.88,22.36,151500,21.89,0.370000000000001
2014-02-12,22.34,22.86,22.06,22.25,104900,21.79,-0.08999999999999986
2014-02-13,22.01,22.37,21.86,22.35,85000,21.89,0.33999999999999986
2014-02-14,22.29,22.59,22.07,22.38,101000,21.91,0.08999999999999986
2014-02-18,22.46,22.71,22.37,22.54,96900,22.07,0.0799999999999983
2014-02-19,22.41,22.68,21.34,21.42,236000,20.97,-0.9899999999999984
2014-02-20,21.55,22.1,21.16,21.55,186900,21.1,0.0
2014-02-21,21.7,22.06,21.48,21.8,292500,21.35,0.10000000000000142
2014-02-24,21.78,22.64,21.78,22.51,267800,22.04,0.7300000000000004
2014-02-25,22.42,22.5,22.08,22.33,156200,21.87,-0.09000000000000341
2014-02-26,22.45,23.0,22.37,22.91,790300,22.43,0.46000000000000085
2014-02-27,22.88,23.16,22.45,23.1,442800,22.62,0.22000000000000242
2014-02-28,23.15,23.6,23.13,23.18,476800,22.7,0.030000000000001137
2014-03-03,22.88,23.29,22.56,23.16,170100,22.68,0.28000000000000114
2014-03-04,23.58,24.74,23.58,24.64,454600,24.13,1.0600000000000023
2014-03-05,24.56,24.6,24.35,24.5,197600,23.99,-0.05999999999999872
2014-03-06,24.61,24.89,24.53,24.86,182200,24.34,0.25
2014-03-07,25.11,25.42,24.93,25.08,187600,24.56,-0.030000000000001137
2014-03-10,24.89,25.04,24.44,24.97,329200,24.45,0.0799999999999983
2014-03-11,25.05,25.05,24.47,24.83,109400,24.31,-0.22000000000000242
2014-03-12,24.64,24.71,24.19,24.65,133800,24.14,0.00999999999999801
2014-03-13,24.8,24.8,24.04,24.26,220700,23.76,-0.5399999999999991
2014-03-14,24.17,24.44,23.42,24.35,261800,23.84,0.17999999999999972
2014-03-17,24.6,25.05,24.6,25.02,189600,24.5,0.41999999999999815
2014-03-18,25.11,25.32,24.98,25.23,155000,24.71,0.120000000000001
2014-03-19,25.24,25.76,25.06,25.32,158100,24.79,0.08000000000000185
2014-03-20,25.29,25.99,25.29,25.88,338400,25.34,0.5899999999999999
2014-03-21,25.97,26.56,25.64,25.88,938500,25.34,-0.08999999999999986
2014-03-24,26.03,26.31,25.68,25.92,187400,25.38,-0.10999999999999943
