Date,open,high,low,close,volume,adj_close,diff
2014-01-02,119.69,119.69,117.44,117.61,217400,117.61,-2.0799999999999983
2014-01-03,117.49,117.58,116.12,116.56,361200,116.56,-0.9299999999999926
2014-01-06,116.42,117.7,115.56,116.02,422200,116.02,-0.4000000000000057
2014-01-07,121.0,123.95,119.19,122.7,1696500,122.7,1.7000000000000028
2014-01-08,123.04,123.77,121.28,121.34,544200,121.34,-1.7000000000000028
2014-01-09,122.16,123.33,119.84,120.4,347800,120.4,-1.759999999999991
2014-01-10,122.0,122.0,120.22,120.93,267700,120.93,-1.0699999999999932
2014-01-13,120.91,121.8,119.11,119.7,144400,119.7,-1.2099999999999937
2014-01-14,118.32,118.8,116.66,117.79,783100,117.79,-0.5299999999999869
2014-01-15,117.94,118.27,116.33,116.43,3131100,116.43,-1.509999999999991
2014-01-16,116.28,118.34,115.9,117.79,710100,117.79,1.5100000000000051
2014-01-17,118.21,118.21,116.7,117.11,294700,117.11,-1.0999999999999943
2014-01-21,117.39,117.44,116.16,117.12,376700,117.12,-0.269999999999996
2014-01-22,117.1,117.15,115.56,116.64,357100,116.64,-0.45999999999999375
2014-01-23,116.68,116.8,115.21,116.2,397700,116.2,-0.480000000000004
2014-01-24,115.88,115.91,114.44,114.72,287900,114.72,-1.1599999999999966
2014-01-27,114.85,115.38,113.27,113.43,271400,113.43,-1.4199999999999875
2014-01-28,113.88,114.02,112.38,112.5,287000,112.5,-1.3799999999999955
2014-01-29,111.63,112.78,111.4,112.01,252000,112.01,0.38000000000000966
2014-01-30,112.79,113.61,110.69,113.13,349100,113.13,0.3399999999999892
2014-01-31,112.25,114.32,111.83,113.41,377800,113.41,1.1599999999999966
2014-02-03,112.59,113.13,110.8,110.98,430800,110.98,-1.6099999999999994
2014-02-04,111.17,112.6,111.17,112.14,394500,112.14,0.9699999999999989
2014-02-05,111.77,112.24,110.44,111.08,219700,111.08,-0.6899999999999977
2014-02-06,111.17,112.12,110.83,111.8,185700,111.8,0.6299999999999955
2014-02-07,111.92,113.3,111.72,113.18,207400,113.18,1.2600000000000051
2014-02-10,112.93,113.76,112.08,113.73,228300,113.73,0.7999999999999972
2014-02-11,113.31,114.54,113.24,114.24,293600,114.24,0.9299999999999926
2014-02-12,114.24,114.81,113.11,113.41,273900,113.41,-0.8299999999999983
2014-02-13,114.5,116.7,114.0,116.63,441800,116.63,2.1299999999999955
2014-02-14,116.23,117.1,115.69,116.52,300800,116.52,0.28999999999999204
2014-02-18,116.44,118.51,115.86,117.98,498500,117.98,1.5400000000000063
2014-02-19,117.71,117.97,116.7,117.19,238100,117.19,-0.519999999999996
2014-02-20,117.29,117.97,116.78,117.32,222300,117.32,0.029999999999986926
2014-02-21,117.32,118.31,116.77,118.05,232700,118.05,0.730000000000004
2014-02-24,118.0,119.95,117.73,118.98,297500,118.98,0.980000000000004
2014-02-25,118.75,119.17,118.11,118.53,246200,118.53,-0.21999999999999886
2014-02-26,118.84,118.96,117.71,118.61,237600,118.61,-0.23000000000000398
2014-02-27,118.32,119.37,117.9,119.33,238500,119.33,1.0100000000000051
2014-02-28,119.26,120.47,118.45,119.88,412000,119.88,0.6199999999999903
2014-03-03,119.44,120.5,118.84,120.21,266200,120.21,0.769999999999996
2014-03-04,120.86,121.3,120.39,120.96,236800,120.96,0.09999999999999432
2014-03-05,120.76,121.15,118.85,119.57,215300,119.57,-1.190000000000012
2014-03-06,118.04,120.94,118.04,120.07,252600,120.07,2.029999999999987
2014-03-07,120.66,121.26,120.39,121.26,173300,121.26,0.6000000000000085
2014-03-10,120.97,122.52,120.78,122.52,278300,122.52,1.5499999999999972
2014-03-11,122.87,122.99,120.62,121.61,311900,121.61,-1.2600000000000051
2014-03-12,121.05,121.8,119.79,121.8,271500,121.8,0.75
2014-03-13,121.7,121.84,119.23,119.55,229900,119.55,-2.1500000000000057
2014-03-14,119.56,120.96,119.38,120.19,276300,120.19,0.6299999999999955
2014-03-17,120.77,121.61,120.31,120.58,163800,120.58,-0.18999999999999773
2014-03-18,120.76,121.57,120.48,121.19,132000,121.19,0.4299999999999926
2014-03-19,121.21,121.85,119.88,120.77,183600,120.77,-0.4399999999999977
2014-03-20,123.5,125.21,120.77,124.9,524800,124.9,1.4000000000000057
2014-03-21,124.99,124.99,121.76,122.59,600600,122.59,-2.3999999999999915
2014-03-24,122.59,123.49,120.7,122.9,338900,122.9,0.3100000000000023
2014-03-25,123.54,124.7,123.05,123.3,430200,123.3,-0.2400000000000091
2014-03-26,123.99,124.0,119.86,119.9,379100,119.9,-4.089999999999989
2014-03-27,119.55,120.05,118.0,119.96,288300,119.96,0.4099999999999966
2014-03-28,120.68,121.29,118.83,119.73,163900,119.73,-0.9500000000000028
2014-03-31,120.16,121.78,119.08,121.5,190000,121.5,1.3400000000000034
2014-04-01,121.87,123.11,120.69,123.03,210300,123.03,1.1599999999999966
2014-04-02,123.14,124.21,122.7,123.7,281200,123.7,0.5600000000000023
2014-04-03,123.81,123.89,122.59,123.25,272900,123.25,-0.5600000000000023
2014-04-04,124.51,124.51,122.09,122.4,300000,122.4,-2.1099999999999994
2014-04-07,122.08,122.47,119.25,119.97,204000,119.97,-2.1099999999999994
2014-04-08,120.0,121.95,117.92,120.99,244000,120.99,0.9899999999999949
