Date,open,high,low,close,volume,adj_close,diff
2014-01-02,66.94,66.94,65.19,66.43,63000,66.43,-0.5099999999999909
2014-01-03,66.42,67.06,65.24,66.64,77800,66.64,0.21999999999999886
2014-01-06,66.68,66.7,65.5,65.86,111900,65.86,-0.8200000000000074
2014-01-07,65.92,66.72,65.51,66.18,122700,66.18,0.2600000000000051
2014-01-08,66.27,66.72,65.7,66.12,146200,66.12,-0.14999999999999147
2014-01-09,66.19,66.71,65.98,66.49,148700,66.49,0.29999999999999716
2014-01-10,66.52,66.97,66.1,66.39,168200,66.39,-0.12999999999999545
2014-01-13,65.93,66.81,65.56,66.12,135800,66.12,0.18999999999999773
2014-01-14,66.25,66.93,65.94,66.93,78700,66.93,0.6800000000000068
2014-01-15,67.0,68.4,66.97,68.17,86500,68.17,1.1700000000000017
2014-01-16,68.0,70.46,67.94,69.7,104000,69.7,1.7000000000000028
2014-01-17,69.42,71.7,69.42,70.49,130900,70.49,1.0699999999999932
2014-01-21,70.63,70.9,70.16,70.5,89900,70.5,-0.12999999999999545
2014-01-22,70.59,72.81,70.59,72.05,88800,72.05,1.4599999999999937
2014-01-23,71.51,72.0,70.85,71.65,58000,71.65,0.14000000000000057
2014-01-24,71.23,71.23,70.15,70.73,91000,70.73,-0.5
2014-01-27,70.8,71.0,69.5,70.29,150300,70.29,-0.5099999999999909
2014-01-28,69.75,70.87,69.75,70.36,129700,70.36,0.6099999999999994
2014-01-29,69.56,70.35,68.37,68.69,119400,68.69,-0.8700000000000045
2014-01-30,78.0,80.47,75.68,78.24,591000,78.24,0.23999999999999488
2014-01-31,76.08,77.93,75.55,75.94,180200,75.94,-0.14000000000000057
2014-02-03,75.63,76.82,72.18,73.82,210500,73.82,-1.8100000000000023
2014-02-04,74.23,74.23,73.03,73.65,135700,73.65,-0.5799999999999983
2014-02-05,73.38,73.71,71.49,72.74,76100,72.74,-0.6400000000000006
2014-02-06,72.85,74.02,72.32,72.81,65600,72.81,-0.03999999999999204
2014-02-07,72.93,73.7,72.06,73.42,93900,73.42,0.4899999999999949
2014-02-10,73.19,73.77,72.01,73.59,77900,73.59,0.4000000000000057
2014-02-11,73.45,74.54,73.15,73.77,90500,73.77,0.3199999999999932
2014-02-12,73.64,74.2,73.21,73.49,54900,73.49,-0.15000000000000568
2014-02-13,72.84,73.8,72.84,73.49,135600,73.49,0.6499999999999915
2014-02-14,73.52,74.35,73.03,74.31,63100,74.31,0.7900000000000063
2014-02-18,74.71,77.52,74.43,77.44,112000,77.44,2.730000000000004
2014-02-19,77.12,77.12,75.64,76.2,129100,76.2,-0.9200000000000017
2014-02-20,76.11,76.61,75.81,76.19,67100,76.19,0.0799999999999983
2014-02-21,76.15,76.81,75.84,76.15,90400,76.15,0.0
2014-02-24,76.36,76.86,75.6,76.45,40600,76.45,0.09000000000000341
2014-02-25,76.39,76.4,75.8,76.22,62900,76.22,-0.1700000000000017
2014-02-26,76.19,78.27,76.06,77.85,106600,77.85,1.6599999999999966
2014-02-27,77.53,78.55,76.9,78.07,97400,78.07,0.539999999999992
2014-02-28,78.17,80.0,77.68,79.63,186100,79.63,1.4599999999999937
2014-03-03,78.46,78.8,77.12,78.5,101400,78.5,0.04000000000000625
2014-03-04,79.29,81.59,78.74,81.19,244700,81.19,1.8999999999999915
2014-03-05,81.04,81.25,79.71,80.17,139300,80.17,-0.8700000000000045
2014-03-06,80.2,80.69,79.11,80.32,110600,80.32,0.11999999999999034
2014-03-07,80.97,81.11,79.4,79.53,124600,79.53,-1.4399999999999977
2014-03-10,79.13,79.23,77.57,78.08,154000,78.08,-1.0499999999999972
2014-03-11,78.39,79.15,77.38,77.69,82200,77.69,-0.7000000000000028
2014-03-12,77.48,77.65,76.32,77.0,80600,77.0,-0.480000000000004
2014-03-13,77.43,77.72,75.82,76.7,117900,76.7,-0.730000000000004
2014-03-14,76.65,77.31,76.32,77.26,130300,77.26,0.6099999999999994
2014-03-17,77.53,78.32,77.14,77.39,79200,77.39,-0.14000000000000057
2014-03-18,77.68,78.65,77.51,78.55,121200,78.55,0.8699999999999903
2014-03-19,78.3,79.1,77.78,78.64,63200,78.64,0.3400000000000034
2014-03-20,78.52,79.0,78.11,78.61,67100,78.61,0.09000000000000341
2014-03-21,79.04,79.37,78.05,78.32,156800,78.32,-0.7200000000000131
2014-03-24,78.55,78.55,75.11,76.01,129700,76.01,-2.539999999999992
2014-03-25,76.19,77.32,74.56,74.8,126000,74.8,-1.3900000000000006
2014-03-26,75.57,75.57,72.4,72.4,82200,72.4,-3.1699999999999875
2014-03-27,72.66,73.78,71.55,72.36,85800,72.36,-0.29999999999999716
2014-03-28,72.18,72.67,70.83,71.25,116000,71.25,-0.9300000000000068
2014-03-31,71.49,73.11,71.06,72.5,135100,72.5,1.0100000000000051
2014-04-01,72.85,74.69,72.85,73.65,185600,73.65,0.8000000000000114
2014-04-02,73.6,75.07,72.65,74.82,219500,74.82,1.2199999999999989
2014-04-03,74.58,75.33,72.57,73.07,114800,73.07,-1.5100000000000051
2014-04-04,73.49,73.49,69.13,70.01,114100,70.01,-3.4799999999999898
2014-04-07,69.51,70.65,68.85,69.97,176500,69.97,0.45999999999999375
2014-04-08,70.0,70.72,69.03,69.95,171600,69.95,-0.04999999999999716
2014-04-09,70.23,72.0,70.21,71.28,131700,71.28,1.0499999999999972
2014-04-10,71.29,71.77,68.0,68.56,129800,68.56,-2.730000000000004
2014-04-11,67.97,69.09,65.83,66.57,111900,66.57,-1.4000000000000057
2014-04-14,67.02,67.83,66.25,66.66,71900,66.66,-0.35999999999999943
2014-04-15,66.78,67.3,64.61,67.13,86100,67.13,0.3499999999999943
2014-04-16,67.87,68.95,66.86,67.72,120100,67.72,-0.15000000000000568
2014-04-17,67.6,69.75,67.03,68.8,80500,68.8,1.2000000000000028
2014-04-21,69.19,69.73,68.09,68.87,76200,68.87,-0.3199999999999932
2014-04-22,69.0,69.59,68.65,69.04,75400,69.04,0.04000000000000625
2014-04-23,68.75,70.48,68.08,68.38,143100,68.38,-0.37000000000000455
2014-04-24,69.0,69.36,66.41,68.27,88900,68.27,-0.730000000000004
2014-04-25,68.06,68.06,65.76,66.13,147300,66.13,-1.9300000000000068
2014-04-28,66.53,67.37,63.63,63.94,174400,63.94,-2.5900000000000034
2014-04-29,63.95,64.49,63.23,63.72,131500,63.72,-0.23000000000000398
2014-04-30,63.66,63.66,62.0,62.57,179900,62.57,-1.0899999999999963
2014-05-01,62.59,66.27,61.01,62.27,217200,62.27,-0.3200000000000003
2014-05-02,62.3,65.79,61.95,63.06,191200,63.06,0.7600000000000051
2014-05-05,62.87,62.96,61.51,62.1,262300,62.1,-0.769999999999996
2014-05-06,51.99,54.0,49.41,50.16,1094800,50.16,-1.8300000000000054
2014-05-07,50.32,50.32,47.79,48.67,333000,48.67,-1.6499999999999986
2014-05-08,48.75,49.95,46.26,47.01,352500,47.01,-1.740000000000002
2014-05-09,46.81,48.34,45.86,48.3,190000,48.3,1.4899999999999949
2014-05-12,48.91,50.83,48.7,50.25,287400,50.25,1.3400000000000034
2014-05-13,50.26,50.89,48.19,48.45,160900,48.45,-1.8099999999999952
2014-05-14,48.21,48.92,47.11,47.39,120500,47.39,-0.8200000000000003
2014-05-15,47.35,47.44,46.07,47.17,127900,47.17,-0.17999999999999972
2014-05-16,47.58,48.0,46.1,47.83,158600,47.83,0.25
2014-05-19,47.5,48.5,46.96,48.19,114700,48.19,0.6899999999999977
2014-05-20,48.27,48.52,47.09,48.12,209900,48.12,-0.15000000000000568
2014-05-21,48.62,48.62,46.66,47.76,140100,47.76,-0.8599999999999994
2014-05-22,48.41,49.35,47.22,48.67,188400,48.67,0.2600000000000051
2014-05-23,48.65,48.77,47.68,48.68,143100,48.68,0.030000000000001137
