Date,open,high,low,close,volume,adj_close,diff
2014-01-02,95.88,96.4,94.47,94.73,696600,30.93,-1.1499999999999915
2014-01-03,94.75,95.56,94.36,94.94,605400,31.0,0.18999999999999773
2014-01-06,95.05,95.57,93.54,93.81,677700,30.63,-1.2399999999999949
2014-01-07,94.17,94.77,93.63,94.71,657900,30.92,0.539999999999992
2014-01-08,94.73,94.95,94.19,94.67,988500,30.91,-0.060000000000002274
2014-01-09,94.64,94.86,93.54,94.0,963300,30.69,-0.6400000000000006
2014-01-10,94.19,96.0,93.86,95.97,1353000,31.33,1.7800000000000011
2014-01-13,95.72,95.72,94.4,95.34,1267800,31.13,-0.37999999999999545
2014-01-14,95.43,95.93,94.88,95.62,946500,31.22,0.18999999999999773
2014-01-15,95.57,95.78,95.0,95.41,402900,31.15,-0.1599999999999966
2014-01-16,95.41,96.3,95.22,96.05,756000,31.36,0.6400000000000006
2014-01-17,96.07,96.94,95.58,96.83,628500,31.61,0.7600000000000051
2014-01-21,98.0,98.22,97.17,97.78,750600,31.92,-0.21999999999999886
2014-01-22,97.37,98.86,97.37,98.29,1016400,32.09,0.9200000000000017
2014-01-23,98.35,99.6,98.18,99.38,973500,32.45,1.0300000000000011
2014-01-24,98.48,99.98,98.29,98.82,1273500,32.26,0.3399999999999892
2014-01-27,98.6,99.08,97.93,97.93,1240500,31.97,-0.6699999999999875
2014-01-28,98.33,98.82,97.55,98.71,627000,32.23,0.37999999999999545
2014-01-29,97.91,99.81,97.91,99.57,690600,32.51,1.6599999999999966
2014-01-30,99.72,101.61,99.61,101.45,996600,33.12,1.730000000000004
2014-01-31,101.0,103.51,100.24,103.5,1237200,33.79,2.5
2014-02-03,103.12,104.69,102.68,103.14,1273200,33.67,0.01999999999999602
2014-02-04,103.56,103.56,100.91,101.31,988500,33.08,-2.25
2014-02-05,98.99,100.13,98.75,99.81,1126800,32.59,0.8200000000000074
2014-02-06,99.91,100.56,99.21,99.5,1396800,32.48,-0.4099999999999966
2014-02-07,100.9,101.96,99.96,100.42,1373400,32.79,-0.480000000000004
2014-02-10,100.29,101.45,99.3,101.2,1059000,33.04,0.9099999999999966
2014-02-11,101.13,102.32,99.63,101.22,1729800,33.05,0.09000000000000341
2014-02-12,101.17,101.94,100.67,101.17,912000,33.03,0.0
2014-02-13,100.98,103.52,100.48,102.44,1294200,33.44,1.4599999999999937
2014-02-14,102.69,103.44,102.53,103.13,705900,33.67,0.4399999999999977
2014-02-18,103.58,104.54,103.58,104.08,847200,33.98,0.5
2014-02-19,104.18,104.92,103.22,103.36,789900,33.75,-0.8200000000000074
2014-02-20,103.36,104.28,103.26,103.82,1009200,33.9,0.45999999999999375
2014-02-21,103.83,104.24,103.5,103.84,877500,33.9,0.010000000000005116
2014-02-24,103.8,104.08,102.96,103.0,657000,33.63,-0.7999999999999972
2014-02-25,103.25,103.84,102.41,103.19,783900,33.69,-0.060000000000002274
2014-02-26,103.45,104.7,103.07,103.85,1510500,33.91,0.3999999999999915
2014-02-27,103.0,104.55,102.25,103.3,919500,33.73,0.29999999999999716
2014-02-28,102.81,103.5,102.22,102.6,1484400,33.5,-0.21000000000000796
2014-03-03,34.06,34.36,33.69,34.17,914000,33.47,0.10999999999999943
2014-03-04,34.52,35.27,34.44,35.17,897300,34.45,0.6499999999999986
2014-03-05,35.23,35.33,34.78,34.93,510400,34.21,-0.29999999999999716
2014-03-06,34.73,34.85,34.08,34.33,871100,33.76,-0.3999999999999986
2014-03-07,34.36,34.84,34.1,34.76,1652900,34.19,0.3999999999999986
