Date,open,high,low,close,volume,adj_close,diff
2014-01-02,5.12,5.3,5.1,5.29,72000,5.29,0.16999999999999993
2014-01-03,5.31,5.32,5.06,5.1,48500,5.1,-0.20999999999999996
2014-01-06,5.13,5.3,5.1,5.22,47900,5.22,0.08999999999999986
2014-01-07,5.29,5.57,5.0,5.1,170100,5.1,-0.1900000000000004
2014-01-08,5.26,5.27,4.95,5.01,100400,5.01,-0.25
2014-01-09,5.07,5.2,4.95,5.1,44900,5.1,0.02999999999999936
2014-01-10,5.13,5.13,5.0,5.09,44000,5.09,-0.040000000000000036
2014-01-13,5.11,5.19,5.06,5.17,42300,5.17,0.05999999999999961
2014-01-14,5.2,5.2,5.1,5.13,28800,5.13,-0.07000000000000028
2014-01-15,5.17,5.17,5.05,5.15,30800,5.15,-0.019999999999999574
2014-01-16,5.19,5.2,5.08,5.2,31700,5.2,0.009999999999999787
2014-01-17,5.19,5.46,5.16,5.28,118300,5.28,0.08999999999999986
2014-01-21,5.32,5.36,5.24,5.32,46800,5.32,0.0
2014-01-22,5.35,5.36,5.3,5.35,25000,5.35,0.0
2014-01-23,5.35,5.35,5.25,5.28,26700,5.28,-0.0699999999999994
2014-01-24,5.27,5.27,4.93,5.05,119000,5.05,-0.21999999999999975
2014-01-27,5.07,5.07,4.95,4.97,36100,4.97,-0.10000000000000053
2014-01-28,4.95,5.0,4.82,4.84,82500,4.84,-0.11000000000000032
2014-01-29,4.82,5.0,4.82,4.96,44600,4.96,0.13999999999999968
2014-01-30,5.0,5.0,4.85,4.95,51800,4.95,-0.04999999999999982
2014-01-31,4.88,5.1,4.88,5.09,46500,5.09,0.20999999999999996
2014-02-03,4.96,5.11,4.96,5.06,85500,5.06,0.09999999999999964
2014-02-04,5.04,5.5,5.01,5.45,169300,5.45,0.41000000000000014
2014-02-05,5.47,5.97,5.42,5.92,296500,5.92,0.4500000000000002
2014-02-06,6.27,6.44,5.76,5.83,445000,5.83,-0.4399999999999995
2014-02-07,5.82,5.89,5.51,5.74,141200,5.74,-0.08000000000000007
2014-02-10,5.74,5.84,5.6,5.62,89800,5.62,-0.1200000000000001
2014-02-11,5.65,5.98,5.65,5.94,93700,5.94,0.29000000000000004
2014-02-12,5.96,5.97,5.78,5.88,49100,5.88,-0.08000000000000007
2014-02-13,5.88,6.22,5.84,6.03,197700,6.03,0.15000000000000036
2014-02-14,6.08,6.09,5.86,6.03,66700,6.03,-0.04999999999999982
2014-02-18,6.05,6.37,6.05,6.2,214800,6.2,0.15000000000000036
2014-02-19,6.2,6.43,6.07,6.36,291900,6.36,0.16000000000000014
2014-02-20,6.4,6.43,6.2,6.28,72100,6.28,-0.1200000000000001
2014-02-21,6.34,6.35,6.12,6.26,77800,6.26,-0.08000000000000007
2014-02-24,6.24,6.51,6.24,6.47,184400,6.47,0.22999999999999954
2014-02-25,6.5,6.5,6.27,6.32,109900,6.32,-0.17999999999999972
2014-02-26,6.34,6.53,6.05,6.2,127200,6.2,-0.13999999999999968
2014-02-27,6.25,6.35,6.12,6.24,46600,6.24,-0.009999999999999787
2014-02-28,6.25,6.34,6.13,6.13,58100,6.13,-0.1200000000000001
2014-03-03,6.1,6.37,6.01,6.27,154600,6.27,0.16999999999999993
2014-03-04,6.25,6.49,6.16,6.21,171700,6.21,-0.040000000000000036
2014-03-05,6.25,6.4,6.16,6.34,120500,6.34,0.08999999999999986
2014-03-06,6.39,6.5,6.21,6.31,183900,6.31,-0.08000000000000007
2014-03-07,6.29,6.4,6.27,6.3,56700,6.3,0.009999999999999787
2014-03-10,6.35,6.83,6.29,6.63,250400,6.63,0.28000000000000025
2014-03-11,6.74,6.74,6.4,6.57,90300,6.57,-0.16999999999999993
2014-03-12,6.61,6.9,6.49,6.75,187900,6.75,0.13999999999999968
2014-03-13,6.84,6.85,6.65,6.66,95200,6.66,-0.17999999999999972
2014-03-14,7.15,8.2,7.11,7.99,2897600,7.99,0.8399999999999999
2014-03-17,8.07,8.1,7.62,7.83,609100,7.83,-0.2400000000000002
2014-03-18,7.79,8.58,7.75,8.43,976800,8.43,0.6399999999999997
2014-03-19,8.33,8.5,7.95,8.04,412800,8.04,-0.2900000000000009
2014-03-20,8.07,8.45,8.06,8.37,268400,8.37,0.29999999999999893
2014-03-21,8.4,8.43,7.86,8.03,280200,8.03,-0.370000000000001
2014-03-24,8.03,8.03,7.68,7.82,260000,7.82,-0.20999999999999908
2014-03-25,7.8,7.93,7.5,7.54,222900,7.54,-0.2599999999999998
2014-03-26,7.49,7.7,7.31,7.35,175100,7.35,-0.14000000000000057
2014-03-27,7.29,7.55,7.26,7.49,164000,7.49,0.20000000000000018
2014-03-28,7.46,7.7,7.41,7.63,98400,7.63,0.16999999999999993
2014-03-31,7.6,7.68,7.4,7.62,123400,7.62,0.020000000000000462
2014-04-01,7.63,7.79,7.52,7.56,78600,7.56,-0.07000000000000028
2014-04-02,7.48,7.7,7.45,7.57,58000,7.57,0.08999999999999986
2014-04-03,7.51,7.74,7.48,7.66,67400,7.66,0.15000000000000036
2014-04-04,7.75,7.75,7.35,7.56,163900,7.56,-0.1900000000000004
2014-04-07,7.57,7.77,7.36,7.52,118700,7.52,-0.05000000000000071
2014-04-08,7.5,8.35,7.5,8.24,512100,8.24,0.7400000000000002
2014-04-09,8.39,8.39,7.93,8.12,348500,8.12,-0.27000000000000135
2014-04-10,8.15,8.2,7.65,7.79,305200,7.79,-0.3600000000000003
2014-04-11,7.72,7.83,7.55,7.64,146400,7.64,-0.08000000000000007
2014-04-14,7.6,7.81,7.26,7.32,293000,7.32,-0.27999999999999936
2014-04-15,7.31,7.46,6.72,6.86,531700,6.86,-0.4499999999999993
2014-04-16,6.91,7.0,6.64,6.9,261000,6.9,-0.009999999999999787
2014-04-17,6.9,7.03,6.68,6.93,148500,6.93,0.02999999999999936
2014-04-21,6.89,7.1,6.85,6.96,102000,6.96,0.07000000000000028
2014-04-22,7.05,7.36,7.05,7.29,212000,7.29,0.2400000000000002
2014-04-23,7.31,7.66,7.15,7.54,243600,7.54,0.23000000000000043
2014-04-24,7.55,7.64,7.3,7.43,104600,7.43,-0.1200000000000001
2014-04-25,7.4,7.43,7.14,7.29,94900,7.29,-0.11000000000000032
2014-04-28,7.29,7.4,7.06,7.19,78400,7.19,-0.09999999999999964
2014-04-29,7.22,7.4,7.15,7.28,119800,7.28,0.0600000000000005
2014-04-30,7.22,7.26,7.05,7.16,86500,7.16,-0.05999999999999961
2014-05-01,7.13,7.34,7.06,7.3,63100,7.3,0.16999999999999993
2014-05-02,7.28,7.62,7.28,7.44,182300,7.44,0.16000000000000014
2014-05-05,7.41,7.6,7.34,7.49,81300,7.49,0.08000000000000007
2014-05-06,7.44,7.61,7.35,7.43,72200,7.43,-0.010000000000000675
2014-05-07,7.49,7.62,7.25,7.36,69400,7.36,-0.1299999999999999
2014-05-08,7.39,7.41,7.15,7.25,79000,7.25,-0.13999999999999968
2014-05-09,7.17,7.28,6.86,6.9,279600,6.9,-0.2699999999999996
2014-05-12,6.9,7.15,6.85,6.92,136700,6.92,0.019999999999999574
2014-05-13,6.95,7.25,6.95,7.23,95200,7.23,0.28000000000000025
