Date,open,high,low,close,volume,adj_close,diff
2014-01-02,18.25,18.26,17.87,18.14,2560400,18.0,-0.10999999999999943
2014-01-03,18.17,18.44,18.16,18.28,2428700,18.13,0.10999999999999943
2014-01-06,18.41,18.41,17.76,18.07,3514300,17.93,-0.33999999999999986
2014-01-07,18.11,18.17,17.66,17.69,2950900,17.55,-0.41999999999999815
2014-01-08,17.66,17.99,17.45,17.85,2628900,17.71,0.19000000000000128
2014-01-09,17.92,18.04,17.62,17.88,2470600,17.74,-0.0400000000000027
2014-01-10,18.08,18.65,17.96,18.39,4773700,18.24,0.3100000000000023
2014-01-13,18.37,18.39,17.88,17.98,3205800,17.84,-0.39000000000000057
2014-01-14,18.06,18.17,17.86,18.0,1733500,17.86,-0.05999999999999872
2014-01-15,18.0,18.07,17.83,17.91,1951000,17.77,-0.08999999999999986
2014-01-16,17.87,18.07,17.62,18.03,2678200,17.89,0.16000000000000014
2014-01-17,17.99,18.02,17.74,17.88,2358000,17.74,-0.10999999999999943
2014-01-21,17.95,17.99,17.46,17.72,2377600,17.58,-0.23000000000000043
2014-01-22,17.72,18.27,17.61,18.14,3520300,18.0,0.4200000000000017
2014-01-23,18.0,18.44,17.77,18.43,4572800,18.28,0.4299999999999997
2014-01-24,18.39,18.41,17.83,18.04,5673500,17.9,-0.3500000000000014
2014-01-27,17.75,18.23,17.0,17.55,7988100,17.41,-0.1999999999999993
2014-01-28,17.75,18.5,17.75,18.37,6507000,18.22,0.620000000000001
2014-01-29,18.11,18.7,17.91,18.67,5820300,18.52,0.5600000000000023
2014-01-30,19.14,19.45,18.75,19.11,7217400,18.96,-0.030000000000001137
2014-01-31,18.87,19.7,18.7,19.34,4893500,19.19,0.46999999999999886
2014-02-03,19.34,19.34,18.45,18.8,5223500,18.65,-0.5399999999999991
2014-02-04,18.8,19.13,18.61,18.69,3306700,18.57,-0.10999999999999943
2014-02-05,18.61,18.74,18.15,18.29,3026800,18.17,-0.3200000000000003
2014-02-06,18.29,19.03,18.29,18.75,3151000,18.63,0.46000000000000085
2014-02-07,18.91,19.18,18.75,18.92,3413500,18.79,0.010000000000001563
2014-02-10,18.91,19.11,18.63,18.88,2387500,18.75,-0.030000000000001137
2014-02-11,18.46,18.7,18.4,18.63,3620200,18.51,0.16999999999999815
2014-02-12,18.69,18.8,18.39,18.45,2505800,18.33,-0.240000000000002
2014-02-13,18.33,18.73,18.15,18.73,2386100,18.61,0.40000000000000213
2014-02-14,18.7,19.11,18.5,19.03,2786100,18.9,0.33000000000000185
2014-02-18,19.27,19.27,18.68,18.95,2492900,18.82,-0.3200000000000003
2014-02-19,18.87,19.0,18.58,18.61,3151200,18.49,-0.26000000000000156
2014-02-20,18.66,18.86,18.5,18.8,1938600,18.68,0.14000000000000057
2014-02-21,18.84,19.18,18.79,19.0,3236300,18.87,0.16000000000000014
2014-02-24,18.98,19.09,18.65,18.66,3848200,18.54,-0.3200000000000003
2014-02-25,18.63,19.59,18.6,19.56,4998400,19.43,0.9299999999999997
2014-02-26,19.57,20.4,19.27,20.18,6420000,20.05,0.6099999999999994
2014-02-27,20.15,20.78,20.04,20.67,4794700,20.53,0.5200000000000031
2014-02-28,20.67,20.72,20.25,20.4,3919200,20.26,-0.2700000000000031
2014-03-03,20.01,20.25,19.62,19.86,4377700,19.73,-0.15000000000000213
2014-03-04,20.21,20.29,19.88,20.1,3400800,19.97,-0.10999999999999943
2014-03-05,20.05,20.05,19.51,19.54,3057500,19.41,-0.5100000000000016
2014-03-06,19.55,19.59,19.0,19.01,4784500,18.88,-0.5399999999999991
2014-03-07,19.08,19.09,18.51,18.62,4473700,18.5,-0.4599999999999973
2014-03-10,18.15,18.34,17.72,17.85,7156800,17.73,-0.29999999999999716
2014-03-11,17.85,18.02,17.37,17.66,8117000,17.54,-0.19000000000000128
2014-03-12,17.48,17.67,17.14,17.65,4545800,17.53,0.16999999999999815
2014-03-13,17.7,17.77,17.11,17.34,5822900,17.23,-0.35999999999999943
2014-03-14,17.25,17.63,17.09,17.51,4183900,17.39,0.26000000000000156
