Date,open,high,low,close,volume,adj_close,diff
2014-01-02,13.14,13.14,12.55,12.63,2239100,12.63,-0.5099999999999998
2014-01-03,12.73,12.98,12.5,12.83,1997500,12.83,0.09999999999999964
2014-01-06,12.85,12.89,12.1,12.16,3571800,12.16,-0.6899999999999995
2014-01-07,12.39,12.5,12.2,12.47,1827100,12.47,0.08000000000000007
2014-01-08,12.47,12.62,12.32,12.43,1361000,12.43,-0.040000000000000924
2014-01-09,12.43,12.75,12.34,12.63,1515300,12.63,0.20000000000000107
2014-01-10,12.64,14.03,12.61,13.98,4408200,13.98,1.3399999999999999
2014-01-13,14.12,14.17,12.91,13.09,3297500,13.09,-1.0299999999999994
2014-01-14,13.12,13.64,13.08,13.6,1675100,13.6,0.4800000000000004
2014-01-15,13.65,13.68,13.24,13.61,1617900,13.61,-0.040000000000000924
2014-01-16,13.59,14.58,13.56,14.24,3970300,14.24,0.6500000000000004
2014-01-17,15.25,16.18,15.05,15.22,10162600,15.22,-0.02999999999999936
2014-01-21,15.19,15.39,14.84,15.38,4365400,15.38,0.19000000000000128
2014-01-22,14.51,14.69,13.8,14.6,5827500,14.6,0.08999999999999986
2014-01-23,15.14,15.92,14.81,15.45,9371500,15.45,0.3099999999999987
2014-01-24,15.44,15.84,15.24,15.7,5517300,15.7,0.2599999999999998
2014-01-27,16.18,16.18,14.53,15.1,4902500,15.1,-1.08
2014-01-28,15.07,15.96,15.06,15.87,3720100,15.87,0.7999999999999989
2014-01-29,15.51,15.93,15.06,15.38,2455300,15.38,-0.129999999999999
2014-01-30,15.55,16.21,15.43,15.81,4854000,15.81,0.2599999999999998
2014-01-31,15.51,15.67,15.17,15.38,4179200,15.38,-0.129999999999999
2014-02-03,15.29,15.38,14.1,14.43,4024800,14.43,-0.8599999999999994
2014-02-04,14.49,15.3,14.47,15.05,3987000,15.05,0.5600000000000005
2014-02-05,15.02,15.21,14.28,14.76,2367000,14.76,-0.2599999999999998
2014-02-06,14.76,14.86,14.35,14.47,2537300,14.47,-0.28999999999999915
2014-02-07,14.56,15.3,14.48,15.21,2385300,15.21,0.6500000000000004
2014-02-10,15.27,15.51,15.14,15.3,1624200,15.3,0.030000000000001137
2014-02-11,15.34,15.44,14.8,15.33,1796000,15.33,-0.009999999999999787
2014-02-12,15.39,15.55,15.21,15.39,1195200,15.39,0.0
2014-02-13,15.23,15.59,14.94,15.54,1330600,15.54,0.3099999999999987
2014-02-14,15.55,15.6,15.19,15.27,1262100,15.27,-0.28000000000000114
2014-02-18,15.25,15.9,15.25,15.6,2382000,15.6,0.34999999999999964
2014-02-19,15.59,15.85,15.35,15.37,1447800,15.37,-0.22000000000000064
2014-02-20,15.37,16.4,15.35,16.07,3219200,16.07,0.7000000000000011
2014-02-21,16.16,16.8,16.04,16.36,2346700,16.36,0.1999999999999993
2014-02-24,16.43,16.95,16.36,16.49,2311100,16.49,0.05999999999999872
2014-02-25,16.46,17.07,16.38,16.8,1844100,16.8,0.33999999999999986
2014-02-26,16.98,17.06,16.33,16.56,1760300,16.56,-0.4200000000000017
2014-02-27,16.53,16.85,16.41,16.62,1624800,16.62,0.08999999999999986
2014-02-28,16.6,16.8,15.52,16.05,2635500,16.05,-0.5500000000000007
2014-03-03,15.67,16.18,15.5,16.1,1615000,16.1,0.4300000000000015
2014-03-04,16.35,16.7,16.2,16.65,1774200,16.65,0.29999999999999716
2014-03-05,16.68,16.76,16.45,16.5,1061300,16.5,-0.17999999999999972
2014-03-06,16.5,16.65,15.7,15.9,2093800,15.9,-0.5999999999999996
2014-03-07,15.92,16.12,14.79,15.27,4516000,15.27,-0.6500000000000004
2014-03-10,15.63,15.63,14.73,14.99,2632800,14.99,-0.6400000000000006
2014-03-11,15.1,15.49,14.71,14.79,2268500,14.79,-0.3100000000000005
2014-03-12,14.65,15.0,14.38,14.81,1493400,14.81,0.16000000000000014
2014-03-13,14.82,15.84,14.82,15.19,4415400,15.19,0.3699999999999992
2014-03-14,15.11,15.6,15.04,15.11,2272200,15.11,0.0
2014-03-17,15.31,15.5,14.92,14.99,1587700,14.99,-0.3200000000000003
2014-03-18,15.04,15.51,15.04,15.45,1439000,15.45,0.41000000000000014
2014-03-19,15.38,15.48,15.05,15.23,1426100,15.23,-0.15000000000000036
2014-03-20,15.2,15.24,14.91,15.01,1423500,15.01,-0.1899999999999995
2014-03-21,15.49,15.5,14.7,14.84,3872000,14.84,-0.6500000000000004
2014-03-24,14.85,14.94,13.36,14.11,4433400,14.11,-0.7400000000000002
2014-03-25,14.22,14.49,13.83,14.09,2088500,14.09,-0.13000000000000078
2014-03-26,14.2,17.29,14.15,16.54,16463600,16.54,2.34
2014-03-27,16.24,16.96,15.62,16.88,6819600,16.88,0.6400000000000006
2014-03-28,16.94,17.14,16.41,16.61,2861700,16.61,-0.33000000000000185
