Date,open,high,low,close,volume,adj_close,diff
2014-01-02,2.98,3.02,2.89,2.96,4900,2.96,-0.020000000000000018
2014-01-03,3.05,3.11,3.04,3.11,4700,3.11,0.06000000000000005
2014-01-06,3.12,3.25,3.12,3.18,1700,3.18,0.06000000000000005
2014-01-07,3.36,3.36,3.0,3.19,7300,3.19,-0.16999999999999993
2014-01-08,3.13,3.4,3.05,3.15,16800,3.15,0.020000000000000018
2014-01-09,3.15,3.15,3.15,3.15,0,3.15,0.0
2014-01-10,3.38,3.99,3.23,3.88,20300,3.88,0.5
2014-01-13,3.72,5.4,3.51,4.72,102800,4.72,0.9999999999999996
2014-01-14,5.5,6.0,5.35,5.37,75100,5.37,-0.1299999999999999
2014-01-15,5.6,5.6,4.36,5.1,42100,5.1,-0.5
2014-01-16,5.0,5.07,4.27,4.95,16400,4.95,-0.04999999999999982
2014-01-17,7.13,16.74,6.76,12.3,1423100,12.3,5.170000000000001
2014-01-21,10.6,13.48,10.0,10.56,352600,10.56,-0.03999999999999915
2014-01-22,10.4,11.2,9.55,10.05,123200,10.05,-0.34999999999999964
2014-01-23,9.85,11.2,9.51,9.6,150400,9.6,-0.25
2014-01-24,9.74,13.7,9.54,10.99,300100,10.99,1.25
2014-01-27,10.55,11.38,9.82,9.82,53400,9.82,-0.7300000000000004
2014-01-28,9.71,11.25,9.7,10.71,30100,10.71,1.0
2014-01-29,10.7,10.97,9.7,10.16,30200,10.16,-0.5399999999999991
2014-01-30,10.2,10.97,10.15,10.44,16700,10.44,0.2400000000000002
2014-01-31,10.25,10.6,9.77,10.06,15000,10.06,-0.1899999999999995
2014-02-03,10.01,10.28,9.83,10.02,7300,10.02,0.009999999999999787
2014-02-04,9.97,9.97,8.01,8.11,55600,8.11,-1.8600000000000012
2014-02-05,8.29,8.29,7.05,7.15,40600,7.15,-1.1399999999999988
2014-02-06,7.06,7.88,6.94,7.4,26700,7.4,0.34000000000000075
2014-02-07,7.89,7.96,7.14,7.34,8200,7.34,-0.5499999999999998
2014-02-10,7.38,7.48,6.5,7.38,31400,7.38,0.0
2014-02-11,7.01,7.41,7.01,7.18,14600,7.18,0.16999999999999993
2014-02-12,7.11,8.43,6.91,8.15,78300,8.15,1.04
2014-02-13,8.2,8.38,7.75,7.8,14200,7.8,-0.39999999999999947
2014-02-14,7.68,8.0,7.25,7.63,19500,7.63,-0.04999999999999982
2014-02-18,7.55,7.8,7.42,7.6,4700,7.6,0.04999999999999982
2014-02-19,7.6,7.65,7.26,7.27,9200,7.27,-0.33000000000000007
2014-02-20,7.74,7.74,7.26,7.7,1700,7.7,-0.040000000000000036
2014-02-21,7.4,7.6,7.27,7.28,9800,7.28,-0.1200000000000001
2014-02-24,7.25,8.3,7.25,7.65,34600,7.65,0.40000000000000036
2014-02-25,7.41,7.98,7.41,7.46,10100,7.46,0.04999999999999982
2014-02-26,7.3,7.9,7.29,7.35,4300,7.35,0.04999999999999982
2014-02-27,7.5,7.5,7.24,7.41,3500,7.41,-0.08999999999999986
2014-02-28,7.97,7.97,7.27,7.27,8000,7.27,-0.7000000000000002
2014-03-03,7.36,7.36,7.0,7.01,9100,7.01,-0.35000000000000053
2014-03-04,7.0,7.05,6.51,7.05,7300,7.05,0.04999999999999982
2014-03-05,6.92,7.19,6.85,7.01,11000,7.01,0.08999999999999986
2014-03-06,7.06,8.12,7.06,7.8,18900,7.8,0.7400000000000002
2014-03-07,8.0,8.48,8.0,8.02,28400,8.02,0.019999999999999574
2014-03-10,8.03,8.09,7.26,7.64,8900,7.64,-0.3899999999999997
2014-03-11,7.94,7.94,7.03,7.3,7300,7.3,-0.6400000000000006
2014-03-12,7.04,7.05,7.02,7.02,1800,7.02,-0.020000000000000462
2014-03-13,7.3,7.3,6.86,7.12,2400,7.12,-0.17999999999999972
2014-03-14,7.24,7.24,6.04,6.43,11700,6.43,-0.8100000000000005
2014-03-17,6.37,6.37,6.01,6.21,5600,6.21,-0.16000000000000014
2014-03-18,6.21,6.23,6.01,6.19,5600,6.19,-0.019999999999999574
2014-03-19,6.37,6.38,6.15,6.23,4800,6.23,-0.13999999999999968
2014-03-20,6.25,6.25,5.81,6.09,3300,6.09,-0.16000000000000014
2014-03-21,6.2,6.24,6.16,6.2,2000,6.2,0.0
2014-03-24,6.47,6.5,6.05,6.46,7600,6.46,-0.009999999999999787
2014-03-25,6.56,6.62,6.15,6.15,2200,6.15,-0.40999999999999925
2014-03-26,6.28,6.28,6.28,6.28,200,6.28,0.0
2014-03-27,6.15,6.75,6.15,6.53,8800,6.53,0.3799999999999999
2014-03-28,6.61,6.9,6.61,6.9,1000,6.9,0.29000000000000004
2014-03-31,6.64,6.89,6.6,6.88,2300,6.88,0.2400000000000002
2014-04-01,6.83,6.88,6.83,6.88,800,6.88,0.04999999999999982
2014-04-02,6.37,6.37,6.37,6.37,100,6.37,0.0
2014-04-03,6.35,6.35,6.31,6.32,1800,6.32,-0.02999999999999936
2014-04-04,6.34,6.48,6.32,6.4,9900,6.4,0.0600000000000005
2014-04-07,6.46,6.78,6.31,6.33,13600,6.33,-0.1299999999999999
2014-04-08,6.36,6.36,6.33,6.35,1500,6.35,-0.010000000000000675
2014-04-09,6.56,6.56,6.54,6.54,1200,6.54,-0.019999999999999574
2014-04-10,6.4,6.45,6.4,6.45,400,6.45,0.04999999999999982
2014-04-11,6.41,6.41,5.48,5.55,15600,5.55,-0.8600000000000003
2014-04-14,5.54,5.54,4.75,4.82,9100,4.82,-0.7199999999999998
2014-04-15,4.74,4.74,4.26,4.53,7000,4.53,-0.20999999999999996
