Date,open,high,low,close,volume,adj_close,diff
2014-01-02,53.8,53.89,53.43,53.73,1770300,51.37,-0.07000000000000028
2014-01-03,53.7,53.99,53.38,53.45,2055900,51.1,-0.25
2014-01-06,53.94,53.94,53.11,53.43,2386600,51.08,-0.509999999999998
2014-01-07,53.37,54.16,53.32,53.93,3334100,51.56,0.5600000000000023
2014-01-08,54.32,54.48,52.81,53.25,5406700,50.91,-1.0700000000000003
2014-01-09,53.47,53.72,52.87,53.32,3363100,50.97,-0.14999999999999858
2014-01-10,53.41,53.82,53.12,53.8,2429200,51.43,0.39000000000000057
2014-01-13,53.65,54.06,53.21,53.49,3619200,51.14,-0.1599999999999966
2014-01-14,53.66,54.71,53.51,54.42,4294500,52.03,0.7600000000000051
2014-01-15,54.48,54.68,54.0,54.51,2612400,52.11,0.030000000000001137
2014-01-16,54.34,54.85,54.11,54.69,2365500,52.28,0.3499999999999943
2014-01-17,54.53,55.11,54.4,54.76,4169400,52.35,0.22999999999999687
2014-01-21,55.2,55.2,54.05,54.24,3443400,51.85,-0.9600000000000009
2014-01-22,54.43,54.52,54.04,54.4,2794700,52.01,-0.030000000000001137
2014-01-23,54.14,54.25,53.31,53.49,3474100,51.14,-0.6499999999999986
2014-01-24,53.17,53.56,52.67,52.89,3286800,50.56,-0.28000000000000114
2014-01-27,53.04,53.21,52.73,52.84,3082900,50.52,-0.19999999999999574
2014-01-28,52.96,53.1,52.58,52.88,2216300,50.55,-0.0799999999999983
2014-01-29,52.55,52.88,52.06,52.19,2954000,49.89,-0.35999999999999943
2014-01-30,52.59,52.81,52.21,52.68,2982700,50.36,0.0899999999999963
2014-01-31,52.01,52.6,51.99,52.35,3247600,50.05,0.3400000000000034
2014-02-03,52.86,52.91,51.07,51.12,4699600,48.87,-1.740000000000002
2014-02-04,51.24,51.46,50.59,51.06,3743100,48.81,-0.17999999999999972
2014-02-05,51.0,51.32,50.54,51.12,3396300,48.87,0.11999999999999744
2014-02-06,51.38,51.71,51.25,51.65,2764700,49.38,0.269999999999996
2014-02-07,52.11,52.42,51.91,52.3,3058800,50.0,0.18999999999999773
2014-02-10,52.35,53.29,52.11,53.19,3443500,50.85,0.8399999999999963
2014-02-11,53.1,53.4,52.91,53.17,3885100,50.83,0.07000000000000028
2014-02-12,53.45,53.62,53.08,53.42,3279800,51.07,-0.030000000000001137
2014-02-13,53.07,53.75,53.07,53.61,3388800,51.25,0.5399999999999991
2014-02-14,54.85,55.0,52.56,53.76,8027200,51.39,-1.0900000000000034
