Date,open,high,low,close,volume,adj_close,diff
2014-01-02,48.12,48.15,47.15,47.38,869000,47.03,-0.7399999999999949
2014-01-03,47.38,47.57,47.21,47.26,624000,46.92,-0.12000000000000455
2014-01-06,47.49,47.53,47.13,47.16,536400,46.82,-0.3300000000000054
2014-01-07,47.22,47.26,46.8,47.0,627300,46.66,-0.21999999999999886
2014-01-08,46.95,47.27,46.57,46.76,908400,46.42,-0.19000000000000483
2014-01-09,46.83,46.93,46.38,46.81,923900,46.47,-0.01999999999999602
2014-01-10,47.01,47.08,46.71,46.86,612300,46.52,-0.14999999999999858
2014-01-13,46.72,46.9,46.25,46.33,885100,45.99,-0.39000000000000057
2014-01-14,46.52,46.71,46.3,46.66,978000,46.32,0.13999999999999346
2014-01-15,46.72,47.19,46.71,47.19,992000,46.85,0.46999999999999886
2014-01-16,47.08,47.11,46.87,47.03,770800,46.69,-0.04999999999999716
2014-01-17,47.25,47.51,47.0,47.33,1169800,46.98,0.0799999999999983
2014-01-21,47.52,47.52,46.78,46.98,656100,46.64,-0.5400000000000063
2014-01-22,47.13,47.28,46.93,47.2,624100,46.86,0.07000000000000028
2014-01-23,46.73,46.94,45.84,46.0,926400,45.66,-0.7299999999999969
2014-01-24,45.63,45.82,44.65,44.65,985700,44.32,-0.980000000000004
2014-01-27,44.6,44.99,44.4,44.64,948600,44.31,0.03999999999999915
2014-01-28,44.68,45.06,44.64,44.94,874000,44.61,0.259999999999998
2014-01-29,44.57,44.98,44.44,44.57,950900,44.24,0.0
2014-01-30,45.04,45.37,44.9,45.34,824700,45.01,0.30000000000000426
2014-01-31,44.62,45.01,44.38,44.59,900300,44.26,-0.02999999999999403
2014-02-03,44.51,44.76,43.33,43.41,995700,43.09,-1.1000000000000014
2014-02-04,43.69,44.6,43.42,44.52,1528200,44.2,0.8300000000000054
2014-02-05,44.41,44.67,44.16,44.53,1182300,44.21,0.12000000000000455
2014-02-06,44.56,44.83,44.44,44.74,741800,44.41,0.17999999999999972
2014-02-07,44.95,45.18,44.67,45.18,1095700,44.85,0.22999999999999687
2014-02-10,43.63,43.77,42.63,43.26,2850500,42.94,-0.37000000000000455
2014-02-11,43.09,43.92,43.09,43.85,1318300,43.53,0.759999999999998
