Date,open,high,low,close,volume,adj_close,diff
2014-01-02,4.0,4.05,3.96,4.02,97200,8.04,0.019999999999999574
2014-01-03,4.05,4.18,4.05,4.15,39300,8.3,0.10000000000000053
2014-01-06,4.12,4.29,4.12,4.29,15700,8.58,0.16999999999999993
2014-01-07,4.29,4.35,4.21,4.29,18700,8.58,0.0
2014-01-08,4.27,4.34,4.26,4.27,8300,8.54,0.0
2014-01-09,4.3,4.3,4.19,4.27,8300,8.54,-0.03000000000000025
2014-01-10,4.25,4.3,4.25,4.25,8400,8.5,0.0
2014-01-13,4.22,4.38,4.22,4.34,21100,8.68,0.1200000000000001
2014-01-14,4.29,4.75,4.29,4.58,69700,9.16,0.29000000000000004
2014-01-15,4.6,4.8,4.6,4.63,59100,9.26,0.03000000000000025
2014-01-16,4.62,4.7,4.58,4.59,88600,9.18,-0.03000000000000025
2014-01-17,4.66,4.79,4.59,4.72,54600,9.44,0.05999999999999961
2014-01-21,4.79,4.88,4.74,4.74,44700,9.48,-0.04999999999999982
2014-01-22,4.75,4.83,4.73,4.73,24400,9.46,-0.019999999999999574
2014-01-23,4.75,4.75,4.69,4.69,8600,9.38,-0.05999999999999961
2014-01-24,4.73,4.74,4.69,4.69,7200,9.38,-0.040000000000000036
2014-01-27,4.63,4.7,4.59,4.65,39300,9.3,0.020000000000000462
2014-01-28,4.62,4.65,4.54,4.63,24800,9.26,0.009999999999999787
2014-01-29,4.62,4.62,4.55,4.6,18600,9.2,-0.020000000000000462
2014-01-30,4.65,4.65,4.55,4.61,9900,9.22,-0.040000000000000036
2014-01-31,4.58,4.6,4.35,4.58,12800,9.16,0.0
2014-02-03,4.6,4.6,4.41,4.51,17900,9.02,-0.08999999999999986
2014-02-04,4.39,4.46,4.38,4.45,17300,8.9,0.0600000000000005
2014-02-05,4.46,4.5,4.27,4.32,52900,8.64,-0.13999999999999968
2014-02-06,4.37,4.52,4.33,4.52,24200,9.04,0.14999999999999947
2014-02-07,4.47,4.59,4.44,4.59,9700,9.18,0.1200000000000001
2014-02-10,4.54,4.6,4.37,4.46,28400,8.92,-0.08000000000000007
2014-02-11,4.51,4.6,4.46,4.6,24600,9.2,0.08999999999999986
2014-02-12,4.51,4.6,4.44,4.6,35200,9.2,0.08999999999999986
2014-02-13,4.55,4.69,4.47,4.5,6500,9.0,-0.04999999999999982
2014-02-14,4.5,4.6,4.48,4.49,40500,8.98,-0.009999999999999787
2014-02-18,4.5,4.59,4.49,4.49,25900,8.98,-0.009999999999999787
2014-02-19,4.59,4.59,4.5,4.51,7500,9.02,-0.08000000000000007
2014-02-20,4.51,4.59,4.51,4.55,5900,9.1,0.040000000000000036
2014-02-21,4.59,4.75,4.57,4.64,42800,9.28,0.04999999999999982
2014-02-24,4.69,4.75,4.5,4.72,12100,9.44,0.02999999999999936
2014-02-25,4.8,4.84,4.72,4.72,13200,9.44,-0.08000000000000007
2014-02-26,4.77,4.8,4.63,4.74,15100,9.48,-0.02999999999999936
2014-02-27,4.76,5.02,4.76,4.97,43200,9.94,0.20999999999999996
2014-02-28,5.06,5.15,5.0,5.05,34900,10.1,-0.009999999999999787
2014-03-03,5.1,5.21,5.0,5.01,38100,10.02,-0.08999999999999986
2014-03-04,5.04,5.2,5.04,5.1,26000,10.2,0.05999999999999961
2014-03-05,5.11,5.19,5.1,5.11,17600,10.22,0.0
2014-03-06,5.13,5.25,5.13,5.22,32400,10.44,0.08999999999999986
2014-03-07,5.25,5.38,5.22,5.31,53500,10.62,0.05999999999999961
2014-03-10,5.31,5.48,5.31,5.45,61400,10.9,0.14000000000000057
2014-03-11,5.5,5.55,5.4,5.43,44600,10.86,-0.07000000000000028
2014-03-12,5.46,5.49,5.36,5.43,28900,10.86,-0.03000000000000025
2014-03-13,5.31,5.43,5.0,5.07,69800,10.14,-0.23999999999999932
2014-03-14,5.14,5.14,4.88,4.99,47400,9.98,-0.14999999999999947
2014-03-17,4.97,4.98,4.86,4.91,42700,9.82,-0.05999999999999961
2014-03-18,4.92,5.23,4.92,5.06,32400,10.12,0.13999999999999968
