Date,open,high,low,close,volume,adj_close,diff
2014-01-02,28.11,28.11,27.28,27.9,17100,26.36,-0.21000000000000085
2014-01-03,27.9,27.9,27.84,27.88,10000,26.34,-0.019999999999999574
2014-01-06,27.77,27.77,27.52,27.55,9100,26.03,-0.21999999999999886
2014-01-07,27.61,27.61,27.36,27.38,12200,25.87,-0.23000000000000043
2014-01-08,27.47,27.73,27.35,27.35,7100,25.84,-0.11999999999999744
2014-01-09,27.37,27.37,26.76,26.85,17100,25.36,-0.5199999999999996
2014-01-10,27.3,27.31,26.64,26.83,30500,25.35,-0.4700000000000024
2014-01-13,26.99,27.32,26.69,26.69,21500,25.21,-0.29999999999999716
2014-01-14,26.79,26.99,26.18,26.82,8800,25.34,0.030000000000001137
2014-01-15,27.11,27.11,26.74,26.85,5300,25.36,-0.259999999999998
2014-01-16,26.5,26.84,26.5,26.82,6200,25.34,0.3200000000000003
2014-01-17,26.79,26.79,26.34,26.58,10500,25.11,-0.21000000000000085
2014-01-21,26.65,27.0,26.58,26.88,26700,25.39,0.23000000000000043
2014-01-22,27.0,27.02,26.88,27.02,18400,25.53,0.019999999999999574
2014-01-23,26.8,26.8,26.52,26.54,7000,25.07,-0.26000000000000156
2014-01-24,26.21,26.37,26.06,26.07,61200,24.63,-0.14000000000000057
2014-01-27,25.95,26.25,25.17,25.77,10500,24.34,-0.17999999999999972
2014-01-28,25.9,25.9,25.46,25.49,6000,24.08,-0.41000000000000014
2014-01-29,25.4,25.44,25.17,25.17,5100,23.78,-0.22999999999999687
2014-01-30,25.39,25.39,25.08,25.13,4500,23.74,-0.26000000000000156
2014-01-31,24.98,25.26,24.94,25.12,17100,23.73,0.14000000000000057
2014-02-03,24.9,25.16,24.83,24.97,38300,23.59,0.07000000000000028
2014-02-04,25.09,25.35,24.96,25.3,29400,23.9,0.21000000000000085
2014-02-05,25.38,25.38,25.11,25.17,5800,23.78,-0.2099999999999973
2014-02-06,25.36,25.78,25.3,25.66,24000,24.24,0.3000000000000007
2014-02-07,25.7,25.83,25.55,25.6,9900,24.18,-0.09999999999999787
2014-02-10,25.65,25.65,25.5,25.57,8700,24.16,-0.0799999999999983
2014-02-11,25.54,25.85,25.5,25.85,10000,24.42,0.3100000000000023
2014-02-12,25.75,25.76,25.71,25.71,2400,24.29,-0.03999999999999915
2014-02-13,25.21,25.58,25.21,25.33,23300,23.93,0.11999999999999744
2014-02-14,25.61,25.79,25.6,25.74,11500,24.32,0.129999999999999
2014-02-18,25.8,25.86,25.62,25.62,7400,24.2,-0.17999999999999972
2014-02-19,25.73,25.73,25.34,25.51,11500,24.1,-0.21999999999999886
2014-02-20,25.66,25.66,25.44,25.56,13300,24.15,-0.10000000000000142
2014-02-21,25.19,25.7,25.19,25.47,23400,24.06,0.2799999999999976
2014-02-24,25.62,26.24,25.62,25.73,6400,24.31,0.10999999999999943
2014-02-25,25.5,25.5,25.26,25.29,17900,23.89,-0.21000000000000085
2014-02-26,25.36,25.4,25.2,25.33,5200,23.93,-0.030000000000001137
2014-02-27,25.23,25.9,25.23,25.9,15400,24.47,0.6699999999999982
2014-02-28,25.52,25.83,25.52,25.7,6100,24.28,0.17999999999999972
2014-03-03,25.3,25.37,25.29,25.36,9400,23.96,0.05999999999999872
