Date,open,high,low,close,volume,adj_close,diff
2014-01-02,147.05,147.79,145.84,146.07,1115900,140.42,-0.9800000000000182
2014-01-03,146.5,147.33,146.48,147.06,843400,141.37,0.5600000000000023
2014-01-06,147.3,148.09,146.1,146.28,1134800,140.62,-1.0200000000000102
2014-01-07,149.0,149.3,147.5,148.61,1684100,142.86,-0.38999999999998636
2014-01-08,148.39,149.1,147.71,148.5,1222700,142.76,0.11000000000001364
2014-01-09,149.0,150.43,148.54,148.73,1646600,142.98,-0.27000000000001023
2014-01-10,148.99,149.69,147.55,149.45,1245800,143.67,0.45999999999997954
2014-01-13,153.7,154.35,150.51,150.92,3449000,145.08,-2.780000000000001
2014-01-14,151.13,151.93,149.19,151.42,2575800,145.56,0.28999999999999204
2014-01-15,151.42,154.34,151.1,153.5,2294200,147.56,2.0800000000000125
2014-01-16,153.0,153.52,152.62,153.49,1378700,147.55,0.4900000000000091
2014-01-17,153.73,153.99,153.01,153.82,2016300,147.87,0.09000000000000341
2014-01-21,154.0,156.54,153.79,154.1,2274600,148.14,0.09999999999999432
2014-01-22,155.0,157.05,154.26,156.65,2646600,150.59,1.6500000000000057
2014-01-23,157.11,158.43,150.3,150.49,3944100,144.67,-6.6200000000000045
2014-01-24,151.33,151.33,146.68,147.76,3496200,142.05,-3.5700000000000216
2014-01-27,148.12,149.09,145.12,147.02,2851400,141.33,-1.0999999999999943
2014-01-28,147.01,148.82,146.8,148.28,2676000,142.55,1.2700000000000102
2014-01-29,147.14,148.24,146.5,147.35,2501000,141.65,0.21000000000000796
2014-01-30,148.59,150.29,147.67,148.66,1931600,142.91,0.06999999999999318
2014-01-31,147.07,151.99,145.94,150.91,2618200,145.07,3.8400000000000034
2014-02-03,150.54,152.0,147.42,147.74,2307200,142.03,-2.799999999999983
2014-02-04,147.79,148.97,144.69,148.18,2205000,142.45,0.3900000000000148
2014-02-05,147.74,151.97,147.43,150.39,2728100,144.57,2.6499999999999773
2014-02-06,149.73,152.64,149.5,151.74,2073800,145.87,2.0100000000000193
2014-02-07,151.9,155.7,151.06,155.13,2072700,149.13,3.2299999999999898
2014-02-10,154.75,155.41,153.51,153.98,2375000,148.03,-0.7700000000000102
2014-02-11,154.57,158.32,154.18,157.56,2242200,151.47,2.990000000000009
2014-02-12,158.71,159.45,157.97,158.92,1851100,152.77,0.20999999999997954
2014-02-13,157.66,160.76,156.54,159.8,2461600,153.62,2.140000000000015
2014-02-14,159.8,163.24,159.31,162.89,2556400,156.59,3.089999999999975
2014-02-18,161.53,163.95,161.53,162.7,1985200,156.41,1.1699999999999875
2014-02-19,162.6,164.71,162.01,162.65,1762400,156.36,0.05000000000001137
2014-02-20,163.0,165.89,162.92,164.27,2112600,157.92,1.2700000000000102
2014-02-21,165.0,165.44,163.37,164.33,2377600,157.98,-0.6699999999999875
2014-02-24,165.62,168.41,164.8,166.14,2534300,159.72,0.5199999999999818
2014-02-25,166.58,167.43,163.1,163.61,2278400,157.28,-2.969999999999999
2014-02-26,163.3,164.41,160.81,160.83,2691000,154.61,-2.469999999999999
2014-02-27,160.4,161.67,159.51,161.44,3075100,156.49,1.039999999999992
2014-02-28,161.15,163.31,161.15,162.3,2232700,157.32,1.1500000000000057
2014-03-03,160.82,164.21,160.52,163.55,1709000,158.54,2.730000000000018
2014-03-04,164.29,166.17,164.29,165.64,1748200,160.56,1.3499999999999943
2014-03-05,166.23,167.43,165.5,166.82,1889200,161.71,0.5900000000000034
2014-03-06,166.85,167.48,166.4,166.84,1378300,161.73,-0.009999999999990905
2014-03-07,167.5,167.87,165.97,166.57,1403500,161.46,-0.9300000000000068
