Date,open,high,low,close,volume,adj_close,diff
2014-01-02,30.75,31.02,30.37,30.71,1792300,26.98,-0.03999999999999915
2014-01-03,30.57,30.84,30.21,30.72,2355400,26.99,0.14999999999999858
2014-01-06,31.33,31.43,30.95,31.09,3324300,27.31,-0.23999999999999844
2014-01-07,31.32,31.72,31.17,31.62,2593200,27.78,0.3000000000000007
2014-01-08,31.92,32.19,31.56,32.12,3249100,28.22,0.19999999999999574
2014-01-09,31.87,32.0,31.51,31.57,1358900,27.95,-0.3000000000000007
2014-01-10,31.75,31.78,31.42,31.57,884100,27.95,-0.17999999999999972
2014-01-13,31.8,31.92,30.81,30.84,1217800,27.3,-0.9600000000000009
2014-01-14,31.03,31.21,30.84,31.11,684800,27.54,0.0799999999999983
2014-01-15,31.43,31.44,31.0,31.25,868500,27.66,-0.17999999999999972
2014-01-16,31.24,31.77,31.15,31.73,1093000,28.09,0.490000000000002
2014-01-17,31.84,31.85,31.35,31.49,911200,27.87,-0.3500000000000014
2014-01-21,31.82,31.86,31.5,31.8,1023800,28.15,-0.019999999999999574
2014-01-22,32.17,32.71,31.93,32.6,2188800,28.86,0.4299999999999997
2014-01-23,33.06,33.12,32.79,32.87,2195300,29.1,-0.19000000000000483
2014-01-24,32.97,33.0,32.12,32.46,1799700,28.73,-0.509999999999998
2014-01-27,32.57,32.6,31.55,31.7,1631800,28.06,-0.870000000000001
2014-01-28,31.91,32.43,31.81,32.38,1219000,28.66,0.4700000000000024
2014-01-29,32.2,32.25,31.76,32.07,915800,28.39,-0.13000000000000256
2014-01-30,32.18,32.4,32.04,32.27,1053300,28.56,0.09000000000000341
2014-01-31,32.11,32.27,31.88,32.19,1024400,28.49,0.0799999999999983
2014-02-03,32.42,32.42,31.53,31.8,1692700,28.15,-0.620000000000001
2014-02-04,31.9,31.98,31.53,31.92,876600,28.26,0.020000000000003126
2014-02-05,31.94,31.98,31.53,31.59,945100,27.96,-0.3500000000000014
2014-02-06,31.58,31.77,31.35,31.59,1108000,28.18,0.010000000000001563
2014-02-07,31.89,32.0,31.78,31.94,941200,28.49,0.05000000000000071
2014-02-10,32.0,32.18,31.75,32.08,660200,28.62,0.0799999999999983
2014-02-11,32.08,32.11,31.4,31.48,1274800,28.08,-0.5999999999999979
2014-02-12,31.55,31.85,30.84,30.95,2098300,27.61,-0.6000000000000014
2014-02-13,30.82,31.25,30.23,31.04,1501200,27.69,0.21999999999999886
2014-02-14,31.14,31.4,30.82,31.13,991700,27.77,-0.010000000000001563
2014-02-18,31.06,31.75,31.06,31.45,1103400,28.05,0.39000000000000057
2014-02-19,31.58,31.82,31.48,31.67,1248800,28.25,0.09000000000000341
2014-02-20,31.73,31.78,31.32,31.34,984300,27.96,-0.39000000000000057
2014-02-21,31.46,31.6,31.26,31.5,1317200,28.1,0.03999999999999915
2014-02-24,31.58,31.82,31.44,31.57,1316500,28.16,-0.00999999999999801
2014-02-25,31.59,31.59,31.03,31.32,1027300,27.94,-0.2699999999999996
2014-02-26,31.32,31.44,30.76,30.96,1599300,27.62,-0.35999999999999943
2014-02-27,30.71,30.71,28.77,29.71,4620100,26.5,-1.0
2014-02-28,29.95,30.65,29.43,30.48,2471900,27.19,0.5300000000000011
2014-03-03,30.49,30.7,30.13,30.32,1297400,27.05,-0.16999999999999815
2014-03-04,30.57,30.72,30.12,30.57,1212500,27.27,0.0
2014-03-05,30.55,30.74,30.28,30.57,887400,27.27,0.019999999999999574
2014-03-06,30.42,30.73,29.99,30.03,1087000,27.0,-0.39000000000000057
2014-03-07,30.0,30.03,29.25,29.44,1526500,26.47,-0.5599999999999987
2014-03-10,29.5,29.82,28.98,29.79,1111300,26.79,0.28999999999999915
2014-03-11,29.8,29.8,28.77,28.88,1740300,25.97,-0.9200000000000017
2014-03-12,28.75,28.76,27.89,28.06,2372800,25.23,-0.6900000000000013
2014-03-13,28.0,28.0,27.2,27.57,2428600,24.79,-0.4299999999999997
2014-03-14,27.73,28.29,27.58,28.06,1258000,25.23,0.3299999999999983
2014-03-17,28.14,28.42,28.14,28.23,797000,25.38,0.08999999999999986
2014-03-18,28.3,28.54,28.16,28.23,1018700,25.38,-0.07000000000000028
2014-03-19,28.24,28.52,27.82,27.96,962500,25.14,-0.2799999999999976
2014-03-20,27.92,28.28,27.7,28.26,1257000,25.41,0.33999999999999986
2014-03-21,28.3,28.48,28.06,28.19,991400,25.35,-0.10999999999999943
2014-03-24,27.75,27.96,26.15,26.71,3885100,24.02,-1.0399999999999991
2014-03-25,26.6,27.21,26.6,27.02,1300300,24.29,0.41999999999999815
2014-03-26,26.99,26.99,26.22,26.35,1555100,23.69,-0.639999999999997
2014-03-27,26.4,26.95,25.79,26.94,1298700,24.22,0.5400000000000027
2014-03-28,26.92,27.52,26.61,27.32,1738200,24.56,0.3999999999999986
2014-03-31,27.39,27.4,26.95,27.05,972900,24.32,-0.33999999999999986
2014-04-01,27.1,27.5,27.03,27.44,1464500,24.67,0.33999999999999986
2014-04-02,27.46,27.85,27.46,27.68,868000,24.89,0.21999999999999886
2014-04-03,27.82,28.12,27.61,27.65,931500,24.86,-0.1700000000000017
2014-04-04,27.39,27.98,27.36,27.43,1137300,24.66,0.03999999999999915
2014-04-07,27.4,27.72,27.31,27.51,665900,24.74,0.11000000000000298
2014-04-08,27.47,27.71,26.85,27.05,1823800,24.32,-0.41999999999999815
2014-04-09,26.84,27.61,26.75,27.49,1401000,24.94,0.6499999999999986
2014-04-10,27.47,27.67,26.81,26.91,1144400,24.41,-0.5599999999999987
2014-04-11,27.32,27.75,27.08,27.34,1265600,24.8,0.019999999999999574
2014-04-14,27.52,27.88,27.21,27.25,1203000,24.72,-0.2699999999999996
2014-04-15,27.32,27.4,27.06,27.11,684900,24.6,-0.21000000000000085
2014-04-16,27.33,27.52,27.07,27.45,888000,24.9,0.120000000000001
2014-04-17,27.57,27.99,27.41,27.89,1305800,25.3,0.3200000000000003
2014-04-21,27.91,28.06,27.85,28.0,706500,25.4,0.08999999999999986
2014-04-22,28.0,28.13,27.91,28.0,588700,25.4,0.0
2014-04-23,28.0,28.21,27.9,28.02,849200,25.42,0.019999999999999574
2014-04-24,28.02,28.2,27.8,27.91,1114800,25.32,-0.10999999999999943
2014-04-25,27.81,27.99,27.22,27.26,1436600,24.73,-0.5499999999999972
2014-04-28,27.32,27.67,27.22,27.41,1084600,24.87,0.08999999999999986
