Date,open,high,low,close,volume,adj_close,diff
2014-01-02,4.27,4.34,4.2,4.3,31000,4.3,0.03000000000000025
2014-01-03,4.3,4.4,4.23,4.31,48500,4.31,0.009999999999999787
2014-01-06,4.35,4.45,4.26,4.3,38600,4.3,-0.04999999999999982
2014-01-07,4.36,4.48,4.3,4.36,21400,4.36,0.0
2014-01-08,4.39,4.54,4.31,4.39,12900,4.39,0.0
2014-01-09,4.4,4.49,4.4,4.42,22100,4.42,0.019999999999999574
2014-01-10,4.4,5.0,4.4,4.94,412700,4.94,0.54
2014-01-13,5.1,5.22,5.0,5.11,112300,5.11,0.010000000000000675
2014-01-14,5.19,5.28,5.02,5.02,55700,5.02,-0.17000000000000082
2014-01-15,5.0,5.22,4.73,4.87,53100,4.87,-0.1299999999999999
2014-01-16,4.79,4.97,4.79,4.9,35000,4.9,0.11000000000000032
2014-01-17,4.92,4.96,4.92,4.94,35500,4.94,0.020000000000000462
2014-01-21,5.01,5.09,4.94,5.04,28500,5.04,0.03000000000000025
2014-01-22,5.13,5.3,5.03,5.08,30000,5.08,-0.04999999999999982
2014-01-23,5.1,5.15,4.9,5.04,38600,5.04,-0.05999999999999961
2014-01-24,4.98,4.98,4.75,4.87,28800,4.87,-0.11000000000000032
2014-01-27,4.92,5.0,4.54,4.71,47300,4.71,-0.20999999999999996
2014-01-28,4.76,4.79,4.74,4.76,17000,4.76,0.0
2014-01-29,4.79,4.8,4.77,4.78,8500,4.78,-0.009999999999999787
2014-01-30,4.83,4.83,4.75,4.77,45900,4.77,-0.0600000000000005
2014-01-31,4.84,4.84,4.65,4.7,18200,4.7,-0.13999999999999968
2014-02-03,4.75,4.77,4.47,4.47,43300,4.47,-0.28000000000000025
2014-02-04,4.44,4.67,4.41,4.49,19600,4.49,0.04999999999999982
2014-02-05,4.52,4.85,4.43,4.43,14700,4.43,-0.08999999999999986
2014-02-06,4.48,4.48,4.22,4.26,47200,4.26,-0.22000000000000064
2014-02-07,4.28,4.51,4.28,4.45,62200,4.45,0.16999999999999993
2014-02-10,4.5,4.5,4.38,4.45,33200,4.45,-0.04999999999999982
2014-02-11,4.49,4.49,4.43,4.48,20100,4.48,-0.009999999999999787
2014-02-12,4.46,4.47,4.41,4.47,33900,4.47,0.009999999999999787
2014-02-13,4.46,4.53,4.42,4.47,61000,4.47,0.009999999999999787
2014-02-14,4.5,4.65,4.5,4.6,26800,4.6,0.09999999999999964
2014-02-18,4.67,4.72,4.67,4.68,44400,4.68,0.009999999999999787
2014-02-19,4.72,4.72,4.63,4.66,40700,4.66,-0.05999999999999961
2014-02-20,4.6,4.67,4.6,4.64,48400,4.64,0.040000000000000036
2014-02-21,4.65,4.74,4.61,4.68,19400,4.68,0.02999999999999936
2014-02-24,4.65,4.74,4.59,4.67,54300,4.67,0.019999999999999574
2014-02-25,4.63,4.72,4.63,4.7,119000,4.7,0.07000000000000028
2014-02-26,4.74,4.75,4.7,4.73,29700,4.73,-0.009999999999999787
2014-02-27,4.73,4.74,4.66,4.66,51100,4.66,-0.07000000000000028
2014-02-28,4.7,4.76,4.63,4.64,22400,4.64,-0.0600000000000005
2014-03-03,4.59,4.61,4.5,4.56,34500,4.56,-0.03000000000000025
2014-03-04,4.63,4.74,4.58,4.58,34100,4.58,-0.04999999999999982
