Date,open,high,low,close,volume,adj_close,diff
2014-01-02,29.93,29.93,29.08,29.49,239300,28.48,-0.4400000000000013
2014-01-03,29.51,30.2,29.51,29.93,162700,28.91,0.41999999999999815
2014-01-06,30.21,30.21,29.63,29.78,143500,28.76,-0.4299999999999997
2014-01-07,29.86,30.36,29.6,29.79,166900,28.77,-0.07000000000000028
2014-01-08,29.71,30.11,29.56,29.8,249700,28.78,0.08999999999999986
2014-01-09,29.98,30.15,29.66,29.71,130000,28.7,-0.2699999999999996
2014-01-10,29.75,29.81,29.44,29.8,86000,28.78,0.05000000000000071
2014-01-13,29.62,29.81,29.41,29.62,111400,28.61,0.0
2014-01-14,29.65,30.47,29.65,29.99,134400,28.97,0.33999999999999986
2014-01-15,29.99,30.36,29.98,30.02,151800,29.0,0.030000000000001137
2014-01-16,30.05,30.3,29.78,30.29,115200,29.26,0.23999999999999844
2014-01-17,30.16,30.34,30.13,30.28,77100,29.25,0.120000000000001
2014-01-21,30.5,30.52,30.21,30.51,115900,29.47,0.010000000000001563
2014-01-22,30.51,31.02,30.46,31.0,147700,29.94,0.48999999999999844
2014-01-23,30.83,31.1,30.63,31.01,175500,29.95,0.18000000000000327
2014-01-24,30.8,30.84,30.33,30.38,338400,29.34,-0.4200000000000017
2014-01-27,30.31,30.55,29.8,29.93,322000,28.91,-0.379999999999999
2014-01-28,30.02,30.11,29.66,30.04,155200,29.02,0.019999999999999574
2014-01-29,29.83,30.34,29.33,29.46,94600,28.46,-0.36999999999999744
2014-01-30,29.63,29.63,29.27,29.31,141500,28.31,-0.3200000000000003
2014-01-31,28.86,29.45,28.7,29.1,244800,28.11,0.240000000000002
2014-02-03,29.1,29.1,27.51,27.62,377600,26.68,-1.4800000000000004
2014-02-04,27.7,28.17,27.47,28.14,245100,27.18,0.4400000000000013
2014-02-05,27.96,27.96,27.43,27.64,131600,26.7,-0.3200000000000003
2014-02-06,27.64,28.17,27.64,28.07,95800,27.11,0.4299999999999997
2014-02-07,28.2,28.52,28.03,28.43,136000,27.46,0.23000000000000043
2014-02-10,28.32,28.32,27.9,28.09,163100,27.13,-0.23000000000000043
2014-02-11,28.17,28.67,27.95,28.35,118400,27.38,0.17999999999999972
2014-02-12,28.29,28.57,28.03,28.11,141200,27.15,-0.17999999999999972
2014-02-13,27.88,28.69,27.71,28.61,102400,27.63,0.7300000000000004
2014-02-14,28.48,28.83,28.22,28.53,151500,27.56,0.05000000000000071
2014-02-18,28.65,29.46,28.61,29.35,218200,28.35,0.7000000000000028
2014-02-19,29.39,29.73,28.53,28.63,197500,27.65,-0.7600000000000016
2014-02-20,28.74,28.98,27.93,27.98,444000,27.03,-0.759999999999998
2014-02-21,27.98,28.03,27.45,27.81,451200,26.86,-0.1700000000000017
2014-02-24,27.86,28.34,27.67,28.11,360500,27.15,0.25
2014-02-25,28.98,29.54,28.29,28.82,690200,27.84,-0.16000000000000014
2014-02-26,28.75,29.2,28.47,28.77,302100,27.79,0.019999999999999574
2014-02-27,28.69,29.32,28.56,29.2,236600,28.2,0.509999999999998
2014-02-28,29.24,29.48,29.0,29.27,315000,28.27,0.030000000000001137
2014-03-03,29.07,29.65,28.96,29.42,227900,28.42,0.3500000000000014
2014-03-04,29.62,30.3,29.24,30.05,415600,29.03,0.4299999999999997
2014-03-05,29.84,30.04,29.58,29.69,178300,28.88,-0.14999999999999858
2014-03-06,29.68,29.79,29.49,29.63,121900,28.82,-0.05000000000000071
2014-03-07,29.85,29.98,29.44,29.88,209100,29.06,0.029999999999997584
2014-03-10,29.81,29.91,29.57,29.81,136400,29.0,0.0
2014-03-11,29.9,29.91,29.39,29.51,67200,28.7,-0.389999999999997
2014-03-12,29.64,29.66,29.35,29.58,107300,28.77,-0.060000000000002274
2014-03-13,29.63,29.63,29.03,29.23,204800,28.43,-0.3999999999999986
2014-03-14,29.07,29.41,28.87,29.15,86500,28.35,0.0799999999999983
2014-03-17,29.25,29.56,29.01,29.18,131300,28.38,-0.07000000000000028
2014-03-18,29.31,30.24,29.31,30.16,131500,29.34,0.8500000000000014
2014-03-19,30.19,30.19,29.77,29.83,116700,29.02,-0.360000000000003
2014-03-20,29.85,30.33,29.85,30.1,104800,29.28,0.25
2014-03-21,30.1,30.5,29.96,30.03,247800,29.21,-0.07000000000000028
2014-03-24,30.0,30.53,29.47,29.74,113300,28.93,-0.26000000000000156
2014-03-25,29.81,30.0,29.61,29.99,117100,29.17,0.17999999999999972
2014-03-26,30.2,30.2,29.68,29.84,176200,29.03,-0.35999999999999943
2014-03-27,29.9,29.96,29.24,29.27,195000,28.47,-0.629999999999999
2014-03-28,29.37,29.57,28.88,29.09,200800,28.3,-0.28000000000000114
2014-03-31,29.28,29.46,29.1,29.41,213800,28.61,0.129999999999999
2014-04-01,29.44,30.19,29.29,30.15,309200,29.33,0.7099999999999973
2014-04-02,30.11,30.56,30.06,30.45,286200,29.62,0.33999999999999986
2014-04-03,29.87,29.89,28.41,28.54,880300,27.76,-1.3300000000000018
2014-04-04,28.74,28.74,27.96,28.01,361000,27.25,-0.7299999999999969
2014-04-07,27.99,28.62,27.78,28.55,4116700,27.77,0.5600000000000023
2014-04-08,28.5,29.06,28.35,28.56,504300,27.78,0.05999999999999872
2014-04-09,28.73,29.64,28.65,29.54,386600,28.73,0.8099999999999987
