Date,open,high,low,close,volume,adj_close,diff
2014-01-02,12.35,12.41,12.28,12.28,5300,11.55,-0.07000000000000028
2014-01-03,12.35,12.36,12.35,12.35,700,11.62,0.0
2014-01-06,12.4,12.55,12.4,12.55,3100,11.81,0.15000000000000036
2014-01-07,12.48,12.64,12.36,12.51,14300,11.77,0.02999999999999936
2014-01-08,12.54,12.57,12.44,12.44,10500,11.76,-0.09999999999999964
2014-01-09,12.27,12.4,12.27,12.4,13900,11.72,0.13000000000000078
2014-01-10,12.55,12.59,12.52,12.59,6400,11.9,0.03999999999999915
2014-01-13,12.65,12.65,12.56,12.56,1900,11.87,-0.08999999999999986
2014-01-14,12.56,12.63,12.54,12.59,4100,11.9,0.02999999999999936
2014-01-15,12.5,12.63,12.5,12.54,2900,11.86,0.03999999999999915
2014-01-16,12.66,12.66,12.61,12.63,6800,11.94,-0.02999999999999936
2014-01-17,12.71,12.78,12.66,12.77,5100,12.07,0.05999999999999872
2014-01-21,12.86,12.86,12.7,12.72,14100,12.03,-0.1399999999999988
2014-01-22,12.81,12.81,12.68,12.73,6300,12.03,-0.08000000000000007
2014-01-23,12.81,12.85,12.8,12.85,11800,12.15,0.03999999999999915
2014-01-24,12.9,12.9,12.87,12.9,8000,12.2,0.0
2014-01-27,12.95,12.96,12.85,12.86,4400,12.16,-0.08999999999999986
2014-01-28,12.85,12.87,12.85,12.87,1100,12.17,0.019999999999999574
2014-01-29,12.89,12.89,12.87,12.89,5800,12.19,0.0
2014-01-30,12.97,13.0,12.93,12.99,14600,12.28,0.019999999999999574
2014-01-31,12.95,13.03,12.95,13.03,2800,12.32,0.08000000000000007
2014-02-03,13.0,13.03,13.0,13.03,4200,12.32,0.02999999999999936
2014-02-04,13.03,13.03,12.97,13.02,2400,12.31,-0.009999999999999787
2014-02-05,13.0,13.0,12.98,12.99,2400,12.28,-0.009999999999999787
2014-02-06,12.94,12.97,12.94,12.97,1700,12.32,0.030000000000001137
2014-02-07,12.99,12.99,12.97,12.97,1700,12.32,-0.019999999999999574
2014-02-10,12.77,12.97,12.77,12.93,7800,12.28,0.16000000000000014
2014-02-11,13.12,13.12,12.94,12.94,3400,12.29,-0.17999999999999972
2014-02-12,12.97,12.97,12.9,12.97,6500,12.32,0.0
2014-02-13,13.03,13.05,13.03,13.05,8100,12.4,0.02000000000000135
2014-02-14,13.11,13.12,13.08,13.11,1700,12.45,0.0
2014-02-18,13.14,13.14,13.02,13.02,1400,12.37,-0.120000000000001
2014-02-19,13.09,13.09,12.95,13.01,4700,12.36,-0.08000000000000007
2014-02-20,13.0,13.0,12.97,12.97,4000,12.32,-0.02999999999999936
2014-02-21,13.05,13.21,13.01,13.05,8400,12.4,0.0
2014-02-24,13.03,13.12,13.02,13.04,2800,12.39,0.009999999999999787
