Date,open,high,low,close,volume,adj_close,diff
2014-01-02,15.79,15.79,14.89,15.01,142400,15.01,-0.7799999999999994
2014-01-03,15.01,15.05,14.27,14.42,199800,14.42,-0.5899999999999999
2014-01-06,14.43,14.5,13.7,13.92,128500,13.92,-0.5099999999999998
2014-01-07,14.0,14.21,13.84,14.05,79600,14.05,0.05000000000000071
2014-01-08,14.07,14.66,13.98,14.54,124700,14.54,0.46999999999999886
2014-01-09,14.62,14.99,14.32,14.34,88000,14.34,-0.27999999999999936
2014-01-10,14.37,14.64,14.18,14.4,117300,14.4,0.030000000000001137
2014-01-13,14.42,14.58,13.86,14.09,156100,14.09,-0.33000000000000007
2014-01-14,14.1,14.28,13.87,14.19,81300,14.19,0.08999999999999986
2014-01-15,14.2,14.25,14.03,14.07,57100,14.07,-0.129999999999999
2014-01-16,14.1,14.2,14.1,14.14,79700,14.14,0.040000000000000924
2014-01-17,14.17,14.18,13.99,14.1,43400,14.1,-0.07000000000000028
2014-01-21,14.14,14.15,13.96,14.11,50600,14.11,-0.030000000000001137
2014-01-22,14.05,14.19,14.0,14.15,61800,14.15,0.09999999999999964
2014-01-23,14.15,14.15,13.75,13.9,73300,13.9,-0.25
2014-01-24,13.77,14.0,13.36,13.38,159500,13.38,-0.3899999999999988
2014-01-27,13.29,13.66,12.84,13.19,121900,13.19,-0.09999999999999964
2014-01-28,13.25,13.8,12.98,13.71,89100,13.71,0.46000000000000085
2014-01-29,13.62,13.97,13.31,13.63,66400,13.63,0.010000000000001563
2014-01-30,13.79,14.1,13.73,13.81,48300,13.81,0.02000000000000135
2014-01-31,13.67,14.19,13.67,14.02,72200,14.02,0.34999999999999964
2014-02-03,14.03,14.07,13.24,13.53,110300,13.53,-0.5
2014-02-04,13.54,13.76,13.29,13.73,64500,13.73,0.19000000000000128
2014-02-05,13.74,13.77,12.95,13.38,90400,13.38,-0.35999999999999943
2014-02-06,13.39,14.0,13.35,13.59,58000,13.59,0.1999999999999993
2014-02-07,13.68,13.97,13.65,13.91,93300,13.91,0.23000000000000043
2014-02-10,13.9,13.9,13.44,13.56,54600,13.56,-0.33999999999999986
2014-02-11,13.64,13.81,13.46,13.78,57800,13.78,0.1399999999999988
2014-02-12,13.78,14.81,13.7,14.24,167200,14.24,0.46000000000000085
2014-02-13,14.16,14.5,14.16,14.43,73700,14.43,0.2699999999999996
2014-02-14,14.43,14.43,14.22,14.36,31700,14.36,-0.07000000000000028
2014-02-18,14.4,14.78,14.33,14.76,48800,14.76,0.35999999999999943
2014-02-19,14.78,14.81,14.38,14.49,92000,14.49,-0.28999999999999915
2014-02-20,14.51,14.75,14.3,14.7,47300,14.7,0.1899999999999995
2014-02-21,14.76,14.8,14.27,14.48,128500,14.48,-0.27999999999999936
2014-02-24,14.56,14.81,14.43,14.77,35700,14.77,0.20999999999999908
2014-02-25,14.85,14.85,14.46,14.64,38000,14.64,-0.20999999999999908
2014-02-26,14.64,15.08,14.58,14.83,58800,14.83,0.1899999999999995
2014-02-27,14.83,15.01,14.8,14.88,66800,14.88,0.05000000000000071
2014-02-28,14.93,15.04,14.78,14.99,63500,14.99,0.0600000000000005
2014-03-03,14.92,15.2,14.75,15.09,48800,15.09,0.16999999999999993
2014-03-04,15.13,15.84,15.13,15.62,131200,15.62,0.48999999999999844
2014-03-05,15.62,15.9,15.6,15.87,105000,15.87,0.25
2014-03-06,15.97,16.12,15.87,15.99,103800,15.99,0.019999999999999574
2014-03-07,16.11,16.39,15.59,16.32,118300,16.32,0.21000000000000085
2014-03-10,16.34,17.04,16.05,17.02,132500,17.02,0.6799999999999997
2014-03-11,17.04,17.85,17.02,17.33,211000,17.33,0.28999999999999915
2014-03-12,17.28,17.85,17.02,17.44,140900,17.44,0.16000000000000014
2014-03-13,17.4,17.5,16.39,16.58,197300,16.58,-0.8200000000000003
2014-03-14,16.41,16.72,16.06,16.45,92800,16.45,0.03999999999999915
2014-03-17,16.39,17.03,16.24,16.68,74000,16.68,0.28999999999999915
2014-03-18,16.74,16.99,16.55,16.76,57000,16.76,0.020000000000003126
2014-03-19,16.76,16.76,16.44,16.61,46700,16.61,-0.15000000000000213
2014-03-20,16.64,17.31,16.6,16.91,144200,16.91,0.2699999999999996
2014-03-21,17.01,17.25,16.77,16.99,176500,16.99,-0.020000000000003126
2014-03-24,17.01,17.14,16.44,16.94,231100,16.94,-0.07000000000000028
2014-03-25,17.03,17.4,16.64,16.7,81900,16.7,-0.33000000000000185
2014-03-26,16.73,16.98,16.28,16.31,52600,16.31,-0.4200000000000017
2014-03-27,16.29,16.45,15.82,15.97,116300,15.97,-0.3199999999999985
2014-03-28,15.99,16.19,15.53,15.74,85400,15.74,-0.25
2014-03-31,15.91,16.47,15.75,16.3,76700,16.3,0.39000000000000057
2014-04-01,16.44,17.21,16.44,17.03,182300,17.03,0.5899999999999999
2014-04-02,17.13,17.22,16.78,16.9,106000,16.9,-0.23000000000000043
2014-04-03,16.99,17.0,16.42,16.63,56900,16.63,-0.35999999999999943
2014-04-04,16.69,16.99,15.91,16.13,89300,16.13,-0.5600000000000023
2014-04-07,16.13,16.29,15.65,16.09,73800,16.09,-0.03999999999999915
2014-04-08,16.28,17.01,16.28,16.72,131500,16.72,0.4399999999999977
2014-04-09,16.94,16.95,16.55,16.84,73500,16.84,-0.10000000000000142
2014-04-10,16.75,17.02,16.37,16.92,101100,16.92,0.1700000000000017
2014-04-11,16.87,16.98,16.45,16.49,79400,16.49,-0.38000000000000256
2014-04-14,16.72,17.32,16.36,17.0,241400,17.0,0.28000000000000114
2014-04-15,17.13,17.28,16.76,17.12,159800,17.12,-0.00999999999999801
2014-04-16,17.2,17.42,16.65,16.81,113000,16.81,-0.39000000000000057
2014-04-17,16.83,17.03,16.72,16.86,125500,16.86,0.030000000000001137
2014-04-21,17.02,17.31,16.86,16.97,189400,16.97,-0.05000000000000071
2014-04-22,17.04,17.35,16.92,17.16,167700,17.16,0.120000000000001
2014-04-23,17.2,17.29,16.55,16.58,104800,16.58,-0.620000000000001
2014-04-24,16.74,16.95,16.41,16.73,105000,16.73,-0.00999999999999801
2014-04-25,16.64,16.65,15.76,15.98,152900,15.98,-0.6600000000000001
2014-04-28,16.1,16.42,15.64,15.85,94900,15.85,-0.2500000000000018
2014-04-29,15.93,16.28,15.73,15.92,41100,15.92,-0.009999999999999787
2014-04-30,16.01,16.61,15.85,16.46,64900,16.46,0.4499999999999993
2014-05-01,16.49,16.77,16.0,16.37,131300,16.37,-0.11999999999999744
2014-05-02,16.34,16.73,16.21,16.22,72000,16.22,-0.120000000000001
2014-05-05,16.15,16.6,16.0,16.58,161500,16.58,0.4299999999999997
2014-05-06,16.51,16.79,16.45,16.56,89200,16.56,0.04999999999999716
2014-05-07,16.66,16.78,16.41,16.74,80700,16.74,0.0799999999999983
2014-05-08,16.77,16.77,15.89,16.13,104400,16.13,-0.6400000000000006
2014-05-09,14.02,16.21,13.18,16.03,337800,16.03,2.0100000000000016
2014-05-12,16.03,16.65,15.89,16.65,159300,16.65,0.6199999999999974
2014-05-13,16.67,16.81,16.39,16.65,111300,16.65,-0.020000000000003126
2014-05-14,16.66,16.66,15.93,16.06,155000,16.06,-0.6000000000000014
2014-05-15,15.89,16.1,15.51,15.97,178600,15.97,0.08000000000000007
2014-05-16,15.95,15.95,15.45,15.85,96200,15.85,-0.09999999999999964
2014-05-19,15.75,16.23,15.62,16.23,136600,16.23,0.4800000000000004
2014-05-20,16.16,16.26,15.71,15.92,106900,15.92,-0.2400000000000002
2014-05-21,15.93,16.11,15.57,15.79,119900,15.79,-0.14000000000000057
2014-05-22,15.78,15.91,15.5,15.87,90200,15.87,0.08999999999999986
2014-05-23,15.83,16.47,15.82,16.4,83900,16.4,0.5699999999999985
2014-05-27,16.46,16.85,16.32,16.67,76700,16.67,0.21000000000000085
2014-05-28,16.69,16.75,16.34,16.42,63000,16.42,-0.2699999999999996
2014-05-29,16.43,16.65,16.39,16.52,42700,16.52,0.08999999999999986
2014-05-30,16.44,16.69,16.44,16.65,57900,16.65,0.2099999999999973
2014-06-02,16.64,16.75,16.41,16.63,77300,16.63,-0.010000000000001563
2014-06-03,16.57,16.7,16.1,16.44,169300,16.44,-0.129999999999999
