Date,open,high,low,close,volume,adj_close,diff
2014-01-02,12.02,12.11,11.99,12.11,137300,11.23,0.08999999999999986
2014-01-03,12.08,12.18,12.04,12.18,46800,11.29,0.09999999999999964
2014-01-06,12.16,12.34,12.16,12.34,45700,11.44,0.17999999999999972
2014-01-07,12.36,12.43,12.34,12.36,45700,11.46,0.0
2014-01-08,12.36,12.41,12.32,12.41,47100,11.5,0.05000000000000071
2014-01-09,12.38,12.44,12.37,12.37,50700,11.47,-0.010000000000001563
2014-01-10,12.4,12.48,12.39,12.48,60300,11.57,0.08000000000000007
2014-01-13,12.46,12.51,12.42,12.45,125000,11.61,-0.010000000000001563
2014-01-14,12.47,12.48,12.42,12.48,55200,11.63,0.009999999999999787
2014-01-15,12.43,12.5,12.43,12.48,32400,11.63,0.05000000000000071
2014-01-16,12.49,12.54,12.46,12.52,44900,11.67,0.02999999999999936
2014-01-17,12.5,12.58,12.47,12.55,48300,11.7,0.05000000000000071
2014-01-21,12.55,12.67,12.55,12.58,29700,11.73,0.02999999999999936
2014-01-22,12.58,12.66,12.58,12.61,26600,11.76,0.02999999999999936
2014-01-23,12.61,12.69,12.61,12.66,63200,11.8,0.05000000000000071
2014-01-24,12.67,12.69,12.62,12.65,45000,11.79,-0.019999999999999574
2014-01-27,12.6,12.67,12.56,12.59,59300,11.74,-0.009999999999999787
2014-01-28,12.55,12.59,12.52,12.57,86300,11.72,0.019999999999999574
2014-01-29,12.57,12.59,12.53,12.55,51400,11.7,-0.019999999999999574
2014-01-30,12.55,12.64,12.55,12.58,51500,11.73,0.02999999999999936
2014-01-31,12.6,12.68,12.58,12.66,50700,11.8,0.0600000000000005
2014-02-03,12.67,12.72,12.62,12.62,131000,11.77,-0.05000000000000071
2014-02-04,12.63,12.67,12.59,12.6,62300,11.75,-0.030000000000001137
2014-02-05,12.55,12.59,12.55,12.59,23200,11.74,0.03999999999999915
2014-02-06,12.56,12.61,12.56,12.61,50300,11.76,0.049999999999998934
2014-02-07,12.56,12.65,12.56,12.65,88400,11.79,0.08999999999999986
2014-02-10,12.62,12.7,12.62,12.67,157900,11.81,0.05000000000000071
2014-02-11,12.64,12.69,12.63,12.64,37000,11.78,0.0
2014-02-12,12.59,12.6,12.51,12.52,65700,11.74,-0.07000000000000028
2014-02-13,12.47,12.56,12.47,12.55,22000,11.77,0.08000000000000007
2014-02-14,12.52,12.55,12.51,12.52,74500,11.74,0.0
2014-02-18,12.49,12.57,12.49,12.54,63500,11.76,0.049999999999998934
2014-02-19,12.55,12.61,12.53,12.56,96200,11.78,0.009999999999999787
2014-02-20,12.53,12.59,12.53,12.56,68100,11.78,0.030000000000001137
2014-02-21,12.56,12.6,12.56,12.6,51300,11.81,0.03999999999999915
2014-02-24,12.54,12.63,12.54,12.62,42400,11.83,0.08000000000000007
2014-02-25,12.58,12.65,12.58,12.65,27800,11.86,0.07000000000000028
2014-02-26,12.67,12.7,12.64,12.66,44400,11.87,-0.009999999999999787
2014-02-27,12.66,12.7,12.65,12.69,78500,11.9,0.02999999999999936
2014-02-28,12.68,12.74,12.67,12.71,65200,11.92,0.030000000000001137
2014-03-03,12.71,12.75,12.7,12.71,48100,11.92,0.0
2014-03-04,12.72,12.75,12.68,12.73,67400,11.93,0.009999999999999787
2014-03-05,12.73,12.73,12.68,12.71,70400,11.92,-0.019999999999999574
2014-03-06,12.7,12.7,12.61,12.64,58100,11.85,-0.05999999999999872
2014-03-07,12.58,12.6,12.5,12.53,68300,11.75,-0.05000000000000071
2014-03-10,12.54,12.59,12.53,12.58,36700,11.79,0.040000000000000924
2014-03-11,12.57,12.61,12.56,12.57,43400,11.78,0.0
2014-03-12,12.5,12.64,12.5,12.61,23700,11.89,0.10999999999999943
2014-03-13,12.59,12.68,12.57,12.68,86700,11.96,0.08999999999999986
2014-03-14,12.67,12.69,12.62,12.64,53100,11.92,-0.02999999999999936
2014-03-17,12.63,12.7,12.63,12.69,51000,11.96,0.05999999999999872
2014-03-18,12.71,12.71,12.63,12.67,35100,11.95,-0.040000000000000924
2014-03-19,12.64,12.67,12.57,12.58,81800,11.86,-0.0600000000000005
2014-03-20,12.54,12.57,12.52,12.55,84700,11.83,0.010000000000001563
2014-03-21,12.55,12.64,12.55,12.64,65000,11.92,0.08999999999999986
2014-03-24,12.61,12.68,12.61,12.68,31800,11.96,0.07000000000000028
2014-03-25,12.69,12.69,12.64,12.65,33000,11.93,-0.03999999999999915
2014-03-26,12.64,12.7,12.63,12.7,27700,11.97,0.05999999999999872
2014-03-27,12.73,12.75,12.7,12.74,42600,12.01,0.009999999999999787
2014-03-28,12.72,12.75,12.71,12.73,22700,12.0,0.009999999999999787
2014-03-31,12.71,12.74,12.69,12.74,67300,12.01,0.02999999999999936
2014-04-01,12.74,12.74,12.62,12.69,58300,11.96,-0.05000000000000071
2014-04-02,12.64,12.69,12.64,12.65,49800,11.93,0.009999999999999787
2014-04-03,12.71,12.71,12.64,12.64,65500,11.92,-0.07000000000000028
2014-04-04,12.74,12.74,12.67,12.7,98800,11.97,-0.040000000000000924
2014-04-07,12.73,12.75,12.7,12.72,48800,11.99,-0.009999999999999787
2014-04-08,12.76,12.78,12.72,12.76,58100,12.03,0.0
2014-04-09,12.79,12.79,12.72,12.73,57500,12.0,-0.05999999999999872
2014-04-10,12.79,12.79,12.76,12.76,59800,12.03,-0.02999999999999936
2014-04-11,12.74,12.78,12.74,12.74,96600,12.08,0.0
2014-04-14,12.78,12.78,12.68,12.71,63200,12.05,-0.06999999999999851
2014-04-15,12.69,12.77,12.69,12.77,45200,12.11,0.08000000000000007
2014-04-16,12.75,12.85,12.73,12.85,54900,12.18,0.09999999999999964
2014-04-17,12.85,12.87,12.77,12.83,99500,12.16,-0.019999999999999574
2014-04-21,12.86,12.92,12.85,12.92,34400,12.25,0.0600000000000005
2014-04-22,12.92,12.98,12.92,12.98,68300,12.31,0.0600000000000005
2014-04-23,12.98,13.03,12.98,13.03,68600,12.35,0.049999999999998934
2014-04-24,13.03,13.12,13.02,13.12,51900,12.44,0.08999999999999986
2014-04-25,13.14,13.2,13.12,13.2,27600,12.52,0.05999999999999872
2014-04-28,13.23,13.26,13.15,13.19,32400,12.51,-0.040000000000000924
2014-04-29,13.19,13.19,13.12,13.15,38700,12.47,-0.03999999999999915
2014-04-30,13.13,13.16,13.12,13.13,31300,12.45,0.0
2014-05-01,13.14,13.33,13.14,13.32,130600,12.63,0.17999999999999972
2014-05-02,13.26,13.28,13.21,13.27,64400,12.58,0.009999999999999787
2014-05-05,13.27,13.28,13.24,13.27,60800,12.58,0.0
2014-05-06,13.24,13.29,13.23,13.25,68800,12.56,0.009999999999999787
2014-05-07,13.23,13.27,13.23,13.26,52200,12.57,0.02999999999999936
2014-05-08,13.29,13.33,13.25,13.3,65200,12.61,0.010000000000001563
2014-05-09,13.32,13.32,13.22,13.24,75800,12.55,-0.08000000000000007
2014-05-12,13.23,13.29,13.21,13.25,80600,12.56,0.019999999999999574
2014-05-13,13.17,13.24,13.17,13.23,72200,12.61,0.0600000000000005
2014-05-14,13.23,13.24,13.2,13.23,56900,12.61,0.0
2014-05-15,13.26,13.32,13.26,13.32,90900,12.7,0.0600000000000005
2014-05-16,13.37,13.37,13.31,13.35,64700,12.73,-0.019999999999999574
2014-05-19,13.27,13.36,13.24,13.31,51800,12.69,0.040000000000000924
2014-05-20,13.32,13.33,13.28,13.33,32100,12.71,0.009999999999999787
2014-05-21,13.33,13.33,13.28,13.32,30300,12.7,-0.009999999999999787
2014-05-22,13.34,13.34,13.26,13.31,28600,12.69,-0.02999999999999936
2014-05-23,13.34,13.34,13.28,13.34,47500,12.72,0.0
2014-05-27,13.37,13.37,13.27,13.32,76300,12.7,-0.049999999999998934
2014-05-28,13.35,13.48,13.33,13.48,111400,12.85,0.13000000000000078
2014-05-29,13.48,13.5,13.41,13.5,73700,12.87,0.019999999999999574
2014-05-30,13.52,13.52,13.41,13.44,42000,12.81,-0.08000000000000007
2014-06-02,13.41,13.43,13.34,13.37,60400,12.74,-0.040000000000000924
2014-06-03,13.38,13.38,13.22,13.26,61900,12.64,-0.120000000000001
2014-06-04,13.26,13.26,13.08,13.09,99600,12.48,-0.16999999999999993
2014-06-05,13.1,13.17,13.07,13.17,62300,12.55,0.07000000000000028
2014-06-06,13.2,13.22,13.14,13.15,39100,12.54,-0.049999999999998934
2014-06-09,13.19,13.21,13.15,13.2,71000,12.58,0.009999999999999787
2014-06-10,13.24,13.24,13.15,13.17,58300,12.55,-0.07000000000000028
2014-06-11,13.2,13.22,13.14,13.18,57100,12.56,-0.019999999999999574
2014-06-12,13.14,13.16,13.11,13.16,44900,12.61,0.019999999999999574
2014-06-13,13.14,13.15,13.08,13.11,31700,12.56,-0.030000000000001137
2014-06-16,13.14,13.15,13.1,13.1,42300,12.56,-0.040000000000000924
2014-06-17,13.12,13.12,13.02,13.03,48600,12.49,-0.08999999999999986
2014-06-18,13.07,13.08,13.02,13.08,23200,12.54,0.009999999999999787
2014-06-19,13.13,13.13,13.03,13.05,44700,12.51,-0.08000000000000007
2014-06-20,13.1,13.1,13.06,13.09,35300,12.55,-0.009999999999999787
2014-06-23,13.12,13.13,13.07,13.1,37900,12.56,-0.019999999999999574
2014-06-24,13.11,13.14,13.1,13.11,44600,12.56,0.0
2014-06-25,13.14,13.19,13.14,13.19,39200,12.64,0.049999999999998934
2014-06-26,13.24,13.28,13.2,13.26,67600,12.71,0.019999999999999574
2014-06-27,13.27,13.3,13.27,13.28,25200,12.73,0.009999999999999787
2014-06-30,13.3,13.32,13.21,13.25,64700,12.7,-0.05000000000000071
2014-07-01,13.28,13.3,13.23,13.25,29900,12.7,-0.02999999999999936
2014-07-02,13.21,13.22,13.05,13.06,95600,12.52,-0.15000000000000036
2014-07-03,13.06,13.06,12.87,12.88,108600,12.34,-0.17999999999999972
2014-07-07,12.86,12.99,12.82,12.98,105300,12.44,0.120000000000001
2014-07-08,13.03,13.05,13.0,13.03,54300,12.49,0.0
2014-07-09,13.06,13.06,12.95,12.97,36800,12.43,-0.08999999999999986
2014-07-10,13.05,13.05,12.96,12.97,32100,12.43,-0.08000000000000007
2014-07-11,12.96,12.99,12.93,12.99,58200,12.52,0.02999999999999936
