Date,open,high,low,close,volume,adj_close,diff
2014-12-12,30.16,35.25,30.0,33.99,8341900,33.99,3.830000000000002
2014-12-15,33.07,33.48,30.36,30.52,991600,30.52,-2.5500000000000007
2014-12-16,30.19,31.73,30.03,31.1,285500,31.1,0.9100000000000001
2014-12-17,30.87,31.66,30.25,31.22,262100,31.22,0.34999999999999787
2014-12-18,31.27,32.7,30.0,30.42,284300,30.42,-0.8499999999999979
2014-12-19,30.6,31.84,30.47,31.47,184900,31.47,0.8699999999999974
2014-12-22,31.74,32.0,30.77,31.25,80700,31.25,-0.48999999999999844
2014-12-23,31.75,32.44,31.29,32.1,175000,32.1,0.3500000000000014
2014-12-24,32.15,34.0,32.15,33.76,86700,33.76,1.6099999999999994
2014-12-26,34.0,34.0,33.02,33.52,100000,33.52,-0.4799999999999969
2014-12-29,33.75,37.0,33.51,35.92,303100,35.92,2.1700000000000017
2014-12-30,35.92,36.99,34.53,35.18,109900,35.18,-0.740000000000002
2014-12-31,35.71,36.07,34.67,34.84,64000,34.84,-0.8699999999999974
